書名,書籍網址,作者,出版社,ISBN,圖片網址
跟Adobe徹底研究After Effects CC (附光碟),https://www.eslite.com/product/1001248272811430,Brie Gyncild/ Lisa Fridsma,深石數位科技股份有限公司,9789865004279,https://s.eslite.dev/upload/product/l/2681835762004/20191129034431277307.jpg
After Effects視訊課程合集 27 (3CD-R),https://www.eslite.com/product/1004141652336328,哲也研究室,再生出版社,4712839502858,https://s.eslite.dev/upload/product/l/2680882663005/ec847493.jpg
After Effects視訊課程合集 25 (3CD-R),https://www.eslite.com/product/1004141652244968,哲也研究室,再生出版社,4712839502742,https://s.eslite.dev/upload/product/l/2680788864001/ec705370.jpg
After Effects視訊課程合集 24 (3CD-R),https://www.eslite.com/product/1004141652217809,哲也研究室,再生出版社,4712839502599,https://s.eslite.dev/upload/product/l/2680761622000/230173.jpg
After Effects視訊課程合集 23 (3CD-R),https://www.eslite.com/product/1004141652210011,哲也研究室,再生出版社,4712839502520,https://s.eslite.dev/upload/product/l/2680753814000/219969.jpg
After Effects視訊課程合集 22 (3CD-R),https://www.eslite.com/product/1004141652204238,哲也研究室,再生出版社,4712839502506,https://s.eslite.dev/upload/product/l/2680748083008/213923.jpg
After Effects視訊課程合集 21 (3CD-R),https://www.eslite.com/product/1004141652191111,哲也研究室,再生出版社,4712839502377,https://s.eslite.dev/upload/product/l/2680734653000/197229.jpg
After Effects視訊課程合集 20 (2CD-R),https://www.eslite.com/product/1004141652172217,哲也研究室,再生出版社,4712839502261,https://s.eslite.dev/upload/product/l/2680715841006/182360.jpg
After Effects視訊課程合集 17 (3CD-ROM),https://www.eslite.com/product/1004141652131038,哲也研究室,再生出版社,4712839502018,https://s.eslite.dev/upload/product/l/2680675250009/20190218162718695640.jpg
After Effects視訊課程合集 14 (3CD-ROM),https://www.eslite.com/product/1004141652068350,哲也研究室,再生出版社,4712839501714,https://s.eslite.dev/upload/product/l/2680614275001/121665.jpg
跟Adobe完全掌握After Effects CS5視覺特效合成 (附DVD),https://www.eslite.com/product/1001113692041135,"Christiansen, Mark",碁峰資訊股份有限公司,9789862762059,https://s.eslite.dev/upload/product/l/2680588579006/107828.jpg
Adobe After Effects Classroom in a Book (2021 Release),https://www.eslite.com/product/1001294883963589,Lisa Fridsma ; Brie Gyncild,Ingram International Inc,9780136815648,0
Adobe After Effects Classroom in a Book (2020 Release),https://www.eslite.com/product/1001294883318981,Lisa Fridsma ; Brie Gyncild,Ingram International Inc,9780136411871,https://s.eslite.dev/upload/ean/9780136411871.jpg
Adobe After Effects CC Classroom in a Book,https://www.eslite.com/product/1001294883039011,Lisa Fridsma ; Brie Gyncild,Ingram International Inc,9780135298640,https://s.eslite.dev/upload/ean/9780135298640.jpg
After Effects: The Power of Expression,https://www.eslite.com/product/1001294884083624,Francois Lefebvre,Ingram International Inc,9780578404486,https://s.eslite.dev/upload/ean/9780578404486.jpg
Adobe After Effects: Build Like a Pro,https://www.eslite.com/product/1001294883947538,Gerard Blokdyk,Ingram International Inc,9781979890014,0
After Effects Apprentice: Real-World Skills for the Aspiring Motion Graphics Artist,https://www.eslite.com/product/1001294883145303,Chris Meyer ; Trish Meyer,Ingram International Inc,9781138643086,0
Aspirin After Stroke Dose: Aspirin Side Effects: What Causes A Stroke,https://www.eslite.com/product/1001294884314871,Carrol Carlee,Ingram International Inc,9798731365291,0
"Physique After 50: How to Use Resistance Training to Feel Great, Maintain Muscle & Fight the Effects of Aging",https://www.eslite.com/product/1001294883511335,Scott Abel,Ingram International Inc,9781539497738,https://s.eslite.dev/upload/ean/9781539497738.jpg
After Effects Expression全面解剖: 由淺入深極速上手AE頂層技術 (附光碟),https://www.eslite.com/product/1001248272875301,白乃遠/ 趙國松/ 陳冠鵬/ 黃文興,深石數位科技股份有限公司,9789865004873,https://s.eslite.dev/upload/product/l/2681922808004/20200918034714409196.jpg
從入門到運用掌握After Effects CC動態圖像設計 (附光碟),https://www.eslite.com/product/1001248272852267,吳信成,深石數位科技股份有限公司,9789865004804,https://s.eslite.dev/Upload/Product/202007/l/637296210292372500.jpg
After Effects: 高級特效技術手冊十大插件應用精粹 (附光碟),https://www.eslite.com/product/1001248272828302,白乃遠/ 黃文興/ 陳冠鵬,深石數位科技股份有限公司,9789865004521,https://s.eslite.dev/Upload/Product/202003/l/637193394524183247.jpg
3dsMax & After Effects影視特效高手 (附VCD),https://www.eslite.com/product/1001138362810881,elearningDJ,經瑋國際股份有限公司,9789863800651,https://s.eslite.dev/Upload/Product/201911/l/637104408846553750.jpg
Cinema 4D & After Effects廣告動畫特效精粹,https://www.eslite.com/product/1001248272805417,白乃遠/ 黃文興/ 陳冠鵬,深石數位科技股份有限公司,9789865004293,https://s.eslite.dev/Upload/Product/201911/l/637087123839941250.jpg
After Effects．Premiere Pro: 影片剪輯製作一次搞定,https://www.eslite.com/product/1001239292575917,梁家豪,佳魁資訊股份有限公司,9789863794745,https://s.eslite.dev/Upload/Product/201703/l/636241267716726250.jpg
3dsMax & After Effects影視特效製作 (附VCD),https://www.eslite.com/product/1001247582245770,elearningDJ,加樺國際有限公司,9789865835255,https://s.eslite.dev/Upload/Product/201306/l/635073140641142500.jpg
After Effects視訊課程合集 19 (3 CD-R),https://www.eslite.com/product/1004141652164231,哲也研究室,再生出版社,4712839502223,https://s.eslite.dev/upload/product/l/2680707994000/177825.jpg
After Effects視訊課程合集 18 (3CD-ROM),https://www.eslite.com/product/1004141652148876,哲也研究室,再生出版社,4712839502131,https://s.eslite.dev/upload/product/l/2680692689004/161449.jpg
After Effects視訊課程合集 16 (3CD-ROM),https://www.eslite.com/product/1004141652116207,哲也研究室,再生出版社,4712839501882,https://s.eslite.dev/upload/product/l/2680661301005/ec542373.jpg
After Effects視訊課程合集 15 (3CD-ROM),https://www.eslite.com/product/1004141652100311,哲也研究室,再生出版社,4712839501776,https://s.eslite.dev/upload/product/l/2680645591002/130900.jpg
After Effects視訊課程合集 13 (3CD-ROM),https://www.eslite.com/product/1004141652053841,哲也研究室,再生出版社,4712839501615,https://s.eslite.dev/upload/product/l/2680600449003/111510.jpg
After Effects視訊課程合集 11(3CD-ROM),https://www.eslite.com/product/1004141652021858,哲也研究室,再生出版社,4712839501424,https://s.eslite.dev/upload/product/l/2680570024002/113210.jpg
After Effects視訊課程合集 7 (3CD-ROM),https://www.eslite.com/product/1004141651956609,再生出版社,再生出版社,4712839500885,https://s.eslite.dev/upload/product/l/2680511881008/54557.jpg
Creating Motion Graphics with After Effects: Essential and Advanced Techniques,https://www.eslite.com/product/1001294883668560,Chris Meyer ; Trish Meyer ; Lee Lanier,Ingram International Inc,9781138584532,0
