ISBN,書籍簡介
9789865004279,以最快速、最容易、最全面的方式來學習Adobe After Effects CC 學習如何運用本軟體並為影片、視訊、DVD、網頁和行動裝置製作動態圖像並最佳化。你將會親手學習為文字與影像加上動態、自行設定各式各樣的效果、追蹤並同步內容、進行描圖作業，並完行色彩校正。為Adobe Premiere Pro CC建立動態圖像範例，並使用強大的操偶工具為影片和物件賦予動態。 本書譯自Adobe專家著作的暢銷書籍，告訴您如何透過專家觀點，短時間內學會並運用 After Effects CC。 全書包含15個章節，涵蓋所有學習After Effects所必須知道的基本知識與操作，並且提供不計其數的訣竅與技法，幫助您在使用After Effects CC 時，能夠大幅提昇創意的生產力。您可依照本書課程章節依序練習，或直接學習自己感興趣的章節。
4712839502858,"本合集中包含《After Effects CS4基礎視訊課程》、《After Effects背景特效視訊課程》和《ImageART (27) 世界貨幣(2)》等共計三片光碟，收錄406分鐘，將近7小時的視訊課程。光碟1： After Effects CS4基礎視訊課程：視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。Chapter 01 認識After Effects CS4Chapter 02 製作基礎動畫Chapter 03 遮色片的應用Chapter 04 文字的設定Chapter 05 進階動畫的應用Chapter 06 3D效果的應用光碟2： After Effects背景特效視訊課程：視訊光碟包含11大章節，收錄課程將近約2小時26分。Chapter 01 天空背景Chapter 02 漸層背景-1Chapter 03 漸層背景-2Chapter 04 粒子背景Chapter 05 雜訊背景Chapter 06 火焰效果Chapter 07 爆破效果Chapter 08 汪洋大海Chapter 09 時光隧道Chapter 10 翻頁效果Chapter 11 3D空間光碟3： ImageART (27) 世界貨幣(2)本光碟中收錄60張3D人偶與世界貨幣的影像，包含有美金、英鎊、歐元、人民幣、日幣與台幣等六國的貨幣。高解析度的影像為4,000 x 3,000 px，而低解析度的影像為800 x 600 px，檔案格式為RGB的JPEG檔案。適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等各式設計應用上。"
4712839502742,本合集中包含《After Effects CS4基礎視訊課程》、《After Effects背景特效視訊課程》和《ImageART(19) 3D女性角色(1)》等共計三片光碟，收錄406分鐘，將近7小時的視訊課程。
4712839502599,"本合集中包含《After Effects CS4基礎視訊課程》、《After Effects文字特效視訊課程》和《ImageART (27) 世界貨幣(2)》等共計三片光碟，收錄406分鐘，將近7小時的視訊課程。 光碟1： After Effects CS4基礎視訊課程： 視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 Chapter 01 認識After Effects CS4 Chapter 02 製作基礎動畫 Chapter 03 遮色片的應用 Chapter 04 文字的設定 Chapter 05 進階動畫的應用 Chapter 06 3D效果的應用 光碟2： 文字特效視訊課程： 包含17大章節，收錄課程將近166分鐘，約2.7小時。 Chapter 01 基礎文字設定 Chapter 02 色彩文字 Chapter 03 位移文字-1 Chapter 04 位移文字-2 Chapter 05 縮放文字-1 Chapter 06 縮放文字-2 Chapter 07 旋轉文字-1 Chapter 08 旋轉文字-2 Chapter 09 透明文字-1 Chapter 10 透明文字-2 Chapter 11 手寫文字 Chapter 12 路徑文字 Chapter 13 繽紛文字 Chapter 14 遮罩文字 Chapter 15 3D文字-1 Chapter 16 3D文字-2 Chapter 17 3D產品包裝 光碟3： ImageART (27) 世界貨幣(2) 本光碟中收錄60張3D人偶與世界貨幣的影像，包含有美金、英鎊、歐元、人民幣、日幣與台幣等六國的貨幣。高解析度的影像為4,000 x 3,000 px，而低解析度的影像為800 x 600 px，檔案格式為RGB的JPEG檔案。適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等各式設計應用上。"
4712839502520,"本合集中包含《After Effects CS4基礎視訊課程》課程光碟，當中收錄260多分鐘，將近5小時的視訊課程。以及《ImageART(05) 3D光束》光碟與《After Effects文字背景特效全集》書籍一冊，附光碟（當中收錄超過5小時的視訊課程）。 光碟1： After Effects CS4 基礎視訊課程： 視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 Ch01 認識After Effects CS4 Ch 02 製作基礎動畫 Ch03 遮色片的應用 Ch 04 文字的設定 Ch 05 進階動畫的應用 Ch 06 3D效果的應用 光碟2： ImageART(05) 3D光束 本光碟收錄3D的光束影像，檔案格式為Photoshop的PSD檔，您可以依照所需，自由組合不同的圖層，產生不同的影像效果。本光碟內附授權使用書，當中的影像皆為免版稅（royalty free），只要您是合法購買者，皆可享有無限次數重複使用於各種影像應用上。本光碟中收錄10張3D光束影像，適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等的各式設計應用上。本光碟中的影像為RGB模式，以PSD格式儲存，每個影像皆有獨立的圖層，讓您自由組合。影像的尺寸為5,000 x 3,750像素，用於印刷輸出時，在300 dpi的解析度之下，可達到A3滿版的面積，而低解析的影像尺寸為1,024 x 768像素，適用於網頁設計。 書籍1： After Effects文字背景特效全集 512頁，單色印刷，附光碟（當中收錄超過5小時的視訊課程） PART 1 文字特效篇 Chapter 01 基礎文字設定 Chapter 02 色彩文字 Chapter 03 位移文字-1 Chapter 04 位移文字-2 Chapter 05 縮放文字-1 Chapter 06 縮放文字-2 Chapter 07 旋轉文字-1 Chapter 08 旋轉文字-2 Chapter 09 透明文字-1 Chapter 10 透明文字-2 Chapter 11 手寫文字 Chapter 12 路徑文字 Chapter 13 繽紛文字 Chapter 14 遮罩文字 Chapter 15 3D文字-1 Chapter 16 3D文字-2 Chapter 17 3D產品包裝 PART 2 背景特效篇 Chapter 18 天空背景 Chapter 19 漸層背景-1 Chapter 20 漸層背景-2 Chapter 21 粒子背景 Chapter 22 雜訊背景 Chapter 23 火焰效果 Chapter 24 爆破效果 Chapter 25 汪洋大海 Chapter 26 時光隧道 Chapter 27 翻頁效果 Chapter 28 3D空間"
4712839502506,"本合集中包含《After Effects CS4基礎視訊課程》、《After Effects背景特效視訊課程》和《ImageART(26) 3D人偶(1)》等共計三片光碟，收錄406分鐘，將近7小時的視訊課程。 目錄：光碟1： After Effects CS4基礎視訊課程：視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 Chapter 01 認識After Effects CS4 Chapter 02 製作基礎動畫 Chapter 03 遮色片的應用 Chapter 04 文字的設定 Chapter 05 進階動畫的應用 Chapter 06 3D效果的應用 光碟2： After Effects背景特效視訊課程： 視訊光碟包含11大章節，收錄課程將近約2小時26分。 Chapter 01 天空背景 Chapter 02 漸層背景-1 Chapter 03 漸層背景-2 Chapter 04 粒子背景 Chapter 05 雜訊背景 Chapter 06 火焰效果 Chapter 07 爆破效果 Chapter 08 汪洋大海 Chapter 09 時光隧道 Chapter 10 翻頁效果 Chapter 11 3D空間 光碟3： ImageART(26) 3D人偶(1) 本光碟中收錄50張3D人偶影像，包含各式各樣的3D人偶姿勢，高解析度的影像為4,000 x 3,000 px，而低解析度的影像為800 x 600 px，檔案格式為RGB的JPEG檔案。 適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等各式設計應用上。"
4712839502377,"本合集中包含《After Effects CS4基礎視訊課程》、《After Effects文字特效視訊課程》和《ImageART(28) 樹木文字》等共計三片光碟，收錄426分鐘，超過7小時的視訊課程。 目錄：光碟1： After Effects CS4基礎視訊課程： 視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 Chapter 01 認識After Effects CS4 Chapter 02 製作基礎動畫 Chapter 03 遮色片的應用 Chapter 04 文字的設定 Chapter 05 進階動畫的應用 Chapter 06 3D效果的應用 光碟2： 文字特效視訊課程：包含17大章節，收錄課程將近166分鐘，約2.7小時。 Chapter 01 基礎文字設定 Chapter 02 色彩文字 Chapter 03 位移文字-1 Chapter 04 位移文字-2 Chapter 05 縮放文字-1 Chapter 06 縮放文字-2 Chapter 07 旋轉文字-1 Chapter 08 旋轉文字-2 Chapter 09 透明文字-1 Chapter 10 透明文字-2 Chapter 11 手寫文字 Chapter 12 路徑文字 Chapter 13 繽紛文字 Chapter 14 遮罩文字 Chapter 15 3D文字-1 Chapter 16 3D文字-2 Chapter 17 3D產品包裝 光碟3： ImageART(28) 樹木文字 本光碟中收錄50張的樹木文字影像，包含有26個英文字母、常用符號，以及阿拉伯數字…等等的樹木文字影像。高解析度的影像為4,000 x 3,000 px，而低解析度的影像為800 x 600 px，檔案格式為RGB的JPEG檔案。適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等各式設計應用上。"
4712839502261,本合集中包含《After Effects CS4基礎視訊課程》課程光碟，當中收錄260多分鐘，將近5小時的視訊課程。與《After Effects文字背景特效全集》書籍一冊，附光碟（當中收錄超過5小時的視訊課程）。 光碟1： After Effects CS4基礎視訊課程：視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 
4712839502018,"光碟1After Effects CS4基礎視訊課程： 視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。Chapter 01 認識After Effects CS4Chapter 02 製作基礎動畫Chapter 03 遮色片的應用Chapter 04 文字的設定Chapter 05 進階動畫的應用Chapter 06 3D效果的應用光碟2After Effects背景特效視訊課程： 視訊光碟包含11大章節，收錄課程將近約2小時26分。Chapter 01 天空背景 Chapter 02 漸層背景－1Chapter 03 漸層背景－2Chapter 04 粒子背景Chapter 05 雜訊背景Chapter 06 火焰效果Chapter 07 爆破效果Chapter 08 汪洋大海Chapter 09 時光隧道Chapter 10 翻頁效果Chapter 11 3D空間光碟3Image ART（05）3D光束 本光碟收錄3D的光束影像，檔案格式為Photoshop的PSD檔，您可以依照所需，自由組合不同的圖層，產生不同的影像效果。本光碟內附授權使用書，當中的影像皆為免版稅（royalty free），只要您是合法購買者，皆可享有無限次數重複使用於各種影像應用上。 本光碟中收錄10張3D光束影像，適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等的各式設計應用上。本光碟中的影像為RGB模式，以PSD格式儲存，每個影像皆有獨立的圖層，讓您自由組合。影像的尺寸為5,000 x 3,750像素，用於印刷輸出時，在300 dpi的解析度之下，可達到A3滿版的面積，而低解析的影像尺寸為1,024 x 768像素，適用於網頁設計。 本合集中包含《After Effects CS4基礎視訊課程》、《After Effects背景特效視訊課程》和《Image ART（05）3D光束》等共計三片光碟，收錄400多分鐘，將近7小時的視訊課程。"
4712839501714,"內容簡介: 光碟1： After Effects CS4基礎視訊課程：視訊光碟包含7大章節，收錄課程將近260分鐘，約4.5小時。 Chapter 01 認識After Effects CS4 Chapter 02 製作基礎動畫 Chapter 03 遮色片的應用 Chapter 04 文字的設定 Chapter 05 進階動畫的應用 Chapter 06 3D效果的應用 光碟2： 文字特效視訊課程：包含17大章節，收錄課程將近166分鐘，約2.7小時。 Chapter 01 基礎文字設定 Chapter 02 色彩文字 Chapter 03 位移文字-1 Chapter 04 位移文字-2 Chapter 05 縮放文字-1 Chapter 06 縮放文字-2 Chapter 07 旋轉文字-1 Chapter 08 旋轉文字-2 Chapter 09 透明文字-1 Chapter 10 透明文字-2 Chapter 11 手寫文字 Chapter 12 路徑文字 Chapter 13 繽紛文字 Chapter 14 遮罩文字 Chapter 15 3D文字-1 Chapter 16 3D文字-2 Chapter 17 3D產品包裝 光碟3： ImageART(20) 3D女性角色(2) 本光碟中收錄30張3D女性角色影像，適用於平面印刷、海報設計、廣告DM設計、卡片設計、名片設計、簡報設計、圖書封面設計，以及網頁設計…等等的各式設計應用上。 本光碟中的影像為RGB模式，以JPEG格式儲存，影像的尺寸為2,000 x 3,000像素，解析度300 dpi，適合用於印刷輸出，而低解析的影像尺寸為400 x 600像素，適用於網頁設計。"
