書名,書籍網址,作者,出版社,ISBN,圖片網址
工程圖學: AutoCAD篇,https://www.eslite.com/product/1001117482620176,康仕仲/ 張玉連,國立臺灣大學出版中心,9789863502333,https://s.eslite.dev/Upload/Product/201708/l/636391605174236250.jpg
TQC+AutoCAD 2021特訓教材: 基礎篇 (附動態教學檔),https://www.eslite.com/product/1001113692874794,吳永進/ 林美櫻; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9789865026189,https://s.eslite.dev/upload/product/l/2681922202000/20200916041317630207.jpg
AutoCAD 2020電腦輔助設計 (最新版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412875814,邱嘉佑,台科大圖書股份有限公司,9789865231088,https://s.eslite.dev/upload/product/l/2681923518001/20200919053934229338.jpg
TQC+電腦輔助平面製圖認證指南: AutoCAD 2020 (附光碟),https://www.eslite.com/product/1001113692864178,財團法人中華民國電腦技能基金會,碁峰資訊股份有限公司,9789865025380,https://s.eslite.dev/upload/product/l/2681906508005/20200805040654011864.jpg
AutoCAD 2020電腦繪圖與絕佳設計表現: 室內設計基礎 (附影音教學/範例檔),https://www.eslite.com/product/1001113692836750,邱聰倚/ 姚家琦/ 劉庭佑,碁峰資訊股份有限公司,9789865024352,https://s.eslite.dev/Upload/Product/202004/l/637220180246261250.jpg
"Autodesk AutoCAD電腦繪圖與輔助設計: 適用AutoCAD 2017-2020, 含國際認證模擬試題 (附DVD)",https://www.eslite.com/product/1001113692819400,邱聰倚/ 姚家琦,碁峰資訊股份有限公司,9789865023454,https://s.eslite.dev/Upload/Product/202001/l/637145010796023750.jpg
循序學習AutoCAD 2018 (附範例動態教學光碟),https://www.eslite.com/product/1001122982824840,康鳳梅/ 許榮添/ 詹世良,全華圖書股份有限公司,9789865031862,https://s.eslite.dev/upload/product/l/2681854539007/20200201053845860775.jpg
精通AutoCAD 2020機械設計 (附範例下載),https://www.eslite.com/product/1001138362816436,周曉龍,經瑋國際股份有限公司,9789863800576,https://s.eslite.dev/Upload/Product/201912/l/637128600656976250.jpg
AutoCAD 2020實戰演練: 建築設計 (附範例下載),https://www.eslite.com/product/1001138362816429,陳世勳,經瑋國際股份有限公司,9789576154041,https://s.eslite.dev/Upload/Product/201912/l/637128600578851250.jpg
AutoCAD機械製圖高手 (附VCD),https://www.eslite.com/product/1001138362810951,elearningDJ,經瑋國際股份有限公司,9789863800637,https://s.eslite.dev/Upload/Product/201911/l/637104410703116250.jpg
TQC+ AutoCAD 2020特訓教材: 3D應用篇 (附動態教學檔),https://www.eslite.com/product/1001113692802571,吳永進/ 林美櫻; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9789865023126,https://s.eslite.dev/Upload/Product/201910/l/637074163536181250.jpg
AutoCAD電腦輔助設計: 工程製圖與彩色表現圖,https://www.eslite.com/product/1001138362803618,邱嘉佑,經瑋國際股份有限公司,9789863800583,https://s.eslite.dev/Upload/Product/201910/l/637074189437900000.jpg
AutoCAD 2020實戰演練: 機械設計,https://www.eslite.com/product/1001138362797515,陳世勳,經瑋國際股份有限公司,9789576153976,https://s.eslite.dev/Upload/Product/201909/l/637051705432297500.jpg
AutoCAD 3D電腦製圖設計寶典,https://www.eslite.com/product/1001138362789290,陳世勳,經瑋國際股份有限公司,9789576153884,https://s.eslite.dev/Upload/Product/201908/l/637022331179267500.jpg
TQC+ AutoCAD 2020特訓教材: 基礎篇 (附DVD),https://www.eslite.com/product/1001122982792582,吳永進/ 林美櫻; 財團法人中華民國電腦技能基金會/ 總策劃,全華圖書股份有限公司,9789865032029,https://s.eslite.dev/upload/product/l/2681804809006/20190905044712736050.jpg
TQC+AutoCAD 2020特訓教材: 基礎篇 (附動態教學檔),https://www.eslite.com/product/1001113692783251,吳永進/ 林美櫻; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9789865022037,https://s.eslite.dev/Upload/Product/201908/l/637005907788290000.jpg
AutoCAD建築設計應用實務,https://www.eslite.com/product/1001138362734383,陳世勳,經瑋國際股份有限公司,9789578755734,https://s.eslite.dev/Upload/Product/201812/l/636809779105900000.jpg
圖例學習AutoCAD應用實務 (附VCD),https://www.eslite.com/product/1001138362727902,廖彥傑,經瑋國際股份有限公司,9789578755710,https://s.eslite.dev/Upload/Product/201811/l/636783858876296250.jpg
TQC+AutoCAD 2019特訓教材: 3D應用篇 (附動態教學檔),https://www.eslite.com/product/1001113692722639,吳永進/ 林美櫻; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9789864769520,https://s.eslite.dev/Upload/Product/201810/l/636762259467036250.jpg
精彩AutoCAD 2017機械設計,https://www.eslite.com/product/1001138362714033,陳世勳,經瑋國際股份有限公司,9789578755628,https://s.eslite.dev/Upload/Product/201809/l/636730292495577500.jpg
