書名,書籍網址,作者,出版社,ISBN,圖片網址
精通Azure Analytics: 在雲端上使用Azure Data Lake、HDInsight與Spark,https://www.eslite.com/product/1001133102715491,Zoiner Tejada,美商歐萊禮股份有限公司台灣分公司,9789864769209,https://s.eslite.dev/Upload/Product/201809/l/636736338513103750.jpg
Azure雲端服務滲透測試攻防實務,https://www.eslite.com/product/1001113692747967,Matt Burrough,碁峰資訊股份有限公司,9789865020491,https://s.eslite.dev/Upload/Product/201903/l/636873714544987383.jpg
Exam Ref Ai-900 Microsoft Azure AI Fundamentals,https://www.eslite.com/product/1001294883853893,Julian Sharp,Ingram International Inc,9780137358038,0
Azure Security Handbook: A Comprehensive Guide for Defending Your Enterprise Environment,https://www.eslite.com/product/1001294884391383,Karl Ots,Ingram International Inc,9781484272916,0
Exam Ref Az-104 Microsoft Azure Administrator,https://www.eslite.com/product/1001294883038185,Harshul Patel,Ingram International Inc,9780136805380,0
Microsoft Certified Azure Fundamentals All-In-One Exam Guide (Exam Az-900),https://www.eslite.com/product/1001294884412684,Jack Hyman,Ingram International Inc,9781264268368,0
"The Definitive Guide to Azure Data Engineering: Modern Elt, Devops, and Analytics on the Azure Cloud Platform",https://www.eslite.com/product/1001294884385092,Ron C. L'Esteve,Ingram International Inc,9781484271810,0
Python人工智慧程式設計入門: 使用Microsoft Azure雲端服務,https://www.eslite.com/product/1001313432682053635002,蕭國倫/ 姜琇森/ 羅云涔/ 章家源/ 劉耘圻/ 劉憶蓁/ 何霆鋒,深智數位股份有限公司,9789860776171,https://s.eslite.dev/upload/product/l/2682053635002/20210803033916530354.jpg
Beginning Azure Cognitive Services: Data-Driven Decision Making Through Artificial Intelligence,https://www.eslite.com/product/1001294884349821,Alicia Moniz ; Matt Gordon ; Ida Bergum,Ingram International Inc,9781484271759,0
Microsoft Azure Data Solutions - An Introduction,https://www.eslite.com/product/1001294884385786,Daniel Seara ; Francesco Milano ; Danilo Dominici,Ingram International Inc,9780137252503,0
Exam Ref Az-304 Microsoft Azure Architect Design,https://www.eslite.com/product/1001294883027595,Ashish Agrawal ; Avinash Bhavsar ; Mj Parker,Ingram International Inc,9780137268894,0
Beginning Azure Synapse Analytics: Transition from Data Warehouse to Data Lakehouse,https://www.eslite.com/product/1001294884275250,Bhadresh Shiyal,Ingram International Inc,9781484270608,0
Microsoft Certified Azure Fundamentals Study Guide with Online Labs,https://www.eslite.com/product/1001294884351403,Jim Boyce,Ingram International Inc,9781119841555,0
Microsoft Azure Network Security,https://www.eslite.com/product/1001294884355120,Nicholas Dicola ; Anthony Roman,Ingram International Inc,9780137252046,0
Demystifying the Azure Well-Architected Framework: Guiding Principles and Design Best Practices for Azure Workloads,https://www.eslite.com/product/1001294883977133,Shijimol Ambi Karthikeyan,Ingram International Inc,9781484271186,0
Azure Data Factory by Example: Practical Implementation for Data Engineers,https://www.eslite.com/product/1001294884324138,Richard Swinbank,Ingram International Inc,9781484270288,0
Azure IoT Development: The Step-by-Step Guide to Design &#1072;nd Develop Internet of Things &#1040;pplic&#1072;tions. Le&#1072;rn how to Use,https://www.eslite.com/product/1001294884291211,Mark J. Azis,Ingram International Inc,9781801567619,0
Azure IoT Development: The Step-by-Step Guide to Design &#1072;nd Develop Internet of Things &#1040;pplic&#1072;tions. Le&#1072;rn how to Use,https://www.eslite.com/product/1001294884291071,Mark J. Azis,Ingram International Inc,9781801567602,0
"Hands-On Kubernetes on Azure - Third Edition: Use Azure Kubernetes Service to automate management, scaling, and deployment of containerized applicatio",https://www.eslite.com/product/1001294884367099,Nills Franssens ; Shivakumar Gopalakrishnan ; Gunther Lenz,Ingram International Inc,9781801079945,0
Azure Strategy and Implementation Guide - Fourth Edition: The essential handbook to cloud transformation with Azure,https://www.eslite.com/product/1001294883953445,Jack Lee ; Greg Rendon ; Jason Milgram,Ingram International Inc,9781801077972,0
Microsoft Certified Azure Fundamentals Study Guide: Exam Az-900,https://www.eslite.com/product/1001294883876518,James Boyce,Ingram International Inc,9781119770923,0
Microsoft Azure Study Guide: A practical guide to learn the basics of the Microsoft Windows Azure platform,https://www.eslite.com/product/1001294883971677,Lukas Murphy,Ingram International Inc,9781801565868,0
Exam Ref Dp-900 Microsoft Azure Data Fundamentals,https://www.eslite.com/product/1001294883862999,Daniel Seara ; Francesco Milano,Ingram International Inc,9780137252169,0
Microsoft Azure Administrator Exam Prep (AZ-104): Make Your Career with Microsoft Azure Platform Using Azure Administered Exam Prep (English Edition),https://www.eslite.com/product/1001294884330359,Lalit Rawat,Ingram International Inc,9789389898774,0
Azure Arc-Enabled Data Services Revealed: Early First Edition Based on Public Preview,https://www.eslite.com/product/1001294883772265,Ben Weissman ; Anthony E. Nocentino,Ingram International Inc,9781484267042,0
Professional Azure SQL Managed Database Administration - Third Edition: Efficiently manage and modernize data in the cloud using Azure SQL,https://www.eslite.com/product/1001294884349656,Ahmad Osama,Ingram International Inc,9781801076524,0
The Conditions of Paradise: Azure Dreams,https://www.eslite.com/product/1001294883336212,Akiko Morishima,Ingram International Inc,9781645058373,0
SAP on Microsoft Azure: Architecture and Administration,https://www.eslite.com/product/1001294883643818,Ravi Kashyap,Ingram International Inc,9781493220175,0
Microsoft Azure Architect Technologies and Design Complete Study Guide: Exams Az-303 and Az-304,https://www.eslite.com/product/1001294883763911,William Panek ; Benjamin Perkins,Ingram International Inc,9781119559535,0
Cyber Security on Azure: An It Professional's Guide to Microsoft Azure Security,https://www.eslite.com/product/1001294883250503,Marshall Copeland ; Matthew Jacobs,Ingram International Inc,9781484265307,0
Azure: Microsoft Azure Administrator (AZ-104) Practice Tests,https://www.eslite.com/product/1001294883834095,Adenn Young,Ingram International Inc,9798592591921,0
Azure: A Journal of Literary Thought (Vol. 4),https://www.eslite.com/product/1001294883856048,,Ingram International Inc,9780999424346,0
Exam Ref Az-500 Microsoft Azure Security Technologies,https://www.eslite.com/product/1001294883605405,Yuri Diogenes ; Orin Thomas,Ingram International Inc,9780136788935,0
Azure Data Factory Cookbook: Build and manage ETL and ELT pipelines with Microsoft Azure's serverless data integration service,https://www.eslite.com/product/1001294883772016,Dmitry Anoshin ; Dmitry Foshin ; Roman Storchak,Ingram International Inc,9781800565296,0
Exam Ref Az-303 Microsoft Azure Architect Technologies,https://www.eslite.com/product/1001294883671931,Mike Pfeiffer ; Derek Schauland ; Nicole Stevens,Ingram International Inc,9780136805090,0
Microsoft Azure Administrator Exam Prep (AZ-104): Make Your Career with Microsoft Azure Platform Using Azure Administered Exam Prep (English Edition),https://www.eslite.com/product/1001294883807565,Lalit Rawat,Ingram International Inc,9789389898767,0
Azure Devops for Web Developers: Streamlined Application Development Using Azure Devops Features,https://www.eslite.com/product/1001294883607956,Ambily K. K.,Ingram International Inc,9781484264119,0
Azure DevOps Explained: Get started with Azure DevOps and develop your DevOps practices,https://www.eslite.com/product/1001294884061615,Sjoukje Zaal ; Stefano Demiliani ; Amit Malik,Ingram International Inc,9781800563513,0
ASP.NET Core and Azure with Raspberry Pi 4: .Net Core Applications in Raspbian OS,https://www.eslite.com/product/1001294883195604,Sibeesh Venu,Ingram International Inc,9781484264423,0
Practical Azure SQL Database for Modern Developers: Building Applications in the Microsoft Cloud,https://www.eslite.com/product/1001294884104116,Davide Mauri ; Silvano Coriani ; Anna Hoffman,Ingram International Inc,9781484263693,0
"Azure Storage, Streaming, and Batch Analytics: A Guide for Data Engineers",https://www.eslite.com/product/1001294884261234,Richard L. Nuckolls,Ingram International Inc,9781617296307,0
Azure SQL Revealed: A Guide to the Cloud for SQL Server Professionals,https://www.eslite.com/product/1001294884113464,Bob Ward,Ingram International Inc,9781484259306,0
"Learn Azure in a Month of Lunches, Second Edition",https://www.eslite.com/product/1001294883606217,Iain Foulds,Ingram International Inc,9781617297625,0
Microsoft Azure Administrator AZ-104: Microsoft Azure Administrator AZ-104 Latest Practice Questions,https://www.eslite.com/product/1001294883664404,Eaze Teach,Ingram International Inc,9798693484719,0
Finding Azure,https://www.eslite.com/product/1001294883533488,Sabrea Marie E,Ingram International Inc,9798692705235,0
ETL with Azure Cookbook: Practical recipes for building modern ETL solutions to load and transform data from any source,https://www.eslite.com/product/1001294884058314,Christian Coté ; Madina Saitakhmetova ; Matija Lah,Ingram International Inc,9781800203310,0
Exam Ref Az-900 Microsoft Azure Fundamentals with Practice Test,https://www.eslite.com/product/1001294883577590,Jim Cheshire,Ingram International Inc,9780137230938,0
