書名,書籍網址,作者,出版社,ISBN,圖片網址
How Bitcoin and Blockchain Are Changing the World - And Your Economic Life,https://www.eslite.com/product/1001294883562057,Marti Tirinnanzi,Ingram International Inc,9781547416516,0
Blockchain Und Knowledge Graphen Im Digital Health,https://www.eslite.com/product/1001294884292834,,Ingram International Inc,9783110690965,https://s.eslite.dev/upload/ean/9783110690965.jpg
"Blockchain and Distributed Ledgers: Mathematics, Technology, and Economics",https://www.eslite.com/product/1001294883839520,Alexander Lipton ; Adrien Treccani,Ingram International Inc,9789811221521,0
"Blockchain and Distributed Ledgers: Mathematics, Technology, and Economics",https://www.eslite.com/product/1001294884412897,Alexander Lipton ; Adrien Treccani,Ingram International Inc,9789811221514,0
Foundations of Blockchain: Theory and Applications,https://www.eslite.com/product/1001294884348775,Ahmed Imteaj ; M. Hadi Amini ; Panos M. Pardalos,Ingram International Inc,9783030750244,0
Blockchain and Artificial Intelligence,https://www.eslite.com/product/1001294883488367,,Ingram International Inc,9783110661149,0
Blockchain: An Explanation of Chances For Earning You Need to Fundamentally Understand To Use Them Completely,https://www.eslite.com/product/1001294884390273,Rayne Little,Ingram International Inc,9781803572512,0
Blockchain and Cryptocurrency,https://www.eslite.com/product/1001294884178443,Rachael L. Thomas,Ingram International Inc,9781728404608,0
Blockchain: Empowering Digital Economy,https://www.eslite.com/product/1001294884394523,Yang Yan ; Bin Wang ; Jun Zou,Ingram International Inc,9789811236501,0
Blockchain Applications in Iot Ecosystem,https://www.eslite.com/product/1001294884258112,,Ingram International Inc,9783030656904,0
"Blockchain Technology: The Ultimate Beginner's Guide About Blockchain Wallet, Mining, Bitcoin, Ethereum and More",https://www.eslite.com/product/1001294884388975,Robert Eaton,Ingram International Inc,9781803349459,0
"Blockchain in Healthcare: Innovations That Empower Patients, Connect Professionals and Improve Care",https://www.eslite.com/product/1001294883942390,Vikram Dhillon ; John Bass ; Max Hooper,Ingram International Inc,9781032093888,0
Essentials of Blockchain Technology,https://www.eslite.com/product/1001294884350768,,Ingram International Inc,9781032087269,0
Blockchain Systems and Communication Networks: From Concepts to Implementation,https://www.eslite.com/product/1001294883992092,Mubashir Husain Rehmani,Ingram International Inc,9783030717872,0
"Blockchain Startup: Master the Cryptocurrency Bitcoin and Ethereum, Find Out Why they are the New Frontier of Trading",https://www.eslite.com/product/1001294884331092,Mark Azis,Ingram International Inc,9781801569491,0
Blockchain and Distributed Ledger Technology Use Cases: Applications and Lessons Learned,https://www.eslite.com/product/1001294883956060,,Ingram International Inc,9783030443399,0
Bitcoin and Blockchain: Discover the Asset that is Changing the Financial System and Profit from The Greatest Bull Run of All Time!,https://www.eslite.com/product/1001294884280944,Kevin Anderson,Ingram International Inc,9781803121789,0
Blockchain and Supply Chain Logistics: Evolutionary Case Studies,https://www.eslite.com/product/1001294884237524,Nachiappan Subramanian ; Atanu Chaudhuri ; Ya&#351 ; anur Kay&#305 ; kc&#305 ; ,Ingram International Inc,9783030475338,0
