ISBN,書籍簡介
9789864341511,Bootstrap Essentials引領你熟悉所有的 Bootstrap 特色功能及基礎知識，從中探索「行動優先」設計哲學，並進一步發揮 Bootstrap 的多樣潛能。內容從 Bootstrap 架構及元件的介紹開始，接著搭配 LESS 語法編譯，以及運用 Bootstrap CSS 來建構響應式佈局。此外更利用眾多的 Bootstrap 擴充元件，使網站功能更加豐富。本書也含括了自訂 Bootstrap 的整套流程，包含編譯、建構及擴充 Bootstrap 內容，藉此開發出對行動裝置友善的極致網站環境。你能夠從本書學習到• 充分瞭解 Bootstrap 的內部架構及運作模式。• 為網頁專案下載及設定 Bootstrap。• 熟悉 Bootstrap CSS 及其元件。• 編譯及建構 Bootstrap 程式碼。• 運用 Bootstrap 的 JavaScript 物件及 CSS 預處理器。• 對 Bootstrap 加以自訂及擴充，以滿足特定需求。適用讀者適用於對 HTML、CSS 及 JavaScript 等技術已有一定經驗，但對 Bootstrap 還不太熟悉的網頁開發者。前述的網頁技術都仍在 Bootstrap 中扮演著重要角色，使你能夠在既有的基礎上發揮所長。
9789865024291,Build School創辦人暨執行長 吳典璋╱資策會資深講師 王淳平、林俊昌、蘇國鈞 聯合推薦! 以前端技術框架Bootstrap為主，配合JavaScript、jQuery、jQueryMobile與Cordoav前端技術，並以實例教學方式由淺入深一步步帶領初學者運用Bootstrap快速打造行動優先的響應式網站，讓網站能依據不同裝置尺寸與瀏覽器自動調整成適合的內容與排版(RWD)，讓後端開發人員或網頁開發初學者能快速掌握前端技術，此外，可配合Cordova將網站轉換成行動裝置App，以達到讓瀏覽網站與App的使用者都能得到最佳的使用與瀏覽體驗。 *MTA試題增強版：新增流程控制、陣列、函式與物件...等最新試題。 *收錄微軟MTA JavaScript國際認證模擬試題，讓您除了擁有實作的能力，更擁有國際認證證明自己。 *易學：初學者可快速套用Bootstrap框架完成響應式網站前端網頁，按圖索驥，可以完整重現書中範例。並配合大量範例了解Bootstrap與JavaScript、jQuery與Cordova如何整合運用。 *易教：本書經過與初學者或開發人員試教，修改內容與作法，去蕪存菁，教師免備課。 *易懂：以圖文並茂方式逐步解說，易學易懂。
9789865021955,行動應用大趨勢，企業網站新主流 由前端到後端，由基礎程式到應用框架，本書一次蒐錄！ 行動應用的潮流裡，隨著前端技術的成熟，響應式網頁設計(RWD)為企業提供比APP更快速、更具成本競爭力的解決方案，是不可忽視的趨勢。 作者結合實務開發與課堂教學經驗，由淺入深地介紹掌握這波趨勢必要知能： ‧前端網頁應用程式：包含HTML、CSS、JavaScript、JQuery與Bootstrap。本書著重已知元件和函式庫的應用，美編設計與前端程式開發不在包含範圍。 ‧Sevlet、JSP與網站伺服器：說明Java EE的容器元件架構，並以網站開發的Model-View-Controller思維貫穿篇章，縷述元件開發細節。 ‧Java網站框架：包含Spring的DI、AOP、JDBCTemplate，Spring MVC與SiteMesh。 最後，著眼於現代網站多具備亮眼的使用者介面(User Interface)，本書以合法授權的Bootstrap企業級模板為基礎綜合實作，完整呈現建構Java RWD Web必備的知識與技能。
9789865021405,Build School創辦人暨執行長 吳典璋╱資策會資深講師 王淳平、林俊昌、蘇國鈞 聯合推薦!以前端技術框架Bootstrap為主，配合JavaScript、jQuery、jQueryMobile與Cordoav前端技術，並以實例教學方式由淺入深一步步帶領初學者用運Bootstrap快速打造行動優先的響應式網站，讓網站能依據不同裝置尺寸與瀏覽器自動調整成適合的內容與排版(RWD)，讓後端開發人員或網頁開發初學者能快速掌握前端技術，此外，可配合Cordova將網站轉換成行動裝置App，以達到讓瀏覽網站與App的使用者都能得到最佳的使用與瀏覽體驗。●收錄微軟MTA JavaScript國際認證模擬試題，讓您除了擁有實作的能力，更擁有國際認證證明自己。●易學：初學者可快速套用Bootstrap框架完成響應式網站前端網頁，按圖索驥，可以完整重現書中範例。並配合大量範例了解Bootstrap與JavaScript、jQuery與Cordova如何整合運用。●易教：本書經過與初學者或開發人員試教，修改內容與作法，去蕪存菁，教師免備課。●易懂：以圖文並茂方式逐步解說，易學易懂。
9789865021061,●Bootstrap及Vue.js熱門前端技術一手掌握 ●Firebase資料庫功能與Web應用程式的Authentication一次到位 ●沒有Node.js套件管理及Vue-CLI模組一樣搞定SPA 現今前端工程師所必備的能力，已經不是個別學會HTML、CSS與JavaScript而已，除了要對不同尺寸的載具設計出RWD頁面外，更需要學會運用不同框架的整合，才能讓專案得心應手並展現前端工程師的價值。 目前普遍運用Bootstrap的CSS框架來呈現版面並達成RWD，而Vue.js則是近年來三大JavaScript框架中的後起之秀。本書將以Vue.js框架為主體搭配Bootstrap做為UI的呈現，並讓讀者具有駕馭前端框架的實力。 以往資料的儲存需要搭配後端資料庫，在後端即服務(Backend as a Service; BaaS)逐漸普及使用後，前端工程師已可以直接在前述框架中使用Firebase，取代原本後端資料庫建置。本書針對如何使用Firebase資料庫提供詳細的說明，同時說明使用Firebase建置出像是手機簡訊的認證機制。
9789864769513,最容易理解、讓初學者秒懂的範例解說！ Bootstrap 4語法大改版！一次讓你搞懂Bootstrap 3與4之間的差別 最關鍵的完整範例，一個抵十個，重點觀念一次搞懂 最實務的程式碼練習，別再說網頁設計難以上手 ●Sublime Text/Visual Studio Code網頁編輯器入門教學：快速熟悉網頁設計的輕便型／專業型開發工具，善用擴充套件提升網頁建置效率。●清楚圖文說明網頁架構，讓初學者一次上手：以最淺顯易懂的架構說明，觀念正確便能舉一反三。●超實務響應式網頁設計範例（RWD）：多個簡單的範例比不上一個完整的應用，關鍵完整範例讓你徹底深入瞭解。●最新版的Bootstrap 4語法教學：讓你快速熟悉最新版的常用語法。●掌握常見響應式版面設計：企業網頁╱多欄式網頁╱視差網頁╱側欄固定網頁，一次搞懂主流RWD版面設計技巧。
9789865020149,"Build School創辦人暨執行長 吳典璋╱資策會資深講師 王淳平、林俊昌、蘇國鈞 聯合推薦！●增訂版，含微軟Introduction to Programming using HTML and CSS（MTA 98-383）國際認證模擬試題。●快速上手網頁語法：使用大量範例輔助初學者學習HTML5與CSS，使初學者快速進入網頁開發領域。●CSS3排版與動畫設計：以實際豐富的案例介紹CSS3特效、排版與動畫技巧。●訓練JavaScript：從零開始學習JavaScript、由變數宣告、選擇結構、重複結構、陣列到函式，沒有艱澀的專業用詞，讓初學者不在害怕程式設計。●jQuery互動應用：透過jQuery函式快速選擇元素進行互動、選取表單資料、呼叫動畫函式與替換樣式，打造酷炫的互動網頁。●RWD響應式網頁：以全新的Bootstrap 4元件建立行動優先的跨平台網頁。●跨平台行動網頁：建置支援ios,Android,Windows Phone的行動網頁。●跨平台App設計：使用jQueryMobile與Cordova建製原生Android App，並部署到手機實機上。●全端應用：整合前端Bootstrap與後端ASP.NET MVC，建製擁有CRUD功能的員工系統。"
9789865020323,6大主題，300個立即可套用範例，最熱門的跨平台網頁設計技術大集合，最適合初學入門、現學現用的21堂關鍵課！經典改版、全新Bootstrap 4降臨HTML5早已成為許多人首選的跨平台工具，新一代智慧手機作業系統大量運用來開發應用程式，許多設備都支援HTML5，成為最主流的學習技術。本書以HTML5為主體，綜合當今熱門的跨平台網頁程式設計工具。不繞遠路，完整解秘各項技術，立即可用，提供最佳學習途徑！【結合最新前端技術】全面引進最新的前端框架與技術，無論是HTML5、CSS3、JavaScript、jQuery、jQuery Mobile或是Bootstrap 4，都能銜接學習而快速上手，打造符合新一代標準的跨平台網站。全新Bootstrap 4為響應式網頁提供最亮眼的開發模式，全面更新開發工具、元件與擴增套件，讓跨平台網站擁有更好的使用接受度。改用Sass樣式語法，重寫所有JS的應用套件，加速網頁建構與讀取，更支援新一代的flexbox盒子模式，為網頁排版與版型配置提供無比的彈性。【徹底掌握語法基礎】透過詳細語法解說、大量圖表示意，引領了解各主題的核心概念與重點技術，並利用最適合的開發工具進行範例實作，徹底掌握語法與應用。【立即套用海量範例】每個主題都依功能別加入實用範例，可依架構學習，也可以依功能主題立即尋找可套用的範例。【跨越平台行動優先】面對行動裝置的普及，網頁就必須跨越不同螢幕尺寸，因應不同作業平台。書中將RWD網頁建置技術徹底解構，進而掌握從電腦到手機版網頁的設計心法，讓跨平台網頁製作更簡單！【超值RWD影音教學】提供RWD(Responsive Web Design，響應式網頁設計)使用Bootstrap 4的實戰影音教學，利用Bootstrap 4帶領您從無到有快速打造一個跨平台的RWD網站，快速提升開發實力！超值學習資源：範例程式檔、100分鐘RWD網頁快速開發：使用Bootstrap 4實戰影音教學
9789864765706,以4個整合性實例一探業界極為流行的響應式網頁框架Bootstrap從遊戲活動網頁、部落格、活動報名網頁，到企業型購物網站，依Bootstrap 4功能大幅改版，一次搞懂主流的RWD設計！新一代網頁設計師與網頁工程師必備技Bootstrap響應式網頁的快速開發力！熱門的Bootstrap讓全世界許多企業在徵求網頁設計師時都將之列為必備的技能條件，Bootstrap採用了模組化設計，最新Bootstrap 4的功能更加強化，簡易到只要懂得如何套用，就可以快速開發出具有美感的響應式（RWD）網頁。對於許多不擅長視覺設計的網頁工程師來說，省去了許多美化的時間與困惱，而對於視覺設計師來說，也能依著自己設計的版型建置網頁，同時支援市面上大部份的主流瀏覽器，而對於想踏入響應式網頁領域的初學者來說，則可以在短時間就學習到RWD設計技能。書中從認識響應式網頁與網站開發流程開始，詳細解說響應式網頁設計思維，並導入視覺設計與網頁製作兩個不同領域的專業知識與技巧，最終以4個案例製作響應式網頁以具備實戰技能。●完整的響應式網頁概念解說與Bootstrap 4運用方式，迅速跨入響應式設計領域。●以淺顯易懂的網頁範例，融入佈局、HTML5、CSS3、元件與JavaScript的使用技巧。●4種不同類型的整合性範例，一次掌握主流RWD版面設計，展現Bootstrap 4的強大效果。書附DVD：近150分鐘網格佈局、CSS、JavaScript與元件使用影音教學活動報名版型與部落格版型PDF/範例檔
9789863124863,"網站就是門面，人人都看的到，就算是網頁設計新手，也要避開不合時宜、落伍的設計方式。想要成為前端網頁設計師，就要有一入行就能上線的本領。

響應式網頁設計（RWD）主導了目前的網頁設計趨勢，提供各種裝置最佳的顯示結果。本書秉持著行動優先（mobile first）的概念所撰寫，在設計網站的過程中優先考量網頁在行動裝置的操作性與可讀性，學會靈活運用 HTML、CSS、Bootstrap、JavaScript 等程式語法，並懂得掌握網頁 UI 元素的設計原則與網頁設計風格，讓您快速成為符合業界需要的響應式網頁設計高手。

◎新手必學的 HTML5 基本語法與 CSS3 常用屬性
◎用 Bootstrap，免寫 CSS 和 JavaScript 程式碼就能製作 RWD 網頁
◎用網格系統快速解決不同裝置的版面規劃，怎麼切換都不穿幫
◎掌握網頁 UI 的設計鐵則，不怕視覺風格出差錯
◎提供不同類型的專業網站範本，新手臨摹最速成
◎JavaScript、jQuery 網頁技術基礎，網頁功力再提升"
