ISBN,書籍簡介
9789864769919,WEB的視覺呈現本書可協助網頁設計師與app開發人員，展現成熟的頁面設計、改善可存取性並節省時間與精力。新修訂版為CSS實作提供完整的指引，以及最新CSS標準規範的完整介紹。CSS是個持續改變的語言，用來描述網頁內容於螢幕、印表機、語音合成器、螢幕報讀軟體及對話視窗上的呈現方式。在所有網頁瀏覽器、各種螢幕尺寸以及各式各樣的IoT設備上都看得到CSS的身影，包含手機、電腦、電腦遊戲、電視、手表、互動式多媒體機台、kiosks與自動櫃員機。作者Eric Meyer與Estelle Weyl藉由本書介紹如何改善使用者體驗、提高開發速度、避免潛在問題及透過佈局(layout)增加應用程式的生命與深度，以及動畫效果、邊框、背景、文字屬性與其他工具和技巧。內容涵蓋：●選擇器、權重與階層●數值、單位、字型與文字屬性●內距、邊框、外框與邊界範圍●顏色、背景與漸層●浮動與定位●flexible box佈局●新的格線布局系統●2D與3D轉換、轉場與動畫效果●過濾器、混合、裁切與遮罩●媒體與特性查詢
9789864342440,輕鬆有趣的對話情境學習教材×學習正統、精美的網頁設計技能即使是網頁設計的新手，也能徹底學會最新的網站設計方法！每一章都有不同的主題，非常適合反覆學習來加深知識的完整化！◎輕鬆有趣的漫畫學習情境，能激發你學習網頁設計的樂趣◎了解製作網站的前置作業，並設定網站目標與目標讀者◎教導你規劃整理出網站架構，以及學習製作網站線框圖的思維方式◎可具備HTML/CSS的基礎知識，製作出漂亮精美的網站◎打造適合個人電腦、智慧型手機、平板電腦等各種裝置瀏覽的網頁◎幫助網頁設計初學者快速地建立與發布網站，是最佳的網頁設計體驗教材本書是一本有趣的網頁設計入門學習書，內容將帶著大家一邊建置「橡果合唱團」的網站，一邊與岬同學、亨利這兩位故事主角一起學習HTML/CSS的基礎知識。而雖說是學習HTML/CSS的基礎知識，但卻能完成正統的流動佈局網站，並且利用個人電腦、平板電腦、智慧型手機等各種螢幕尺寸的裝置瀏覽時，網頁版面也不會錯亂。本書學習進程的安排完整，即使你從未學習過網頁設計，也不用擔心。想要挑戰製作複雜網頁的人，也可將本書視為網頁製作的敲門磚。對於準備建立專屬網站的人、想要在自己的網站刊登照片或文章的人、想在短時間之內學會從設計到發布網站等所有事項的人、想要反覆學習困難的技術與課題的人等而言，本書可幫助這些人在短時間之內建立網站，掌握住網頁設計的精髓，可說是最佳的學習教材。
9789864763658,架構完善的樣式表 編寫程式時常常會需要重新檢視程式碼，並移除多餘及不一致的碼，這就是重構。在這本實務指引中，作者Steve Lindstrom不但會帶您架構CSS，建造出易於操作的響應式網站，也會教您如何透過重構，創建出更容易檢閱及維護的CSS。好的CSS是現代網站外觀與質感的基礎，與架構網站的HTML及運行程式的JavaScript同樣重要。不論你是才開始要執行第一個CSS專案或是要對現有的專案進行校調，本書延續一貫堅持優良架構的原則，提供您建造CSS碼庫的策略。‧瞭解什麼是重構以及其與CSS的關係‧探索網頁瀏覽器如何透過串接而套用樣式的方法‧編寫可預期、易維護、能擴充且方便複用的樣式碼‧為CSS樣式分類並視其目的作適當運用‧在各式瀏覽器與裝置上進行測試以維護CSS‧汲取組織樣式、重構CSS及評估成效的策略
9789864761418,「The Missing Manual系列可說是我讀過最有見地、最實用的系列書籍了！」－－Wired 之共同創辦人／Kevin Kelly書架上不能沒有的一本書答案就在這裡！CSS讓你創建專業的網站，但即使對於相當有經驗的網頁開發者，要學習它的細微之處可能仍會非常棘手。本書引領您一覽現今CSS所提供最新且有效的技巧、手法和基本教學。學習如何使用新的工具，像是Flexbox和Sass建造網頁頁面，讓它在任何桌電或手機裝置看起來更好並跑得更快。無論初學者或具有經驗的設計者都十分適合本書。你不可不知的重要訣竅‧從基礎開始-撰寫有合宜CSS的HTML，包含可以被現今瀏覽器辨識的HTML5標籤‧為手機裝置設計-創建可以讓使用者隨時隨地使用它們時都看起來不錯的網頁頁面‧確保頁面運作-使用動畫讓你的想像力得以成真，以及使用表單完成工作‧控制頁面版型-使用像是浮動和定位等專業設計技巧‧確保版型更有彈性-設計有Flexbox的網站，可以隨著不同的裝置和螢幕尺寸調整‧工作更有效率-撰寫較少的CSS程式碼和使用較小的檔案，運用Syntactically Awesome Style Sheets(Sass)。索引
9789864760336,打造能滿足現代網路用戶需求且不會過時的響應式網站我們存取全球資訊網的方式不斷改變，需要考量的螢幕尺寸與使用者經驗，變動的幅度前所未見。打造響應式的網頁能讓其內容適應現今及往後的各種裝置。學習如何運用「響應式加行動優先」的方法學打造網站，不論哪台裝置來存取網站，顯示都不成問題。本書有豐富的範例，從頭到尾解說新潮的技巧與語法，跟「響應式」有關的事情，都能在本書中找到詳盡的資源。本書第二版涵蓋所有最新的技巧與工具，足夠建立出色的響應式設計，確保你的專案不會被淘汰。誰該看這本書你還在寫兩套網站，一套給行動裝置，一套給較大型的顯示器？或者你已經初步實作了響應式網頁設計，卻苦於東拼西湊、不成模樣？若是這樣，網站更上一層樓所需的一切，都收錄於本書了。具備一些HTML和CSS的知識不無小補，其餘翻開書就能找到。你會從這本書學到‧了解響應式設計是什麼、為什麼開發現代網站少不了它？‧學習撰寫更簡約，速度更快，語意更豐富的HTML5標記內容，並弄懂所有新的關鍵元素‧如何使用CSS3媒體查詢，根據裝置不同的配備套用不同樣式？並了解CSS4將帶來的媒體查詢新進展‧學習如何依據螢幕尺寸、裝置解析度或脈絡，載入不同圖片‧征服表單！只用HTML5標記，就能添加檢核機制與實用的介面元素，諸如日期揀選器和範圍滑桿‧在你的響應式設計中實裝SVG，供應使用者圖片而不用理會解析度，並學習如何善用SVG，還讓它動起來‧學習如何使用CSS最新的功能，包括伸縮盒(Flexbox)、自訂字型、nth-child選擇器、CSS自訂屬性(變數)，以及CSS計算器(calc)
9789863478744,"「這是新一代的CSS書籍，針對新一代的CSS。我認識一些很厲害的程式設計師，在他們之中沒有人比Lea Verou更擅長這個新的CSS。」— Jeffrey Zeldman, 《Designing With Web Standards》作者在這本實用的指南裡，CSS專家Lea Verou提出47條未發表的技巧，幫助中級和高級程度的CSS開發者，為每天碰到的各種網頁設計問題構思巧妙簡潔的解法。《CSS Secrets》這本書不是以設計為主軸，而是告訴你如何用程式解決問題。你將學到如何將作者的方法運用到你所遇到的每個CSS問題上，以獲得DRY、易維護、有彈性、輕量和符合標準的結果。得自於60多場國際網頁開發研討會上演講的啟發，Lea Verou針對這些主題提供豐富的資訊，包括：‧背景和邊框‧形狀‧視覺效果‧文字編排‧使用者體驗‧架構和版型‧轉場和動畫「Lea Verou的聰明才智是獨一無二的，幸虧有這本內容豐富的書，你也能夠深入了解CSS，運用它去嘗試任何你能想到的事，以及成果會是什麼樣子。即使你認為自己很了解CSS，我保證這本書裡仍有值得去發掘的秘訣。」—Jeremy KeithClearleft Unknown Futures 負責人「吸引人的CSS技巧、聰明的最佳慣例和迅捷的巧妙設計，如果你想得到這些內部獨家資訊，不要遲疑，就讀這本書。我愛死它了！」—Eric A. Meyer「《CSS Secrets》是一本方便的經典書籍，有那麼多絕妙的技巧和秘訣，你可以直接拿來用，提升你的使用者體驗設計！」—Christopher Schmitt《CSS Cookbook》作者「Lea是絕頂聰明的開發者，這本書絕對充滿實用的妙計，即使對熟知CSS的人來說也是如此。更好的是，你會在工作上更覺得得心應手，因為這本書鼓勵不斷超越。」—Chris CoyierCodePen設計師目錄chapter 01 導論chapter 02 背景和邊框chapter 03 形狀chapter 04 視覺效果chapter 05 文字編排chapter 06 使用者體驗chapter 07 架構和版型chapter 08 轉場和動畫"
9789863474517,下個世代的網頁標準《完美掌握HTML5與CSS3》帶你一步一步走遍HTML5的功能和元素；HTML5帶來更簡短、更清晰，且效率更佳的程式碼，你不可錯過；CSS3的新結構，整全嚴謹，添加樣式，更有彈性，本書會告訴你如何施展。HTML5與CSS3珠聯璧合，讓網站專案頁面更出色，內容呈現更聰明。《完美掌握HTML5與CSS3》會教你：‧開發語意更精準、素材更豐富的內容‧採用新的網頁標準開發網頁‧利用HTML5與CSS3設計網頁‧創造漸變與動畫，不必用到Flash‧運用新的網頁文字編排學解決方案《完美掌握HTML5與CSS3》提供你腳踏實地、逐步前進的路徑；邁步向前，開發網頁吧！投入嶄新網頁標準，擁抱HTML5與CSS3的新銳功能，你需要的知識和技能，這本書就夠了。
9789862768945,你可以從本書學到什麼？厭煩了只有成為專家後才看得懂的 HTML 書籍嗎？現在請拿起本書第二版，真正學會 HTML。各位想學 HTML 與 CSS 的原因，多半是打算動手建立想做的網站，藉此更方便與親朋好友、粉絲或與客戶溝通。各位也想做對網站、使用最新的 HTML5 標準，才能持續維護並擴充網站，讓網站能在所有瀏覽器與裝置上運作。本書有什麼特殊之處？在本書中，各位將學會建立網站的真正秘密，更重要的是，各位不會在學習的過程中昏睡過去。如果是接觸過 Head First 系列的讀者，就知道有什麼好期待了：視覺元素豐富的格式設計又能幫助大腦運作。使用最新的腦神經學、認知科學與學習理論的研究，本書將把 HTML 與 CSS 載入你的大腦，而且保證記憶深刻。
9789862766576,循序漸進 動態網站建立指南就算沒有編寫過任何程式，也能設計出互動性的資料驅動網頁！如果你曾經使用HTML設計網頁，這本廣受歡迎的指南，將能讓你更加掌握設計動態網頁的要訣，並精通時下最重要的開源技術：PHP、MySQL、JavaScrip以及CSS。本書將引領你逐一探討各項技術，教導整合的方法與寶貴的網頁設計概念：包括物件、XHTML、cookies 與期程管理。各章亦提供測驗題目，協助你學以致用。學習 PHP的精華與物件導向程式設計基礎MySQL，包含資料庫結構以及複合式資料查詢以PHP和MySQL建立網頁，同時結合表單及其他HTML功能JavaScript的主要觀念，包括函數、事件處理及存取文件物件模型CSS的基礎知識，以CSS編排、裝飾網頁透過Ajax 呼叫將網頁轉為高度動態系統上傳檔案和圖像並加以管理，驗證用戶輸入的資料，保護應用程式整合所有要素，探討實際範例資訊科技作家Robin Nixon從1980年初就投入電腦實務並撰寫電腦書籍。他曾發表過上百篇電腦文章以及數本電腦書籍，亦曾使用PHP、MySQL、JavaScript 及CSS開發眾多網站。
9789862765012,"你可以用更快更好的方式了解HTML和CSS"" 這麼多介紹 HTML 和　CSS 的書，為什麼要選擇這本？因為...本書以最深入淺出的方式引導讀者學習HTML5 及 CSS應用, 即使是從未學習過的讀者都能藉由此書快速了解那看似艱難的程式碼. 因為...本書以簡短的範例單元說明每個主題的實作, 不但可當作初學者的入門用書, 即使是進階使用者也能從中快速查找所需功能. 無論你想從頭開始設計建置網站，或希望能將現有的網站管理的更好，本書將幫助你創造出別具風格、獨創吸引力，以及容易使用的網站。 我們知道很多人會把程式碼想的很難，但只要你翻開本書，你會發現本書內容與傳統教學的書籍有多麼大的不同，因為我們把 HTML 及 CSS 變的更簡單更容易懂了。 每一頁面都以簡單的視覺性引導方式，搭配直接明瞭的說明以及簡潔易懂的原始碼範例來介紹一個新主題。即使是沒有經驗的你都能找到實際有效的工作指引，讓你能快速應用在改良組織和設計您目前的的網站頁面，讓你的網站更吸引人更易於使用。 <本書是寫給你看的> . 網頁設計人員及程式設計師 . 線上編輯維護內容者 . 行銷及電子商務管理者 . 部落客及社群愛好者 <你將會學到> . 編寫HTML和CSS . 如何建構網頁及網站 . 準備影像、視訊和音訊 . 控制文字設計和版面 目錄: 導讀 Chapter 1 : 結構 Chapter 2 : 文字 Chapter 3 : 清單 Chapter 4 : 連結 Chapter 5 : 影像 Chapter 6 : 表格 Chapter 7 : 表單 Chapter 8 : 額外標示 Chapter 9 : FLASH、視訊和音訊 Chapter 10 : CSS簡介 Chapter 11 : 色彩 Chapter 12 : 文字 Chapter 13 : 方框 Chapter 14 : 清單、表格和表單 Chapter 15 : 版面 Chapter 16 : 影像 Chapter 17 : HTML5版面 Chapter 18 : 流程與設計 Chapter 19 : 實用資訊索引"
