書名,書籍網址,作者,出版社,ISBN,圖片網址
Catia V5-6r2018: Introduction to Modeling,https://www.eslite.com/product/1001294884409476,Ascent -. Center for Technical Knowledge,Ingram International Inc,9781951139698,0
Catia V5-6r2017 Basics,https://www.eslite.com/product/1001294883467375,,Ingram International Inc,9781976181535,0
Catia V5-6r2015: Sheet Metal Design,https://www.eslite.com/product/1001294883583911,Ascent -. Center for Technical Knowledge,Ingram International Inc,9781946571014,0
CATIA V5 Design Fundamentals - 2nd Edition: A Step by Step Guide,https://www.eslite.com/product/1001294883821030,Jaecheol Koh,Ingram International Inc,9781542377881,0
CATIA V5-6R2015 for Designers,https://www.eslite.com/product/1001294884361589,Sham Tickoo Purdue Univ,Ingram International Inc,9781942689218,0
VB Scripting for CATIA V5: How to Program CATIA Macros,https://www.eslite.com/product/1001294883255169,Emmett Ross,Ingram International Inc,9781506169514,0
CATIA V5 Tips and Tricks,https://www.eslite.com/product/1001294883555038,Emmett Ross,Ingram International Inc,9781500923174,0
Catia V5: Macro Programming with Visual Basic Script,https://www.eslite.com/product/1001294883030705,Dieter Ziethen,Ingram International Inc,9780071800020,0
CATIA V5教育訓練手冊: 曲面造形篇,https://www.eslite.com/product/1001138362727896,,經瑋國際股份有限公司,9789578755833,https://s.eslite.dev/Upload/Product/201811/l/636783858838015000.jpg
SOEZ2u多媒體學園電子書: CATIA V5教育訓練手冊: 曲面造形篇 (附VCD),https://www.eslite.com/product/1001138362587376,,經瑋國際股份有限公司,9789869447256,https://s.eslite.dev/Upload/Product/201704/l/636281874857446250.jpg
CATIA V5教育訓練手冊: 機械設計篇(附VCD),https://www.eslite.com/product/1001247581972717,,加樺國際有限公司,9789868643543,https://s.eslite.dev/Upload/Product/201008/l/634184952074539887.jpg
CATIA V5教育訓練手冊: 曲面造形篇 (附VCD),https://www.eslite.com/product/1001247581933380,,加樺國際有限公司,9789866551956,https://s.eslite.dev/Upload/Product/201003/l/634051984378598750.jpg
CATIA V5教育訓練手冊: 進階應用篇 (附光碟),https://www.eslite.com/product/1001233681856810,,知城數位科技股份有限公司,9789866551369,https://s.eslite.dev/Upload/Product/200904/l/633754943027343750.jpg
CATIA 3D機械設計寶典 (附範例下載),https://www.eslite.com/product/1001138362861356,葉建勳,經瑋國際股份有限公司,9789576154317,https://s.eslite.dev/upload/product/l/2681902756004/20200724033735304114.jpg
CATIA V5實戰演練,https://www.eslite.com/product/1001138362524357,elearningDJ,經瑋國際股份有限公司,9789869314992,https://s.eslite.dev/Upload/Product/201607/l/636039954824367500.jpg
精彩CATIA V6 3D機械設計,https://www.eslite.com/product/1001275192270120,葉建勳,易習圖書,9789865835422,https://s.eslite.dev/Upload/Product/201309/l/635150900930301250.jpg
CATIA V5實戰演練,https://www.eslite.com/product/1001247582186947,elearningDJ,加樺國際有限公司,9789866025778,https://s.eslite.dev/Upload/Product/201210/l/634871827194482213.jpg
CATIA電腦輔助三維元件設計 (修訂版/附光碟),https://www.eslite.com/product/1001122981870692,杜黎蓉/ 林博正,全華圖書股份有限公司,9789572164297,https://s.eslite.dev/Upload/Product/201111/l/634578068496113750.jpg
CATIA曲面造形設計寶典,https://www.eslite.com/product/1001138362682050057005,尤春風,經瑋國際股份有限公司,9789576154775,https://s.eslite.dev/upload/product/l/2682050057005/20210727032111924413.jpg
CATIA 3D產品造形創新設計 (附範例光碟),https://www.eslite.com/product/1001122981773376,林清福/ 李建樺,全華圖書股份有限公司,9789572162477,0
CATIA V5實戰演練,https://www.eslite.com/product/1001233681741748,elearningDJ,知城數位科技股份有限公司,9789866850578,0
CATIA與產品造型設計 4: 即時彩現與照片真實彩現 (附光碟),https://www.eslite.com/product/1001122981738068,,全華圖書股份有限公司,9789572160138,0
