ISBN,書籍簡介
9780131465114,0
9780198860792,"This is the first textbook which presents the theory of pure discrete communication systems and its relation to the existing theory of digital and analog communications at a graduate level. Based on the orthogonality principles and theory of discrete time stochastic processes, a generic structure of communication systems, based on correlation demodulation and optimum detection, is developed and presented in the form of mathematical operators with precisely defined inputs and outputsand related functions. Based on this generic structure, the traditionally defined phase shift keying (PSK), frequency shift keying (FSK), quadrature amplitude modulation (QAM), orthogonal frequency division multiplexing (OFDM) and code division multiple access (CDMA) systems are deduced as itsspecial cases. The main chapters, presenting the theory of communications, are supported by a set of supplementary chapters containing the theory of deterministic and stochastic signal processing, which makes the book a self-contained presentation of the subject. The book uses unified notation and unified terminology, which allows a clear distinction between deterministic and stochastic signals, power signals and energy signals, discrete time signals and processes and continuous time signals and processes, and an easy way of understanding the differences indefining the correlation functions, power and energy spectral densities, and amplitudes and power spectra of the mentioned signals and processes. In addition to solved examples in the text, about 300 solved problems are available to readers in the supplementary material that aim to enhance the understanding of the theory in the text. In addition, five research Projects are added to be used by lecturers or instructors that aim to enhance theunderstanding of theory and to establish its relation to the practice."
9781632387165,0
9798648523210,0
9798648350779,0
9789388706506,0
9781608075256,0
9781589096219,0
9781119737360,"Govind P. Agrawal, PhD,  is James C. Wyant Professor at the Institute of Optics at the University of Rochester. He is a Fellow of the Optical Society of America and the IEEE. He is also a Senior Scientist at the Laboratory for Laser Energetics and has authored or co-authored over 400 research papers, book chapters, and monographs."
9783030717872,"Mubashir Husain Rehmani received his Ph.D. from the University Pierre and Marie Curie, France, in 2011, and is currently working as an Assistant Lecturer at Munster Technological University (MTU), Ireland. He was previously affiliated with the University of Paris-Est, France, COMSTATS University, Pakistan, and Waterford Institute of Technology, Ireland. He is currently an Area Editor of IEEE COMMUNICATIONS SURVEYS AND TUTORIALS and the Associate Editor of IEEE Transactions on Green Communication and Networking, IEEE Access Journal, Elsevier Future Generation Computer Systems journal, Elsevier Computers and Electrical Engineering (CAEE) Journal, Elsevier Journal of Network and Computer Applications (JNCA), Springer Wireless Networks Journal, and the Journal of Communications and Networks (JCN). He is also serving as Column Editor (Book Reviews) for IEEE COMMUNICATIONS MAGAZINE.  A senior member of both the IEEE and IEEE Communications Society, Dr. Rehmani is an Author/Editor of several books published by prestigious publishers such as John Wiley, Springer, CRC Press - Taylor and Francis Group, USA, and IGI Global USA. He has published over 110 journal papers, 14 book chapters, and more than 10 international conference papers. He received the ""Best Researcher of the Year 2015 of COMSATS Wah"" award in 2015. He received the certificate of appreciation, ""Exemplary Editor of the IEEE Communications Surveys and Tutorials for the year 2015"" from the IEEE Communications Society. He received Best Paper Award from IEEE ComSoc Technical Committee on Communications Systems Integration and Modeling (CSIM), in IEEE ICC 2017. He consecutively received research productivity award in 2016-17 and also ranked # 1 in all Engineering disciplines from Pakistan Council for Science and Technology (PCST), Government of Pakistan. He received the Best Paper Award in 2017 from Higher Education Commission (HEC), Government of Pakistan. He is the recipient of Best Paper Award in 2018 from Elsevier Journal of Network and Computer Applications. He has been selected for inclusion on the annual Highly Cited Researchers(TM) 2020 list from Clarivate. His performance in this context features in the top 1% in the field of Computer Science."
9781682857700,0
