書名,書籍網址,作者,出版社,ISBN,圖片網址
"AI for Computer Architecture: Principles, Practice, and Prospects",https://www.eslite.com/product/1001294883651963,Lizhong Chen,Ingram International Inc,9781681739847,0
"AI for Computer Architecture: Principles, Practice, and Prospects",https://www.eslite.com/product/1001294883729317,Lizhong Chen,Ingram International Inc,9781681739861,0
Computer Architecture,https://www.eslite.com/product/1001294884206935,,Ingram International Inc,9781641724647,https://s.eslite.dev/upload/ean/9781641724647.jpg
Computer Architecture Tutorial Using an FPGA: ARM & Verilog Introductions,https://www.eslite.com/product/1001294883183420,Robert Dunne,Ingram International Inc,9780970112477,https://s.eslite.dev/upload/ean/9780970112477.jpg
Computer Architecture: with (MIPS) Assembly,https://www.eslite.com/product/1001294883856555,Peter Stallinga,Ingram International Inc,9781716977565,0
"Modern Computer Architecture and Organization: Learn x86, ARM, and RISC-V architectures and the design of smartphones, PCs, and cloud servers",https://www.eslite.com/product/1001294884082419,Jim Ledin,Ingram International Inc,9781838984397,https://s.eslite.dev/upload/ean/9781838984397.jpg
Computer Architecture: A Quantitative Approach,https://www.eslite.com/product/1001294883036609,John L. Hennessy ; David A. Patterson,Ingram International Inc,9780128119051,0
"Computer Networking for Beginners: The Complete Guide To, Network Security, Computer Architecture, Wireless Technology and Communications Systems.",https://www.eslite.com/product/1001294883659212,Peter Treu,Ingram International Inc,9781801259538,0
"Computer Networking for Beginners: The Complete Basic Guide to Master Network Security, Computer Architecture, Internet, Wireless Technology, and Comm",https://www.eslite.com/product/1001294883747843,David Brown,Ingram International Inc,9781801206051,0
"Computer Networking First-Step: A Beginner's Guide to Understanding Computer Architecture and Mastering Communications System Including Cisco, CCNA, C",https://www.eslite.com/product/1001294883789140,Norman Laurence,Ingram International Inc,9781914203183,0
"Computer Networking First-Step: A Beginner's Guide to Understanding Computer Architecture and Mastering Communications System Including Cisco, CCNA, C",https://www.eslite.com/product/1001294883641317,Norman Laurence,Ingram International Inc,9781914203053,0
"Computer Networking for Beginners: The Complete Guide to Wireless Technology, Network Security, Computer Architecture and Communications Systems.",https://www.eslite.com/product/1001294884077292,John Hush,Ingram International Inc,9781801234450,0
"Computer Networking for Beginners: The Complete Guide to Wireless Technology, Network Security, Computer Architecture and Communications Systems.",https://www.eslite.com/product/1001294884069675,John Hush,Ingram International Inc,9781801110341,https://s.eslite.dev/upload/ean/9781801110341.jpg
Assembly Language and Computer Architecture Using C++ and Java: Third Edition,https://www.eslite.com/product/1001294883553903,Anthony J. Dos Reis,Ingram International Inc,9798618861229,https://s.eslite.dev/upload/ean/9798618861229.jpg
"Computer Networking: The Complete Beginner's Guide to Learning the Basics of Network Security, Computer Architecture, Wireless Technology a",https://www.eslite.com/product/1001294884210460,Benjamin Walker,Ingram International Inc,9781951652272,https://s.eslite.dev/upload/ean/9781951652272.jpg
"Computer Networking: The Complete Beginner's Guide to Learning the Basics of Network Security, Computer Architecture, Wireless Technology a",https://www.eslite.com/product/1001294884208444,Benjamin Walker,Ingram International Inc,9781951652166,https://s.eslite.dev/upload/ean/9781951652166.jpg
"Computer Systems: Digital Design, Fundamentals of Computer Architecture and Assembly Language",https://www.eslite.com/product/1001294884271474,Ata Elahi,Ingram International Inc,9783319667744,0
"ACADIA 2020 Distributed Proximities: Proceedings of the 40th Annual Conference of the Association for Computer Aided Design in Architecture, Volume I:",https://www.eslite.com/product/1001294884305424,,Ingram International Inc,9780578952130,0
"ACADIA 2020 Distributed Proximities: Proceedings of the 40th Annual Conference of the Association for Computer Aided Design in Architecture, Volume II",https://www.eslite.com/product/1001294884305371,,Ingram International Inc,9780578952536,0
Digital Design and Computer Architecture: Arm Edition,https://www.eslite.com/product/1002122982457954,Sarah Harris/ David Money Harris,全華圖書股份有限公司,9780128000564,https://s.eslite.dev/upload/product/l/2681214657006/20190409055554601194.jpg
Computer Architecture: A Quantitative Approach (5 Ed.),https://www.eslite.com/product/1002183342107014,John L. Hennessy/ David A. Patterson,Morgan Kaufmann Publishers Inc.,9780123838728,https://s.eslite.dev/Upload/Product/201112/l/634605176978900000.jpg
Computer Architecture Performance Evaluation Methods,https://www.eslite.com/product/1002150932074390,"Eeckhout, Lieven",Baker & Taylor,9781608454679,0
VLSI and Computer Architecture,https://www.eslite.com/product/1002150932072257,"Watanabe, Kenzo/ Ed.",Baker & Taylor,9781606920756,0
Fault Tolerant Computer Architecture,https://www.eslite.com/product/1002150932074372,"Sorin, Daniel J.",Baker & Taylor,9781598299533,0
"The Architecture of Computer Hardware, System Software, and Networking",https://www.eslite.com/product/1002136462074240,"Englander, Irv",John Wiley & Sons Singapore Pte.,9780471715429,0
Computer Architecture and Organization,https://www.eslite.com/product/1002136462074246,"Murdocca, Miles J.",John Wiley & Sons Singapore Pte.,9780471733881,https://s.eslite.dev/upload/product/l/2680623655009/20190408180307410129.jpg
Computer Architecture,https://www.eslite.com/product/1002150932073127,"Hennessy, John L.",Baker & Taylor,9780123704900,0
Assembly Language and Computer Architecture,https://www.eslite.com/product/1002150932072681,"DOS Reis, Anthony J.",Baker & Taylor,9780534405274,0
Computer Architecture,https://www.eslite.com/product/1002171861524186,"Hsu, John Y.",CRC Press,9780849310263,0
Parallel Computer Architecture,https://www.eslite.com/product/1002150932073184,"Culler, David E.",Baker & Taylor,9781558603431,0
計算機結構COMPUTER ARCHITECTURE 90'上,https://www.eslite.com/product/1001113691419874,,碁峰資訊股份有限公司,,0
"Form+Code: In Design, Art, and Architecture",https://www.eslite.com/product/1002150421962997,"Reas, Casey/ McWilliams, Chandler/ LUST",PRINCETON ARCHITECTURAL PRESS,9781568989372,https://s.eslite.dev/upload/product/l/2680517884003/20190408202758170323.jpg
"Super Surfaces: Generating Forms for Architecture, Products and Fashion",https://www.eslite.com/product/1002148282107586,Sophia Vyzoviti,PAGE ONE PUBLISHING PTE LTD,9789812455277,https://s.eslite.dev/upload/product/l/2680652887006/129713.jpg
計算機組織與結構 (4 Ed.),https://www.eslite.com/product/1001273422602810,Linda Null/ Julia Lobur,台灣東華書局股份有限公司,9789574838943,https://s.eslite.dev/upload/product/l/2681469449005/692345.jpg
