書名,書籍網址,作者,出版社,ISBN,圖片網址
"Computer Networks, Big Data and Iot: Proceedings of Iccbi 2020",https://www.eslite.com/product/1001294884246896,,Ingram International Inc,9789811609640,0
Computer Networks: The Ultimate Guide To Computer Network Basics & Networking Concepts For Beginners: Networking Made Easy,https://www.eslite.com/product/1001294883902445,Carl Oldroyd,Ingram International Inc,9798722692443,0
Computer Networks and the Internet: A Hands-On Approach,https://www.eslite.com/product/1001294883693337,Gerry Howser,Ingram International Inc,9783030344986,0
Computer Networks and Communications,https://www.eslite.com/product/1001294884156792,,Ingram International Inc,9781682857663,0
Computer Networks,https://www.eslite.com/product/1001294884053436,Clive Gifford,Ingram International Inc,9780778715603,0
Computer Networks,https://www.eslite.com/product/1001294883583534,Andrew Tanenbaum ; David Wetherall,Ingram International Inc,9780132126953,0
"Computer Networking the Complete Guide: A Complete Guide to Manage Computer Networks and to Learn Wireless Technology, Cisco CCNA, IP Subnetting and N",https://www.eslite.com/product/1001294883637613,Erick Stack,Ingram International Inc,9781801117838,0
Building Computer Vision Applications Using Artificial Neural Networks: With Step-By-Step Examples in Opencv and Tensorflow with Python,https://www.eslite.com/product/1001294883593103,Shamshad Ansari,Ingram International Inc,9781484258866,0
"Computer Networking The Complete Guide: A Complete Guide to Manage Computer Networks and to Learn Wireless Technology, Cisco CCNA, IP Subnetting and N",https://www.eslite.com/product/1001294884249906,Erick Stack,Ingram International Inc,9781706677475,0
Computer Science for International Baccalaureate Syllabus: Topic 3: Networks,https://www.eslite.com/product/1001294884206790,Sarah Shakibi Phd,Ingram International Inc,9781694956804,0
Deep Learning for Computer Vision: Expert techniques to train advanced neural networks using TensorFlow and Keras,https://www.eslite.com/product/1001294884298548,Rajalingappaa Shanmugamani,Ingram International Inc,9781788295628,0
"Computer Networking Problems and Solutions: An Innovative Approach to Building Resilient, Modern Networks",https://www.eslite.com/product/1001294883740862,Russ White ; Ethan Banks,Ingram International Inc,9781587145049,0
"Computer Forensics: Investigating File and Operating Systems, Wireless Networks, and Storage (Chfi), 2nd Edition",https://www.eslite.com/product/1001294883208901,Ec-Council,Ingram International Inc,9781305883482,0
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using Tensorflo",https://www.eslite.com/product/1001294884392256,Magnus Ekman,Ingram International Inc,9780137470358,0
Theory and Engineering of Dependable Computer Systems and Networks: Proceedings of the Sixteenth International Conference on Dependability of Computer,https://www.eslite.com/product/1001294883956610,,Ingram International Inc,9783030767723,0
Hacking With Kali Linux: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing To Fully Unders,https://www.eslite.com/product/1001294883935927,Learn Computer Hacking in Deep,Ingram International Inc,9781801384339,0
Hacking With Kali Linux: 2 Books in 1: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing T,https://www.eslite.com/product/1001294883937788,Learn Computer Hacking in Deep,Ingram International Inc,9781801384551,0
Hacking With Kali Linux: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing To Fully Unders,https://www.eslite.com/product/1001294883934030,Learn Computer Hacking in Deep,Ingram International Inc,9781801384315,0
Hacking With Kali Linux: 2 Books in 1: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing T,https://www.eslite.com/product/1001294883937450,Learn Computer Hacking in Deep,Ingram International Inc,9781801384575,0
Hacking With Kali Linux: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing To Fully Unders,https://www.eslite.com/product/1001294883896519,Learn Computer Hacking in Deep,Ingram International Inc,9781801384292,0
Hacking With Kali Linux: A Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing To Fully Unders,https://www.eslite.com/product/1001294883896511,Learn Computer Hacking in Deep,Ingram International Inc,9781801384278,0
"Networking For Beginners: Learn Basic Computer Networking Concepts, What A Computer Network Is And What Are The Different Types Of Networks.",https://www.eslite.com/product/1001294883825993,Kevin Kali,Ingram International Inc,9781914058448,0
"Networking For Beginners: Learn Basic Computer Networking Concepts, What A Computer Network Is And What Are The Different Types Of Networks.",https://www.eslite.com/product/1001294883826006,Kevin Kali,Ingram International Inc,9781914058455,0
"Ethical Hacking: A Beginner's Guide to Computer and Wireless Networks Defense Strategies, Penetration Testing and Information Security",https://www.eslite.com/product/1001294883050769,Zach Codings,Ingram International Inc,9781801444439,0
"Hacking With Kali Linux: A Complete Guide for Beginners to Hacking, Security, Computer Networking, Wireless Networks, Cybersecurity, Including",https://www.eslite.com/product/1001294883836049,Alan Scripting,Ingram International Inc,9781914105258,0
"Hacking With Kali Linux: A Complete Guide for Beginners to Hacking, Security, Computer Networking, Wireless Networks, Cybersecurity, Including",https://www.eslite.com/product/1001294883836037,Alan Scripting,Ingram International Inc,9781914105241,0
Hacking With Kali Linux: The Complete Beginner's Guide with Detailed Practical Examples of Wireless Networks Hacking & Penetration Testing to F,https://www.eslite.com/product/1001294883632894,Learn Computer Hacking In Deep,Ingram International Inc,9781801201223,0
