ISBN,書籍簡介
9789811609640,"Pasumpon Pandian Arasu received his Ph.D. degree in the Faculty of Information and Communication Engineering under Anna University, Chennai, TN, India, in 2013. He received his graduation and postgraduation degree in Computer Science and Engineering from PSG College of Technology, Coimbatore, TN, India, in the year 1993 and 2006, respectively. He is currently working as Professor in the Computer Science and Engineering department of KGiSL Institute of Technology, Coimbatore, TN, India. He has twenty-six years of experience in teaching, research and IT industry. He has published more than 20 research articles in refereed journals. He acted as Conference Chair in IEEE and Springer conferences and Guest Editor in Computers and Electrical Engineering (Elsevier), Soft Computing (Springer) and International Journal of Intelligent Enterprise (Inderscience) Journals. His research interest includes image processing and coding, image fusion, soft computing and swarm intelligence. Xavier Fernando is Professor at the Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada. He has (co-)authored over 200 research articles and two books (one translated to Mandarin) and holds few patents and non-disclosure agreements. He was IEEE Communications Society Distinguished Lecturer and delivered close over 50 invited talks and keynote presentations all over the world. He was Member in the IEEE Communications Society (COMSOC) Education Board Working Group on Wireless Communications. He was Chair IEEE Canada Humanitarian Initiatives Committee 2017-2018. He was also Chair of the IEEE Toronto Section and IEEE Canada Central Area. He is a program evaluator for ABET (USA). He was a visiting scholar at the Institute of Advanced Telecommunications (IAT), UK, in 2008, and MAPNET Fellow visiting Aston University, UK, in 2014. Ryerson University nominated him for the Top 25 Canadian Immigrants award in 2012 in which was a finalist. His research interests are in signal processing for optical/wireless communication systems. He mainly focuses on physical and MAC layer issues. He has special interest in underground communications systems, of cognitive radio systems, visible light communications and wireless positioning systems. Dr. Syed Mohammed Shamsul Islam completed his PhD with Distinction in Computer Engineering from the University of Western Australia (UWA) in 2011. He received his MSc in Computer Engineering from King Fahd University of Petroleum and Minerals in 2005 and BSc in Electrical and Electronic Engineering from Islamic Institute of Technology in 2000. Before joining ECU as a Lecturer in Computer Science, he worked in different teaching and research positions at UWA and Curtin University (2011-2016). He was promoted to Senior Lecturer in Nov 2020. He has published over 60 research articles and got 17 public media releases, including a TV news story and four live radio interviews. He has received the NHMRC Ideas grant 2019 (AUD 467,980) and nine other external research grants. He is serving the scientific community as an Associate Editor of IEEE Access, a guest editor of Healthcare, a Technical Committee Member of 25 conferences and a regular reviewer of 26 journals. He is a Senior Member of IEEE and Australian Computer Society. His research interest includes Artificial Intelligence, Computer Vision, Pattern Recognition, Big-Data Analysis, Biometrics, Medical Imaging, Internet of Things (IoT), Image Processing and Biomedical Engineering."
9798722692443,"Computer networking is a means by which computers are interconnected to share data and information, resources, and all other network devices such as printers. This book covers the following topics: √Networking Basics - This chapter considers the needs of a real beginner in computer networking and covers the following crucial topics: definition of computer networking, types of computer networks, network topologies, and network architecture.√Network Hardware - A comprehensive discussion on different network components that include routers, hubs, switches, etc.√Network Cabling - This chapter discusses the different cabling standards include coaxial, fiber optic cable and twisted-pair copper cable.√Wireless Networking - Fundamental technicalities of wireless technology that is of great significance to the entire computer networking discipline. This chapter offers important information on how to enjoy the benefits of Wi-Fi technology and how to set up and configure a computer for wireless connectivity.√IP Addressing - This chapter pays great attention to the basics of IP addressing, and the different number systems (binary, decimal, and hexadecimal)√IP Subnetting - Introduction to concepts of subnetting.√Network Protocols - Various protocols of the TCP/IP suite.√Internet Essentials - Different terminologies regarding the Internet, the worldwide web, and history of the Internet.√Virtualization in cloud computing - Concept of virtualization, its relevance in computer networking, and an examination of cloud services.√Network Troubleshooting - This chapter considers troubleshooting as a top management function."
9783030344986,"The goal of this textbook is to provide enough background into the inner workings of the Internet to allow a novice to understand how the various protocols on the Internet work together to accomplish simple tasks, such as a search. By building an Internet with all the various services a person uses every day, one will gain an appreciation not only of the work that goes on unseen, but also of the choices made by designers to make life easier for the user.Each chapter consists of background information on a specific topic or Internet service, and where appropriate a final section on how to configure a Raspberry Pi to provide that service.While mainly meant as an undergraduate textbook for a course on networking or Internet protocols and services, it can also be used by anyone interested in the Internet as a step-by-step guide to building one's own Intranet, or as a reference guide as to how things work on the global Internet  "
9781682857663,0
9780778715603,0
9780132126953," Tanenbaum takes a structured approach to explaining how networks work from the inside out. He starts with an explanation of the physical layer of networking, computer hardware and transmission systems; then works his way up to network applications.  KEY TOPICS:  Tanenbaum's in-depth application coverage includes email; the domain name system; the World Wide Web (both client- and server-side); and multimedia (including voice over IP, Internet radio video on demand, video conferencing, and streaming media. Each chapter follows a consistent approach: Tanenbaum presents key principles, then illustrates them utilizing real-world example networks that run through the entire book-the Internet, and wireless networks, including Wireless LANs, broadband wireless and Bluetooth. The Fifth Edition includes a chapter devoted exclusively to network security. The textbook is supplemented by a Solutions Manual, as well as a Website containing PowerPoint slides, art in various forms, and other tools for instruction, including a protocol simulator whereby readers can develop and test their own network protocols.  MARKET:  For professionals interested in Computer Networking/Introduction to Networking in Computer Science, Electrical Engineering, CIS, MIS, and Business fields."
9781801117838,"55% OFF for Bookstores   Are you looking for a complete guide to better manage a computer network? Here is the book for you Your customers will have everything they are looking for in this book Computer network was created to connect individual computers to form a more powerful computing environment. In short, to increase productivity. From the age of batch processing to the age of computer networks, there is no doubt that this is the case that computer networks are intended to. Now, however, there seems to be a subtle shift in technology. One of the primary purposes of modern computer networks can be said to be to connect people. People around the world can connect, communicate and exchange ideas via the Internet. This, however, was not possible in the early days of computer networks. This human-to-human computer network has gradually brought about great changes in people's daily life, school education, Scientific Research, and company development. The wide areas of applications of wireless networks in modern times are an indication of what the technology will offer in the future. At the moment, wireless networks have simplified a lot of human activities such as communication, business transactions, and other activities. However, the future is brighter than most people can imagine.The modern wireless network will be child's play compared to what the future promises. Let's consider some of the major future development of wireless networks and the potential huge impact they will have on the users.In the wireless industry, there are top wireless carriers such as AT & T, Verizon, Sprint, and T-Mobile. These carriers have significantly contributed to the growth of this sector by churning out high-performance communication technologies and devices that have proved invaluable to the growth and general acceptance of wireless communication. There are different types of wireless communication, such as satellite communication, IR wireless communication, microwave radio, and broadcast radio.This guide will cover the following topics:  Virtual Private Networks (VPNs) Virtualization & Cloud Computing Connection-Oriented and Connectionless-Oriented Managing and Troubleshooting the Network Networking Macs and PCs Unified Communications and Virtualization Future protocols Switching The OSI and TCP/IP models The IP addresses and subnets Patch Panel or RJ45 PlugsPatch Panel Cabinet or Wall mountedScanning the NetworkWardriving and the Wireless Pirates... AND MORE Buy now and make your customers satisfied with the information in this book "
9781484258866,"Apply computer vision and machine learning concepts in developing business and industrial applications ​using a practical, step-by-step approach.  The book comprises four main sections starting with setting up your programming environment and configuring your computer with all the prerequisites to run the code examples. Section 1 covers the basics of image and video processing with code examples of how to manipulate and extract useful information from the images. You will mainly use OpenCV with Python to work with examples in this section.  Section 2 describes machine learning and neural network concepts as applied to computer vision. You will learn different algorithms of the neural network, such as convolutional neural network (CNN), region-based convolutional neural network (R-CNN), and YOLO. In this section, you will also learn how to train, tune, and manage neural networks for computer vision. Section 3 provides step-by-step examples of developing business and industrial applications, such as facial recognition in video surveillance and surface defect detection in manufacturing.  The final section is about training neural networks involving a large number of images on cloud infrastructure, such as Amazon AWS, Google Cloud Platform, and Microsoft Azure. It walks you through the process of training distributed neural networks for computer vision on GPU-based cloud infrastructure. By the time you finish reading Building Computer Vision Applications Using Artificial Neural Networks and working through the code examples, you will have developed some real-world use cases of computer vision with deep learning.  What You Will Learn - Employ image processing, manipulation, and feature extraction techniques - Work with various deep learning algorithms for computer vision  - Train, manage, and tune hyperparameters of CNNs and object detection models, such as R-CNN, SSD, and YOLO - Build neural network models using Keras and TensorFlow - Discover best practices when implementing computer vision applications in business and industry - Train distributed models on GPU-based cloud infrastructure  Who This Book Is For  Data scientists, analysts, and machine learning and software engineering professionals with Python programming knowledge. "
9781706677475,"Are you looking for a complete guide to better manage a computer network? Here is the book for you Computer network was created to connect individual computers to form a more powerful computing environment. In short, to increase productivity. From the age of batch processing to the age of computer networks, there is no doubt that this is the case that computer networks are intended to. Now, however, there seems to be a subtle shift in technology. One of the primary purposes of modern computer networks can be said to be to connect people. People around the world can connect, communicate and exchange ideas via the Internet. This, however, was not possible in the early days of computer networks. This human-to-human computer network has gradually brought about great changes in people's daily life, school education, Scientific Research, and company development. The wide areas of applications of wireless networks in modern times are an indication of what the technology will offer in the future. At the moment, wireless networks have simplified a lot of human activities such as communication, business transactions, and other activities. However, the future is brighter than most people can imagine. The modern wireless network will be child's play compared to what the future promises. Let's consider some of the major future development of wireless networks and the potential huge impact they will have on the users.In the wireless industry, there are top wireless carriers such as AT & T, Verizon, Sprint, and T-Mobile. These carriers have significantly contributed to the growth of this sector by churning out high-performance communication technologies and devices that have proved invaluable to the growth and general acceptance of wireless communication. There are different types of wireless communication, such as satellite communication, IR wireless communication, microwave radio, and broadcast radio.This guide will cover the following topics:  Virtual Private Networks (VPNs) Virtualization & Cloud Computing Connection-Oriented and Connectionless-Oriented Managing and Troubleshooting the Network Networking Macs and PCs Unified Communications and Virtualization Future protocols Switching The OSI and TCP/IP models The IP addresses and subnets Patch Panel or RJ45 PlugsPatch Panel Cabinet or Wall mountedScanning the NetworkWardriving and the Wireless Pirates... AND MORE Buy this book NOW, you will acquire high and important information about computer networking"
9781694956804,This is the third in the series of books for the IB Diploma Computer Science Syllabus. Every point in the the specification for this topic is covered.
