書名,書籍網址,作者,出版社,ISBN,圖片網址
Cross-Platform Development with Qt 6 and Modern C++: Design and build applications with modern graphical user interfaces without worrying about platfo,https://www.eslite.com/product/1001294884395012,Nibedit Dey,Ingram International Inc,9781800204584,0
"C# 9 and .NET 5 - Modern Cross-Platform Development - Fifth Edition: Build intelligent apps, websites, and services with Blazor, ASP.NET Core, and Ent",https://www.eslite.com/product/1001294884040084,Mark J. Price,Ingram International Inc,9781800568105,0
Augmented Reality with Unity AR Foundation: A practical guide to cross-platform AR development with Unity 2020 and later versions,https://www.eslite.com/product/1001294884374702,Jonathan Linowes,Ingram International Inc,9781838982591,0
"Introduction to Video Game Engine Development: Learn to Design, Implement, and Use a Cross-Platform 2D Game Engine",https://www.eslite.com/product/1001294884395228,Victor G. Brusca,Ingram International Inc,9781484270387,0
Pro Windows Subsystem for Linux (Wsl): Powerful Tools and Practices for Cross-Platform Development and Collaboration,https://www.eslite.com/product/1001294883819675,Hayden Barnes,Ingram International Inc,9781484268728,0
"Vue.js 3 By Example: Blueprints to learn Vue web development, full-stack development, and cross-platform development quickly",https://www.eslite.com/product/1001294883897508,John Au-Yeung,Ingram International Inc,9781838826345,0
"SwiftUI Projects: Build six real-world, cross-platform mobile applications using Swift, Xcode 12, and SwiftUI",https://www.eslite.com/product/1001294883861746,Craig Clayton,Ingram International Inc,9781839214660,0
Delphi GUI Programming with FireMonkey: Unleash the full potential of the FMX framework to build exciting cross-platform apps with Embarcadero Delphi,https://www.eslite.com/product/1001294883786753,Andrea Magni,Ingram International Inc,9781788624176,0
IOS Apps and Android Apps development with Thunkable X: Easy cross platform programming,https://www.eslite.com/product/1001294883894651,Karl-Hermann Rollke,Ingram International Inc,9798626321821,0
"Programming Flutter: Native, Cross-Platform Apps the Easy Way",https://www.eslite.com/product/1001294883382433,Carmine Zaccagnino,Ingram International Inc,9781680506952,0
"JavaScript Everywhere: Building Cross-Platform Applications with Graphql, React, React Native, and Electron",https://www.eslite.com/product/1001294883594786,Adam D. Scott,Ingram International Inc,9781492046981,0
The Definitive Guide to Modern Java Clients with Javafx: Cross-Platform Mobile and Cloud Development,https://www.eslite.com/product/1001294884104053,Stephen Chin ; Johan Vos ; James Weaver,Ingram International Inc,9781484249253,0
Beginning App Development with Flutter: Create Cross-Platform Mobile Apps,https://www.eslite.com/product/1001294883562698,Rap Payne,Ingram International Inc,9781484251805,https://s.eslite.dev/upload/ean/9781484251805.jpg
"C# 8.0 and .NET Core 3.0 - Modern Cross-Platform Development: Build applications with C#, .NET Core, Entity Framework Core, ASP.NET Core, and ML.NET u",https://www.eslite.com/product/1001294884039708,Mark J. Price,Ingram International Inc,9781788478120,0
Mastering GUI Programming with Python: Develop impressive cross-platform GUI applications with PyQt,https://www.eslite.com/product/1001294884054327,Alan D. Moore,Ingram International Inc,9781789612905,https://s.eslite.dev/upload/ean/9781789612905.jpg
Building Xamarin.Forms Mobile Apps Using Xaml: Mobile Cross-Platform Xaml and Xamarin.Forms Fundamentals,https://www.eslite.com/product/1001294883173541,Dan Hermes ; Nima Mazloumi,Ingram International Inc,9781484240298,https://s.eslite.dev/upload/ean/9781484240298.jpg
Mastering Qt 5 - Second Edition - Second Edition: Create stunning cross-platform applications using C++ with Qt Widgets and QML with Qt Quick,https://www.eslite.com/product/1001294884065740,Guillaume Lazar,Ingram International Inc,9781788995399,https://s.eslite.dev/upload/ean/9781788995399.jpg
Godot Engine Game Development Projects: Build five cross-platform 2D and 3D games with Godot 3.0,https://www.eslite.com/product/1001294884058192,Chris Bradfield,Ingram International Inc,9781788831505,https://s.eslite.dev/upload/ean/9781788831505.jpg
"Building Microservices with ASP.NET Core: Develop, Test, and Deploy Cross-Platform Services in the Cloud",https://www.eslite.com/product/1001294883785987,Kevin Hoffman,Ingram International Inc,9781491961735,0
"Mobile App Development with Ionic, Revised Edition: Cross-Platform Apps with Ionic, Angular, and Cordova",https://www.eslite.com/product/1001294883533876,Chris Griffith,Ingram International Inc,9781491998120,0
McGraw-Hill Education LSAT 2017: Cross-Platform Prep Course,https://www.eslite.com/product/1002140722505036,Johnson Falconer/ Russ Falconer/ Drew Johnson,McGraw-Hill Education (Singapore),9781259642111,https://s.eslite.dev/Upload/Product/201604/l/635974492967047500.jpg
McGraw-Hill Education SAT 2016 (Cross-Platform Ed.),https://www.eslite.com/product/1002140722505012,Christopher Black/ Mark Anestis,McGraw-Hill Education (Singapore),9781259585890,https://s.eslite.dev/Upload/Product/201604/l/635974406857672500.jpg
"Html5, Css3, Javascript, Jquery Mobile Programming: Beginning to End Cross-Platform App Design",https://www.eslite.com/product/1001294883727136,Stephen Link,Ingram International Inc,9781511583435,0
Xamarin Mobile Application Development: Cross-Platform C# and Xamarin.Forms Fundamentals,https://www.eslite.com/product/1001294883658216,Dan Hermes,Ingram International Inc,9781484202159,0
5 Steps to a 5: AP Microeconomics 2019,https://www.eslite.com/product/1002140722741301,Eric Dodge,McGraw-Hill Education (Singapore),9781260132113,https://s.eslite.dev/Upload/Product/202007/l/637291923939068750.jpg
