ISBN,書籍簡介
9780674975231,0
9780367469610,"Guilherme D. Garcia is Assistant Professor of Linguistics at Ball State University, USA."
9781492086000,"Tell your story and show it with data, using free and easy-to-learn tools on the web. This introductory book teaches you how to design interactive charts and customized maps for your website, beginning with simple drag-and-drop tools such as Google Sheets, Datawrapper, and Tableau Public. You'll also gradually learn how to edit open source code templates like Chart.js, Highcharts, and Leaflet on GitHub.Hands-On Data Visualization takes you step-by-step through tutorials, real-world examples, and online resources. This practical guide is ideal for students, nonprofit organizations, small business owners, local governments, journalists, academics, and anyone who wants to take data out of spreadsheets and turn it into lively interactive stories. No coding experience is required.Build interactive charts and maps and embed them in your websiteUnderstand the principles for designing effective charts and mapsLearn key data visualization concepts to help you choose the right toolsConvert and transform tabular and spatial data to tell your data storyEdit and host Chart.js, Highcharts, and Leaflet map code templates on GitHubLearn how to detect bias in charts and maps produced by others"
9781484264546,"Quickly start programming with Python 3 for data visualization with this step-by-step, detailed guide. This book's programming-friendly approach using libraries such as leather, NumPy, Matplotlib, and Pandas will serve as a template for business and scientific visualizations. You'll begin by installing Python 3, see how to work in Jupyter notebook, and explore Leather, Python's popular data visualization charting library. You'll also be introduced to the scientific Python 3 ecosystem and work with the basics of NumPy, an integral part of that ecosystem. Later chapters are focused on various NumPy routines along with getting started with Scientific Data visualization using matplotlib. You'll review the visualization of 3D data using graphs and networks and finish up by looking at data visualization with Pandas, including the visualization of COVID-19 data sets. The code examples are tested on popular platforms like Ubuntu, Windows, and Raspberry Pi OS. With Practical Python Data Visualization you'll master the core concepts of data visualization with Pandas and the Jupyter notebook interface.What You'll LearnReview practical aspects of Python Data Visualization with programming-friendly abstractions Install Python 3 and Jupyter on multiple platforms including Windows, Raspberry Pi, and Ubuntu Visualize COVID-19 data sets with PandasWho This Book Is ForData Science enthusiasts and professionals, Business analysts and managers, software engineers, data engineers. "
9781951684389,0
9781683925958,0
9789463722902,"Martin Engebretsen is Professor of Language and Communication at University of Agder and director of the INDVIL project (indvil.org), which provides the inspiration for this book. Helen Kennedy is Professor of Digital Society at the University of Sheffield. Her research traverses digital landscapes. She is especially interested in the datafication of everyday life."
9781800200944,"Create your own clear and impactful interactive data visualizations with the powerful data visualization libraries of PythonKey Features  Study and use Python interactive libraries, such as Bokeh and Plotly Explore different visualization principles and understand when to use which one Create interactive data visualizations with real-world data  Book Description With so much data being continuously generated, developers, who can present data as impactful and interesting visualizations, are always in demand. Interactive Data Visualization with Python sharpens your data exploration skills, tells you everything there is to know about interactive data visualization in Python. You'll begin by learning how to draw various plots with Matplotlib and Seaborn, the non-interactive data visualization libraries. You'll study different types of visualizations, compare them, and find out how to select a particular type of visualization to suit your requirements. After you get a hang of the various non-interactive visualization libraries, you'll learn the principles of intuitive and persuasive data visualization, and use Bokeh and Plotly to transform your visuals into strong stories. You'll also gain insight into how interactive data and model visualization can optimize the performance of a regression model. By the end of the course, you'll have a new skill set that'll make you the go-to person for transforming data visualizations into engaging and interesting stories. What you will learn  Explore and apply different interactive data visualization techniques Manipulate plotting parameters and styles to create appealing plots Customize data visualization for different audiences Design data visualizations using interactive libraries Use Matplotlib, Seaborn, Altair and Bokeh for drawing appealing plots Customize data visualization for different scenarios  Who this book is for This book intends to provide a solid training ground for Python developers, data analysts and data scientists to enable them to present critical data insights in a way that best captures the user's attention and imagination. It serves as a simple step-by-step guide that demonstrates the different types and components of visualization, the principles, and techniques of effective interactivity, as well as common pitfalls to avoid when creating interactive data visualizations. Students should have an intermediate level of competency in writing Python code, as well as some familiarity with using libraries such as pandas."
9781681737256,0
9781838981488,0
