書名,書籍網址,作者,出版社,ISBN,圖片網址
DevOps三十六計,https://www.eslite.com/product/1001113692747968,DevOps時代社區,碁峰資訊股份有限公司,9789865020330,https://s.eslite.dev/Upload/Product/201903/l/636873714551238983.jpg
DevOps Handbook: 打造世界級技術組織的實踐指南 (中文版),https://www.eslite.com/product/1001113692755897,Gene Kim/ Patrick Debois/ John Willis/ Jez Humble,碁峰資訊股份有限公司,9789865020941,https://s.eslite.dev/Upload/Product/201911/l/637100160668110000.jpg
Effective DevOps: 使用AWS快速入門,https://www.eslite.com/product/1001120322744181,Nathaniel Felsen,博碩文化股份有限公司,9789864343744,https://s.eslite.dev/Upload/Product/201902/l/636858166530915000.jpg
Effective DevOps (中文版),https://www.eslite.com/product/1001133102674747,Jennifer Davis/ Ryn Daniels,美商歐萊禮股份有限公司台灣分公司,9789864767793,https://s.eslite.dev/Upload/Product/201805/l/636613652595007500.jpg
Python for DevOps: 學習精準有效的自動化,https://www.eslite.com/product/1001133102681929355006,Grig Gheorghiu/ Noah Gift/ Kennedy Behrman/ Alfredo Deza,美商歐萊禮股份有限公司台灣分公司,9789865026073,https://s.eslite.dev/upload/product/l/2681929355006/20201014034110278906.jpg
Python X Network一拍即合: 自動化、程式化和DevOps的一站式解決方案,https://www.eslite.com/product/1001120322861199,Eric Chou (周君逸),博碩文化股份有限公司,9789864345021,https://s.eslite.dev/upload/product/l/2681902599007/20200724033250898882.jpg
Android TDD測試驅動開發: 從UnitTest、TDD到DevOps實踐,https://www.eslite.com/product/1001120322849566,陳瑞忠,博碩文化股份有限公司,9789864344901,https://s.eslite.dev/Upload/Product/202006/l/637272302647586250.jpg
DevOps+Scrum+CI: 敏捷開發大師歷鍊實戰劇本,https://www.eslite.com/product/1001313432831635,王立傑/ 許舟平/ 姚冬,深智數位股份有限公司,9789865501235,https://s.eslite.dev/Upload/Product/202003/l/637202036236288750.jpg
持續交付2.0: 實務導向的DevOps,https://www.eslite.com/product/1001120322805450,喬梁,博碩文化股份有限公司,9789864344390,https://s.eslite.dev/Upload/Product/201911/l/637084531462966250.jpg
Practical Network Automation中文版: 使用Python、Powershell、Ansible實踐網路自動化,https://www.eslite.com/product/1001113692747973,Abhishek Ratan,碁峰資訊股份有限公司,9789865020484,https://s.eslite.dev/Upload/Product/201903/l/636873714637354773.jpg
精實企業: 高績效組織如何達成創新規模化,https://www.eslite.com/product/1001133102561159,Jez Humble/ Joanne Molesky/ Barry O'Reilly,美商歐萊禮股份有限公司台灣分公司,9789864762682,https://s.eslite.dev/upload/product/l/2681407824000/ec1235246.jpg
