書名,書籍網址,作者,出版社,ISBN,圖片網址
Digital Image Compression Using Discrete Wavelet Transform and Discrete Cosine Transform: For BE/B.TECH/BCA/MCA/ME/M.TECH/Diploma/B.Sc/M.Sc/BBA/MBA/Co,https://www.eslite.com/product/1001294883947387,Vikraman Narayanamoorthi,Ingram International Inc,9798746149558,0
"Digital Signal, Image and Video Processing for Emerging Multimedia Technology",https://www.eslite.com/product/1001294883847722,,Ingram International Inc,9783039438570,0
Handbook of Digital Image Synthesis: Scientific Foundations of Rendering,https://www.eslite.com/product/1001294883599204,Vincent Pegoraro,Ingram International Inc,9780367658199,0
Digital Image Systems: Photography and New Technologies at the Düsseldorf School,https://www.eslite.com/product/1001294883503717,Claus Gunti,Ingram International Inc,9783837639025,0
Digital Image Processing,https://www.eslite.com/product/1001294883037382,Rafael Gonzalez ; Richard Woods,Ingram International Inc,9780133356724,https://s.eslite.dev/upload/ean/9780133356724.jpg
Digital Image Processing Algorithms and Applications,https://www.eslite.com/product/1001294883818960,Ioannis Pitas,Ingram International Inc,9780471377399,0
A Computational Introduction to Digital Image Processing,https://www.eslite.com/product/1001294884319422,Alasdair McAndrew,Ingram International Inc,9780367783334,0
"Image Processing Masterclass with Python: 50+ Solutions and Techniques Solving Complex Digital Image Processing Challenges Using Numpy, Scipy, Pytorch",https://www.eslite.com/product/1001294884395218,Sandipan Dey,Ingram International Inc,9789389898644,0
Image Brokers: Visualizing World News in the Age of Digital Circulation,https://www.eslite.com/product/1001294883085432,Zeynep Devrim Gursel,Ingram International Inc,9780520286375,0
"The Versatile Image: Photography, Digital Technologies and the Internet",https://www.eslite.com/product/1001294883692278,,Ingram International Inc,9789058679758,0
Moving Image Technology: From Zoetrope to Digital,https://www.eslite.com/product/1001294884286304,Leo Enticknap,Ingram International Inc,9781904764069,0
Practical Glimpse: Learn to Edit and Create Digital Photos and Art with This Powerful Open Source Image Editor,https://www.eslite.com/product/1001294883731180,Phillip Whitt,Ingram International Inc,9781484263266,0
"Graphic Design School: A Foundation Course for Graphic Designers Working in Print, Moving Image and Digital Media (7 Ed.)",https://www.eslite.com/product/1002147642826098,David Dabner/ Sandra Stewart/ Abbie Vickress,THAMES & HUDSON LTD.,9780500295595,https://s.eslite.dev/upload/product/l/2681855767003/20200212005031227003.jpg
Selfies: Searching for the Image of God in a Digital Age,https://www.eslite.com/product/1001294883744908,Craig Detweiler,Ingram International Inc,9781587433986,0
"Architectural Photography: Composition, Capture, and Digital Image Processing",https://www.eslite.com/product/1001294884016532,Adrian Schulz,Ingram International Inc,9781937538767,0
The Neuro-Image: A Deleuzian Film-Philosophy of Digital Screen Culture,https://www.eslite.com/product/1002141552237034,Patricia Pisters,STANFORD UNIVERSITY PRESS,9780804781367,https://s.eslite.dev/Upload/Product/201305/l/635053328418102445.jpg
Beginning Digital Image Processing,https://www.eslite.com/product/1002150932073315,"Montabone, Sebastian",Baker & Taylor,9781430228417,0
A Master Class in Digital Image-making,https://www.eslite.com/product/1002157411806214,"Withrow, Steven/ Harris, Jack",ROTOVISION SA,9782888930112,0
A Comprehensive Guide to Digital Image Output,https://www.eslite.com/product/1002147481452586,"EVANS, DUNCAN",AVA PUBLISHING,9782884790758,0
Digital Image Processing Using Matlab,https://www.eslite.com/product/1002150171563930,"Gonzalez, Rafael C./ Woods, Richard E./ Eddins, Steven L.",PRENTICE HALL,9780130085191,0
Contemporary Newspaper Design: Shaping the News in the Digital Age Typography and Image on Modern Newsprint,https://www.eslite.com/product/1002147642071212,John D. Berry/ Roger Black/ Ed.,THAMES & HUDSON LTD.,9780972424035,0
Digital Illustration,https://www.eslite.com/product/1002157411488219,"Zeegen, Lawrence",ROTOVISION SA,9782880467975,0
Complete Digital Illustration,https://www.eslite.com/product/1002157412087578,Lawrence Zeegen,ROTOVISION SA,9782888930969,0
"500 Digital Illustration Hints, Tips, and Techniques",https://www.eslite.com/product/1002157412086865,Luke Herriott/ Robert Brandt,ROTOVISION SA,9782888930860,0
Secrets of Digital Illustration,https://www.eslite.com/product/1002157411806216,"Zeegen, Lawrence",ROTOVISION SA,9782940361564,0
數位影像處理,https://www.eslite.com/product/1001115292838275,Rafael C. Gonzalez/ Richard E. Woods/ 原著,高立圖書有限公司,9789863782155,https://s.eslite.dev/upload/product/l/2681870178006/20200410195730477074.jpg
數位影像處理,https://www.eslite.com/product/1001115292776241,Alasdair McAndrew/ 原著,高立圖書有限公司,9789863781455,https://s.eslite.dev/Upload/Product/201908/l/637019741080361250.jpg
數位影像處理,https://www.eslite.com/product/1001115291991254,"McAndrew, Alasdair",高立圖書有限公司,9789866637964,0
攝影師之心: 數位攝影的意圖、風格和創造性 (10週年數位修復珍藏版),https://www.eslite.com/product/1001236652852824,麥可．弗里曼,大家,9789579542784,https://s.eslite.dev/upload/product/l/2681891192005/20200618032856893838.jpg
