ISBN,書籍簡介
9798746149558,"The fast development of multimedia computing has led to the demand of using digital images. The manipulation, storage and transmission of images in their raw form is very expensive, and significantly slows the transmission and make storage costly. Efficient image compression solutions are becoming critical with the recent growth of data intensive, multimedia based applications. Many techniques are now available and much effort is being expended in determining the optimum compression transforms. Compression is done using Cosine and Wavelet Transforms. Recently compression techniques using Wavelet Transform (WT) have received great attention, because of their promising compression ratio, ability to analyze the temporal and spectral properties of image signals and flexibility in representing non stationary signals like speech and images by taking into account human perception system. In this paper we describe the application of Discrete Wavelet Transform (DWT) for analysis, processing and compression of multimedia signals like speech and image. More specifically we explore the major issues concerning the wavelet based image compression which include choosing optimal wavelet, decomposition levels and thresholding criteria. The simulation results prove the effectiveness of DWT based techniques in attaining an efficient compression ratio of 2.67 for images, achieving higher signal to noise ratio (SNR), better peak signal to noise ratio (PSNR), while the retained signal energy is 99.9885% and the resulting signals are generally much smoother. A comparison between Discrete Cosine Transforms (DCT) and discrete wavelet transform is done finally."
9783039438570,"This book presents collective works published in the recent Special Issue (SI) entitled "" Digital Signal, Image and Video Processing for Emerging Multimedia Technology"". These works address the emerging technology in signal processing and its new aspects, as well as the related applications. Recent developments in image/video-based deep learning technology have enabled new services in the field of multimedia and recognition technology. The applications vary and range from digital signal processing to image, video and multimedia signal processing, also including object classification, learning mechanism design and data security. Recent advances in numerical, theoretical and experimental methodologies are presented within the scope of the current book, along with the finding of new learning methods and new methodological developments and their limitations. This book brings together a collection of inter-/multidisciplinary works applied to many classification and data security applications in a coherent manner."
9780367658199,"The Handbook of Digital Image Synthesis is the most up-to-date reference guide in the rapidly developing field of computer graphics. A wide range of topics, such as, applied mathematics, data structures, and optical perception and imaging help to provide a well-rounded view of the necessary formulas for computer rendering. In addition to this diverse approach, the presentation of the material is substantiated by numerous figures and computer-generated images. From basic principles to advanced theories, this book, provides the reader with a strong foundation of computer formulas and rendering through a step-by-step process.. Key Features: Provides unified coverage of the broad range of fundamental topics in renderingGives in-depth treatment of the basic and advanced concepts in each topicPresents a step-by-step derivation of the theoretical results needed for implementationIllustrates the concepts with numerous figures and computer-generated imagesIllustrates the core algorithms using platform-independent pseudo-code"
9783837639025,"How have digital technologies affected the truth claims of photography? What has been the artistic response to the technological and societal transformations the digital revolution has brought about? Claus Gunti explores the widespread implications of the digital in the work of renowned photographers of the D sseldorf School, Thomas Ruff, Andreas Gursky, and J rg Sasse, stretching from ties to conceptual art to the development of a globalized visual culture. The study provides a model for understanding the digital revolution in photography and shows that it ought to be understood beyond a strictly technological perspective."
9780133356724,"Introduce your students to image processing with the industry's most prized text  For 40 years,  Image Processing has been the foundational text for the study of digital image processing. The book is suited for students at the college senior and first-year graduate level with prior background in mathematical analysis, vectors, matrices, probability, statistics, linear systems, and computer programming. As in all earlier editions, the focus of this edition of the book is on fundamentals.   The 4th Edition, which celebrates the book's 40th anniversary, is based on an extensive survey of faculty, students, and independent readers in 150 institutions from 30 countries. Their feedback led to expanded or new coverage of topics such as deep learning and deep neural networks, including convolutional neural nets, the scale-invariant feature transform (SIFT), maximally-stable extremal regions (MSERs), graph cuts, k-means clustering and superpixels, active contours (snakes and level sets), and exact histogram matching. Major improvements were made in reorganizing the material on image transforms into a more cohesive presentation, and in the discussion of spatial kernels and spatial filtering. Major revisions and additions were made to examples and homework exercises throughout the book. For the first time, we added MATLAB projects at the end of every chapter, and compiled support packages for you and your teacher containing, solutions, image databases, and sample code.    The support materials for this title can be found at www.ImageProcessingPlace.com "
9780471377399,"I. PITAS, PhD, is a professor in the Department of Informatics at the Aristotle University of Thessaloniki, Greece."
9780367783334,"Highly Regarded, Accessible Approach to Image Processing Using Open-Source and Commercial SoftwareA Computational Introduction to Digital Image Processing, Second Edition explores the nature and use of digital images and shows how they can be obtained, stored, and displayed. Taking a strictly elementary perspective, the book only covers topics that involve simple mathematics yet offer a very broad and deep introduction to the discipline.New to the Second EditionThis second edition provides users with three different computing options. Along with MATLAB(R), this edition now includes GNU Octave and Python. Users can choose the best software to fit their needs or migrate from one system to another. Programs are written as modular as possible, allowing for greater flexibility, code reuse, and conciseness. This edition also contains new images, redrawn diagrams, and new discussions of edge-preserving blurring filters, ISODATA thresholding, Radon transform, corner detection, retinex algorithm, LZW compression, and other topics.Principles, Practices, and ProgrammingBased on the author's successful image processing courses, this bestseller is suitable for classroom use or self-study. In a straightforward way, the text illustrates how to implement imaging techniques in MATLAB, GNU Octave, and Python. It includes numerous examples and exercises to give students hands-on practice with the material."
9789389898644,0
9780520286375,"How does a photograph become a news image? An ethnography of the labor behind international news images,  Image Brokers ruptures the self-evidence of the journalistic photograph by revealing the many factors determining how news audiences are shown people, events, and the world. News images, Zeynep Gürsel argues, function as formative fictions - fictional insofar as these images are constructed and culturally mediated, and formative because their public presence and circulation have real consequences in the world.  Set against the backdrop of the War on Terror and based on fieldwork conducted at photojournalism's centers of power, Image Brokers offers an intimate look at an industry in crisis. At the turn of the 21st century, image brokers--the people who manage the distribution and restriction of news images--found the core technologies of their craft, the status of images, and their own professional standing all changing rapidly with the digitalization of the infrastructures of representation. From corporate sales meetings to wire service desks, newsrooms to photography workshops and festivals, Image Brokers investigates how news images are produced and how worldviews are reproduced in the process."
9789058679758,"Alexandra Moschovi is Senior Lecturer in Photographic Theory and Programme Leader of MA Photography in the Northern Centre of Photography, University of Sunderland."
