書名,書籍網址,作者,出版社,ISBN,圖片網址
Django Reinhardt (2CD),https://www.eslite.com/product/1004190461631922,"REINHARDT, DJANGO",Membran International GmbH,4011222220097,0
Swing from Paris: Django Reinhardt (2CD),https://www.eslite.com/product/1004156371564240,"REINHARDT, DJANGO",HARMONIA MUNDI SA,0794881776023,0
Best of Django Reinhardt,https://www.eslite.com/product/1004128571162897,"REINHARDT, DJANGO",金牌大風音樂文化股份有限公司,0724383713820,0
GYPSY JAZZ SCHOOL-DJANGO'S LEGACY (2CD),https://www.eslite.com/product/1004114031121893,"REINHARDT, DJANGO",上揚國際股份有限公司,3464630018458,0
GUITAR PLAYER: DJANGO REINHARDT,https://www.eslite.com/product/1004116901125871,"REINHARDT, DJANGO",瑋秦出版社有限公司,8712155071508,0
Decoupled Django: Understand and Build Decoupled Django Architectures for JavaScript Front-Ends,https://www.eslite.com/product/1001294884325328,Valentino Gagliardi,Ingram International Inc,9781484271438,0
Django the Greyhound: Gets Adopted!,https://www.eslite.com/product/1001294883851357,Samantha Wulff,Ingram International Inc,9781087942148,0
Web Development with Django,https://www.eslite.com/product/1001294883963492,Ben Shaw ; Saurabh Badhwar ; Andrew Bird,Ingram International Inc,9781839212505,0
"Django Simplified for Beginners - Simple, Concise & Easy guide to building Web Application using HTML, CSS, PYTHON & DJANGO WEB FRAMEWORK",https://www.eslite.com/product/1001294883918912,S. Basu,Ingram International Inc,9798572875645,0
Actionable Django: A Django Course for Python Developers,https://www.eslite.com/product/1001294883461193,,Ingram International Inc,9781951959043,0
Django for Professionals: Production websites with Python & Django,https://www.eslite.com/product/1001294883968303,William S. Vincent,Ingram International Inc,9781735467238,0
Django for Beginners: Build Websites with Python and Django,https://www.eslite.com/product/1001294883966472,William S. Vincent,Ingram International Inc,9781735467207,0
Django for APIs: Build web APIs with Python and Django,https://www.eslite.com/product/1001294883966480,William S. Vincent,Ingram International Inc,9781735467221,0
Mastering Django,https://www.eslite.com/product/1001294884000821,Nigel George,Ingram International Inc,9780648884415,https://s.eslite.dev/upload/ean/9780648884415.jpg
Build a Website With Django 3,https://www.eslite.com/product/1001294883120758,Nigel George,Ingram International Inc,9780648884408,https://s.eslite.dev/upload/ean/9780648884408.jpg
Django 3 By Example - Third Edition,https://www.eslite.com/product/1001294884081853,Antonio Melé,Ingram International Inc,9781838981952,https://s.eslite.dev/upload/ean/9781838981952.jpg
Django 3 Web Development Cookbook: Fourth Edition,https://www.eslite.com/product/1001294884083838,Aidas Bendoraitis ; Jake Kronika,Ingram International Inc,9781838987428,0
The Temple of Django Database Performance,https://www.eslite.com/product/1001294883991059,Andrew Michael Brookins,Ingram International Inc,9781734303704,https://s.eslite.dev/upload/ean/9781734303704.jpg
Django Design Patterns and Best Practices - Second Edition: Industry-standard web development techniques and solutions using Python,https://www.eslite.com/product/1001294884058181,Arun Ravindran,Ingram International Inc,9781788831345,https://s.eslite.dev/upload/ean/9781788831345.jpg
Beginning Django: Web Application Development and Deployment with Python,https://www.eslite.com/product/1001294883174907,Daniel Rubio,Ingram International Inc,9781484227862,0
Django / Zorro,https://www.eslite.com/product/1001294883331767,,Ingram International Inc,9781606907597,0
"Lightweight Django: Using Rest, Websockets, and Backbone",https://www.eslite.com/product/1001294883923782,Julia Elman ; Mark Lavin,Ingram International Inc,9781491945940,0
Django: The World's Greatest Jazz Guitarist,https://www.eslite.com/product/1001294884279033,Bonnie Christensen,Ingram International Inc,9781596436961,0
The Music of Django Reinhardt,https://www.eslite.com/product/1001294884028426,Benjamin Givan,Ingram International Inc,9780472034086,https://s.eslite.dev/upload/ean/9780472034086.jpg
Django Reinhardt and the Illustrated History of Gypsy Jazz,https://www.eslite.com/product/1001294883505040,Alain Antonietto ; Michael Dregni,Ingram International Inc,9781933108100,0
Django: The Life and Music of a Gypsy Legend,https://www.eslite.com/product/1001294883594299,Michael Dregni,Ingram International Inc,9780195304480,https://s.eslite.dev/upload/ean/9780195304480.jpg
Django Reinhardt,https://www.eslite.com/product/1001294883066153,Charles Delaunay,Ingram International Inc,9780306801716,https://s.eslite.dev/upload/ean/9780306801716.jpg
Django 3從平凡到超凡: Python架站實作演練,https://www.eslite.com/product/1001122982837222,唐元亮,全華圖書股份有限公司,9789865033477,https://s.eslite.dev/Upload/Product/202004/l/637224524296283750.jpg
科班出身的MVC網頁開發: 使用Python+Django (熱銷版),https://www.eslite.com/product/1001239292820399,王友釗/ 黃靜,佳魁資訊股份有限公司,9789863797685,https://s.eslite.dev/Upload/Product/202001/l/637141562512430000.jpg
Python網頁程式交易APP實作: Web+MySQL+Django (第2版),https://www.eslite.com/product/1001120322697661,林萍珍,博碩文化股份有限公司,9789864343171,https://s.eslite.dev/Upload/Product/201808/l/636687957631330000.jpg
Python新手使用Django架站技術實作: 活用Django 2.0 Web Framework建構動態網站的16堂課 (第2版),https://www.eslite.com/product/1001120322689209,何敏煌/ 林亮昀,博碩文化股份有限公司,9789864343102,https://s.eslite.dev/Upload/Product/201807/l/636663764787536250.jpg
Python架站特訓班: Django最強實戰,https://www.eslite.com/product/1001113692620420,鄧文淵/ 文淵閣工作室,碁峰資訊股份有限公司,9789864765690,https://s.eslite.dev/Upload/Product/201709/l/636398606867138750.jpg
Django,https://www.eslite.com/product/1004260712219384,MODERN JAZZ QUARTET,Scorpio Records,,https://s.eslite.dev/Upload/Product/201304/l/635005147792501250.JPG
Return of Django (180g Vinyl Vinyl),https://www.eslite.com/product/1004260712219281,The Upsetters,Scorpio Records,5036436082124,https://s.eslite.dev/Upload/Product/201303/l/634993848548442500.jpg
Python架站特訓班: Django 3最強實戰 (第2版/附影音/範例),https://www.eslite.com/product/1001113692682042105004,鄧文淵/ 文淵閣工作室,碁峰資訊股份有限公司,9789865028862,https://s.eslite.dev/upload/product/l/2682042105004/20210708071336871130.jpg
Building Versatile Mobile Apps with Python and Rest: Restful Web Services with Django and React,https://www.eslite.com/product/1001294883249927,Art Yudin,Ingram International Inc,9781484263327,0
Foundation Dynamic Web Pages with Python: Create Dynamic Web Pages with Django and Flask,https://www.eslite.com/product/1001294883250482,David Ashley,Ingram International Inc,9781484263389,https://s.eslite.dev/upload/ean/9781484263389.jpg
"Hands-On Python Deep Learning for the Web: Integrating neural network architectures to build smart web apps with Flask, Django, and TensorFlow",https://www.eslite.com/product/1001294884299161,Anubhav Singh ; Sayak Paul,Ingram International Inc,9781789956085,0
