ISBN,書籍簡介
4011222220097,"■曲目
CD 1
01 Tiger Rag 
02 Dinah 
03 Lady Be Good 
04 Confessin' 
05 Blue Drag 
06 Avalon 
07 I'Ve Found A New Baby 
08 St. Louis Blues 
09 Cloud Castles 
10 I Can't Give You Anything But Love 
11 After You'Ve Gone 
12 Limehouse Blues 
13 Shine 
14 Exactly Like You 
15 Charleston 
16 You'Re Driving Me Carzy 
17 Ain't Misbehavin' 
18 Rose Room 
19 Body & Soul 
20 Runnin' Wild 
21 Chicago 
22 In A Sentimental Mood 
23 The Sheik Of Araby 
24 It Had To Be You 
25 Sweet Sue, Just You 
26 Honeysuckle Rose 
CD 2
01 Sweet Georgia Brown 
02 Daphne 
03 Stompin' At Decca 
04 St. Louis Blues 
05 Minor Swing 
06 Viper's Dream 
07 Swinging With Django 
08 Paramount Stomp 
09 Tea For Two 
10 Christmas Swing 
11 Body & Soul 
12 Lover Come Back To Me 
13 My Melancholy Baby 
14 I Got Rhythm 
15 Them There Eyes 
16 The Flat Foot Floogie 
17 Lambeth Walk 
18 Hungaria 
19 Swing 39 
20 Japanese Sandman 
21 I Wonder Where My Baby Is Tonight? 
22 My Melancholy Baby 
23 Time On My Hands 
24 Twelfth Year 
25 My Melancholy Baby 
26 The Sheik Of Araby "
0794881776023,0
0724383713820,0
3464630018458,0
8712155071508,0
9781484271438,"Apply decoupling patterns, properly test a decoupled project, and integrate a Django API with React, and Vue.js. This book covers decoupled architectures in Django, with Django REST framework and GraphQL. With practical and simple examples, you'll see firsthand how, why, and when to decouple a Django project.  Starting with an introduction to decoupled architectures versus monoliths, with a strong focus on the modern JavaScript scene, you'll implement REST and GraphQL APIs with Django, add authentication to a decoupled project, and test the backend. You'll then review functional testing for JavaScript frontends with Cypress. You will also learn how to integrate GraphQL in a Django project, with a focus on the benefits and drawbacks of this new query language. By the end of this book, you will be able to discern and apply all the different decoupling strategies to any Django project, regardless of its size.What You'll Learn Choose the right approach for decoupling a Django projectBuild REST APIs with Django and a Django REST frameworkIntegrate Vue.js and GraphQL in a Django projectConsume a Django REST API with Next.jsTest decoupled Django projects Who This Book Is ForSoftware developers with basic Django skills keen to learn decoupled architectures with Django. JavaScript developers interested in learning full-stack development and decoupled architectures with Django."
9781087942148,"An informative, heartwarming and whimsical account of one racing greyhound's experience with leaving the track and entering the adoption process to find a family of his own. On the surface, ""Django the Greyhound: Gets Adopted "" tells the story of one dog's experience growing up in the world of greyhound racing. We meet Django, who was born into this world, learn about how he grew up, and see what comes next for him after his last race.Beyond the look into the world of racing greyhounds, readers will see how the main character navigates the unknowns and anxieties of the adoption process and the many transitions that await him.This is a book for families of adoption, foster families, anybody who has adopted or wants to adopt a dog and animal lovers in general. Django teaches us that changes in life are inevitable, but what comes next can be even better. Perhaps most importantly, this hound shows us that no matter what life throws at us, there are good people out there to help us through it all."
9781839212505,0
9798572875645,0
9781951959043,0
