ISBN,書籍簡介
9789864344543,高手不藏私的萬用工具箱，讀者只需稍加修改程式碼，即可應用全書所有實戰案例！ 本書特色 本書由多位微軟MVP頂尖專家所領軍，其團隊擅長大數據商業智慧（BI）、企業級大型資料庫、Excel數據分析及建模經驗、實現高效與自動化辦公等多項領域，主要任務是針對稍有Excel VBA程式設計基礎的讀者，提供大量Excel VBA的經典用法及程式碼，透過詳盡的講解，加速理解Excel VBA的各項技術特點，進而達到現學現用的效果。 讀完本書，您將學會： ♦ Excel VBA基本知識和方法，有效提升工作效率與自動化水準 ♦ 獨特的程式設計，展現及發揮Excel VBA的精髓 ♦ 提升Excel資料處理與分析的實戰技巧 ♦ 打破Excel常規局限，實現難以實作的功能 ♦ 擴充Excel內建功能，補充功能豐富的VBA技術 好評推薦 「本書全面展現 Excel VBA 的各項應用，從整體配置到知識架構，完全遵循使用者的學習規律，其中可學習到操作 Excel 物件、檔案系統操作、互動設計、資料庫應用、進階程式設計，以及程式碼最佳化等系統性知識，有助於掌握 Excel VBA 的各種面向與精髓。」 ─────Excel Home雲課堂學員 向緒志 「如果急需學習 Excel VBA ，卻又茫然不知如何入手時，不妨拿起本書。它內容厚實，條理清晰，圖文並茂，講解深入淺出，沒有程式設計基礎的新手也可以快速上手操作。書中貼近實戰的案例，只要稍加改動程式碼，即可應用於工作中，可說是不可多得的工具箱！」─────Excel Home雲課堂學員 任宣秈
9789864344536,高手不藏私的萬用工具箱，讀者只需稍加修改程式碼，即可應用全書所有實戰案例！ 本書特色 本書由多位微軟MVP頂尖專家所領軍，其團隊擅長大數據商業智慧（BI）、企業級大型資料庫、Excel數據分析及建模經驗、實現高效與自動化辦公等多項領域，主要任務是針對稍有Excel VBA程式設計基礎的讀者，提供大量Excel VBA的經典用法及程式碼，透過詳盡的講解，加速理解Excel VBA的各項技術特點，進而達到現學現用的效果。 讀完本書，您將學會： ♦ Excel VBA基本知識和方法，有效提升工作效率與自動化水準 ♦ 獨特的程式設計，展現及發揮Excel VBA的精髓 ♦ 提升Excel資料處理與分析的實戰技巧 ♦ 打破Excel常規局限，實現難以實作的功能 ♦ 擴充Excel內建功能，補充功能豐富的VBA技術 好評推薦 「本書全面展現 Excel VBA 的各項應用，從整體配置到知識架構，完全遵循使用者的學習規律，其中可學習到操作 Excel 物件、檔案系統操作、互動設計、資料庫應用、進階程式設計，以及程式碼最佳化等系統性知識，有助於掌握 Excel VBA 的各種面向與精髓。」 ─────Excel Home雲課堂學員 向緒志 「如果急需學習 Excel VBA ，卻又茫然不知如何入手時，不妨拿起本書。它內容厚實，條理清晰，圖文並茂，講解深入淺出，沒有程式設計基礎的新手也可以快速上手操作。書中貼近實戰的案例，只要稍加改動程式碼，即可應用於工作中，可說是不可多得的工具箱！」─────Excel Home雲課堂學員 任宣秈
9789864341597,Excel專家聯手親授，立刻幫你晉身工作效率達人！● 內容豐富、範例精彩，將Excel VBA的精髓徹底發揮到極致● 透過系統化的解說，讓初學者快速掌握VBA程式設計的基礎知識● 吸收書中的學習經驗、解決方案和思路，提高進階者的應用水準● 由多位微軟全球最有價值專家所共同執筆，呈現VBA功能的完整性● 提供全書完整的應用範例，可以做為實際操作時最佳的範例佐證全書精選了7大篇、251個關鍵技巧，以深入淺出的全面剖析，力求讓更多讀者全面掌握Excel VBA的活用技法。內容除了有針對初學者所編撰的基礎知識、常用物件應用技巧、函數和增益集的應用技巧等篇章外，另外對於互動式設計、ADO的應用、操控其他的Office應用程式等進階技巧、偵錯和錯誤處理、程式碼最佳化技巧等也都有完整的介紹。
9789572049198,"【VBA是什麼？看起來會不會很難？】跟著範例一步一步學VBA，不會寫程式也能輕鬆學會 【用Excel只會笨笨的複製貼上？】高效率工作加速術，讓VBA幫你處理重複與繁雜工作 【煩！做不出上司要求的表單功能？】達人親授，利用參數指令讓你的Excel表單功能更強大 【輕鬆做出老闆最愛，客戶驚嘆的報表】財會、人資、業務必學，提昇Excel功力的不二法門！ 是不是常常在工作上需要用到Excel工作表來達成任務，卻永遠只會用來畫表格呢？聽說Excel有很多好用的功能又怕不會寫程式，教學太難看不懂嗎？別擔心，本書用循序漸進的方式教你如何學好VBA！即使你一點程式語言的基礎都沒有，依然能夠輕鬆上手！ VBA是「Visual Basic for Applications」的簡稱，可以幫你快速搞定重複繁雜的工作與強化Excel的功能，不過很多人一看到原始碼就頭大，因此本書先從錄下Excel的操作開始，再告訴你如何修改VBA程式、常用的變數與常數、運算子等，讓你從基礎打好，往後就可以依照需求，快速寫好適用各種情況的工作表單喔！ 【總覺得Excel表單功能很強大卻不知道從何學起嗎？】VBA能幫你解決更多工作上的瑣事及重複工作，而且不必一定得有程式設計的底子才能學，讓我們一起從頭開始快速掌握Excel的精髓。 【每個月總是被重複枯燥的工作內容所苦惱嗎？】VBA可以將你經常重複執行的工作內容轉換為應用程式，只要學好VBA，往後遇到相同工作時一鍵就能幫你辦到好！ 【經常被主管嫌棄表單的介面一成不變嗎？】我們會教你如何替VBA表單設計打造專屬介面，讓使用者更加方便執行，快來製作讓主管驚豔的多功能強大表單吧！"
9789861994710,"【VBA是什麼？看起來會不會很難？】
跟著範例一步一步學VBA，不會寫程式也能輕鬆學會

【用Excel只會笨笨的複製貼上？】
高效率工作加速術，讓VBA幫你處理重複與繁雜工作

【煩！做不出上司要求的表單功能？】
達人親授，利用參數指令讓你的Excel表單功能更強大

【輕鬆做出老闆最愛，客戶驚嘆的報表】
財會、人資、業務必學，提昇Excel功力的不二法門！
【總覺得Excel表單功能很強大卻不知道從何學起嗎？】
VBA能幫你解決更多工作上的瑣事及重複工作，而且不必一定得有程式設計的底子才能學，讓我們一起從頭開始快速掌握Excel的精髓。

【每個月總是被重複枯燥的工作內容所苦惱嗎？】
VBA可以將你經常重複執行的工作內容轉換為應用程式，只要學好VBA，往後遇到相同工作時一鍵就能幫你辦到好！

【經常被主管嫌棄表單的介面一成不變嗎？】
我們會教你如何替VBA表單設計打造專屬介面，讓使用者更加方便執行，快來製作讓主管驚豔的多功能強大表單吧！
是不是常常在工作上需要用到Excel工作表來達成任務，卻永遠只會用來畫表格呢？聽說Excel有很多好用的功能又怕不會寫程式，教學太難看不懂嗎？別擔心，本書用循序漸進的方式教你如何學好VBA！即使你一點程式語言的基礎都沒有，依然能夠輕鬆上手！

VBA是「Visual Basic for Applications」的簡稱，可以幫你快速搞定重複繁雜的工作與強化Excel的功能，不過很多人一看到原始碼就頭大，因此本書先從錄下Excel的操作開始，再告訴你如何修改VBA程式、常用的變數與常數、運算子等，讓你從基礎打好，往後就可以依照需求，快速寫好適用各種情況的工作表單喔！
"
9789862018293,範例輔助解說，幫助讀者了解、分析、應用樞紐分析表操控一次到位 由多位微軟全球最有價值專家共同執筆，呈現樞紐分析表操控的完整性 系統化編排方式，初學者可以快速掌握樞紐分析表的基礎知識 吸收書中學習經驗、解決方案和思考模式，提高進階者的應用水準這是一本解說最詳盡的Excel 樞紐分析書籍全書著重在Excel 樞紐分析的使用技巧，內容分為18個章節超過150個技巧，內容涉及Excel樞紐分析的基礎知識、變更樞紐分析的版面配置、排序與篩選的技巧、交叉分析篩選器、建立動態樞紐分析表、如何導入外部資料來源以及樞紐分析表技術的綜合運用等，加上最貼近人心的步驟式說明，方便讀者吸收學習。
9789862017739,這是一本解說最詳盡的Excel VBA書籍。•	程式碼逐段解說，幫助讀者了解、修改、應用VBA一次到位•	由多位微軟全球最有價值專家共同執筆，呈現VBA功能的完整性•	系統化解說，初學者可以快速掌握VBA程式設計的基礎知識•	吸收書中學習經驗、解決方案和思考模式，提高進階者的應用水準五大特色面面俱到，立刻晉身工作效率達人！•	壓箱絕活：8大篇267個技巧，有效提升工作效率與資料處理的技巧•	實務為王：近300個實作範例，內容實用不脫鉤•	清楚易懂：圖文並茂，步驟說明清楚，操作易上手，解說最完整•	跨版本也通：不用擔心範例無法使用： 2003、2007、2010、2013版本Excel全適用•	即查即用：光碟收錄全部範例，直接套用修改，立即解決問題 全書著重在Excel VBA的使用技巧，內容分為8篇24章5附錄，內容涉及Excel VBA的基礎知識、常用物件應用技巧、函數和增益集應用、互動式設計、ADO應用，與其他Office應用程式交叉使用、偵錯與錯誤處理、程式碼最佳畫技巧等，附錄還提供Excel常用函數以及VBA函數，方便讀者隨時查看。
9789862012062,"全書精選了276個技巧、近300個典型實例，以深入淺出的全面剖析，力求讓更多讀者全面掌握Excel VBA的活用技巧。本書內容除了有針對初學者所編撰的基礎知識、常用物件應用技巧、函數和增益集的應用技巧等篇章外，另外對於互動式設計、ADO的應用、操控其他的Office應用程式等進階技巧、偵錯和錯誤處理、程式碼最佳化技巧等也都有完整的介紹。本書支援Excel 2002,2003/2007。內容豐富、範例精彩，將Excel VBA的精髓徹底發揮到極致透過系統化的解說，讓初學者快速掌握VBA程式設計的基礎知識吸收書中的學習經驗、解決方案和思路，提高進階者的應用水準由多位微軟全球最有價值專家所共同執筆，呈現VBA功能的完整性隨附光碟收錄全書完整的應用範例，是您最佳的範例佐證"
9789863124627,"別再製作看了無感的數字報表了！
善用圖表來呈現，立即找出重點！
 ●「業務銷售、行銷分析、企劃提案、財會、秘書」必備的圖表製作力！
●密密麻麻的數字報表，沒人要看啊！將大數據圖表化，一眼就能看穿起伏變化！
●總是用「直條圖」跟「圖形圖」嗎？試試將不同圖表組合在一起，讓資訊呈現更有力道！
●學會依資料特性選用適當圖表類型！立即洞察數字背後的真相、看出趨勢變化。不論是銷售報告、企劃提案或是財會的年度報告，都會彙整一大堆數據做分析，但如果拿密密麻麻的數字來做報告，很難讓人看出重點。若用圖表來呈現，就能立即看出當月、當年的銷量變化、比較出業績的高低、顧客滿意度、成長趨勢、…等等，圖表的應用範疇可是非常廣泛呢！

自動產生的圖表，要如何修改標題、座標軸資料或是調整間距呢？
想要強調圖表中最高的資料數列，該怎麼做呢？
資料量太多導致圖表的資料數列黏在一起，該怎麼調整？
產生圖表後，還可以更改資料數列的順序嗎？
來源資料變了，但圖表的數列沒有跟著更新該怎麼辦？
來源資料有空白，怎麼讓中斷的圖表連在一起？
想要突顯特定資料項目，只要將圓形圖的扇形分離，效果立刻呈現！
不同單位或資料類型想用一個圖表呈現，就用「組合圖表」來表達吧！
製作完成的圖表，如何與 Word、PowerPoint 做整合？
"
9789865024611,最新升級熱賣增強版！大數據時代必備的Excel圖表視覺分析術！ 100個超實用範例 簡報提案、數據分析力立即提升20％钗 钗 【行銷企劃】、【業務銷售】、【人力資源】、【決策分析】必學圖表 化繁為簡，看圖秒懂，輕鬆解讀複雜大數據！ 超值加贈：全書圖表範例檔/圖表快速鍵應用PDF 專業的人都這樣做！用對圖表，效果就加倍！ 善用圖表，讓關鍵訊息與海量數據一看就懂，分析報告或提案簡報立即脫胎換骨！ 全書涵蓋： 【資料整理技巧】、【圖表設計原則】、【用圖表呈現大數據】 【組合式圖表應用】、【主題式圖表應用】、【互動式圖表應用】 【套用範本快速完成圖表】、【SmartArt圖形建立資料圖表】、【與其他軟體整合應用】 本書統整生活與職場上最常用的圖表，透過各式圖表與視覺設計， 高效率完成工作，簡報提案不卡關！ ■提升正確性的資料整理術 別拿了資料就卯起來插入圖表，資料中若有不必要的空白儲存格或是重複的內容，就會影響分析正確性。動工前先學會整理資料，才叫專業。 ■善用各式圖表的關鍵設定 只會用直條圖、圓餅圖?其實你可以有更多選擇。為選定的預設圖表調整配色或字體更能呈現重點，跳脫傳統圖表，搭配函數、樞紐分析、表單控制項、巨集與VBA自動化，讓圖表運用更靈活！ ■拯救上班族的主題式圖表 經由業績統計、薪資費用分析、商品行銷與優勢分析、市場評估…等主題，學會整合不同類別的圖表(直條圖、雷達圖、泡泡圖...)，以圖表進行分析與結論，讓主管點頭、客戶買單！ ■助攻完美圖表的神隊友 千萬別忘了Excel內建範本與SmartArt，多種設計模板如流程圖、循環圖、關聯圖、階層圖….，只要輸入資料就能呈現專業設計師般的視覺效果。完成的圖表還可以連結至PowerPoint簡報，或轉成PDF、XPS文件以E-mail傳送，職場專業度UP。
9789865023010,**範例適用Excel 2019/2016/2013 以Excel做為工具，列舉豐富的範例進行解說，且於過程中介紹常用的統計觀念與Excel操作技巧， 讓你不需強記各項計算方法與公式，輕鬆將統計技巧應用在實務層面，成為資料統計與分析高手。 ‧本書範例均透過作者實際問卷調查所得，問卷主題為你我日常生活中所使用得到之產品，如：臉書、便利商店、智慧手機、信用卡、速食、音樂、運動鞋、社群網站、理想對象…等，極具實用性與親切感。 ‧先介紹統計學的基本原理，再佐以Excel實作，詳盡地逐步解說其操作與計算過程，達到邊做邊學的效果。 ‧以步驟式教學，運用Excel函數、樞紐分析，輕鬆獲取所要的統計數字與分析結果。 ‧重過程也重解說！每一個實例均詳盡逐步解說其操作及計算過程；對其結果，也以讀者容易接受之口語化加以說明，而不是以艱澀難懂的統計術語來進行解說。絕對能讓讀者能學得輕鬆、學得實用！ ‧收錄豐富的統計範例，讓你可以依照需求馬上修改、套用。
