ISBN,書籍簡介
9789869211246,"不用動刀到槍，一根手指就能癱瘓全球產業
FinTech金融科技引爆第三次世界大戰
免出門也能聰明理財 手機，就是你的提款機
金融科技如何改寫消費、理財與投資？現在，你能輕鬆看未來
金融員的頭號剋星 想生存就要了解它
FinTech大潮來襲 人人都是銀行家

「Fintech」(金融科技) 是把金融和技術相乘在一起產生的新價值。
這已經成為金融業的新顯學，不動刀槍，一根手指就能癱瘓全球產業，手機，就是你的提款機，免出門也能聰明理財!
市場上針對Fintech研究的書籍以文字居多不易理解， 
遠見編輯部針對這部份以豐富的案例與彩色圖表佐證，
透過深入淺出的觀點，並專訪日本推動金融革命的多位關鍵人物，
剖析未來方向，讓讀者得以用最簡單的方式了解Fintech金融科技帶給世界的改變。

「FinTech」（金融科技），是把金融和技術相乘在一起產生的新價值。

本書從金融科技最前線的美國說起。矽谷如何改變我們的生活？而日本也趕上海外金融科技革命的浪潮。雖然與美國相比，日本仍處於初期階段，但面對新時代的來臨，日本銀行開始全速轉變，使得日本金融科技企業，逐日遍地開花。

電子支付先鋒PayPal 與eBay拆分後，進攻日本市場。東京即將舉辦奧運，預料訪日人數將急速增加，連帶支付市場也蠢蠢欲動，未來如何發展？而美國Square公司的傑克·多西（Jack Dorsey），創造世人熟知的推特（Twitter），還要掀起全新革命，是否會再次震撼世界？

虛擬貨幣比特幣（BitCoin）茁壯與泡沫帶來什麼啟示？支撐比特幣成長的 「資料區塊鏈」，因為做為FinTech核心技術，備受矚目，本書也將針對資料區塊鏈技術的本質及超越虛擬貨幣的廣泛應用，詳細說明。"
9783110704501,"This book on fintechs shows an international comparison on a global level. It is the first book where 10 years of financing rounds for fintechs have been analyzed for 10 different fintech segments. It is the first book to show the Canvas business model for fintechs. Professionals and students get a global understanding of fintechs. The case examples in the book cover Europe, the U.S. and China. About the author: Matthias Fischer is professor of finance and banking at the Institute of Technology Nuremberg Georg-Simon-Ohm in Germany. His research has focused on strategy and M&A in the banking sector, value-based management, robo-advisory and fintechs. Dr. Fischer also serves as a member of the Groupe de Recherche en Management at the IAE Nice Graduate School of Management, Université Côte d'Azur in France. He is internationally active as a strategy and financial advisor. Reviews of the book: FinTech is not the next 'big thing.' It is the big thing now! FinTech is the new business model for the global financial sector, offering clear and enormous potential for vast economies of scale and scope, massive cost savings and efficiency gains, significant risk reduction, and opening the door to banking for literally billions of currently unbanked people. Professor Fischer has done a masterful job of expertly and informatively taking us through all aspects of the revolutionary new FinTech business models. Using state-of-the-art research techniques, he insightfully shows us how FinTech firms are financed and how they aspire to create value. His in-depth case studies unlock the keys to success in the FinTech sector. His fascinating book is a 'must read' for all financial professionals.Dr. Stephen Morrell, Professor of Economics and Finance, Andreas School of Business, Barry University, Miami, USA Matthias Fischer's latest book offers a comprehensive overview of Fintech business models around the world. With a very pedagogical approach, and in a particularly fluid style, the author takes us into the strategic logics of these new entrants to finance, who are carriers of innovation and sometimes of disruption, and whose strategies are focused on the need to always meet the emerging expectations of their customers. This precise and well-documented analysis should enable banks to reposition themselves in their ecosystem by studying these new business models, which will enable them to boost their growth.Professor Dr. Nadine Tournois, Dean of IAE Nice Graduate School of Management, Université Côte d'Azur, France, Chevalier de la Légion d'honneur Fintech Business Models is a must-have book to understand the rapid and intense changes occurring in the financial sector. New technologies have allowed the birth of new financial species, such as Fintech, more adapted to the new digital economy. The content dedicated to the application of blockchain technology helps to understand its opportunities in the financial sector, not only in the means of payment and cryptoactives, but also in how blockchain can make multiple internal processes improve, allowing to optimize the management, efficiency and even security of operations. Without any doubt, this book offers an extraordinary vision of how the fintech sector has become a catalyst for change in banking in the context of the current Digital Society.Phd. Ricardo Palomo, Full Professor of Finance, Deputy Chancellor for Digital Transformation at Universidad CEU San Pablo, Madrid, Spain and member of the Board of Alastria Blockchain Ecosytem This book provides a detailed and original overview of the most important fintech business models in the major global markets. Through a savvy use of the well-known Business Model Canvas methodology, the author explores the unique ecosystem, business model's components, and sources of competitive advantage of successful fintech firms. The book, in particular, offers an insightful and comprehensive analysis of the winning and losing strategies and performa"
9788293791119,"Do you want to finally get a grip on Fintech today?... or do you see everyone else making money with cryptocurrency? Are you tempted to start learning finally see why Fintech matters? Do you feel ignorant, unclear what big data is, and why it can change your life?Are you terrified of ending up old having wasted years not taking part in the data revolution right from the start?If you stay ignorant of Fintech, you will be passed by.Is this positive for you?Fintech: Hacking, Blockchain, Big Data, Cryptocurrency gets you up to speed fast, including an exploration of the history and future of cryptocurrency. This is a book of knowledge and doesn't just tell you to try harder. Life rewards those who take matters into their own hands, and this book is where to start.Fintech is full of real-life examples of how big data impacts people just like you. These examples are backed up by countless data expert studies, all of which will arm you with a knowledge primed for success with using Big Data immediately.Easy-to-implement small changes and practical takeaways for immediate action.What happens if you ignore cryptocurrency? - Learn the history of cryptocurrency. - Why should you care about becoming an expert in cryptocurrency? - What could you achieve with tips in the right direction - The consequences of ignoring cryptocurrency in your businessHow will you learn to compete in this data-driven age? - Identify the keys to mastering Fintech - Which tools are used to win at this game - Tricks for getting your feet on the ground today - How to develop the competency you are lackingWhat happens when you don't let life pass you by? - Never wonder ""what if"" you could have made millions with cryptocurrency  - Wake up every day with high energy and desire  - Inspire yourself and others to become experts at Fintech.  - Fulfill your destiny and start getting paid for this knowledge. Find out how to let go of your lack of knowledge and take flight towards being a Hacking expert, period.Create the business of your dreams around this Data Revolution.Try Fintech: Hacking, Blockchain, Big Data, Cryptocurrency today by clicking the BUY NOW button at the top right of this page P.S. You'll be on your way to being part of the Fintech revolution within 24 hours."
9783030246686,"Financial Technology (Fintech) has revolutionized the financial world as one of the fastest-growing segments in both the technology and financial sectors. With the usage of underlying principles of Blockchain technology, Fintech is bringing the financial community together and making financial services accessible to everyone. Fintech has far-reaching implications for Islamic finance such as banking, investment, insurance (takaful) and wealth management, which are benefitting from this usage. This book provides a comprehensive review of how Fintech is shaping the Islamic finance industry through three key aspects: Digitalization, Development and Disruption. The book will provide insight on the Shariahtech (Fintech in line with Shariah principle) and its application in the Islamic finance industry. The book also gives an overview of Blockchain and Fintech evolution and how they act as the building blocks of the digital financial landscape.Readers of the book will also get a detailed discernment on the Islamic viewpoint on cryptocurrency as well as the application of the smart contract in different Islamic financial services. The book provides students, academics and researchers with a detailed description of the Blockchain and Fintech application in Islamic finance."
9781119427261,"Examine the depth and breadth of financial technologyThis comprehensive, hands-on guide is the go-to source for everything you need to confidently navigate the ever-changing scene of this booming industry. FinTech For Dummies will shed light on this rapidly changing landscape making it an invaluable source of information for anybody working in or interested in this space. This book provides insights, knowledge and guidance from industry experts Steve O'Hanlon and Susanne Chishti on the following:   Gaining insight fastest growing market segment of the financial markets Learning the core decision making to effect a growth plan Securing knowledge of the fastest growing fintech companies in the world Navigating the fintech world The ingredients into building a FinTech company "
9789353882488,"Fintech is challenging banks and squeezing all our financial transactions onto a mobile screen! Should we be worried?   We make payments via PayPal or Paytm, shop on Amazon or Flipkart, book accommodation on Airbnb or Oyo and call a cab using Uber or Ola apps. The big tech companies are taking care of all our finances virtually while new technologies such as artificial intelligence (AI), internet of things (IoT), blockchain, big data, 5G and quantum computing promise to raise a new storm in the future of finance. Fintech Future is the story of technology disrupting finance--from coin to bitcoin, banknote to cloud and stodgy old banks to AI--viewed from the perspective of whether it helps make the world a better place. "
9781788039079,0
9781547417292,"Over 70 in-depth interviews of Fintech Founders provide lessons from some of the most successful fintech entrepreneurs that will help you understand the challenges and opportunities of applying technology and collaboration to solve some key problems of the financial services industry. This book is for entrepreneurs, for people working inside of large organizations and everyone in between who is interested to learn the secrets of successful entrepreneurs. In this advice-filled resource, Rubini gathers advice that comes from a diverse range of financial services niches including financing, banking, payments, wealth management, insurance, and cryptocurrencies, to help you harness the insights of thought leaders. Those working inside the financial services industry and those interested in working in or starting up businesses in financial services will learn valuable lessons on how to take an idea forward, how to find the right business founders, how to seek funding, how to learn from initial mistakes, and how to define and reposition your business model. Rubini also inquires into the future of fintech and uncovers provoking and insightful predictions."
9780749486372,"Fintech has emerged as one of the fastest growing sectors in the financial services industry and has radically disrupted traditional banking. However, it has become clear that for both to thrive, the culture between fintech and incumbent firms must change from one of competition to collaboration. The Financial Services Guide to Fintech looks at this trend in detail, using case studies of successful partnerships to show how banks and fintech organizations can work together to innovate faster and increase profitability. Written by an experienced fintech advisor and influencer, this book explains the fundamental concepts of this exciting space and the key segments to have emerged, including regtech, robo-advisory, blockchain and personal finance management. It looks at the successes and failures of bank-fintech collaboration, focusing on technologies and start-ups that are highly relevant to banks' product and business areas such as cash management, compliance and tax. With international coverage of key markets, The Financial Services Guide to Fintech offers practical guidance, use cases and business models for banks and financial services firms to use when working with fintech companies."
9783030224257,0
