ISBN,書籍簡介
9781680456523,"Lydia Sloan Cline teaches digital modeling and 3D printing at Johnson County Community College. She is a 3D printing enthusiast, a judge a competitive technology events, and active in her local Maker community. Her previous works include 3D Printing with Autodesk 123D, Tinkercad, and MakerBot, 3D Printing and CNC Fabrication with SketchUp, Architectural Drafting for Interior Designers, 2nd Edition, and Today's Military Wife, 7th Edition."
9781774590218,0
9781393192084,0
9798568236238,"Autodesk Fusion 360: A Power Guide for Beginners and Intermediate Users (4th Edition) textbook has been designed for instructor-led courses as well as self-paced learning. It is intended to help engineers and designers, interested in learning Fusion 360, to create 3D mechanical designs. This textbook is a great help for new Fusion 360 users and a great teaching aid for classroom training. This textbook consists of 14 chapters, a total of 750 pages covering major workspaces of Fusion 360 such as DESIGN, ANIMATION, and DRAWING. The textbook teaches you to use Fusion 360 mechanical design software for building parametric 3D solid components and assemblies as well as creating animations and 2D drawings. This edition of textbook has been developed using Autodesk Fusion 360 software version: 2.0.9313 (November 2020 Product Update). This textbook not only focuses on the usages of the tools/commands of Fusion 360 but also on the concept of design. Every chapter in this textbook contains tutorials that provide users with step-by-step instructions for creating mechanical designs and drawings with ease. Moreover, every chapter ends with hands-on test drives that allow users to experience for themselves the user friendly and powerful capacities of Fusion 360. Table of Contents: Chapter 1. Introducing Fusion 360Chapter 2. Drawing Sketches with Autodesk Fusion 360Chapter 3. Editing and Modifying SketchesChapter 4. Applying Constraints and DimensionsChapter 5. Creating Base Feature of Solid ModelsChapter 6. Creating Construction GeometriesChapter 7. Advanced Modeling - IChapter 8. Advanced Modeling - IIChapter 9. Patterning and MirroringChapter 10. Editing and Modifying 3D ModelsChapter 11. Working with Assemblies - IChapter 12. Working with Assemblies - IIChapter 13. Creating Animation of a DesignChapter 14. Working with Drawings Main Features of the Textbook Comprehensive coverage of tools Step-by-step real-world tutorials with every chapter Hands-on test drives to enhance the skills at the end of every chapter Additional notes and tips Customized content for faculty (PowerPoint Presentations) Free learning resources for faculty and students Additional student and faculty projects Technical support for the book by contacting info@cadartifex.com"
9798687642286,"Autodesk Fusion 360: A Step-By-Step Tutorial Guide for Beginners textbook is intended to help students, designers, engineers, and professionals who are interested in learning Autodesk Fusion 360 step-by-step for creating real world 3D mechanical designs. It is a great starting point for new users of Autodesk Fusion 360 and for those moving from other CAD software. This textbook contains tutorials that provide users with step-by-step instructions for creating parametric 3D solid components, assemblies, animations, and 2D drawings with ease. Every tutorial in this textbook is created based on real-world projects. This textbook consists of 11 chapters, a total of 408 pages covering major workspaces of Autodesk Fusion 360 such as DESIGN, ANIMATION, and DRAWING. This textbook has been developed using software version: 2.0.8950 (September 2020). Every chapter ends with exercises that allow users to experience for themselves the user friendly and powerful capacities of Autodesk Fusion 360, followed by chapter summary and questions which help users to assess their knowledge. Table of Contents:  Chapter 1. Introducing Autodesk Fusion 360 Chapter 2. Creating and Editing Sketches Chapter 3. Creating Extrude and Revolve Features Chapter 4. Creating Multi-Feature Models Chapter 5. Creating Sweep and Loft Features Chapter 6. Creating Holes, Threads, and Shell Features Chapter 7. Creating 3D Sketches and Helical Coils Chapter 8. Creating Assemblies - IChapter 9. Creating Assemblies - II Chapter 10. Creating Animation and Exploded ViewsChapter 11. Creating 2D Drawings"
9781393400349,"In this book, you will learn the surface design tools available in Autodesk Fusion 360. Autodesk Fusion 360 Surfacing tools can be used to create complex geometries that are very difficult to create using solid modeling tools. Surface modeling can also be used to edit and fix the broken imported parts."
9788194613756,"The Autodesk Fusion 360 Basics Tutorial book helps you to learn parametric modeling using the Autodesk Fusion 360 software. This book will get you started with the basics of part modeling, assembly modeling, animations, and drawings. Next, it teaches you some additional part modeling tools, top-down assembly features, assembly joints, dimension & annotations, and sheet metal design. Brief explanations, practical examples, and stepwise instructions make this tutorial a useful guide. "
9798627935638,"The latest 4th edition (November 2020 Product Update) of this textbook is available on amazon. You can search it by its ISBN: 979-8568236238. Autodesk Fusion 360: A Power Guide for Beginners and Intermediate Users (3rd Edition) textbook has been designed for instructor-led courses as well as for self-paced learning. It is intended to help engineers and designers, interested in learning Fusion 360, to create 3D mechanical designs. This textbook is a great help for new Fusion 360 users and a great teaching aid for classroom training. This textbook consists of 14 chapters, a total of 740 pages covering major workspaces of Fusion 360 such as DESIGN, ANIMATION, and DRAWING. The textbook teaches you to use Fusion 360 mechanical design software for building parametric 3D solid components and assemblies as well as creating animations and 2D drawings. This textbook has been developed using software version: 2.0.8176 (April 2020). This textbook not only focuses on the usages of the tools/commands of Fusion 360 but also on the concept of design. Every chapter in this textbook contains tutorials that provide users with step-by-step instructions for creating mechanical designs and drawings with ease. Moreover, every chapter ends with hands-on test drives which allow users to experience the user friendly and technical capabilities of Fusion 360. Table of Contents: Chapter 1. Introducing Fusion 360Chapter 2. Drawing Sketches with Autodesk Fusion 360Chapter 3. Editing and Modifying SketchesChapter 4. Applying Constraints and DimensionsChapter 5. Creating Base Feature of Solid ModelsChapter 6. Creating Construction GeometriesChapter 7. Advanced Modeling - IChapter 8. Advanced Modeling - IIChapter 9. Patterning and MirroringChapter 10. Editing and Modifying 3D ModelsChapter 11. Working with Assemblies - IChapter 12. Working with Assemblies - IIChapter 13. Creating Animation of a DesignChapter 14. Working with Drawings Main Features of the Textbook Comprehensive coverage of tools Step-by-step real-world tutorials with every chapter Hands-on test drives to enhance the skills at the end of every chapter Additional notes and tips Customized content for faculty (PowerPoint Presentations) Free learning resources for faculty and students Additional student and faculty projects Technical support for the book by contacting info@cadartifex.com"
9781951139827,"The Autodesk(R) Fusion 360(R) software combines locally installed and cloud-based tools. It enables users to use parametric modeling and surface modeling techniques to create 3D designs. The Autodesk(R) Fusion 360(R): Introduction to Sculpting with T-Spline Surfaces guide focuses on surface modeling and how to effectively use the FORM contextual environment of the DESIGN workspace. Through a hands-on, practice-intensive curriculum, you will learn the key skills and knowledge required to create organic, highly shaped, and visually appealing models.Software VersionAs a cloud-based platform, updates are frequently available for the Autodesk Fusion 360 software. This guide has been developed using software version: 2.0.6670. If you are using a version of the software later than version 2.0.6670, you might notice some variances between images and workflows in this learning guide and the software that you are using.Topics CoveredDescribing the differences between solid and T-Spline surface modeling.Creating new projects, loading files into projects, and opening files for use in the Autodesk Fusion 360 software.Using the Autodesk Fusion 360 interface, navigating a design, locating commands, and controlling a design's visual display.Creating T-Spline surface geometry using the Box, Plane, Cylinder, Sphere, Torus, and Quadball quick shape tools.Creating planar and non-planar flat surfaces.Attaching a canvas image to a plane and using it to create T-Spline geometry.Editing the shape of a T-Spline's control frame by manipulating its points, edges, and faces.Assigning or clearing symmetry on T-Spline geometry.Creating, constraining, and dimensioning 2D sketches.Creating and using construction features in a design.Creating extruded T-Spline geometry by extruding a sketch.Creating revolved T-Spline geometry by revolving a sketch around a centerline.Creating swept T-Spline geometry using appropriate path and profile entities.Creating lofted T-Spline geometry using appropriate profile and reference entities.PrerequisitesN/A"
9781677024384,"Autodesk Fusion 360 - The Master Guide is the ultimate book to have deep learning of Fusion 360 software. The book is released as per October 2019 updates, which totally changed the user interface and added lots more features to it. Each chapter contains a thorough explanation of all important tools and commands used to master that specific workspace. The language used in the whole book is simple whether you are reading a chapter to clear concepts or you are following tutorials to make real-life projects, you will understand the concept and the working of the tools with ease. Everything in this book is point to point, hence no excess content is given to make the book bulky and costly. Moreover, there is a lot more to know about the book, which you can find below: Why it is a Master Guide?You might be thinking about this question, and which is an obvious one. Let me tell you the reasons being it as the ultimate guide to learn Fusion 360.-Under each tool, it contains the concept, procedure to use, and the purpose of the tool. This methodology is followed in the entire book.-Compact in size, and easy to understand language.-3 chapters out of 11 are specially designed for industry-related exercises that are given to practice and analyze the learning. Also, complex practical are given with the simplest procedure possible. -A step-by-step procedure is provided to follow the working of tools and creating a model. -Each tool is given with an illustration image, which makes the user understand it more practically. Who are the Readers?If you have ever required a medium to build your ideas into a 3D model, whether it is a school project or a Motor Bike, the Autodesk Fusion 360 is made for you and The Master Guide is written for you. If you are a -A student who wants to build his imaginations into a 3D model-A job seeker in the field of Design Engineer-A professional Design Engineer-A person who works on 3D Printing-A college graduate who needs to design his project-A teacher looking for the best Fusion 360 reference book-A person interested to learn this softwareThis book is made for you.What does it include?It includes everything you need to master the 2D and the 3D modeling with this software. A total of 11 chapters are given in this book that follows a strategy to make quality learning. This book contains various modules from which some are listed below: -Creating and editing a sketch.-Making a 3D model of the sketch.-Editing a model using previous commands in the current time. -Creating a model in Form Workspace.-Making Sheet Metal designs in a separate workspace.-Creating a complex component by joining various 3D bodies. -Finalizing a model by rendering it as per desired texture and environment. -Creating animations of components and models to view them moving. -Recording videos of model animations. -Performing various simulations on the model to measure effects. -Making a drawing of 3D models.-Following tutorials and practicing exercise to analyze the learning.AuthorSamar Malik is the author of this book who has been in the CAD industry for more than 5 years. He provides CAD consulting services to the clients of USA, UK, Canada, and other countries as well. This book is a combination of his industry as well as his teaching experience. To know more about the author, move to the author's page or contact him directly on samar@samistech.com.For any kind of support related to this book, feel free to contact us at cad@samistech.com and info@samistech.com"
