書名,書籍網址,作者,出版社,ISBN,圖片網址
"Introduction to Video Game Engine Development: Learn to Design, Implement, and Use a Cross-Platform 2D Game Engine",https://www.eslite.com/product/1001294884395228,Victor G. Brusca,Ingram International Inc,9781484270387,0
Unreal Engine 4 Game Development Quick Start Guide,https://www.eslite.com/product/1001294884050728,Rachel Cordone,Ingram International Inc,9781789950687,0
"Game Engine Architecture, Third Edition",https://www.eslite.com/product/1001294883589220,Jason Gregory,Ingram International Inc,9781138035454,https://s.eslite.dev/upload/ean/9781138035454.jpg
Godot Engine Game Development Projects: Build five cross-platform 2D and 3D games with Godot 3.0,https://www.eslite.com/product/1001294884058192,Chris Bradfield,Ingram International Inc,9781788831505,https://s.eslite.dev/upload/ean/9781788831505.jpg
"Godot Engine Game Development in 24 Hours, Sams Teach Yourself: The Official Guide to Godot 3.0",https://www.eslite.com/product/1001294883006561,Ariel Manzur ; George Marques,Ingram International Inc,9780134835099,0
"3D Game Design with Unreal Engine 4 and Blender: Design and create immersive, beautiful game environments with the versatility of Unreal Engine 4 and",https://www.eslite.com/product/1001294884056556,Justin Plowman,Ingram International Inc,9781785881466,https://s.eslite.dev/upload/ean/9781785881466.jpg
"Unreal Engine 4 Game Development in 24 Hours, Sams Teach Yourself",https://www.eslite.com/product/1001294883989661,Aram Cookson ; Ryan Dowlingsoka ; Clinton Crumpler,Ingram International Inc,9780672337628,0
Unreal Engine 4 Game Development Essentials: Master the basics of Unreal Engine 4 to build stunning video games,https://www.eslite.com/product/1001294883629315,Satheesh Pv,Ingram International Inc,9781784391966,https://s.eslite.dev/upload/ean/9781784391966.jpg
The Unreal Game Engine: A Comprehensive Guide to Creating Playable Levels,https://www.eslite.com/product/1001294883527790,Andrew Finch,Ingram International Inc,9781909414044,https://s.eslite.dev/upload/ean/9781909414044.jpg
"Unity Game Development: Programming C# in Unity Engine, a guide book for beginners - 2nd edition - 2021",https://www.eslite.com/product/1001294883962917,Kathleen Peterson,Ingram International Inc,9798732538335,0
Game Development Projects with Unreal Engine: Learn to build your first games and bring your ideas to life using UE4 and C++,https://www.eslite.com/product/1001294883728656,Hammad Fozi ; Gonçalo Marques ; David Pereira,Ingram International Inc,9781800209220,0
Beginning Unreal Game Development: Foundation for Simple to Complex Games Using Unreal Engine 4,https://www.eslite.com/product/1001294883200974,David Nixon,Ingram International Inc,9781484256381,https://s.eslite.dev/upload/ean/9781484256381.jpg
Monogame Mastery: Build a Multi-Platform 2D Game and Reusable Game Engine,https://www.eslite.com/product/1001294883200028,Jarred Capellman ; Louis Salin,Ingram International Inc,9781484263082,0
Metal by Tutorials (Second Edition): Beginning Game Engine Development with Metal,https://www.eslite.com/product/1001294883428220,,Ingram International Inc,9781942878988,0
GD Script: Godot 3.1 game engine,https://www.eslite.com/product/1001294884207658,Marijo Trkulja,Ingram International Inc,9781687356024,https://s.eslite.dev/upload/ean/9781687356024.jpg
Game Engine Architecture,https://www.eslite.com/product/1002143692074094,"Gregory, Jason",TAYLOR & FRANCIS BOOKS LTD.,9781568814131,https://s.eslite.dev/upload/product/l/2680623503003/20190408163534906020.jpg
