書名,書籍網址,作者,出版社,ISBN,圖片網址
We Can't Do This Alone: Jefferson Hack the System,https://www.eslite.com/product/1002150072487885,Jefferson Hack,RIZZOLI INTERNATIONAL PUBLICATIONS,9780847847433,https://s.eslite.dev/Upload/Product/201602/l/635911359378725000.jpg
.hack//Another Birth另一個誕生 2: 惡性變異,https://www.eslite.com/product/1001125121592520,川崎美羽,台灣角川股份有限公司,9789861740829,https://s.eslite.dev/upload/product/l/2680151858002/ec124054.jpg
.hack//Link 3,https://www.eslite.com/product/1001125121955689,喜久屋めがね森田柚花/ Cyber Connect 2,台灣角川股份有限公司,9789862377291,https://s.eslite.dev/upload/product/l/2680510981006/20190422173314963995.jpg
.hack//Link 2,https://www.eslite.com/product/1001125121926616,喜久屋めがね森田柚花/ Cyber Connect 2,台灣角川股份有限公司,9789862375723,https://s.eslite.dev/upload/product/l/2680483227002/39859.jpg
.hack//Link 1,https://www.eslite.com/product/1001125121914714,喜久屋めがね森田柚花/ Cyber Connect 2,台灣角川股份有限公司,9789862374771,0
.hack//G.U. Vol.4: 八次元的意念 (完),https://www.eslite.com/product/1001125121874218,濱崎達也,台灣角川股份有限公司,9789862371732,https://s.eslite.dev/upload/product/l/2680432093009/20200430175403023207.jpg
.hack// G.U. 2: 境界的Mmo,https://www.eslite.com/product/1001125121809668,濱崎達也,台灣角川股份有限公司,9789861748634,https://s.eslite.dev/upload/product/l/2680377590007/20200430164958476003.jpg
惡魔Chic x Hack 1,https://www.eslite.com/product/1001125622626447,種村有菜,尖端出版,9789571077291,https://s.eslite.dev/upload/product/l/2681506441009/721846.jpg
惡魔Chic x Hack 2 (完),https://www.eslite.com/product/1001125622626448,種村有菜,尖端出版,9789571077307,https://s.eslite.dev/upload/product/l/2681506442006/721844.jpg
.hack// G.U. VOL.3: 哈洛爾德的原型,https://www.eslite.com/product/1001125121848416,濱崎達也,台灣角川股份有限公司,9789862370414,https://s.eslite.dev/upload/product/l/2680406984005/ec303469.jpg
hack//CELL Vol.2: 無限的解放,https://www.eslite.com/product/1001125121764949,涼風涼,台灣角川股份有限公司,9789861746265,https://s.eslite.dev/upload/product/l/2680327518006/ec187899.jpg
.hack//CELL Vol.1: 終結的世界,https://www.eslite.com/product/1001125121728343,涼風涼,台灣角川股份有限公司,9789861744988,https://s.eslite.dev/upload/product/l/2680291727008/ec213365.jpg
.hack//Another Birth另一個誕生 3: 侵蝕汙染,https://www.eslite.com/product/1001125121634073,川崎美羽,台灣角川股份有限公司,9789861741581,https://s.eslite.dev/upload/product/l/2680194514002/ec137990.jpg
WONDER HACK (初回版+DVD),https://www.eslite.com/product/1004196942745166,Shuta Sueyoshi,愛貝克思股份有限公司,4719760202512,https://s.eslite.dev/Upload/Product/201902/l/636858250264446250.jpg
"Growth Hack這樣做: 打破銷售天花板, 企業最搶手的成長駭客實戰特訓班",https://www.eslite.com/product/1001122232505158,Xdite,電腦人文化事業股份有限公司,9789869279987,https://s.eslite.dev/Upload/Product/201604/l/635976020280307388.jpg
.hack//G.U. 1: 死的恐怖,https://www.eslite.com/product/1001125121778602,浜崎達也,台灣角川股份有限公司,9789861747019,https://s.eslite.dev/upload/product/l/2680341470007/20200430175358307201.jpg
CAMP HACK MAGAZINE,https://www.eslite.com/product/1002146942682061763001,,"TAKARAJIMASHA,Inc.株式会社宝島社",,https://s.eslite.dev/upload/product/l/2682061763001/20210823160007915065.jpg
The Plot to Hack America: How Putin's Cyberspies and WikiLeaks Tried to Steal the 2016 Election,https://www.eslite.com/product/1002269502611657,Malcolm Nance,"Skyhorse Publishing, Inc",9781510723320,https://s.eslite.dev/upload/product/l/2681481749008/20190408190847032676.jpg
.hack//Another Birth另一個誕生 1-4 (4冊合售),https://www.eslite.com/product/1001125121753953,川崎美羽,台灣角川股份有限公司,9789750301926,https://s.eslite.dev/upload/product/l/2680317329001/ec178760.gif
.hack//XXXX 2,https://www.eslite.com/product/1001125121736802,松山洋,台灣角川股份有限公司,9789861745336,0
.hack//Another Birth另一個誕生 4: 絕對包圍 (完),https://www.eslite.com/product/1001125121668452,川崎美羽,台灣角川股份有限公司,9789861742601,https://s.eslite.dev/upload/product/l/2680230079007/ec149573.jpg
.hack//AI buster 2,https://www.eslite.com/product/1001125121652748,濱崎達也,台灣角川股份有限公司,9789861742069,https://s.eslite.dev/upload/product/l/2680213659004/ec143828.jpg
.hack//AI buster,https://www.eslite.com/product/1001125121276110,濱崎達也,台灣角川股份有限公司,9789867664297,https://s.eslite.dev/upload/product/l/2611334749015/ec56149.jpg
HACK//THE WORLD,https://www.eslite.com/product/1001125121285384,,台灣角川股份有限公司,9789867993922,https://s.eslite.dev/upload/product/l/2611325400000/ec58508.jpg
"BDM's i-Tech: Raspberry pi Tricks, Hack & Fixes (No.22)",https://www.eslite.com/product/10099120252576834,,瑪蒂雅股份有限公司,,https://s.eslite.dev/Upload/Product/201703/l/636246542452895000.jpg
極速樂章,https://www.eslite.com/product/1004123081146794,傷痕累累合唱團,環球國際唱片股份有限公司,0601215788426,0
Another Art Book,https://www.eslite.com/product/1002167922071716,Jefferson Hack,STEIDL,9783865218605,0
Another Portrait Book,https://www.eslite.com/product/1002150932013461,Jefferson Hack/ Ed.,Baker & Taylor,9783865218421,https://s.eslite.dev/Upload/Product/201105/l/634420930815748750.jpg
WOMEN BY WOMEN,https://www.eslite.com/product/1002138241278063,"HACK, SOPHIE/ KUNEN, STEPHANIE",PRESTEL PUBLISHING LIMITED,9783791328621,0
太陽月亮　星星　單簧管薩克斯風,https://www.eslite.com/product/1004124751127831,,韻順股份有限公司,0795754981322,0
"人生就像開公司, 想成功就要成長",https://www.eslite.com/product/1001122732665641,安娜．阿卡巴里,遠見天下文化出版股份有限公司,9789864793976,https://s.eslite.dev/upload/product/l/2681562825003/769231.jpg
千年鶴,https://www.eslite.com/product/1004143371851539,林權澤,聯影企業股份有限公司,,https://s.eslite.dev/upload/product/l/2680409924008/8338.jpg
敷地計劃,https://www.eslite.com/product/1001135001410449,"LYNCH, KEVIN",六合出版社-外版,9789578823921,https://s.eslite.dev/upload/product/l/2611090182002/ec1711055.jpg
駭客時空 2 (3- 5),https://www.eslite.com/product/1004125851072840,真下耕一,齊威國際多媒體股份有限公司,,0
駭客時空 1 (1- 2),https://www.eslite.com/product/1004125851072830,真下耕一,齊威國際多媒體股份有限公司,,0
The Trials of Rumpole,https://www.eslite.com/product/1001149592681966158004,John Mortimer,PENGUIN BOOKS LTD.,9780241474433,https://s.eslite.dev/upload/product/l/2681966158004/20210107011733297052.jpg
"Mindf*ck心智操控: 揭祕大數據AI心理戰如何結合時尚傳播、軍事戰略, 深入你的網絡神經, 操控你的政治判斷與消費行為!",https://www.eslite.com/product/1001149212876791,克里斯多福．懷利,野人文化股份有限公司,9789863844587,https://s.eslite.dev/upload/product/l/2681924980005/20201006060413073363.jpg
遠距工作這樣做: 所有你想知道的Working Remotely效率方法都在這裡,https://www.eslite.com/product/1001288742874650,Xdite鄭伊廷,創意市集,9789865534134,https://s.eslite.dev/upload/product/l/2681921721007/20200924062745303102.jpg
"微小習慣力: 把目標縮小, 累積有能感, 養對關鍵習慣, 就能產生連鎖效應, 變身2.0的自己!",https://www.eslite.com/product/1001171362839589,佐佐木正悟,楓書坊文化出版社,9789863775942,https://s.eslite.dev/Upload/Product/202004/l/637235730703472098.jpg
The Code of the Extraordinary Mind,https://www.eslite.com/product/1002180022809407,Vishen Lakhiani,Rodale US,9780593135822,https://s.eslite.dev/Upload/Product/201912/l/637133778281636106.jpg
Ponti,https://www.eslite.com/product/1002144362749452,Sharlene Teo,PICADOR,9781509855339,https://s.eslite.dev/upload/product/l/2681731373007/ec1704974.jpg
"超速習法即戰力: 啟動快速閱讀, 深植長期記憶",https://www.eslite.com/product/1001137682594495,園善博,智富出版有限公司,9789869369749,https://s.eslite.dev/upload/product/l/2681457378003/679714.jpg
Lost on the River,https://www.eslite.com/product/1004123082398930,New Basement Tapes,環球國際唱片股份有限公司,0602537919048,https://s.eslite.dev/upload/product/l/2680985380007/ec943228.jpg
創業,https://www.eslite.com/product/1001286512391295,林之晨,30雜誌,9789869153201,https://s.eslite.dev/Upload/Product/201502/l/635588082148291250.jpg
Google教我的101個工作最佳化: 效率第一名的數位工作實踐法,https://www.eslite.com/product/1001122232227027,部落格站長群,電腦人文化事業股份有限公司,9789866009600,https://s.eslite.dev/Upload/Product/201304/l/635023026085812500.jpg
