ISBN,書籍簡介
9789865022686,※專家與教師共同執筆 由OCJP（原SCJP）與MTA Java認證講師、科技大學教授程式設計教師共同編著，針對初學者學習程式設計所編寫的入門教材。 ※程式設計的技能養成 內容兼具理論與實務、範例操作皆以圖示表示。由書中範例說明、問題分析、程式架構解說，訓練初學者邏輯思考、解決問題能力，使初學者輕鬆進入Java程式設計的殿堂。 ※OCJP觀念與實例導入 內文融入OCJP觀念，除資料庫、Swing視窗應用程式與專題的章節之外，所有章節提供OCJP與MTA Java認證具代表性的試題演練，訓練初學者考取OCJP與MTA Java認證的基本素養。 ※豐富內容與實務應用 本書注重在Java程式設計基本流程、陣列、Java 10型別推論、物件導向程式設計、介面與泛型、多執行緒、例外處理、檔案I/O、Swing視窗應用程式、事件處理、JDBC資料庫程式設計、Lambda運算式與專題實作。每個單元由淺入深，循序漸進、範例貼近日常生活，讓初學者學以致用。 ※遊戲資料庫專題實作 在PDF檔電子書中，介紹了拉霸遊戲與記憶大考驗兩個專題，帶您進入實作專題的領域，進而擁有設計專題的完整體驗。
9789865021740,將程式部署至生產環境的必備工具與最佳做法 “除了《Effective Java 3rd Edition》外，這本書是我的每位工程師都會購買的書籍，而且它將帶來千倍的回報！” —Martijn Verburg jClarity與LJC Leader CEO “Daniel與Abraham在本書廣泛探討大量的雲端基礎元件，以及持續交付的相關技術。對任何想要成為專業雲端Java開發者的人來說，這本書是他們的首選。” —Ben Evans 作者與諮詢CTO 持續交付已經為業界及整個軟體交付生命週期帶來巨大的價值，但是想要採取這種做法，代表開發者必須掌握新的、在舒適圈以外的技術。在這本實用書籍中，二位作者教導Java開發者掌握架構設計、自動品保、應用程式包裝以及在各種平台上進行部署的技巧。 ‧了解持續交付的核心概念，以及如何開始及完成改用這種技術的旅程 ‧設計架構，讓各種平台持續交付Java app ‧建構app工件，包括fat JAR、虛擬機器映像與作業系統容器(Docker)映像 ‧使用Jenkins、PMD與FindSecBug等持續整合工具自動檢查程式碼品質 ‧建立全面的組建管道，並設計軟體將部署與釋出程序分開 ‧了解為何功能與系統品質屬性測試對開發與交付都非常重要 ‧了解如何有效地在本地建構與測試app，並且觀察系統在生產環境運行的狀態
9789864767007,“想知道如何使用最新版的Java來處理日常工作嗎？答案在這本書中。Ken Kousen快速地說明幾種常見的問題，並將解決方案簡化，讓我們可以輕鬆地使用它。 -Dr. Venkat SubramaniamAgile Developer公司創辦人“要快速、有效地上手Java，閱讀這本書是最好的方式。想要提升知識的Java開發者都可以在書中找到他們想要的東西。”-Trisha GeeJet Brains的Java Champion與Java Developer Java SE 8加入泛函(functional)設計概念，這對這種可敬的物件導向語言而言，是種劇烈的改變。Lambda表達式、方法參考與串流，從根本改變了這個語言的語法，讓許多開發人員得不斷追上腳步，但這本手冊將會帶來幫助。作者Ken Kousen藉由70個詳細的食譜來告訴你如何使用Java的新功能來解決廣泛的問題。對習慣Java之前版本的開發者而言，這本指南幾乎包含所有SE 8，其中還有一個章節專門討論Java 9即將到來的改變。想知道泛函語法如何改變你的程式寫作方式嗎？這本充滿使用案例的食譜手冊是為你而寫的。 書中的食譜將會談到：■ lambda表達式與方法參考的基本知識■ java.util.function套件內的介面■ 執行轉換與篩選資料的串流操作■ 執行排序與轉換串流資料的比較器與收集器■ 結合lambda、方法參考與串流■ 建立Java Optional型態的實例，以及從中取值■ 支援泛函串流的新I/O功能■ 取代舊有Date與Calendar類別的Date-Time API■ 實驗並行與平行的機制 目錄第一章 基礎知識第二章 java.util.function 套件第三章 串流第四章 比較器與集合第五章 串流、Lambda 與方法參考的問題第六章 Optional 型態第七章 檔案 I/O第八章 java.time 套件第九章 平行與並行第十章 Java 9 的新增功能附錄A 泛型與Java 8索引
9789864767182,「這本書提供建立Java 9模組化應用程式必備的實用知識。如果你是開發者或架構師，想要運用近年來最重要的JDK功能，這是一本必讀的書籍。」－－ZeroTurnaround，Developer Relations總監／Simon Maple「模組化很難，但是很幸運，我可以用Paul與Sander的書籍指引我編寫Java 9課程、講稿；以及轉換jClarity應用程式，來使用Java新模組化系統。我購買這本書送給jClarity的所有工程團隊成員，它真的很棒！」－－jClarity CEO與Sun/Oracle Java Champion／Martijn VerburgJava 9已經為Java平台加入模組系統了，這是重大的一步，開啟了Java模組化軟體開發的新時代。如果你想要建構靈活且易維護的程式碼，模組化是很重要的建構原則。本書詳細說明Java模組系統，並展示如何建立可協助管理與減少複雜度的模組化應用程式。作者Sander Mak與Paul Bakker教導你模組系統的概念與工具，並讓你瞭解可將既有的程式遷移到模組，以及以模組建立新應用程式的模式。● 瞭解Java平台本身如何模組化●瞭解模組化如何影響應用程式的設計、編譯、包裝與部署●編寫你自己的模組● 使用模式改善任何基礎程式的可維護性、靈活性與重複使用性● 瞭解如何使用服務來建立解耦的模組● 將既有的原始碼遷移至模組，以及瞭解如何使用既有的非模組程式庫● 改變Java模組化應用程式的發表方式，建立最佳化的自訂runtime映像
9789864764495,「這些指導方針正確無誤，以簡單明瞭、切實可行的方式，闡述高效開發者如何一貫地撰寫及交付高品質的程式碼。」 －－應用程式架構師、希臘國家銀行／George Marinos你可曾在修改他人程式碼時深感挫折與沮喪？今日，難以維護的程式碼已經成為軟體開發的大麻煩，導致代價不斐的時程延宕與程式缺陷。本書從實務出發，作為解決方案的一部分，提供10條切實可行的指導方針，幫助你成功交付容易維護及修改的絕妙軟體，事實上，這些原則可是淬煉自數百個實務系統的分析結果。 本書出自於Software Improvement Group(SIG)的眾顧問之手，不僅針對這個主題提供清晰且明確的解釋，更說明了如何將理論應用到實務的絕佳建議。雖然本書範例均以Java寫成，但這些原則也適用於使用其他語言的開發者。 ●撰寫簡短的程式碼單元：限制方法與建構式的長度●撰寫單純的程式碼單元：限制每個方法當中的分支點數量●相同的程式碼只撰寫一次，避開複製程式碼臭蟲的風險●透過將參數提取到物件中，保持單元介面簡短●分離關注點，避免建構龐大的類別●保持架構元件鬆散耦合●讓頂層元件的數量與尺寸維持平衡●讓程式碼基礎盡可能保持小巧●自動化測試你的程式碼基礎●撰寫乾淨的程式碼，避免蘊含更深層問題的「程式碼異味」
9789864761524,Java融合了簡單易懂與強大功能，儼然已成為撰寫網際網路程式與跨平台應用程式的最佳物件導向程式語言。當我們使用Java 2標準版8.0的版本來開發動態程式時，本書廣泛且詳盡的內容加上使用的便利性，必能提供您許多必要的資訊。書中說明Java的程式結構與其運作的基本概念，您將會更加瞭解Java程式語言最新的特性以及Java類別函式庫中重要的套件內容。此外，藉由無數的精彩範例程式，可以使您實際地應用這些有用的資源，以完成屬於您自己的應用程式。本書教您如何開始使用Java來撰寫程式，並且透過程式敘述的執行，對Java類別函式庫以及其它相關的內容加以解說。由本書的內容您將可以學到：‧Java程式語言的基本運作方式‧如何應用Java所提供要素‧在程式中儲存資料的方法‧如何定義與使用類別‧泛型類別型態‧群集架構‧建立與修改XML文件‧具備成為稱職之Java程式設計師所需的相關技巧
9789863476054,在熱門技術討論區和 javadoc'd 參考資料中，這本最新版本書籍仍然是最簡單明確的途徑，讓你很快得到所需要的答案。」 －Kevlin Henney顧問、作家、演講者及《程式設計人應該知道的97件事》的書籍主編 本書能幫助有經驗的 Java 程式設計師學習到 Java 7 和 Java 8 最豐富的知識，同時也是開發新手的學習途徑。提供大量案例為讀者示範如何運用當代 Java API 的優點，同時體驗最佳的開發實務。此次新版內容全面更新，第一部分提供 Java 程式語言簡介及介紹 Java 平台核心運行。第二部分為核心概念和 API 參考資料，展示如何在 Java 環境中執行實際的程式編寫工作。‧對語言細節瞭如指掌，包括 Java 8 的改變 ‧使用基本的 Java 語法及學習物件導向程式設計 ‧探索泛型、列舉、註釋及 lambda 運算式 ‧了解物件導向設計中用到的基本技術 ‧詳細檢視平行處理和記憶體之間的運作互動關係 ‧操作 Java 集合及處理常見的資料格式 ‧探索 Java 最新的 I/O API，包括非同步通道 ‧在 Java 虛擬機器上使用 Nashorn 執行 JavaScript ‧熟悉 OpenJDK 的開發工具 
9789863474722,本書以問題導向方式教授程式設計，強調的是問題解決而非僅是語法介紹，書中運用發人深省的問題介紹程式設計。前面幾章的核心思維是問題解決，透過適當的語法與函式庫介紹讓讀者可以學習撰寫程式解決問題；為了支援以問題導向方式教授程式設計，書中提供不同難易度的各種題目以啟發讀者嘗試解決，題目含括許多應用領域，例如：數學、科學、商業、財務、遊戲、動畫與多媒體。於說明設計類別之前，會先介紹基本程式設計觀念與技術以加強基本面；基本迴圈、方法與陣列是程式設計的基礎，建立堅實的基礎是為了能讓讀者接續學習物件導向程式設計與進階的Java程式設計。第十版在文字表達、組織、範例、練習都有大量的強化。強化的部分有：‧重新組織章節以更有邏輯性順序來表達主題‧包含許多新的有趣範例與程式設計練習題來激勵讀者的興趣本書章節區分為三大部分共18章，從基礎Java程式設計、物件導向程式設計到以全新的JavaFX架構的GUI。因為知識是累積的，較早的章節提供程式設計的基礎觀念，並透過簡單案例與練習來引導讀者；之後的章節將會逐漸地詳細介紹Java程式設計。此設計是為了讓讀者成為精通的Java程式設計師。我們的目標是使用廣泛有趣的範例來教授問題解決與程式設計。
9789863474067,通俗的函數式程式設計身為開發者，如果已經會使用Java SE的主要功能，這本書可以讓你知道lambda表達式為Java 8帶來哪些改變。透過程式範例、練習與流暢的說明，你會瞭解到這些匿名函式在撰寫簡明、程式庫等級的程式碼時可以提供哪些協助，以解決商務上遭遇的問題。對Java來說，lambda表達式是非常簡明的變革，本書第一部份會說明如何正確地使用lambda表達式。之後各章會告訴你，lambda函式如何改善平化效能、撰寫更簡易的並行程式，與更精確地塑立領域模型，包括如何建立更棒的DSL。●各章練習可協助快速掌握Java 8的lambda表達式●探討stream、進階群集與其他Java8程式庫改進●採用資料平行來善用多核心CPU並改進效能●運用技巧來「lambdify」既有的程式地基或程式庫●瞭解lambda表達式在單元測試與除錯時的實用方案●採取lambdas來實作物件導向程式設計的SOLID原則●撰寫有效執行訊息傳遞與非阻斷I/O的並行應用程式
9789863472674,開發網路應用程式本書對Java網路程式設計提供完整介紹，讀者會學到如何使用Java的網路類別庫，輕鬆完成多執行緒伺服器，加密通訊，區域網路廣播與發送數據到伺服器端處理程式等常見的網路通訊任務。作者Elliotte Rusty Harold在書中以完整的範例介紹方法與類別，重新編寫過的第四版涵蓋了REST，SPDY，非同步的I/O以及其他新技術。‧TCP/IP，UDP/IP等網際網路底層通訊協定‧處理網路輸出入的Java API‧InetAddress與DNS交互運作‧以URI與URL類別尋找與下載網路資源‧深入解析HTTP通訊協定，包括REST，標頭與cookie等‧以Java的socket類別開發網路用戶端與伺服器程式‧透過非阻斷的I/O管理巨量連線
