書名,書籍網址,作者,出版社,ISBN,圖片網址
Kubernetes最佳實務,https://www.eslite.com/product/1001133102852258,Brendan Burns/ Eddie Villalba/ Dave Strebal/ Lachlan Evenson,美商歐萊禮股份有限公司台灣分公司,9789865024918,https://s.eslite.dev/Upload/Product/202006/l/637284115137090000.jpg
Kubernetes: 建置與執行 (第2版),https://www.eslite.com/product/1001133102850701,Brendan Burns/ Kelsey Hightower/ Joe Beda,美商歐萊禮股份有限公司台灣分公司,9789865024895,https://s.eslite.dev/Upload/Product/202006/l/637274612975242500.jpg
Kubernetes錦囊妙計,https://www.eslite.com/product/1001133102731075,Sébastien Goasguen/ Michael Hausenblas,美商歐萊禮股份有限公司台灣分公司,9789864769216,https://s.eslite.dev/Upload/Product/201904/l/636898196790180710.jpg
Kubernetes: 建置與執行,https://www.eslite.com/product/1001133102683318,Brendan Burns/ Kelsey Hightower/ Joe Beda,美商歐萊禮股份有限公司台灣分公司,9789864768226,https://s.eslite.dev/Upload/Product/201806/l/636634389515435000.jpg
SQL Server on Kubernetes: Designing and Building a Modern Data Platform,https://www.eslite.com/product/1001294884387266,Anthony E. Nocentino ; Ben Weissman,Ingram International Inc,9781484271919,0
"Extending Kubernetes: Elevate Kubernetes with Extension Patterns, Operators, and Plugins",https://www.eslite.com/product/1001294884000448,Onur Yilmaz,Ingram International Inc,9781484270943,0
"Hands-On Kubernetes on Azure - Third Edition: Use Azure Kubernetes Service to automate management, scaling, and deployment of containerized applicatio",https://www.eslite.com/product/1001294884367099,Nills Franssens ; Shivakumar Gopalakrishnan ; Gunther Lenz,Ingram International Inc,9781801079945,0
"Kubernetes Step-by-Step: A beginner's Guide to Build, Scale, Deploy, Manage Production-Ready Kubernetes Clusters and Application",https://www.eslite.com/product/1001294883908241,Brandon Shaw,Ingram International Inc,9781716391996,0
"Gitops and Kubernetes: Continuous Deployment with Argo CD, Jenkins X, and Flux",https://www.eslite.com/product/1001294883826841,Billy Yuen ; Alexander Matyushentsev ; Todd Ekenstam,Ingram International Inc,9781617297274,0
Learn Kubernetes in a Month of Lunches,https://www.eslite.com/product/1001294883827783,Elton Stoneman,Ingram International Inc,9781617297984,0
Certified Kubernetes Application Developer (Ckad) Study Guide: In-Depth Guidance and Practice,https://www.eslite.com/product/1001294883760229,Benjamin Muschko,Ingram International Inc,9781492083733,0
Quick Start Kubernetes,https://www.eslite.com/product/1001294883867050,Nigel Poulton,Ingram International Inc,9798595126502,0
Kubernetes: Preparing for the Cka and Ckad Certifications,https://www.eslite.com/product/1001294884102879,Philippe Martin,Ingram International Inc,9781484264935,0
"Kubernetes: A Step-By-Step Guide For Beginners To Build, Manage, Develop, and Intelligently Deploy Applications By Using Kubernete",https://www.eslite.com/product/1001294883781542,Sheldon Miles,Ingram International Inc,9781513677248,0
"Pro Google Kubernetes Engine: Network, Security, Monitoring, and Automation Configuration",https://www.eslite.com/product/1001294884106130,Navin Sabharwal ; Piyush Pandey,Ingram International Inc,9781484262429,0
"Kubernetes and Docker - An Enterprise Guide: Effectively containerize applications, integrate enterprise systems, and scale applications in your enter",https://www.eslite.com/product/1001294883374312,,Ingram International Inc,9781839213403,0
Kubernetes: A Simple Guide to Master Kubernetes for Beginners and Advanced Users (2020 Edition),https://www.eslite.com/product/1001294884071425,Brian Docker,Ingram International Inc,9781914054136,0
The Kubernetes Workshop: Learn how to build and run highly scalable workloads on Kubernetes,https://www.eslite.com/product/1001294884086527,Zachary Arnold ; Sahil Dua ; Wei Huang,Ingram International Inc,9781838820756,0
"Learn Kubernetes Security: Securely orchestrate, scale, and manage your microservices in Kubernetes deployments",https://www.eslite.com/product/1001294884086213,Kaizhe Huang ; Pranjal Jumde,Ingram International Inc,9781839216503,0
"Mastering Kubernetes - Third Edition: Level up your container orchestration skills with Kubernetes to build, run, secure, and observe large-scale dist",https://www.eslite.com/product/1001294884082072,Gigi Sayfan,Ingram International Inc,9781839211256,0
Kubernetes: Complete Guide to Kubernetes from Beginner to Advanced (With Simple Practice Projects To Perfect Your Skills),https://www.eslite.com/product/1001294883995392,Craig Berg,Ingram International Inc,9798653155482,0
"Hands-On Kubernetes on Azure - Second Edition: Automate management, scaling, and deployment of containerized applications",https://www.eslite.com/product/1001294884044188,Nills Franssens ; Shivakumar Gopalakrishnan ; Gunther Lenz,Ingram International Inc,9781800209671,0
Kubernetes: The Ultimate Beginners Guide to Effectively Learn Kubernetes Step-By-Step,https://www.eslite.com/product/1001294884217888,Mark Reed,Ingram International Inc,9781647710910,0
Kubernetes: The Ultimate Beginners Guide to Effectively Learn Kubernetes Step-By-Step,https://www.eslite.com/product/1001294884216761,Mark Reed,Ingram International Inc,9781647710842,0
Hands-On Kubernetes on Windows,https://www.eslite.com/product/1001294884086423,Piotr Tylenda,Ingram International Inc,9781838821562,0
Kubernetes: The Ultimate Guide to Learn and Master Kubernetes for Beginners and Advanced Users!,https://www.eslite.com/product/1001294883020972,Robert Clarke,Ingram International Inc,9798624375574,0
Kubernetes Operators: Automating the Container Orchestration Platform,https://www.eslite.com/product/1001294883218764,Jason Dobies ; Joshua Wood,Ingram International Inc,9781492048046,0
Kubernetes- A Complete DevOps Cookbook,https://www.eslite.com/product/1001294883812017,Murat Karslioglu,Ingram International Inc,9781838828042,0
Kubernetes: The Ultimate Guide to Learn and Master Kubernetes for Beginners and Advanced Users (2020 Edition),https://www.eslite.com/product/1001294883003345,Michael R. Jacobs,Ingram International Inc,9798612775850,0
"Kubernetes: A Step-By-Step Guide For Beginners To Build, Manage, Develop, and Intelligently Deploy Applications By Using Kubernete",https://www.eslite.com/product/1001294883002899,Sheldon Miles,Ingram International Inc,9798613623808,0
Kubernetes Best Practices: Blueprints for Building Successful Applications on Kubernetes,https://www.eslite.com/product/1001294883561604,Brendan Burns ; Eddie Villalba ; Dave Strebel,Ingram International Inc,9781492056478,0
Kubernetes Vs. Docker: A Step-by-Step Guide to Learn and Master Kubernetes and Docker,https://www.eslite.com/product/1001294883974083,Brayden Smith,Ingram International Inc,9781713120490,0
Kubernetes: Up and Running: Dive Into the Future of Infrastructure,https://www.eslite.com/product/1001294883570172,Brendan Burns ; Joe Beda ; Kelsey Hightower,Ingram International Inc,9781492046530,0
Docker & Kubernetes Fundamentals: First step into the world of containers and cloud native,https://www.eslite.com/product/1001294884208149,Ajay Kumar,Ingram International Inc,9781691356546,0
Programming Kubernetes: Developing Cloud-Native Applications,https://www.eslite.com/product/1001294883218753,Michael Hausenblas ; Stefan Schimanski,Ingram International Inc,9781492047100,0
Introduction to DevOps with Kubernetes,https://www.eslite.com/product/1001294884057796,Onur Y&#305 ; lmaz ; Süleyman Akba&#351 ; ,Ingram International Inc,9781789808285,0
Kubernetes Patterns: Reusable Elements for Designing Cloud-Native Applications,https://www.eslite.com/product/1001294883558968,Bilgin Ibryam ; Roland Huß,Ingram International Inc,9781492050285,0
Kubernetes: The Complete Guide To Master Kubernetes (March 2019 Edition),https://www.eslite.com/product/1001294883166790,Joseph D. Moore,Ingram International Inc,9781096165774,0
Kubernetes: A Step-by-Step Guide to Learn and Master Kubernetes,https://www.eslite.com/product/1001294883157449,Brayden Smith,Ingram International Inc,9781090401632,0
Managing Kubernetes: Operating Kubernetes Clusters in the Real World,https://www.eslite.com/product/1001294883575446,Brendan Burns ; Craig Tracey,Ingram International Inc,9781492033912,0
DevOps with Kubernetes: Non-Programmer's Handbook,https://www.eslite.com/product/1001294883317973,,Ingram International Inc,9781643701387,0
Kubernetes Cookbook: Building Cloud Native Applications,https://www.eslite.com/product/1001294883209106,Sébastien Goasguen ; Michael Hausenblas,Ingram International Inc,9781491979686,0
Kubernetes in Action,https://www.eslite.com/product/1001294883559963,Marko Luksa,Ingram International Inc,9781617293726,0
Kubernetes: Up and Running: Dive Into the Future of Infrastructure,https://www.eslite.com/product/1001294883818021,Kelsey Hightower ; Brendan Burns ; Joe Beda,Ingram International Inc,9781491935675,0
IT進階修煉: Kubernetes容器雲全方位應用,https://www.eslite.com/product/1001248272868504,閆健勇/ 龔正/ 吳治輝/ 劉曉紅/ 崔秀龍/ 趙玲麗/ 何通,深石數位科技股份有限公司,9789865004699,https://s.eslite.dev/Upload/Product/202009/l/637350642703456250.jpg
現在學正是時候: 用Docker+Kubernetes建立永續叢集服務,https://www.eslite.com/product/1001313432851322,羅利民,深智數位股份有限公司,9789865501341,https://s.eslite.dev/Upload/Product/202006/l/637284114466933750.jpg
IT進階修煉: 從Docker到Kubernetes實作指南,https://www.eslite.com/product/1001239292842788,龔正/ 吳治輝/ 王偉/ 崔秀龍/ 閆健勇/ 崔曉甯/ 劉曉紅,佳魁資訊股份有限公司,9789863798019,https://s.eslite.dev/Upload/Product/202005/l/637241779869181294.jpg
史上最完整細節: Kubernetes超應用全書,https://www.eslite.com/product/1001313432831650,龔正/ 吳治輝/ 崔秀龍/ 閆健勇,深智數位股份有限公司,9789865501211,https://s.eslite.dev/Upload/Product/202003/l/637202036269882500.jpg
