ISBN,書籍簡介
9789865024918,．在Kubernetes中設定和開發應用程式 ．了解用於監視、保護系統以及管理升級，部署和回滾的模式 ．了解Kubernetes的網路策略以及適合服務網格的位置 ．在Kubernetes使用遺留系統（legacy applications） ．在Kubernetes中運行機器學習 ________________________________________
9789865024895,"Kubernetes是當紅的容器叢集管理工具。在過去幾年內，容器叢集管理工具大幅改變開發跟維運人員在雲端環境中開發、建構、部署和維護應用程式的方法。不論你是剛剛接觸分散式系統，或著正在使用雲端環境部署應用程式，這本經典之作的更新版能幫助你的公司進入更快速、靈活、可靠和高效的雲端環境。 Brendan Burns, Joe Beda和 Kelsey Hightower三位Kubernetes的專家，將帶領讀者瞭解如何利用Kubernetes部署分散式應用程式。您可以藉由本書學到如何使用工具及API來自動化具有可擴充性的分散式線上服務、機器學習應用程式，甚至是使用Reapberry Pi建立叢集。 ．建立並運行一個簡單的叢集來學習Kubernetes的運作 ．深入了解如何使用Kubernetes、Pod、Service、Ingress和ReplicaSet來部署應用程式 ．在Kubernetes中整合容器化微服務與儲存區 ．學會使用Kubernetes中的DaemonSet、Jobs、ConfigMaps和Secret物件 ．提供開發及部署應用程式的Kubernetes實用範例 「由三位世界上令人尊敬且具有高度權威性的雲端原生系統作者所撰寫，本書可以幫您奠定使用Kubernetes的基礎觀念，並藉由其中的範例探索Kubernetes的世界」- Liz Rice, Aqua Security"
9789864769216,如果你正準備要轉移為雲端原生運算架構，這本錦囊妙計會告訴你如何成功地運用Kubernetes。這套軟體已公認是關於自動化部署、自動調整、以及管理容器化應用程式的實質標準。書中涵蓋超過80種實用的招式，不論是開發人員、系統管理員和架構師，都可以從本書中迅速學到如何開始使用Kubernetes，並了解其威力無比的API。本書提供了許多詳盡的解決方案，從Kubernetes的安裝、Kubernetes的操作，以及如何在開發和正式環境中使用Kubernetes等等。各位會學到如何讓系統適應你的特定需求，並進一步熟悉它廣泛的周邊生態系統。每個章節的招式都是以問題－－解法－－探討這種歐萊禮為人所稱道的標準格式撰寫而成。本書中的招式主要有：●建立Kubernetes叢集●使用Kubernetes的指令列介面●管理基本的工作負載類型●操作服務●探索Kubernetes的API●管理有狀態的、和非雲端原生的應用程式●操作卷冊和設定資料●叢集層面和應用程式層面的規模調整（scaling）●保護你的應用程式●監控和日誌紀錄●維護與故障排除「最好的基礎設施，就是看不見的基礎設施。Kubernetes錦囊妙計一書可以讓你走上正確的路。本書提供紮實的範例，教你如何完成一件工作，以便回頭去處理更重要的工作。長此以往，你將累積一連串的技巧，將你的Kubernetes知識提昇到全新境界。」－－ Heptio技術長兼創辦人、 Kubernetes創辦人／Joe Beda
9789864768226,據說Google每週部署超過20億個應用程序容器。那怎麼可能？Google透過一個名為Kubernetes的專案揭露了這個秘密，這是一個開源的叢集協調器（基於其內部使用的Borg系統），它從根本上簡化了構建、部署和維護雲端分佈式系統的工作。本書將告訴您Kubernetes和容器技術如何幫助您達到速度、敏捷性、可靠性和效率的新水準。本書帶領您認識Kubernetes在分散式系統中所扮演的角色，如何使用相關的工具與API來實現自動化部署，無論是用於線上服務、機器學習系統或樹莓派（Rpi）電腦所組成的叢集。●探索Kubernetes在分佈式系統中的應用●使用Docker等容器，深入探討容器化的應用程序開發，並使用Docker之類的容器●使用Docker映像檔在Kubernetes上建立與執行容器，●探索核心的Kubernetes概念和API物件●在不停機與出錯的狀況下推出軟體新版●開發與部署Kubernetes的真實案例
9781484271919,"Build a modern data platform by deploying SQL Server in Kubernetes. Modern application deployment needs to be fast and consistent to keep up with business objectives and Kubernetes is quickly becoming the standard for deploying container-based applications, fast. This book introduces Kubernetes and its core concepts. Then it shows you how to build and interact with a Kubernetes cluster. Next, it goes deep into deploying and operationalizing SQL Server in Kubernetes, both on premises and in cloud environments such as the Azure Cloud.You will begin with container-based application fundamentals and then go into an architectural overview of a Kubernetes container and how it manages application state. Then you will learn the hands-on skill of building a production-ready cluster. With your cluster up and running, you will learn how to interact with your cluster and perform common administrative tasks. Once you can admin the cluster, you will learn how to deploy applications and SQL Server in Kubernetes. You will learn about high-availability options, and about using Azure Arc-enabled Data Services. By the end of this book, you will know how to set up a Kubernetes cluster, manage a cluster, deploy applications and databases, and keep everything up and running.What You Will LearnUnderstand Kubernetes architecture and cluster componentsDeploy your applications into Kubernetes clustersManage your containers programmatically through API objects and controllersDeploy and operationalize SQL Server in KubernetesImplement high-availability SQL Server scenarios on Kubernetes using Azure Arc-enabled Data ServicesMake use of Kubernetes deployments for Big Data ClustersWho This Book Is ForDBAs and IT architects who are ready to begin planning their next-generation data platform and want to understand what it takes to run SQL Server in a container in Kubernetes. SQL Server on Kubernetes is an excellent choice for those who want to understand the big picture of why Kubernetes is the next-generation deployment method for SQL Server but also want to understand the internals, or the how, of deploying SQL Server in Kubernetes. When finished with this book, you will have the vision and skills to successfully architect, build and maintain a modern data platform deploying SQL Server on Kubernetes. "
9781484270943,"Rely on this comprehensive guide to understand the extension patterns and discover the extension plugins for Kubernetes.In this book, state-of-the-art extension patterns and extension points of Kubernetes are covered in depth with real-life use cases and examples. There are comprehensive discussions in the text on all possible aspects of Kubernetes, starting from end-user to the fully-automated controller development. The book focuses on creating applications that work on Kubernetes and also interact and operate Kubernetes itself.The book starts with a recap of Kubernetes, its rich configuration options, extension patterns, and points. The journey of extending Kubernetes starts with the CLI tool plugins. By the end of this section, you will be able to create and manage kubectl plugins. Then, the API access plugins with authentication and authorization webhooks are presented. In this section, you will learn how to extend and interfere with the API flow of Kubernetes. You then move on to learn how to extend Kubernetes API with new resources and controllers. You will make Kubernetes API work for you by creating a Kubernetes operator. Extensions for Kubernetes schedulers are covered to create a custom scheduler and run it side-by-side with the default scheduler. Finally, the last extension points will be discussed for the infrastructure, such as networking or storage. At the end of the text, you will learn the upcoming extension points. This book is designed to cover all the extension points of Kubernetes with state-of-the-art implementations. This book is intended for those who wish to understand Kubernetes in depth and go further by making Kubernetes work for their custom requirements. By the end of this book, readers with a cloud-native mindset will broaden their vision to create future-proof applications. Rather than focus on overwhelming theoretical information and YAML files for Kubernetes resources, readers are provided with the philosophy behind Kubernetes extensions. With real-life examples and hands-on development steps, you will be more confident in working with Kubernetes.What You Will LearnKnow the Kubernetes extension patterns and available extension points Be familiar with the philosophy behind Kubernetes extensions and how they should be integrated into the clustersDesign Kubernetes extensions and make Kubernetes work for youDevelop, deploy, and operate plugins for Kubernetes ranging from the CLI tool to custom resources, schedulers, infrastructure, and more Study real-life use cases for extending Kubernetes with code examplesWho This Book Is ForSoftware engineers, developers, DevOps engineers, cloud security analysts, architects, and managers who have Kubernetes in their short- and long-term plans"
9781801079945,0
9781716391996,"Do you wish you understood the revolutionary platform that companies all over the world are using to streamline their production? Then keep reading!If you've been seeing all the fuss about Kubernetes and wondering how you could get in on that, then you need this step-by-step guide on the platform. This guide provides you with the steps you need in order to master the platform, deploy it through your entire production team and maximize the quality of your team's work while shrinking the lead time.This is the perfect book to help you to master every aspect of Kubernetes from deployments to pods, services, client libraries, extensions, and all the other valuable assets this platform has to offer you. This book contains practical examples you can use to fully understand the material and to get an idea for how to creatively maximize your usage of this platform to augment your business!In this step-by-step guide, you will find: -The very purpose for which Kubernetes was created and how it does the things it does-How to assist others in using this platform to maximize the quality of their work-The limitations this platform has, and how to creatively navigate around them-Detailed explanations of each of the features of the platform and how to use them-The benefits of extensions for Kubernetes-So much more!Don't delay any longer in learning about and getting the best possible user experience in Kubernetes. With this book, you can adopt the most helpful habits and practices in using the platform, you can learn the strategies of the professionals who use this platform every day, and you can solve any possible issues or obstacles that present themselves. There are no down-sides!Buy your copy today and get started!"
9781617297274,"GitOps and Kubernetes teaches you how to use Git and the GitOps methodology to manage a Kubernetes cluster. Summary GitOps and Kubernetes introduces a radical idea--managing your infrastructure with the same Git pull requests you use to manage your codebase. In this in-depth tutorial, you'll learn to operate infrastructures based on powerful-but-complex technologies such as Kubernetes with the same Git version control tools most developers use daily. With these GitOps techniques and best practices, you'll accelerate application development without compromising on security, easily roll back infrastructure changes, and seamlessly introduce new team members to your automation process. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.  About the technology With GitOps you use the Git version control system to organize and manage your infrastructure just like any other codebase. It's an excellent model for applications deployed as containers and pods on Kubernetes.  About the book GitOps and Kubernetes teaches you how to use Git and the GitOps methodology to manage a Kubernetes cluster. The book interleaves theory with practice, presenting core Ops concepts alongside easy-to-implement techniques so you can put GitOps into action. Learn to develop pipelines that trace changes, roll back mistakes, and audit container deployment.  What's inside  Managing secrets the GitOps way Controlling access with Git, Kubernetes, and Pipeline Branching, namespaces, and configuration About the reader For developers and operations engineers familiar with continuous delivery, Git, and Kubernetes.  About the author Billy Yuen, Alexander Matyushentsev, Todd Ekenstam, and Jesse Suen are principal engineers at Intuit. They are widely recognized for their work in GitOps for Kubernetes.  Table of Contents PART 1 - BACKGROUND 1 Why GitOps? 2 Kubernetes & GitOps PART 2 - PATTERNS & PROCESSES 3 Environment Management 4 Pipelines 5 Deployment Strategies 6 Access Control & Security 7 Secrets 8 Observability PART 3 - TOOLS 9 Argo CD 10 Jenkins X 11 Flux"
9781617297984,"Learn Kubernetes in a Month of Lunches is your guide to getting up and running with Kubernetes. Summary In Learn Kubernetes in a Month of Lunches you'll go from ""what's a Pod?"" to automatically scaling clusters of containers and components in just 22 hands-on lessons, each short enough to fit into a lunch break. Every lesson is task-focused and covers an essential skill on the road to Kubernetes mastery. You'll learn how to smooth container management with Kubernetes, including securing your clusters, and upgrades and rollbacks with zero downtime. No development stack, platform, or background is assumed. Author Elton Stoneman describes all patterns generically, so you can easily apply them to your applications and port them to other projects  Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.  About the technology Create apps that perform identically on your laptop, data center, and cloud  Kubernetes provides a consistent method for deploying applications on any platform, making it easy to grow. By efficiently orchestrating Docker containers, Kubernetes simplifies tasks like rolling upgrades, scaling, and self-healing.  About the book Learn Kubernetes in a Month of Lunches is your guide to getting up and running with Kubernetes. You'll progress from Kubernetes basics to essential skills, learning to model, deploy, and manage applications in production. Exercises demonstrate how Kubernetes works with multiple languages and frameworks. You'll also practice with new apps, legacy code, and serverless functions.  What's inside  Deploying applications on Kubernetes clusters Understanding the Kubernetes app lifecycle, from packaging to rollbacks Self-healing and scalable apps Using Kubernetes as a platform for new technologies About the reader For readers familiar with Docker and containerization.  About the author Elton Stoneman is a Docker Captain, a 11-time Microsoft MVP, and the author of Learn Docker in a Month of Lunches.  Table of Contents PART 1 - FAST TRACK TO KUBERNETES 1 Before you begin 2 Running containers in Kubernetes with Pods and Deployments 3 Connecting Pods over the network with Services 4 Configuring applications with ConfigMaps and Secrets 5 Storing data with volumes, mounts, and claims 6 Scaling applications across multiple Pods with controllers PART 2 - KUBERNETES IN THE REAL WORLD 7 Extending applications with multicontainer Pods 8 Running data-heavy apps with StatefulSets and Jobs 9 Managing app releases with rollouts and rollbacks 10 Packaging and managing apps with Helm 11 App development--Developer workflows and CI/CD PART 3 - PREPARING FOR PRODUCTION 12 Empowering self-healing apps 13 Centralizing logs with Fluentd and Elasticsearch 14 Monitoring applications with Kubernetes with Prometheus 15 Managing incoming traffic with Ingress 16 Securing applications with policies, contexts, and admission control PART 4 - PURE AND APPLIED KUBERNETES 17 Securing resources with role-based access control 18 Deploying Kubernetes: Multinode and multiarchitecture clusters 19 Controlling workload placement and automatic scaling 20 Extending Kubernetes with custom resources and Operators 21 Running serverless functions in Kubernetes 22 Never the end"
