書名,書籍網址,作者,出版社,ISBN,圖片網址
Lte Cellular Narrowband Internet of Things (Nb-Iot): Practical Projects for the Cloud and Data Visualization,https://www.eslite.com/product/1001294883928678,Hossam Fattah,Ingram International Inc,9780367636296,0
From GSM to LTE-Advanced 4Ed C,https://www.eslite.com/product/1001294883774315,Martin Sauter,Ingram International Inc,9781119714675,0
From GSM to Lte-Advanced Pro and 5g: An Introduction to Mobile Networks and Mobile Broadband,https://www.eslite.com/product/1001294883707013,Martin Sauter,Ingram International Inc,9781119346869,0
Voice Over Lte: Volte,https://www.eslite.com/product/1001294883678380,Miikka Poikselk ; Harri Holma ; Jukka Hongisto,Ingram International Inc,9781119951681,0
LTE et les réseaux 4G,https://www.eslite.com/product/1001294884252008,Yannick Bouguen ; Eric Hardouin ; François-Xavier Wolff,Ingram International Inc,9782212129908,0
行動通訊X物聯網: 機器通訊M2M搭載LTE技術終端進化,https://www.eslite.com/product/1001239292783212,朱雪田/ 趙孝武/ 宋令陽/ 張銀成/ 諸瑾文/ 李慧芳,佳魁資訊股份有限公司,9789863797623,https://s.eslite.dev/Upload/Product/201907/l/637000724162010058.jpg
第四代行動通訊系統3GPP LTE-Advanced: 原理與實務 (第2版),https://www.eslite.com/product/1001122982507602,李大嵩/ 李明峻/ 李常慎/ 黃崇榮,全華圖書股份有限公司,9789864631704,https://s.eslite.dev/Upload/Product/201605/l/635981203574480000.jpg
從4G LTE看行動醫療商機,https://www.eslite.com/product/1001174432355266,拓墣產業研究所,拓墣科技股份有限公司,9789865914370,https://s.eslite.dev/Upload/Product/201408/l/635448978974993750.jpg
從4G LTE到LTE Advanced全球行動通訊發展趨勢,https://www.eslite.com/product/1001174432286324,拓墣產業研究所,拓墣科技股份有限公司,9789865914240,https://s.eslite.dev/upload/product/l/2680829843002/288812.jpg
邁向4G LTE新世代,https://www.eslite.com/product/1001174432200885,拓墣產業研究所,拓墣科技股份有限公司,9789865914103,https://s.eslite.dev/Upload/Product/201212/l/634915891674932500.jpg
"Networking Hacking: 2 Books in 1: Networking for Beginners, Hacking with Kali Linux - Easy Guide to Learn Cybersecurity, Wireless, LTE, Ne",https://www.eslite.com/product/1001294883820817,Dylan Mach,Ingram International Inc,9781801792547,0
"Networking Hacking: 2 Books in 1: Networking for Beginners, Hacking with Kali Linux - Easy Guide to Learn Cybersecurity, Wireless, LTE, Ne",https://www.eslite.com/product/1001294883822692,Dylan Mach,Ingram International Inc,9781801792554,0
"Networking Hacking: 2 Books in 1: Networking for Beginners, Hacking with Kali Linux - Easy Guide to Learn Cybersecurity, Wireless, LTE, Ne",https://www.eslite.com/product/1001294883824529,Dylan Mach,Ingram International Inc,9781801792561,0
"Networking for Beginners: Easy Guide to Learn Basic/Advanced Computer Network, Hardware, Wireless, and Cabling. LTE, Internet, and Cyber Securit",https://www.eslite.com/product/1001294883837886,Dylan Mach,Ingram International Inc,9781801792226,0
"Networking for Beginners: Easy Guide to Learn Basic/Advanced Computer Network, Hardware, Wireless, and Cabling. LTE, Internet, and Cyber Securit",https://www.eslite.com/product/1001294883819444,Dylan Mach,Ingram International Inc,9781801792219,0
"Networking for Beginners: Easy Guide to Learn Basic/Advanced Computer Network, Hardware, Wireless, and Cabling. LTE, Internet, and Cyber Securit",https://www.eslite.com/product/1001294883825784,Dylan Mach,Ingram International Inc,9781801535618,0
"Networking for Beginners: Easy Guide to Learn Basic/Advanced Computer Network, Hardware, Wireless, and Cabling. LTE, Internet, and Cyber Securit",https://www.eslite.com/product/1001294883858766,Dylan Mach,Ingram International Inc,9781801531948,0
"NETWORKING for Beginners: Easy Guide to Learn Basic/Advanced Computer Network, Hardware, Wireless, and Cabling. LTE, Internet and Cyber Security",https://www.eslite.com/product/1001294883972681,Dylan Mach,Ingram International Inc,9781712954010,0
"Anwälteleben: Ein freches Malbuch für Erwachsene: Ein Anti-Stress-Buch zur Entspannung und Stressabbau für Anwälte und Anwältinnen,",https://www.eslite.com/product/1001294883643533,Papeterie Bleu,Ingram International Inc,9781645203285,0
"Grundkurs Mobile Kommunikationssysteme: Lte-Advanced, Umts, Hspa, Gsm, Gprs, Wireless LAN Und Bluetooth",https://www.eslite.com/product/1001294883491208,,Ingram International Inc,9783658083410,0
"Wireless Networks: Design and Integration for LTE, EVDO, HSPA, and WiMAX",https://www.eslite.com/product/1001294883030891,Clint Smith ; Daniel Collins,Ingram International Inc,9780071819831,0
Synthiepop - Die gefühlvolle Kälte: Geschichten des Synthiepop,https://www.eslite.com/product/1001294883000734,Dirk Horst,Ingram International Inc,9783842334229,0
