ISBN,書籍簡介
9780367636296,"NB-IoT is the Internet of Things (IoT) technology used for cellular communication. NB-IoT devices deliver much better capability and performance, such as: increased area coverage of up to one kilometer; a massive number of devices--up to 200,000--per a single base-station area; longer battery lifetime of ten years; and better indoor and outdoor coverage for areas with weak signal, such as underground garages.The cellular NB-IoT technology is a challenging technology to use and understand. With more than 30 projects presented in this book, covering many use cases and scenarios, this book provides hands-on and practical experience of how to use the cellular NB-IoT for smart applications using Arduino(TM), Amazon Cloud, Google Maps, and charts.The book starts by explaining AT commands used to configure the NB-IoT modem; data serialization and deserialization; how to set up the cloud for connecting NB-IoT devices; setting up rules, policy, security certificates, and a NoSQL database on the cloud; how to store and read data in the cloud; how to use Google Maps to visualize NB-IoT device geo-location; and how to use charts to visualize sensor datasets.Projects for Arduino are presented in four parts. The first part explains how to connect the device to the mobile operator and cellular network; perform communication using different network protocols, such as TCP, HTTP, SSL, or MQTT; how to use GPS for geo-location applications; and how to upgrade NB-IoT modem firmware over the air. The second part explains the microcontroller unit and how to build and run projects, such as a 7-segment display or a real-time clock. The third part explains how NB-IoT can be used with sensor devices, such as ultrasonic and environmental sensors. Finally, the fourth part explains how NB-IoT can be used to control actuators, such as stepper motors and relays.This book is a unique resource for understanding practical uses of the NB-IoT technology and serves as a handbook for technical and non-technical readers who are looking for practicing and exercising the cellular NB-IoT technology. The book can be used by engineers, students, researchers, system integrators, mobile operators' technical staff, and electronics enthusiasts.To download the software which can be used with the book, go to: https: //github.com/5ghub/NB-IoTAbout the Author: Hossam Fattah is a technology expert in 4G/5G wireless systems and networking. He received his Ph.D. in Electrical and Computer Engineering from University of British Columbia, Vancouver, Canada in 2003. He received his Master of Applied Science in Electrical and Computer Engineering from University of Victoria, Victoria, Canada in 2000. He completed his B.Sc. degree in Computers and Systems Engineering from Al-Azhar University, Cairo, Egypt in 1995. Between 2003 and 2011, he was in academia and industry, including Texas A&M University. Between 2011 and 2013, he was with Spirent Communications, NJ, USA. Since 2013, he has been with Microsoft, USA. He is also an affiliate associate professor at University of Washington, Tacoma, WA, USA, teaching graduate courses on IoT and distributed systems and collaborating on 5G research and innovations. He has had many patents and technical publications in conferences and journals. He is a registered professional Engineer with the Association of Professional Engineers, British Columbia, Canada. He is the author of the recent book 5G LTE Narrowband Internet of Things (NB-IoT). His research interest is in wireless communications and radio networks and protocols, cellular quality of service, radio resource management, traffic and packet scheduling, network analytics, and mobility."
9781119714675,"MARTIN SAUTER works in the telecommunications industry as a thought leader, researcher, book author, and blogger based in Cologne. His interests are focused on mobile communication networks, multimedia applications and especially the wireless Internet."
9781119346869,"Martin Sauter works in the telecommunication industry as a thought leader, researcher, book author and blogger and is based in Cologne. His interests are focused on mobile communication networks, multimedia applications and especially the wireless Internet."
9781119951681,"Miikka Poikselkä, Program Manager, NSN, Finland. Harri Holma, Principal Engineer, NSN (NSN Fellow), Finland. Jukka Hongisto, Solution Architect, NSN, Finland. Juha Kallio, Architect, NSN, Finland. Antti Toskala, Head of 3GPP Radio Standardization, Finland.The authors are all with Nokia Siemens Networks (NSN) in Finland working on the cutting edge technologies for mobile communications today. They are involved with 3GPP Standardisation, and technical aspects, ensuring they are a in key position to write on this important topic."
9782212129908,En cours de d ploiement dans de nombreux pays
9789863797623,近年來物聯網應用已滲透人類生產和生活各方面，透過與行動網路相互結合，物聯網幾乎包含所有網路涉足的空間，而以E/LTE-Advanced為主的4G以上之行動通訊方興未艾，正處高速成長期，因此採取針對性之最佳化與增強措施，將可大幅提升物聯網系統的效率和適用性，並有效降低成本，有利於電信業者之網路營運與有效控管，對物聯網產業發展具有積極意義。本書著眼於4G以上之行動通訊與物聯網的融合技術，以3GPP/CCSA對物聯網關鍵技術的標準制定和推進為主線，結合物聯網主要應用場景及增強需求，詳細介紹物聯網應用在網路架構、業務管理支撐平台、承載網路和終端等多方面增強技術之實現需求與基本原理。適用：通訊電信業者、規劃設計和物聯網解決方案提供商等相關技術人員，以及大專院校和研究機構人員參考用書。
9789864631704,本書主題為第四代行動通訊技術標準3GPP LTE-A系統的原理與實務，全書分為兩個部分：第一部分側重與LTE-A相關性較高的行動通訊學理介紹，第二部分側重LTE-A的技術標準實務介紹。學理部份首先探討電波傳輸物理特性，並介紹多天線系統信號模型；其次，針對OFDM系統，從傳收機基本架構、原理及相關的信號檢測與處理演算法進行深入介紹；最後探討多天線信號處理，提供全面性的介紹。實務部分：首先針對LTE/LTE-A系統與技術，介紹從R8到R12規格版本的演進過程與主要技術內涵，並詳述系統網路架構、通訊協定，與實體傳輸資源；其次，介紹LTE/LTE-A系統實體層運作與處理，包括各類參考信號、實體層處理、多天線傳輸模式、控制信令，與協調多點傳輸及載波聚合技術；最後，探討後4G技術趨勢，介紹幾種較具潛力的新技術組合，並以5G技術展望作為結尾，說明下世代行動通訊技術的發展趨勢與遠景。
9789865914370,"行動寬頻網路為全球最重要的行動通訊技術，即是第四代行動網路通訊技術中的長期演進技術（Long Term Evolution，LTE），LTE為以往3G行動通訊技術的平滑演進技術。根據拓墣產業研究所統計，從2009年歐洲商用第一個LTE網路以來，至2012年底用戶數已來到6,500萬人，2013年底達到1.2億戶，至2014年底可望維持高速成長，來到2.5億戶水準。展望2014年，服務應用將成為LTE產業發展的焦點。 隨著科技的進步，無線通訊技術也不斷在衝擊與改變全球醫療照護的模式，用於診斷、監控及治療疾病的醫療器材與裝置不斷隨著使用者的需求，而持續做出改進與調整。除了拯救無數的生命之外，加上無線通訊技術的發展，健康照護技術與設備也以更友善與便捷的形勢出現。由於行動裝置時代的來臨，手機成為個人行動秘書的角色已經可以預見，而未來健康照護與醫療設備必定會與行動裝置有更強的連結性。"
9789865914240,隨著行動通訊時代來臨，消費者使用手機做為通訊及個人隨身助理已成為生活中不可或缺的行為。根據拓墣產業研究所預估，全球行動裝置在2012年已來到17.8億支水準，2013年更將達到18.4億支，其中智慧型手機預估將從2012年6.8億支水準大幅度躍升到9.4億支。而隨著全球行動裝置數量不斷上升，也將帶動未來在行動通訊服務與應用的發展。 根據Cisco 2013 Visual Network Index報告統計，2013年全球每月行動寬頻流量將來到1.6EB，與2012年水準相比，成長77.78％。在這樣的趨勢下，也勢必驅使著行動網路升級。  在應用發展中，佔流量最大宗的影像串流（Video Streaming）也受到手機大尺寸趨勢與影像壓縮技術的持續發展，刺激消費者對於頻寬的需求持續上升，加上LTE技術在開發端能做到以往3G無法辦到的應用服務，以及各國政府對於基礎建設的重視，種種因素都將驅使LTE持續發展成為未來的行動通訊技術主流。
9789865914103,"隨著行動網路不斷演進，從而支援更高速的無線技術，3G的傳輸速率與頻寬逐漸無法滿足消費者對於播放高畫質、3D影音等多媒體內容，使得無線通訊技術的發展腳步從已經成熟的3G邁向4G通訊技術。目前4G通訊技術在全球如火如荼的發展，由於全球各國採用的3G標準不盡相同，在升級4G後，也面臨標準各異的問題；此外，3G、Wi-Fi等各種無線技術成熟，加上4G技術尚未有明確的部署時程，因此部分電信運營商採取觀望態度，但仍有市場先行者積極建置LTE網路。 其中美國LTE在2012年可望達合理覆蓋率，加上亞太地區如韓國的KT、日本NTT DoCoMo等重點廠商商轉，與部分國家出現TD-LTE商用網路的發展趨勢下，在LTE終端產品的推出更是精采可期。"
9781801792547,"﻿If you want to learn more about Networking, Computer Programming,  and Hacking, to protect your system, this book set can help you! The book includes:  NETWORKING for Beginners  The book covers an overview of different types of cyber-attacks, the steps to follow to prevent attackers from targeting your system and infect your files.You will learn the difference between prevention measures and mitigation measures relevant to cyber-attacks. This way, you will have a clear understanding of how to deal with cyber-attacks and get general prevention methods to protect your system against possible threats to your data. You will find: - Different types of cyber-attacks- Basic of computer networks- Protocols- Basic of machine learning- Cybersecurity fundamentals- Common types of cyber-attacks- Information Technology, wireless, and LTE- And more... HACKING with KALI LINUX This book describes the best ways to find vulnerabilities of a system, in terms of hacking and protecting your network.You will learn: Basics of Hacking and using Kali Linux as one of the best optionsKali Linux toolsVPN's TorWireless networkIP spoofingBasics of Penetration TestingRegardless of your computer skills, this book, with its easy-to-use guidelines, will give you complete knowledge of hacking and networking. If you want to have a clear understanding of how to manage your network, prevent any cyber-attacks, and protect your data from hackers, then BUY this book!"
9781801792554,"★ 55% OFF for Bookstores  ★ Discounted Retail Price ★﻿﻿﻿If you want to learn more about Networking, Computer Programming,  and Hacking, to protect your system, this book set can help you  The book includes:  NETWORKING for Beginners:  The book covers an overview of different types of cyber-attacks, the steps to follow to prevent attackers from targeting your system and infect your files.You will learn the difference between prevention measures and mitigation measures relevant to cyber-attacks. This way, you will have a clear understanding of how to deal with cyber-attacks and get general prevention methods to protect your system against possible threats to your data. You will find: - Different types of cyber-attacks- Basic of computer networks- Protocols- Basic of machine learning- Cybersecurity fundamentals- Common types of cyber-attacks- Information Technology, wireless, and LTE- And more... HACKING with KALI LINUX: This book describes the best ways to find vulnerabilities of a system, in terms of hacking and protecting your network.You will learn: Basics of Hacking and using Kali Linux as one of the best optionsKali Linux toolsVPN's TorWireless networkIP spoofingBasics of Penetration TestingRegardless of your computer skills, this book, with its easy-to-use guidelines, will give you complete knowledge of hacking and networking. If you want to have a clear understanding of how to manage your network, prevent any cyber-attacks, and protect your data from hackers, then BUY this book "
9781801792561,"★ 55% OFF for Bookstores  ★ Discounted Retail Price ★﻿﻿﻿If you want to learn more about Networking, Computer Programming,  and Hacking, to protect your system, this book set can help you  The book includes:  NETWORKING for Beginners:  The book covers an overview of different types of cyber-attacks, the steps to follow to prevent attackers from targeting your system and infect your files.You will learn the difference between prevention measures and mitigation measures relevant to cyber-attacks. This way, you will have a clear understanding of how to deal with cyber-attacks and get general prevention methods to protect your system against possible threats to your data. You will find: - Different types of cyber-attacks- Basic of computer networks- Protocols- Basic of machine learning- Cybersecurity fundamentals- Common types of cyber-attacks- Information Technology, wireless, and LTE- And more... HACKING with KALI LINUX: This book describes the best ways to find vulnerabilities of a system, in terms of hacking and protecting your network.You will learn: Basics of Hacking and using Kali Linux as one of the best optionsKali Linux toolsVPN's TorWireless networkIP spoofingBasics of Penetration TestingRegardless of your computer skills, this book, with its easy-to-use guidelines, will give you complete knowledge of hacking and networking. If you want to have a clear understanding of how to manage your network, prevent any cyber-attacks, and protect your data from hackers, then BUY this book "
9781801792226,"If you thought that the development of computers has limited challenges, then this book highlights one of the significant difficulties facing the computing world.Since the incorporation of machines, different groups have come up with techniques of getting access to unauthorized data as well as invading privacy by exploiting confidential information of others. Besides, cyber-attacks have been on the rise, and this is contributed by the increase in the types of attacks experienced today by victims globally. Inside, you will learn an overview of cyber-attacks, and how of first came into existence from the first hackers who introduced the process. Learning alone about cyber-attacks also requires knowledge about the different types of attacks,  including the most recent techniques used by attackers. You will then learn about the different types, including the first type of attack, which caught the attention of developers. Preparing for the worsts is usually essential, especially when venturing into new areas without understanding the limitations which are likely to experience. In this book, therefore, the types of cyber-attacks highlighted accompany the possible mitigations measures which you may use to prevent specific processes.Understanding about cyber-attacks and its types is not usually enough unless accompanied by some of the possible prevention measures you can use and protect your computer system against such. Due to the lack of specific strategies to implement and protect your system, you have to work with all the possible prevention measures. In other words, when learning about the types of cyber-attacks, you will find out that there are several ways an attacker can gain access to under your system. This is, therefore, essential as it, therefore, may require you to implement different methods in order to prevent losing relevant data. Thus, the book highlights the useful guidelines to follow and prevent attackers from targeting your system and infect your files.Inside You Will Find- A general overview of cyber-attacks including definitions, history and how it has caused chaos among computer users- Common types of cyber-attacks and the processes used to implement them in a given attack to a victim's computer- Recommendation measures for each specific type of cyber-attack when faced with one or more threats And more...So, if you want to prevent any cyber-attacks, and protect your system, then BUY this Book!"
9781801792219,"If you thought that the development of computers has limited challenges, then this book highlights one of the significant difficulties facing the computing world.Since the incorporation of machines, different groups have come up with techniques of getting access to unauthorized data as well as invading privacy by exploiting confidential information of others. Besides, cyber-attacks have been on the rise, and this is contributed by the increase in the types of attacks experienced today by victims globally. Inside, you will learn an overview of cyber-attacks, and how of first came into existence from the first hackers who introduced the process. Learning alone about cyber-attacks also requires knowledge about the different types of attacks,  including the most recent techniques used by attackers. Preparing for the worsts is usually essential, especially when venturing into new areas without understanding the limitations which are likely to experience. In this book, therefore, the types of cyber-attacks highlighted accompany the possible mitigations measures which you may use to prevent specific processes.Due to the lack of specific strategies to implement and protect your system, you have to work with all the possible prevention measures. In other words, when learning about the types of cyber-attacks, you will find out that there are several ways an attacker can gain access to under your system. This is, therefore, essential as it, therefore, may require you to implement different methods in order to prevent losing relevant data. Thus, the book highlights the useful guidelines to follow and prevent attackers from targeting your system and infect your files.Inside You Will Find- A general overview of cyber-attacks including definitions, history and how it has caused chaos among computer users- Common types of cyber-attacks and the processes used to implement them in a given attack to a victim's computer- Recommendation measures for each specific type of cyber-attack when faced with one or more threats And more...So, if you want to prevent any cyber-attacks, and protect your system, then BUY this Book!"
9781801535618,"If you thought that the development of computers has limited challenges, then this book highlights one of the significant difficulties facing the computing world.Since the incorporation of machines, different groups have come up with techniques of getting access to unauthorized data as well as invading privacy by exploiting confidential information of others. Besides, cyber-attacks have been on the rise, and this is contributed by the increase in the types of attacks experienced today by victims globally. Inside, you will learn an overview of cyber-attacks, and how of first came into existence from the first hackers who introduced the process. Learning alone about cyber-attacks also requires knowledge about the different types of attacks, including the most recent techniques used by attackers. Preparing for the worsts is usually essential, especially when venturing into new areas without understanding the limitations which are likely to experience. In this book, therefore, the types of cyber-attacks highlighted accompany the possible mitigations measures which you may use to prevent specific processes.Due to the lack of specific strategies to implement and protect your system, you have to work with all the possible prevention measures. In other words, when learning about the types of cyber-attacks, you will find out that there are several ways an attacker can gain access to under your system. This is, therefore, essential as it, therefore, may require you to implement different methods in order to prevent losing relevant data. Thus, the book highlights the useful guidelines to follow and prevent attackers from targeting your system and infect your files.Inside You Will Find- A general overview of cyber-attacks including definitions, history and how it has caused chaos among computer users- Common types of cyber-attacks and the processes used to implement them in a given attack to a victim's computer- Recommendation measures for each specific type of cyber-attack when faced with one or more threats And more...So, if you want to prevent any cyber-attacks, and protect your system, then BUY this Book!"
