書名,書籍網址,作者,出版社,ISBN,圖片網址
Laravel啟動與運行 (第2版),https://www.eslite.com/product/1001133102817606,Matt Stauffer,美商歐萊禮股份有限公司台灣分公司,9789865023485,https://s.eslite.dev/Upload/Product/202001/l/637140691676180000.jpg
Domain-Driven Laravel: Learn to Implement Domain-Driven Design Using Laravel,https://www.eslite.com/product/1001294883588434,Jesse Griffin,Ingram International Inc,9781484260227,0
"Laravel: The Ultimate Beginner's Guide to Learn Laravel Step by Step, 2nd Edition",https://www.eslite.com/product/1001294883674252,Mem Lnc ; Rufus Stewart,Ingram International Inc,9798554218132,0
Understanding Laravel 6 & Flutter (Dart): Laravel has Backend & Flutter (Dart) has Frontend (Mobile),https://www.eslite.com/product/1001294883526538,Matt Sam,Ingram International Inc,9798609471871,https://s.eslite.dev/upload/ean/9798609471871.jpg
Beginning Laravel: Build Websites with Laravel 5.8,https://www.eslite.com/product/1001294884107968,Sanjib Sinha,Ingram International Inc,9781484249901,https://s.eslite.dev/upload/ean/9781484249901.jpg
Laravel: Up & Running: A Framework for Building Modern PHP Apps,https://www.eslite.com/product/1001294883212283,Matt Stauffer,Ingram International Inc,9781492041214,https://s.eslite.dev/upload/ean/9781492041214.jpg
Full-Stack Vue.js 2 and Laravel 5,https://www.eslite.com/product/1001294883629717,Anthony Gore,Ingram International Inc,9781788299589,0
PHP動態網站系統開發與Laravel框架運用,https://www.eslite.com/product/1001120322864755,歐瑭軒/ 姜林毅/ 蔡燕如/ 林芝吟/ 洪國鈞/ 陳朝鈞,博碩文化股份有限公司,9789864345090,https://s.eslite.dev/Upload/Product/202008/l/637334227054928750.jpg
Laravel 5.7實務專題範例教學: 主流PHP開發框架入門、主流PHP開發框架入門、超端多媒體成音開發工具,https://www.eslite.com/product/1001248272766842,蕭國倫/ 姜琇森/ 陳牧言/ 王柏皓/ 張竣傑,深石數位科技股份有限公司,9789865003913,https://s.eslite.dev/Upload/Product/201905/l/636942837895045000.jpg
Laravel 5 for beginner新手道場: 優雅運用框架快速開發PHP網站,https://www.eslite.com/product/1001120322647313,洪可郡 (KeJyun),博碩文化股份有限公司,9789864342693,https://s.eslite.dev/Upload/Product/201712/l/636501512465446250.jpg
使用Laravel 8 PHP主流框架打造RESTful API,https://www.eslite.com/product/1001120322681938596001,王盛立,博碩文化股份有限公司,9789864345304,https://s.eslite.dev/upload/product/l/2681938596001/20201111032605803700.jpg
Laravel之外的MVC架構選擇: 用ThinkPHP聰明開發PHP專業網站,https://www.eslite.com/product/1001313432847293,夏磊,深智數位股份有限公司,9789865501297,https://s.eslite.dev/Upload/Product/202005/l/637255609636788750.jpg
