ISBN,書籍簡介
9789864344444,☛☛博碩嚴選！首版熱銷數千本，佳評如潮！回饋發行！☛☛ ♛Yocto Project開發者兼Linux Foundation成員～～Richard Purdie推薦 ♛駕馭Linux系統，隨心所欲創造出靈活又穩健的嵌入式裝置 本書的內容將帶領你遍覽開發週期的每個環節，並深入環節中的每個階段，說明階段中的元件以及可利用的工具。本書將一路從工具鏈、啟動載入器、Linux內核，再到如何設置一個根目錄檔案系統，以及學習使用Buildroot與Yocto Project這兩款在開發社群中最常見的組建系統，加速並簡化你的開發流程。在此基礎之上，我們將一同探討如何妥善運用NAND/NOR以及管理型eMMC的快閃記憶體特性，以便延長裝置的使用生命與建立可靠的線上更新機制。接著，會討論執行緒的使用情境，這些議題將大大影響成品的效能與回應能力。最後，我們將一同學習perf與ftrace的使用方式，了解對應用程式與內核進行剖析和追蹤的方法。 【適用讀者】 本書的內容適合那些在嵌入式系統領域上已經有所發展的Linux開發者與系統工程師，幫助他們進一步建立出最佳化的裝置。閱讀本書之前，需要具備基礎的C程式語言開發能力，以及對系統程式設計的相關經驗。 【你能夠從本書學習到】 ◎了解Linux內核所扮演的角色，對應用程式的定位有所認知。 ◎利用Buildroot與Yocto Project，快速有效率地建立出嵌入式Linux系統。 ◎使用U-Boot創造出客製化的啟動載入器。 ◎透過perf與ftrace來找出效能上的瓶頸。 ◎熟悉硬體結構樹的使用，替設備添加新的硬體裝置。 ◎開發出可與Linux裝置驅動程式互動的應用程式。 ◎利用POSIX標準，設計多執行緒的應用程式。 ◎在即時系統中進行量測，修改Linux內核降低延遲。
9789864344383,"Linux不像其他的作業系統，它不會對使用者隱瞞重要的資訊。反之，Linux會讓它的使用者掌控一切。而想要掌握Linux，就必須理解此作業系統的工作機制，包括「系統是如何啟動的」（boots）、networking是如何運作的，以及Linux的核心實際上都做了些什麼。 本書是暢銷書《How Linux Works》的第二版。作者Brian Ward再次深入Linux的核心，對其概念進行更詳盡、更深度的探討，使任何對作業系統內部運作感到好奇的讀者，都可以從中獲益。本書是作者多年專業知識的累積，透過這本書，你將學到： ♦ Linux從「啟動加載程式」到「初始化實作」(systemd, Upstart, and System V) 的啟動方式有哪些 ♦ 核心如何管理設備、設備驅動程式與程序（process） ♦ 網路（networking）、介面、防火牆和伺服器的運作方式 ♦ 開發工具如何工作並與共享函式庫協作 ♦ 如何編寫高效的shell腳本 讀者還能探索Linux的核心，並檢查使用者空間內的關鍵系統任務，包括系統呼叫、輸入和輸出以及檔案系統。結合了背景、理論、實務案例和詳盡的解釋，本書將教你「如何解決麻煩的問題」以及「控制作業系統」所需的全部知識。 第1版書評 「非常棒的書。在近350頁的內容中，涵蓋了Linux的所有基礎知識。」 —EWEEK 「對於那些想要學習Linux，同時對作業系統內部工作原理又不太熟悉的讀者，本書絕對值得推薦。」—O'REILLYNET 「介紹Linux基礎知識最好的書之一，同時也適合Linux進階使用者閱讀，五星。」—OPENSOURCE-BOOK-REVIEWS.COM 「本書的成功源於它對內容的良好組織和對技術細節的深入探討。」 —KICKSTART NEWS 「本書對Linux的介紹可謂獨樹一格。它樸實無華，注重對命令行的介紹，並且深入到系統內部，而非僅僅停留在圖形使用者介面。」—TECHBOOKREPORT.COM 「本書充分介紹了Linux系統的工作原理。」—HOSTING RESOLVE"
9789864344239,本書是運用iptables和nftables建構Linux防火牆的傑出指南 伴隨著Linux系統和網路管理員面臨的安全挑戰漸漸增多，他們能夠使用的安全工具和技術也得到顯著改善。傑出的Linux安全專家Steve Suehring，在本書先前版本上進行了全新的修訂，全面涵蓋了Linux安全中的重要改進。 作為關注Linux安全性的所有管理員來說，本書是不可或缺的資源，它全面講解了iptable和nftable的所有內容。本書還在之前版本的網路和防火牆基礎之上，添加了檢測漏洞和入侵的現代工具和技術。 本書針對當今的Linux核心進行了全面更新，所囊括的程式碼範例和支援腳本，可用於Red Hat/Fedora、Ubuntu和Debian。如果您是一名Linux從業人員，本書可以幫助您全面理解任何Linux系統的安全，以及從家庭網路到企業網路在內，各種規模的網路安全。 本書涵蓋你所需要的內容： ▶針對執行iptables或nftables的Linux防火牆，進行安裝、設定以及更新 ▶遷移到nftables，或者使用新的iptables增強機制 ▶管理複雜的多重防火牆設定 ▶建立、除錯和最佳化防火牆規則 ▶使用Samhain和其他工具來保護文件系統的完整性，以及監控網路和檢測入侵 ▶增強系統以防禦埠掃描和其他攻擊 ▶使用chkrootkit檢測惡意軟體rootkit和後門等漏洞
9789865021993,如果您對駭客、網路安全和入侵偵測等資安知識感到好奇，本書是您最好的起點。它可以指引您學到Linux操作基礎知識，同時認識相關的工具與技術。 本書將帶領您在一台虛擬機器上安裝Kali，然後學習基礎的Linux操作與管理。接著，將告訴您駭客必備的基礎知識，並學習使用bash和Python撰寫腳本的技巧。透過本書，您將學會； ．駭客如何透過更改網路訊息以及操作日誌記錄檔來掩蓋行跡 ．如何掃描網路漏洞，以及連接與監聽無線網路 ．利用Tor、Proxy、VPN和加密電子郵件讓您的網路活動保持隱密 ．駭客如何利用MySQL資料庫與Apache網站伺服器的漏洞 ．編寫bash腳本，掃瞄打開的端口以尋找潛在目標 ．如何建立自己的駭客工具，如遠端監控攝影機或密碼破解器
9789864769964,本書可以幫助您更進一步了解作業系統與硬體的基礎知識Linux如今廣泛地應用於伺服器、雲端服務、智慧型手機、物聯網裝置。本書可以幫助您具體地了解Linux核心的工作原理，包括行程管理、記憶體管理、檔案系統、儲存裝置，透過實作與圖表的解析，可以幫助您對OS的運作，有更加具體而清晰的了解。本書的目標讀者為應用程式開發人員、系統設計者、系統管理員，以及支援工程師等。關於本書的內容，讀者只需要對Linux基本的命令有所瞭解便可輕鬆閱讀。本書可以幫助你：●開發出有考慮到硬體特性的優良軟體●瞭解到該依據什麼樣的指標來設計系統●當OS或硬體相關故障產生時，能夠冷靜處理
9789864342990,Yocto Project開發者兼Linux Foundation成員～～Richard Purdie推薦駕馭Linux系統隨心所欲創造出靈活又穩健的嵌入式裝置本書的內容將帶領你遍覽開發週期的每個環節，並深入環節中的每個階段，說明階段中的元件以及可利用的工具。本書將一路從工具鏈、啟動載入器、Linux內核，再到如何設置一個根目錄檔案系統，以及學習使用Buildroot與Yocto Project這兩款在開發社群中最常見的組建系統，加速並簡化你的開發流程。在此基礎之上，我們將一同探討如何妥善運用NAND/NOR以及管理型eMMC的快閃記憶體特性，以便延長裝置的使用生命與建立可靠的線上更新機制。接著，會討論執行緒的使用情境，這些議題將大大影響成品的效能與回應能力。最後，我們將一同學習perf與ftrace的使用方式，了解對應用程式與內核進行剖析和追蹤的方法。【適用讀者】本書的內容適合那些在嵌入式系統領域上已經有所發展的Linux開發者與系統工程師，幫助他們進一步建立出最佳化的裝置。閱讀本書之前，需要具備基礎的C程式語言開發能力，以及對系統程式設計的相關經驗。【你能夠從本書學習到】◎了解Linux內核所扮演的角色，對應用程式的定位有所認知。◎利用Buildroot與Yocto Project，快速有效率地建立出嵌入式Linux系統。◎使用U-Boot創造出客製化的啟動載入器。◎透過perf與ftrace來找出效能上的瓶頸。◎熟悉硬體結構樹的使用，替設備添加新的硬體裝置。◎開發出可與Linux裝置驅動程式互動的應用程式。◎利用POSIX標準，設計多執行緒的應用程式。◎在即時系統中進行量測，修改Linux內核降低延遲。目錄Chapter 1 一切由此開始Chapter 2 工具鏈Chapter 3 啟動載入器Chapter 4 移植與配置內核Chapter 5 建立根目錄檔案系統Chapter 6 選擇組建系統Chapter 7 建立儲存空間的方式Chapter 8 裝置驅動程式Chapter 9 動起來吧！init程式Chapter 10 程序與執行緒Chapter 11 記憶體管理Chapter 12 以GDB除錯Chapter 13 剖析與追蹤Chapter 14 即時系統開發
9789864761685,Linux與UNIX®系統程式開發經典完整涵蓋Linux API：函式、介面、程式設計範例《The Linux Programming Interface》是Linux與UNIX系統程式開發大全，幾乎涵蓋了全部Linux與UNIX系統程式會用到的API。在這本重量級著作中，Linux程式開發專家Michael Kerrisk以清晰的說明及完整的範例程式，提供完善的系統呼叫(system call)與函式庫函式(library function)等系統程式開發技術。書中囊括500個以上的system call與library function，提供200個以上程式範例，88個表格與115張圖。讀者將可學到下列技術：‧高效率的檔案讀取與寫入 ‧使用訊號(signal)、時鐘(clock)與計時器(timer)‧建立行程(process)與可執行程式‧設計安全可靠的程式‧以POSIX多執行緒設計多工程式‧設計與使用共享函式庫‧以管線(pipe)、訊息佇列(message queue)、共享記憶體(shared memory)與號誌(semaphore)達成行程間的通訊(IPC)‧基於socket API設計網路程式本書涵蓋豐富的Linux特有的功能，包含epoll、inotify與/proc檔案系統，尤其極為重視與UNIX標準的相容度(POSIX.1-2001╱SUSv3與POSIX.1-2008╱SUSv4)，使本書可完全適合其他UNIX平台的開發者參考閱讀。本書是目前探討Linux與UNIX API涵蓋面最廣泛、最完整的作品，作者期許它能成為一部經典。本書涵蓋目前UNIX標準(POSIX.1-2001╱SUSv3與POSIX.1-2008╱SUSv4)
9789864761678,Linux與UNIX®系統程式開發經典完整涵蓋Linux API：函式、介面、程式設計範例《The Linux Programming Interface》是Linux與UNIX系統程式開發大全，幾乎涵蓋了全部Linux與UNIX系統程式會用到的API。在這本重量級著作中，Linux程式開發專家Michael Kerrisk以清晰的說明及完整的範例程式，提供完善的系統呼叫(system call)與函式庫函式(library function)等系統程式開發技術。書中囊括500個以上的system call與library function，提供200個以上程式範例，88個表格與115張圖。讀者將可學到下列技術：‧高效率的檔案 ‧使用訊號(signal)、時鐘(clock)與計時器(timer)‧建立行程(process)與可執行程式‧設計安全可靠的程式‧以POSIX多執行緒設計多工程式‧設計與使用共享函式庫‧以管線(pipe)、訊息佇列(message queue)、共享記憶體(shared memory)與號誌(semaphore)達成行程間的通訊(IPC)‧基於socket API設計網路程式本書涵蓋豐富的Linux特有的功能，包含epoll、inotify與/proc檔案系統，尤其極為重視與UNIX標準的相容度(POSIX.1-2001╱SUSv3與POSIX.1-2008╱SUSv4)，使本書可完全適合其他UNIX平台的開發者參考閱讀。本書是目前探討Linux與UNIX API涵蓋面最廣泛、最完整的作品，作者期許它能成為一部經典。本書涵蓋目前UNIX標準(POSIX.1-2001╱SUSv3與POSIX.1-2008╱SUSv4)
9789863470144,Kernel 就是 OS 的核心。OS 的基本功能都是由 kernel 提供的。建立檔案、傳送封包等動作都是以 kernel 的功能完成。不過建立這些功能並不是單純的工作。儘管平常不會意識到，裡面深藏了許多高階技術。以檔案系統來說，或許會在放置檔案的時候考慮到極力減少磁碟搜尋動作，以網路的部份來說，或許會為路由表項目數龐大的情形做好準備，使得這種情形不會對系統整體造成太大的影響。記憶體管理、process 管理等部份也暗藏了各式各樣的技巧。看懂這些高階技術，正是 kernel hacking 的魅力之一。 不過最近的 Linux kernel 不再只提供基本的功能。隨著功能進化，它不斷實作了為某些領域特化的方便功能、還有許多獨特的功能。就算是 kernel hacker 應該也很少人能全部掌握吧。 本書將從進化至今的 Linux kernel 多數功能之中，選定許多人需要的、或是很有意思的功能，在說明這些工能的過程中，一併解釋內部的運作機制。同時也會討論到善用這些功能所需的工具與設定方法、調整技巧。 「節能」是本書會討論到的主題之一。不僅會說明使用方式，還會談到節能的思考方向、以及它與硬體的關聯。另外也會涵蓋最近受到注目的虛擬化、資源管理、納入標準檔案系統之一的 ext4 等等，廣泛涵蓋各種經典功能與新功能。經典功能的部份會盡可能調查最新的原始碼，討論變更點與新增功能。這部份是文件找不到、不探索 kernel 內部就無法得知的資訊，所以就算已經知道這些功能的讀者，或許也會有新發現。另外本書也會介紹與 kernel 有關的工具，其中包含 gcore 這個對重要的系統來說十分需要的工具。 最新的 Linux kernel 實作了強力的追蹤 (trace)、效能量測 (profiling) 功能。用起來很方便，也提供許多功能。不僅能勝任原先的目的，在 kernel hacking 的時候也大有幫助。對 kernel hacker 老手來說，應該也有參考價值。 本書包含許多在現場也能立刻派上用場的完整實例。如果讀者想完整發揮 kernel 功能的話，本書應該十分具有參考價值。 目錄：執筆群 監修者前言寫在前面Chapter 1 Kernel 入門1. 取得 Linux kernel2. 編譯 Linux kernel3. Kernel module 的作法4. 使用 Git5. 以 checkpatch.pl 檢查 patch 的格式6. 以 localmodconfig 縮短 kernel 編譯時間Chapter 2 資源管理8. Scheduling Policy（排程策略）9. RT Group Scheduling 與 RT Throttling10. Fair Group Scheduling11. Cpuset12. 以 Memory Cgroup 限制記憶體使用量13. 設定 Block I/O controller 的 I/O 優先度14. 虛擬記憶體系統調校15. ramzswap16. OOM Killer 的動作與機制Chapter 3 檔案系統17. 運用 ext418. 轉移到 ext419. ext4 調校20. 以 fio 量測 I/O 效能21. FUSEChapter 4 網路22. 網路頻寬控制23. TUN/TAP 裝置24. bridge 裝置25. VLAN 26. bonding 驅動程式27. Network Drop MonitorChapter 5 虛擬化28. 使用 Xen29. 使用 KVM30. 不使用 DVD 安裝 OS31. 變更虛擬 CPU 配置方法提昇性能32. 使用 Extended Page Tables（EPT）提昇 guest OS 性能33. 以 IOMMU 加速 guest OS34. 以 IOMMU+SR-IOV 加速 guest OS35. 以SR-IOV 控制頻寬36. 以 KSM 節省記憶體37. 掛載 guest OS 的磁碟38. 從 guest OS 識別虛擬機器環境39. guest OS 除錯Chapter 6 節能40. ACPI41. 利用 ACPI S-state42. 利用 CPU 節能（C、P-state）43. PCI 裝置 hotplug 44. 虛擬化環境下的節能45. 遠端管理機器電源46. USB 電力管理47. 顯示器節能48. 削減網路裝置使用的電力49. 關掉鍵盤 LED 省電？50. PowerTOP51. 硬碟節能Chapter 7 除錯52. SysRq 按鍵（Magic System Request Key）53. 使用 diskdump 採取 kernel crash dump54. 使用 Kdump 採取 kernel crash dump 55. 進行 crash 測試56. IPMI watchdog timer57. NMI watchdog timer 58. soft lockup59. crash 指令60. coredump filter61. 為 kernel crash dump 包含的 user mode process 建立 process core dump62. 以 lockdep 檢查系統的 deadlock63. 檢查 kernel 的記憶體釋放漏失Chapter 8 Pro_ling．Trace 64. 以 perf tools 量測效能（之一）65. 以 perf tools 量測效能（之二）66. 對 kernel 與 process 進行各種 profiling67. 追蹤 kernel 函式呼叫過程68. ftrace 的 plug-in tracer69. 紀錄 kernel 的運作事件70. 使用 trace-cmd 進行 kernel tracing71. 為 kernel 加入動態 trace event72. 使用 SystemTap 進行 kernel tracing73. 以 SystemTap 撰寫對話形式的程式74. 重複利用 SystemTap 的 script75. 運用 SystemTap索引
9789862769812,內容涵蓋 Linux Kernel 3.0直接與核心及 C 程式庫互動『任何人只要是對 Linux 的應用程式撰寫有興趣，或是想要知道如何提高自己的程式設計技能，書架上都應該有一本《Linux 系統程式設計》。這是一本專業 Linux 程式員必讀的書籍』—Jeremy AllisonSamba 團隊Linux 系統程式設計所撰寫的軟體會直接利用 Linux 核心及基礎系統程式庫所提供的服務。Linux 核心的貢獻者 Robert Love 所寫的這本書，不僅是 Linux 系統程式設計的教材，也是 Linux 系統呼叫的參考手冊，亦是撰寫更聰明、更快速之程式碼的權威指南。Love 對 POSIX 的標準函式與 Linux 所提供的特殊服務，做了明確的區分。除了新增了一章專門探討多執行緒，本書第二版還會從理論及各種程式設計議題來深入探討 Linux，內容包括：‧Linux 核心、C 程式庫以及 C 編譯器概述‧基本 I/O 操作，例如檔案的讀及寫‧進階 I/O 介面、記憶體映射以及優化技術‧基本行程管理所用到的一系列系統呼叫‧進階的行程管理，包括即時行程‧執行緒的概念、多執行緒程式設計以及 Pthreads‧檔案及目錄管理‧配置記憶體及優化記憶體存取的介面‧基本及進階的信號介面，以及它們在系統上所扮演的角色‧時鐘管理，包括 POSIX 時鐘以及高解析度計時器Robert Love 自 Linux 草創之初就是它的使用者與貢獻者，他曾對 Linux 核心以及 GNOME desktop 環境做出重大貢獻。Robert 是 Google 的資深軟體工程師，而且是 Android 設計與運送團隊的成員
