書名,書籍網址,作者,出版社,ISBN,圖片網址
MongoDB技術手冊 (第3版),https://www.eslite.com/product/1001133102681940295008,Shannon Bradshaw/ Eoin Brazil/ Kristina Chodorow,美商歐萊禮股份有限公司台灣分公司,9789865026660,https://s.eslite.dev/upload/product/l/2681940295008/20201117035022383478.jpg
7天學會大數據資料處理NoSQL: MongoDB入門與活用 (第4版),https://www.eslite.com/product/1001120322682053661001,黃士嘉/ 周映樵,博碩文化股份有限公司,9789864347988,https://s.eslite.dev/upload/product/l/2682053661001/20210803033952239535.jpg
7天學會大數據資料處理NoSQL: MongoDB入門與活用 (第3版),https://www.eslite.com/product/1001120322764462,黃士嘉/ 林敬傑,博碩文化股份有限公司,9789864343942,https://s.eslite.dev/Upload/Product/201905/l/636937650623275000.jpg
高效經營Big Data: MongoDB資料庫系統管理與開發手札,https://www.eslite.com/product/1001299212634069,郭遠威,上奇資訊,9789865000424,https://s.eslite.dev/Upload/Product/201710/l/636447763269369502.jpg
矽谷工程師爬蟲手冊: 用Python成為進階高手,https://www.eslite.com/product/1001313432839583,黃永祥,深智數位股份有限公司,9789865501273,https://s.eslite.dev/Upload/Product/202004/l/637229683280889698.jpg
打造股市小秘書: 聊天機器人X網路爬蟲X NoSQL X Python整合應用實務,https://www.eslite.com/product/1001113692793273,楊超霆/ 林建興/ 鍾皓軒,碁峰資訊股份有限公司,9789865021917,https://s.eslite.dev/Upload/Product/201909/l/637042194682142500.jpg
一舉兩得功力大精進: 學Python+Web賺一個未來 (熱銷版),https://www.eslite.com/product/1001239292761951,董偉明,佳魁資訊股份有限公司,9789863797500,https://s.eslite.dev/upload/product/l/2681755516008/ec1755809.jpg
Python程式設計實務: 從初學到活用Python開發技巧的16堂課 (第2版),https://www.eslite.com/product/1001120322693333,,博碩文化股份有限公司,9789864343157,https://s.eslite.dev/Upload/Product/201807/l/636675199660546250.jpg
資料庫的核心理論與實務 (7版),https://www.eslite.com/product/1001164852658445,黃三益,前程文化事業股份有限公司,9789865774998,https://s.eslite.dev/Upload/Product/201802/l/636541074701890000.jpg
JSON實務手冊,https://www.eslite.com/product/1001133102641233,Tom Marrs,美商歐萊禮股份有限公司台灣分公司,9789864766369,https://s.eslite.dev/Upload/Product/201712/l/636478005655217119.jpg
