書名,書籍網址,作者,出版社,ISBN,圖片網址
PHP、MySQL與JavaScript學習手冊 (第5版),https://www.eslite.com/product/1001133102731171,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789864769711,https://s.eslite.dev/Upload/Product/201812/l/636797683748532500.jpg
MySQL與MariaDB學習手冊,https://www.eslite.com/product/1001133102593283,Russell J. T. Dyer,美商歐萊禮股份有限公司台灣分公司,9789864763832,https://s.eslite.dev/Upload/Product/201705/l/636313847907716250.jpg
精通PHP&MySQL網頁開發 (第5版),https://www.eslite.com/product/1001113692588448,Luke Welling/ Laura Thomson,碁峰資訊股份有限公司,9789864763429,https://s.eslite.dev/Upload/Product/201705/l/636293418210766250.jpg
"PHP, MySQL, JavaScript與CSS學習手冊 (第2版)",https://www.eslite.com/product/1001133102203120,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789862766576,https://s.eslite.dev/upload/product/l/2680746960004/211539.jpg
PHP & MySQL: The Missing Manual 國際中文版,https://www.eslite.com/product/1001133102154110,Brett McLaughlin,美商歐萊禮股份有限公司台灣分公司,9789862764978,https://s.eslite.dev/upload/product/l/2680697896001/165406.jpg
PHP與MySQL應用實務 (第2版),https://www.eslite.com/product/1001133101824052,"Williams, Hugh E./ Lane, David",美商歐萊禮股份有限公司台灣分公司,9789867794680,0
PHP&MySQL程式設計實例講座,https://www.eslite.com/product/1001124691861618,陳惠貞/ 陳俊榮,學貫行銷股份有限公司,9789866800658,https://s.eslite.dev/Upload/Product/201810/l/636760610134223750.jpg
PHP & MySQL程式設計寶典 (第3版),https://www.eslite.com/product/1001138362876069,藍易,經瑋國際股份有限公司,9789576154362,https://s.eslite.dev/upload/product/l/2681923843004/20200922032216403461.jpg
MySQL雲端資料庫設計寶典,https://www.eslite.com/product/1001138362876039,,經瑋國際股份有限公司,9789576154386,https://s.eslite.dev/upload/product/l/2681923772007/20200922032208913451.jpg
PHP 7&MySQL網站開發: 超威範例集 (第3版),https://www.eslite.com/product/1001113692830850,陳惠貞/ 陳俊榮,碁峰資訊股份有限公司,9789865024185,https://s.eslite.dev/upload/product/l/2681860512001/20200306041128083737.jpg
PHP & MySQL程式設計寶典 (附範例下載),https://www.eslite.com/product/1001138362828969,藍易,經瑋國際股份有限公司,9789576154188,https://s.eslite.dev/Upload/Product/202002/l/637182166689383803.jpg
PHP & MySQL程式設計寶典 (附範例下載),https://www.eslite.com/product/1001138362803623,藍易,經瑋國際股份有限公司,9789576153983,https://s.eslite.dev/Upload/Product/201910/l/637074189533525000.jpg
Python網頁程式交易APP實作: Web+MySQL+Django (第2版),https://www.eslite.com/product/1001120322697661,林萍珍,博碩文化股份有限公司,9789864343171,https://s.eslite.dev/Upload/Product/201808/l/636687957631330000.jpg
MySQL 5.X/6.X雲端資料庫SQL設計技術寶典 (第2版),https://www.eslite.com/product/1001138362696230,孫惠民,經瑋國際股份有限公司,9789578755444,https://s.eslite.dev/Upload/Product/201807/l/636677587711505750.jpg
MySQL新手入門超級手冊: 適用MySQL 8.x與MariaDB 10.x (第2版),https://www.eslite.com/product/1001113692693330,張益裕,碁峰資訊股份有限公司,9789864768547,https://s.eslite.dev/upload/product/l/2681606243008/ec1504217.jpg
PHP 7與MySQL基礎學習教室: PHP與MySQL/Mariadb、HTML 5完美整合方案 (附光碟),https://www.eslite.com/product/1001299212580805,葉建榮,上奇資訊,9789863759614,https://s.eslite.dev/upload/product/l/2681438867007/653142.jpg
