書名,書籍網址,作者,出版社,ISBN,圖片網址
打造股市小秘書: 聊天機器人X網路爬蟲X NoSQL X Python整合應用實務,https://www.eslite.com/product/1001113692793273,楊超霆/ 林建興/ 鍾皓軒,碁峰資訊股份有限公司,9789865021917,https://s.eslite.dev/Upload/Product/201909/l/637042194682142500.jpg
7天學會大數據資料處理NoSQL: MongoDB入門與活用 (第3版),https://www.eslite.com/product/1001120322764462,黃士嘉/ 林敬傑,博碩文化股份有限公司,9789864343942,https://s.eslite.dev/Upload/Product/201905/l/636937650623275000.jpg
HBase: 搞定BigData NoSQL實戰,https://www.eslite.com/product/1001120322302829,Nick Dimiduk,博碩文化股份有限公司,9789862018521,https://s.eslite.dev/upload/product/l/2680846282006/307120.jpg
7天學會大數據資料處理NoSQL: MongoDB入門與活用 (第4版),https://www.eslite.com/product/1001120322682053661001,黃士嘉/ 周映樵,博碩文化股份有限公司,9789864347988,https://s.eslite.dev/upload/product/l/2682053661001/20210803033952239535.jpg
NoSQL開發完美方案: Redis+Docker高性能虛擬化實戰,https://www.eslite.com/product/1001313432682040770006,高洪岩,深智數位股份有限公司,9789860776140,https://s.eslite.dev/upload/product/l/2682040770006/20210706093936997904.jpg
精通Python: 運用簡單的套件進行現代運算 (第2版),https://www.eslite.com/product/1001133102849194,Bill Lubanovic,美商歐萊禮股份有限公司台灣分公司,9789865024864,https://s.eslite.dev/Upload/Product/202006/l/637268828489247500.jpg
公職考試講重點: 資料處理含資料處理概要 (三、四等考試),https://www.eslite.com/product/1001127572809698,張逸,大碩教育股份有限公司,9789863457145,https://s.eslite.dev/upload/product/l/2681831034006/20191121035207296146.jpg
Neo4j大事典: 圖形資料庫&大數據時代,https://www.eslite.com/product/1001299212744049,張幟,上奇資訊,9789865003517,https://s.eslite.dev/Upload/Product/201902/l/636846931460753750.jpg
大數據分析之資料庫理論與實務 (SQL Server 2017版),https://www.eslite.com/product/1001121992668831,曾守正/ 周韻寰,華泰文化事業股份有限公司,9789574353583,https://s.eslite.dev/upload/product/l/2681568306001/773834.jpg
資料庫的核心理論與實務 (7版),https://www.eslite.com/product/1001164852658445,黃三益,前程文化事業股份有限公司,9789865774998,https://s.eslite.dev/Upload/Product/201802/l/636541074701890000.jpg
Neo4j圖形資料庫權威指南: 傲視大數據時代的先端利器,https://www.eslite.com/product/1001248272651528,張幟,深石數位科技股份有限公司,9789865001162,https://s.eslite.dev/upload/product/l/2681541318007/756421.jpg
Big Data: 大數據的概念與演算法,https://www.eslite.com/product/1001122982656885,劉妘鑏; 吳信宏/ 審閱,全華圖書股份有限公司,9789864637089,https://s.eslite.dev/Upload/Product/201802/l/636535027857745000.jpg
巨量資料分析與智能應用,https://www.eslite.com/product/1001248272629961,駱德廉,深石數位科技股份有限公司,9789865000400,https://s.eslite.dev/upload/product/l/2681512079005/731561.jpg
Big Data Knowledge Today教學範本: 適用SiliconStone認證考試教材,https://www.eslite.com/product/1001299212528558,SSE Big Data編輯委員會,上奇資訊,9789863757689,https://s.eslite.dev/Upload/Product/201607/l/636053779334501250.jpg
JavaScript Object Notation精要: JSON核心主題導引,https://www.eslite.com/product/1001133102464499,Lindsay Bassett,美商歐萊禮股份有限公司台灣分公司,9789863478126,https://s.eslite.dev/upload/product/l/2681231911006/521500.jpg
Spring Data技術手冊,https://www.eslite.com/product/1001133102217812,Mark Pollack/ Oliver Gierke/ Thomas Risberg/ Jonathan L. Brisbin/ Michael Hunger,美商歐萊禮股份有限公司台灣分公司,9789862767719,https://s.eslite.dev/upload/product/l/2680761625001/226436.jpg
