ISBN,書籍簡介
9789864764594,●使用JavaScript語言為Arduino和Espruino的微控制器開發程式●以Tessel 2開發平台製作物聯網裝置原型●學習輸入與輸出的電子零件，包括感測器●運用Particle Photon工具鏈讓微控制器連上網路●在單板電腦上執行Node.js，如Raspberry Pi與Intel Edison●使用Johnny－Five之類的Node.js程式庫與嵌入式裝置溝通，透過藍牙操控遠端裝置●使用MQTT作為中介器，讓網路上的各個裝置互傳訊息●把機器人視為建構區塊，探索打造共享經驗的方式我們如何連結網路的虛擬世界與生活周遭的真實世界呢？原本JavaScript與Node.js屬於網站瀏覽器領域的技術，但是，若可以把存取嵌入式電子零件（感測器與微控制器）的功能、帶到JavaScript與Node.js的開發平台，說不定會對體感運算的世界造成翻天覆地的影響。本書屬於實務型指引手冊，針對硬體軟體工程師、創客、網頁開發人員所撰寫，探討如何在各種硬體平台上頭使用JavaScript程式語言，同時也會深入介紹微控制器、單板電腦，以及其他硬體元件。
9789864764716,●在Azure雲端平台上建構Bot基礎設施●利用微軟的Bot開發框架打造打造人資（HR）小助手，能協助請假與提供人資相關查詢作業。●建立一個可以提供航班資訊給乘客的Twitter Bot●在Slack平台上開發自動化服務，針對Slack使用者的特定事件作出回應●建立一個可以分析文字情緒的Telegram機器人●透過Azure平台服務開發Facebook Messenger Bot，可用來安排團隊的開會時間。●建立一個能夠依照要求搜尋文件，並可以提供下載連結的文件管理機器人●在Facebook Messenger上安排休假時間，並幫助我們了解誰正在休假，及誰接下來會休假●建立一個IRC Bot，可以彙整Bug的相關資訊，讓團隊成員在統一窗口追蹤Bug的狀態可以自動應答的即時通機器人（Bot）正在迅速崛起。Facebook、Google、微軟、Slack、Telegram競相推出相關的應用與支援。本書將告訴您如何利用Node.js，打造可以透過即時通訊軟體、社群網路與使用者互動的自動化機器人，實現自動化客服系統。
9789864341467,Node.js Design PatternsNode.js 已是相當大型且流行的軟體平台，這個平台使你能夠透過 JavaScript，編寫出具擴展性的伺服端應用程式。因此便可以在前後端皆使用相同的程式語言、建立出高效益的程式碼，同時確保最大程度的可重複利用性、實用性、簡約性以及協同性。本書將引領你認識多種設計構想以及相關的元件，此外也將 Node.js 程式常見的實務問題一一解析，並實作出符合「Node.js 之道」的解決方案。從最基礎的原則及元件開始介紹，接著學習非同步程式設計的精髓，並利用為人所熟知的模式及技巧，開發出可重複利用、極為優雅的程式碼。最終建立出可輕鬆擴展、分散及整合的 Node.js 應用程式。你能夠從本書學習到：●實作一系列的 JavaScript 伺服端設計模式，從中瞭解如何應用這些模式於不同的情境中。●認識 Node.js 基礎元件並發揮它們的最大潛能。●條理化組織各式模組以避免盤根錯節。●有效運用各式解決方案以克服常見的設計及撰寫問題。●輕鬆應對非同步機制的程式設計。●辨認且避免常見的設計謬誤、程式錯誤及反模式。●適用讀者期望深入瞭解 Node.js 應用程式開發的 JavaScript 開發者。
9798591279738,"JavaScript's rising popularity has brought with it a lot of changes, and the face of web development today is dramatically different. The things that we can do on the web nowadays with JavaScript running on the server, as well as in the browser, were hard to imagine just several years ago, or were encapsulated within sandboxed environments like Flash or Java Applets.As Wikipedia states: ""Node.js is a packaged compilation of Google's V8 JavaScript engine, the libuv platform abstraction layer, and a core library, which is itself primarily written in JavaScript."" Beyond that, it's worth noting that Ryan Dahl, the creator of Node.js, was aiming to create real-time websites with push capability, ""inspired by applications like Gmail"". In Node.js, he gave developers a tool for working in the non-blocking, event-driven I/O paradigm.After over 20 years of stateless-web based on the stateless request-response paradigm, we finally have web applications with real-time, two-way connections.In one sentence: Node.js shines in real-time web applications employing push technology over websockets. What is so revolutionary about that? Well, after over 20 years of stateless-web based on the stateless request-response paradigm, we finally have web applications with real-time, two-way connections, where both the client and server can initiate communication, allowing them to exchange data freely. This is in stark contrast to the typical web response paradigm, where the client always initiates communication. Additionally, it's all based on the open web stack (HTML, CSS and JS) running over the standard port 80.One might argue that we've had this for years in the form of Flash and Java Applets-but in reality, those were just sandboxed environments using the web as a transport protocol to be delivered to the client. Plus, they were run in isolation and often operated over non-standard ports, which may have required extra permissions and such."
9781492077299,"Many companies, from startups to Fortune 500 companies alike, use Node.js to build performant backend services. And engineers love Node.js for its approachable API and familiar syntax. Backed by the world's largest package repository, Node's enterprise foothold is only expected to grow.In this hands-on guide, author Thomas Hunter II proves that Node.js is just as capable as traditional enterprise platforms for building services that are observable, scalable, and resilient. Intermediate to advanced Node.js developers will find themselves integrating application code with a breadth of tooling from each layer of a modern service stack.Learn why running redundant copies of the same Node.js service is necessaryKnow which protocol to choose, depending on the situationFine-tune your application containers for use in productionTrack down errors in a distributed setting to determine which service is at faultSimplify app code and increase performance by offloading work to a reverse proxyBuild dashboards to monitor service health and throughputFind out why so many different tools are required when operating in an enterprise environment"
9789811480287,"In this book, we take you on a fun, hands-on and pragmatic journey to learning Node.js, Express and MongoDB development. You'll start building your first Node.js app within minutes. Every chapter is written in a bite-sized manner and straight to the point as I don't want to waste your time (and most certainly mine) on the content you don't need. In the end, you will have the skills to create a blog app and deploy it to the Internet.In the course of this book, we will cover: Chapter 1: IntroductionChapter 2: Introduction to npm & ExpressChapter 3: Beginning our Blog ProjectChapter 4: Templating EnginesChapter 5: Introduction to MongoDBChapter 6: Applying MongoDB to our ProjectChapter 7: Uploading an Image with ExpressChapter 8: Introduction to Express MiddlewareChapter 9: Refactoring to MVCChapter 10: User RegistrationChapter 11: User Authentication with Express SessionsChapter 12: Showing Validation ErrorsChapter 13: Relating Post Collection with User CollectionChapter 14: Adding a WYSIWYG EditorChapter 15: Using MongoDB AtlasChapter 16: Deploying Web Apps on HerokuThe goal of this book is to teach you Node.js, Express and MongoDB development in a manageable way without overwhelming you. We focus only on the essentials and cover the material in a hands-on practice manner for you to code along.About the ReaderNo previous knowledge on Node.js development required, but you should have basic programming knowledge.About the AuthorGreg Lim is a technologist and author of several programming books. Greg has many years in teaching programming in tertiary institutions and he places special emphasis on learning by doing."
9781838987572,"Build scalable web applications using Node.js, Express.js, and the latest ECMAScript techniques, along with deploying applications with AWS and Docker with this updated fifth editionKey Features  Learn backend web programming with the JavaScript stack Explore best practices, right from configuring and building web servers to deploying them on a production cloud hosting system: AWS using Docker and Terraform Work through the different stages of developing robust and scalable apps using Node.js 14  Book Description Node.js is the leading choice of server-side web development platform, enabling developers to use the same tools and paradigms for both server-side and client-side software. This updated fifth edition of Node.js Web Development focuses on the new features of Node.js 14, Express 4.x, and ECMAScript, taking you through modern concepts, techniques, and best practices for using Node.js. The book starts by helping you get to grips with the concepts of building server-side web apps with Node.js. You'll learn how to develop a complete Node.js web app, with a backend database tier to help you explore several databases. You'll deploy the app to real web servers, including a cloud hosting platform built on AWS EC2 using Terraform and Docker Swarm, while integrating other tools such as Redis and NGINX. As you advance, you'll learn about unit and functional testing, along with deploying test infrastructure using Docker. Finally, you'll discover how to harden Node.js app security, use Let's Encrypt to provision the HTTPS service, and implement several forms of app security with the help of expert practices. With each chapter, the book will help you put your knowledge into practice throughout the entire life cycle of developing a web app. By the end of this Node.js book, you'll have gained practical Node.js web development knowledge and be able to build and deploy your own apps on a public web hosting solution. What you will learn  Install and use Node.js 14 and Express 4.17 for both web development and deployment Implement RESTful web services using the Restify framework Develop, test, and deploy microservices using Docker, Docker Swarm, and Node.js, on AWS EC2 using Terraform Get up to speed with using data storage engines such as MySQL, SQLite3, and MongoDB Test your web applications using unit testing with Mocha, and headless browser testing with Puppeteer Implement HTTPS using Let's Encrypt and enhance application security with Helmet  Who this book is for If you're looking for an alternative to the 'P' languages (Perl, PHP, and Python), or if you want to get started with server-side web development with JavaScript programming, or if you want a deep dive into deploying services to cloud hosting, this Node.js book is for you. A rudimentary understanding of JavaScript and web application development is a must before you get started with this book."
9781839214110,"Learn proven patterns, techniques, and tricks to take full advantage of the Node.js platform. Master well-known design principles to create applications that are readable, extensible, and that can grow big.Key Features  Learn how to create solid server-side applications by leveraging the full power of Node.js 14 Understand how Node.js works and learn how to take full advantage of its core components as well as the solutions offered by its ecosystem Avoid common mistakes and use proven patterns to create production grade Node.js applications  Book Description In this book, we will show you how to implement a series of best practices and design patterns to help you create efficient and robust Node.js applications with ease. We kick off by exploring the basics of Node.js, analyzing its asynchronous event driven architecture and its fundamental design patterns. We then show you how to build asynchronous control flow patterns with callbacks, promises and async/await. Next, we dive into Node.js streams, unveiling their power and showing you how to use them at their full capacity. Following streams is an analysis of different creational, structural, and behavioral design patterns that take full advantage of JavaScript and Node.js. Lastly, the book dives into more advanced concepts such as Universal JavaScript, scalability and messaging patterns to help you build enterprise-grade distributed applications. Throughout the book, you'll see Node.js in action with the help of several real-life examples leveraging technologies such as LevelDB, Redis, RabbitMQ, ZeroMQ, and many others. They will be used to demonstrate a pattern or technique, but they will also give you a great introduction to the Node.js ecosystem and its set of solutions. What you will learn  Become comfortable with writing asynchronous code by leveraging callbacks, promises, and the async/await syntax Leverage Node.js streams to create data-driven asynchronous processing pipelines Implement well-known software design patterns to create production grade applications Share code between Node.js and the browser and take advantage of full-stack JavaScript Build and scale microservices and distributed systems powered by Node.js Use Node.js in conjunction with other powerful technologies such as Redis, RabbitMQ, ZeroMQ, and LevelDB  Who this book is for This book is for developers and software architects who have some prior basic knowledge of JavaScript and Node.js and now want to get the most out of these technologies in terms of productivity, design quality, and scalability. Software professionals with intermediate experience in Node.js and JavaScript will also find valuable the more advanced patterns and techniques presented in this book. This book assumes that you have an intermediate understanding of web application development, databases, and software design principles."
9798669424008,0
9781078379557,0
