書名,書籍網址,作者,出版社,ISBN,圖片網址
iOS SDK + OpenGL ES開發者的學習殿堂: iOS 3D動畫程式開發,https://www.eslite.com/product/1001120322093361,酒井裕司,博碩文化股份有限公司,9789862015360,https://s.eslite.dev/upload/product/l/2680638757002/122341.jpg
Learn OpenGL: Learn modern OpenGL graphics programming in a step-by-step fashion.,https://www.eslite.com/product/1001294883500719,Joey de Vries,Ingram International Inc,9789090332567,https://s.eslite.dev/upload/ean/9789090332567.jpg
"OpenGL 4 Shading Language Cookbook - Third Edition: Build high-quality, real-time 3D graphics with OpenGL 4.6, GLSL 4.6 and C++17",https://www.eslite.com/product/1001294884050754,David Wolff,Ingram International Inc,9781789342253,https://s.eslite.dev/upload/ean/9781789342253.jpg
"OpenGL Programming Guide: The Official Guide to Learning Opengl, Version 4.5 with Spir-V",https://www.eslite.com/product/1001294883526882,John Kessenich ; Graham Sellers ; Dave Shreiner,Ingram International Inc,9780134495491,https://s.eslite.dev/upload/ean/9780134495491.jpg
OpenGL SuperBible: Comprehensive Tutorial and Reference,https://www.eslite.com/product/1001294883059244,Graham Sellers ; Richard Wright ; Nicholas Haemel,Ingram International Inc,9780672337475,0
OpenGL 3D繪圖互動程式設計 (附光碟),https://www.eslite.com/product/1001113882705846,朱宏國/ 姚智原/ 賴祐吉,旗標科技股份有限公司,9789863125112,https://s.eslite.dev/Upload/Product/201808/l/636706962517315000.jpg
Developing Graphics Frameworks with Python and OpenGL,https://www.eslite.com/product/1001294883971090,Lee Stemkoski ; Michael Pascale,Ingram International Inc,9780367721800,0
"Computer Graphics: Concepts, Algorithms and Implementation using C and OpenGL",https://www.eslite.com/product/1001294883989794,D. A. Godse ; A. P. Godse,Ingram International Inc,9789333223386,0
Hands-On C++ Game Animation Programming: Learn modern animation techniques from theory to implementation with C++ and OpenGL,https://www.eslite.com/product/1001294884064893,Gabor Szauer,Ingram International Inc,9781800208087,0
Real-Time 3D Graphics with WebGL 2 - Second Edition: Build interactive 3D applications with JavaScript and WebGL 2 (OpenGL ES 3.0),https://www.eslite.com/product/1001294884032270,Farhad Ghayour ; Diego Cantor,Ingram International Inc,9781788629690,0
Computer Graphics Programming in OpenGL with Java,https://www.eslite.com/product/1001294884222654,V. Scott Gordon ; John L. Clevenger,Ingram International Inc,9781683922193,https://s.eslite.dev/upload/ean/9781683922193.jpg
Computer Graphics Through Opengl,https://www.eslite.com/product/1002143692073565,"Guha, Sumanta",TAYLOR & FRANCIS BOOKS LTD.,9781439846209,0
OpenGL電腦繪圖程式設計實務 (附CD),https://www.eslite.com/product/1001181861494349,吳孟儒/廖勝泰,滄海書局,9789572079355,0
iOS Swift遊戲程式開發錦囊妙計 (第2版),https://www.eslite.com/product/1001133102486269,Jonathon Manning,美商歐萊禮股份有限公司台灣分公司,9789863479048,https://s.eslite.dev/Upload/Product/201602/l/635899421197947500.jpg
深入理解Android 3D遊戲: 開發商業版硬體加速實戰,https://www.eslite.com/product/1001239292448124,吳亞峰/ 于復興/ 杜化美,佳魁資訊股份有限公司,9789863791942,https://s.eslite.dev/Upload/Product/201509/l/635766931153630000.jpg
Android遊戲開發徹底研究 (附光碟),https://www.eslite.com/product/1001120322329456,吳亞峰/ 于復興/ 杜化美,博碩文化股份有限公司,9789862019238,https://s.eslite.dev/upload/product/l/2680875643007/334394.jpg
iOS射擊遊戲程式實務,https://www.eslite.com/product/1001120322106410,松浦健一郎/ 司ゆき,博碩文化股份有限公司,9789862015520,https://s.eslite.dev/upload/product/l/2680651739009/130218.jpg
iPhone SDK 3 App程式設計,https://www.eslite.com/product/1001113881931749,木下誠,旗標科技股份有限公司,9789574428083,https://s.eslite.dev/Upload/Product/201003/l/634051255607423707.jpg
