ISBN,書籍簡介
9.78109E+12,"The COVID-19 pandemic forced hundreds of millions of people to work from home for months on end. Many employees would like to continue to work remotely, while some would like to go back to the office. Leaders face a monumental decision - do we go back to the office or continue to work-from-anywhere? Should we do a mixture of both?The Anywhere Operating System is your user manual for navigating this workplace transformation that will change the way we live and work.""This guide escapes the canopy of theoretical and delivers actionable intel to create and evolve a remote-first work environment."" - Darren Murph, Head of Remote @ Gitlab""Remote work equips workers with the autonomy and flexibility to do their best work regardless of where they're located. However, building a remote team takes intention and can be difficult to get right. Luke is among the most thoughtful and experienced leaders, and he's full of actionable advice for how to successfully build and scale a remote-first team."" - Mike Knoop, Co-Founder, President @ Zapier﻿"
9.78174E+12,"Transform Your Life and LeadershipThere are two ways to get through the great rainforest in Brazil: You can hack your way through the dense forest with a machete... ...or you can find the nearest tributary that will eventually take you through the jungle to the mighty Amazon river. The Human Operating System is like the Amazon in that it flows through the heart of leadership development like a mighty river.Applying the five transformative principles of the Human Operating System is so much more effective than hacking through the forest of leadership trade books, workshops, and management techniques. Many of these tools can be helpful, but they often function more like apps or accessories rather than a deeper operating system that can offer meaning, direction, and coherence to everything you might do as a leader. Jack Nicholson and Rob Murray have been developing the Human Operating System over many years of work with executive leaders, teams, and organizations. The deep change process and principles embedded in the Human Operating System have made a significant difference with leaders who have become frustrated, depleted, and fragmented, trying to build enterprises with tools and resources no longer sufficient. With the Human Operating System, leaders can experience a sense of flow and convergence that makes leading their organization much more energizing and fulfilling than merely trying harder and running faster to perform. When the Human Operating System is installed, everything else in leader and organizational development can work better. That is the hope of this book: that high-capacity leaders and teams will experience the authentic power, energy, and strength of the Amazon River flowing beneath them. Change your life as a leader forever. Get this book now."
9.78065E+12,"Raspberry Pi Operating System Assembly Language is a fully revised and updated guide to learning to program ARM machine code on your Raspberry Pi. With nothing other than the Raspberry Pi Operating System installed on your Raspberry Pi, this book shows you how to access all the tools that you'll need to create your own machine code programs using assembly language. Ideal for the novice, this book starts from ﬁrst principles and leads you comfortably on your way to become an accomplished programmer. Providing lucid descriptions, award winning author Bruce Smith keeps things simple and includes plenty of program examples you can try for yourself. Ideas and concepts are introduced in the order required so you should never be left wondering. This book is compatible with all Raspberry PI models including the RPi 4, 400 and 3. Just some of the many features include: -Practical approach with example programs-GCC assembler and linker-ARM registers and arrangements-Use of Operating System calls-Debugging with GDB-Using libc function calls-Programming the GPIO-Floating Point and Neon co-processors-Thumb Code-Full details at the author websiteExamples are provided that are written using the GCC Compiler running under the Raspberry Pi Operating System, and can be downloaded from the website at www.brucesmith.info .What reviewers have said about Bruce's books: ""This book is an excellent introduction to coding in ARM assembler on the Raspberry Pi."" ""This is the first computer book I have read in bed for pleasure rather than to cure insomnia!"" ""Great introduction to ARM assembler."""
9.78112E+12,0
9.78148E+12,"Learn how to get started with robotics programming using Robot Operation System (ROS). Targeted for absolute beginners in ROS, Linux, and Python, this short guide shows you how to build your own robotics projects. ROS is an open-source and flexible framework for writing robotics software. With a hands-on approach and sample projects, Robot Operating System for Absolute Beginners will enable you to begin your first robot project. You will learn the basic concepts of working with ROS and begin coding with ROS APIs in both C++ and Python.What You'll LearnInstall ROSReview fundamental ROS conceptsWork with frequently used commands in ROSBuild a mobile robot from scratch using ROSWho This Book Is ForAbsolute beginners with little to no programming experience looking to learn robotics programming."
9.78198E+12,0
9.7815E+12,0
9.78148E+12,"Aviv Ben-Yosef has, through his consulting business, helped dozens of companies in Israel, Europe, and the United States, ranging from tiny startups, through public and Fortune 100 companies, to government agencies. In just a few years, he has helped six companies get acquired (""exits"") or become ""unicorns.""In his work as a consultant, Aviv has developed a special approach to aid the leadership of software organizations, coming from a technical background that allows him to talk-the-talk, yet maintain a business-impact-driven mindset. Aviv's online writing has reached over two million readers, and his publishing includes multiple blogs, podcasts, videos, and online courses."
9.78148E+12,"This book teaches system programming with the latest versions of C through a set of practical examples and problems. It covers the development of a handful of programs, implementing efficient coding examples.  Practical System Programming with C contains three main parts: getting your hands dirty with multithreaded C programming; practical system programming using concepts such as processes, signals, and inter-process communication; and advanced socket-based programming which consists of developing a network application for reliable communication.  You will be introduced to a marvelous ecosystem of system programming with C, from handling basic system utility commands to communicating through socket programming. With the help of socket programming you will be able to build client-server applications in no time.  The ""secret sauce"" of this book is its curated list of topics and solutions, which fit together through a set of different pragmatic examples; each topic is covered from scratch in an easy-to-learn way. On that journey, you'll focus on practical implementations and an outline of best practices and potential pitfalls. The book also includes a bonus chapter with a list of advanced topics and directions to grow your skills.  What You Will Learn  Program with operating systems using the latest version of C  Work with Linux Carry out multithreading with C  Examine the POSIX standardsWork with files, directories, processes, and signals Explore IPC and how to work with it  Who This Book Is For  Programmers who have an exposure to C programming and want to learn system programming. This book will help them to learn about core concepts of operating systems with the help of C programming. .  "
9.78198E+12,"Have you ever wanted to build your own operating system, but didn't know where to begin? Then this book is for you  In this book, the author explains everything you need to know from getting and installing the necessary tools to writing, compiling, deploying, and testing your very own operating system. By the time you are done you will have an operating system to call your own. And, don't worry about destroying your existing hardware and software environment as everything in this book is written with the intention of running in a virtualized environment. However, should you choose to do so, the author also explains how to deploy and test your new OS on bare-metal hardware as well. The first few chapters give a brief overview of how modern day computers work. In these chapters you will (re)learn everything from memory allocation, stacks, and bootloaders to low-level machine code and programming languages. After that, you will jump into downloading and installing the tools you will use for building your very own operating system. Here you will learn how to develop a bootloader and kernel just like modern day computers rely on for operating. The last few chapters will explain how to deploy and test your operating system as well as how to expand your OS to do more and even how to cross-compile your shiny new operating system for other devices such as the Raspberry Pi. To give an idea of what you can find in this book, below is the Table of Contents. 0x01 OS Basics 0x02 Intro to Machine Code 0x03 Intro to the Assembly Programming Language 0x04 Into to the C Programming Language 0x05 Getting Started - Installing VirtualBox - Installing Linux - Installing GNOME - Preparing CentOS and the VM - Troubleshooting VirtualBox Guest Additions - Preparing the Development Environment 0x06 Bootstrapping with the Bootloader - Creating the Entry Point - GNU GRUB - Compiling the Entry Point 0x07 Welcome to the Kernel 0x08 Putting it all Together 0x09 Testing Your Operating System 0x0A Starting Your Architecture Library - Expanding the Console 0x0B Expanding Your OS 0x0C Cross-Compiling for Other Architectures - Create a Custom Cross-Compiler - Porting for the Raspberry Pi - Testing on Physical Hardware Conclusion Acknowledgements Appendix Index"
