書名,書籍網址,作者,出版社,ISBN,圖片網址
Oracle實戰寶典: 故障排除與效能提升 下 (第2版),https://www.eslite.com/product/1001120322783196,Christian Antognini,博碩文化股份有限公司,9789864344161,https://s.eslite.dev/Upload/Product/201908/l/637007636301757500.jpg
Oracle實戰寶典: 故障排除與效能提升 上 (第2版),https://www.eslite.com/product/1001120322783195,Christian Antognini,博碩文化股份有限公司,9789864344154,https://s.eslite.dev/Upload/Product/201908/l/637007636292538750.jpg
Oracle資料庫架構 (第二版),https://www.eslite.com/product/1001133101824051,"Greenwald, Rick/ Stackowiak, Robert/ Stern, Jonathan",美商歐萊禮股份有限公司台灣分公司,9789578247963,0
Oracle資料庫設計,https://www.eslite.com/product/1001133101824082,"Ensor, Dave",美商歐萊禮股份有限公司台灣分公司,9789578247222,0
Oracle Database 10g Linux系統管理專家,https://www.eslite.com/product/1001124691619373,"Whalen, Edward",學貫行銷股份有限公司,9789861572772,0
Oracle PL/ SQL程式設計 (暢銷回饋版),https://www.eslite.com/product/1001120322543925,陳祥輝,博碩文化股份有限公司,9789864341559,https://s.eslite.dev/Upload/Product/201610/l/636117954674323750.jpg
The Earthcraft Oracle: A 44-Card Deck and Guidebook of Sacred Healing,https://www.eslite.com/product/1001260092682030989005,Juliet Diaz/ Lorriane Anderson,Hay House Publishers,9781401960889,https://s.eslite.dev/upload/product/2682030989005/l/2682030989005-01.jpg
StarDragons Oracle Cards,https://www.eslite.com/product/1001177802682002455002,Paolo Barbieri/ Rachel Paul,"Llewellyn Worldwide, Ltd.",9780738769523,https://s.eslite.dev/upload/product/l/2682002455002/20210410012619078009.jpg
Amor et Psyche Oracle,https://www.eslite.com/product/1001177802682002454005,Rachel Paul/ Georges Barbier,"Llewellyn Worldwide, Ltd.",9780738769530,https://s.eslite.dev/upload/product/l/2682002454005/20210410012618470008.jpg
The Sacred Forest Oracle: 52 Cards to Open Energy Portals of a Higher Dimension,https://www.eslite.com/product/1001260092682030985007,Denise Linn,Hay House Publishers,9781401960452,https://s.eslite.dev/upload/product/l/2682030985007/20210611155112347006.jpg
Gratitude Oracle,https://www.eslite.com/product/1001177802682002461003,Angela Hartfield/ Josephine Wall,"Llewellyn Worldwide, Ltd.",9780738769455,https://s.eslite.dev/upload/product/l/2682002461003/20210410012624435015.jpg
The Shaman's Dream Oracle: A 64-Card Deck and Guidebook,https://www.eslite.com/product/1001260092682030987001,Alberto Villoldo/ Colette Baron-Reid,Hay House Publishers,9781401959128,https://s.eslite.dev/upload/product/l/2682030987001/20210611155115465011.jpg
Archangel Oracle Cards: A 44-Card Deck and Guidebook,https://www.eslite.com/product/1001260092682030988008,Diana Cooper,Hay House Publishers,9781788173971,https://s.eslite.dev/upload/product/l/2682030988008/20210611155125494021.jpg
Kali Oracle: Ferocious Grace and Supreme Protection with the Wild Divine Mother,https://www.eslite.com/product/1001177802681977955005,Alana Fairchild/ Jimmy Manton,"Llewellyn Worldwide, Ltd.",9780738768427,https://s.eslite.dev/upload/product/l/2681977955005/20210128155547094008.jpg
Messenger Oracle (New Ed.),https://www.eslite.com/product/1001177802681977954008,Ravynne Phelan,"Llewellyn Worldwide, Ltd.",9780738768472,https://s.eslite.dev/upload/product/l/2681977954008/20210128155545617005.jpg
Witches' Familiars Oracle Cards,https://www.eslite.com/product/1001177802681949206005,Flavia Kate Peters/ Kate Osborne,"Llewellyn Worldwide, Ltd.",9780738767277,https://s.eslite.dev/upload/product/l/2681949206005/20201201013651029019.jpg
Pegasus Oracle: Affirmations and Guidance to Uplift Your Spirit,https://www.eslite.com/product/1001177802681977958006,Alana Fairchild/ Ekaterina Golovanova,"Llewellyn Worldwide, Ltd.",9780738768267,https://s.eslite.dev/upload/product/l/2681977958006/20210129010825400434.jpg
Sacred Mothers & Goddesses: 40 Oracle Cards & Guidebook Set,https://www.eslite.com/product/1001177802681977957009,Claudia Olivos,"Llewellyn Worldwide, Ltd.",9780738768311,https://s.eslite.dev/upload/product/l/2681977957009/20210128155544578004.jpg
Barbieri Unicorns Oracle,https://www.eslite.com/product/1002177802854525,Paolo Barbieri/ Rachel Paul,"Llewellyn Worldwide, Ltd.",9780738767338,https://s.eslite.dev/upload/product/2681893192003/l/2840.jpg
The Goddess Temple Oracle Cards,https://www.eslite.com/product/1002177802854524,Sarah Perini/ Elena Albanese,"Llewellyn Worldwide, Ltd.",9780738767321,https://s.eslite.dev/upload/product/2681893191006/l/2813.jpg
The Angel Guide Oracle: A 44-Card Deck and Guidebook,https://www.eslite.com/product/1002260092848269,Kyle Gray,Hay House Publishers,9781788173612,https://s.eslite.dev/upload/product/l/2681884467004/20201118122717976009.jpg
"Kabbalah: The Tree of Life Oracle, Sacred Wisdom to Enrich Your Life",https://www.eslite.com/product/1001143992682023041000,Cherry Gilchrist,WELBECK PUBLISHING GROUP,9781859064658,https://s.eslite.dev/upload/product/l/2682023041000/20210525164445063026.jpg
Cosmic Dancer Oracle,https://www.eslite.com/product/1002177802854536,Tess Whitehurst/ Sedona Soulfire/ Elinore Eaton,"Llewellyn Worldwide, Ltd.",9780738767109,https://s.eslite.dev/upload/product/l/2681893203006/20200625014503350169.jpg
Star Temple Oracle,https://www.eslite.com/product/1002177802854543,Suzy Cherub,"Llewellyn Worldwide, Ltd.",9780738767062,https://s.eslite.dev/upload/product/l/2681893210004/20200625014453924025.jpg
Liminal Spirits Oracle,https://www.eslite.com/product/1002177802822368,Laura Tempest Zakroff,"Llewellyn Worldwide, Ltd.",9780738762746,https://s.eslite.dev/upload/product/l/2681851515004/20200116130142789031.jpg
Transcendent Journeys Oracle,https://www.eslite.com/product/1002177802822373,Cheryl Yambrach Rose,"Llewellyn Worldwide, Ltd.",9780738766270,https://s.eslite.dev/Upload/Product/202005/l/637263393142701419.jpg
The Oracle,https://www.eslite.com/product/1002150252813727,Clive Cussler/ Robin Burcell,G.P. PUTNAM'S SONS,9780593189139,https://s.eslite.dev/upload/product/l/2681839681004/20191212003949928011.jpg
Beyond Lemuria Oracle Cards,https://www.eslite.com/product/1002177802854537,Izzy Ivy,"Llewellyn Worldwide, Ltd.",9780738766645,https://s.eslite.dev/upload/product/l/2681893204003/20200625014445907005.jpg
Aboriginal Walkabout Oracle Cards,https://www.eslite.com/product/1002177802800893,Kate Osborne,"Llewellyn Worldwide, Ltd.",9780738763545,https://s.eslite.dev/Upload/Product/202001/l/637140690249461250.jpg
Daily Oracle: Seek Answers from Your Higher Self,https://www.eslite.com/product/1002268982798699,Jerico Mandybur,Hardie Grant Books,9781784882730,https://s.eslite.dev/Upload/Product/201911/l/637105266317491250.jpg
Angel Answers Oracle Cards: A 44-Card Deck and Guidebook,https://www.eslite.com/product/1002260092822941,Radleigh Valentine,Hay House Publishers,9781401959241,https://s.eslite.dev/Upload/Product/202001/l/637151940148651921.jpg
White Light Oracle: Enter the Luminous Heart of the Sacred,https://www.eslite.com/product/1002177802822372,Alana Fairchild/ A. Andrew Gonzalez,"Llewellyn Worldwide, Ltd.",9780738765211,https://s.eslite.dev/Upload/Product/202003/l/637196003737352500.jpg
Sufi Wisdom Oracle: Divine Guidance Through the Hearts of the Great Sages,https://www.eslite.com/product/1002177802800901,Rassouli,"Llewellyn Worldwide, Ltd.",9780738764191,https://s.eslite.dev/upload/product/l/2681816296009/20191008123113529061.jpg
Mausolea: Oracle of Souls,https://www.eslite.com/product/1002177802773739,Jason Engle,"Llewellyn Worldwide, Ltd.",9780738763392,https://s.eslite.dev/upload/product/l/2681778087004/20190708215907708008.jpg
Angelarium: Oracle of Watchers,https://www.eslite.com/product/1002177802773737,Peter Mohrbacher,"Llewellyn Worldwide, Ltd.",9780738763507,https://s.eslite.dev/upload/product/l/2681778085000/20190708215905386004.jpg
Fantasy Cats Oracle,https://www.eslite.com/product/1002177802773740,Paolo Barbieri,"Llewellyn Worldwide, Ltd.",9780738763408,https://s.eslite.dev/Upload/Product/201909/l/637035282126727500.jpg
Oracle of the Hidden Worlds,https://www.eslite.com/product/1002177802800898,Lucy Cavendish/ Gilbert Williams,"Llewellyn Worldwide, Ltd.",9780738764122,https://s.eslite.dev/upload/product/l/2681816293008/20191008123112912058.jpg
Witches' Kitchen Oracle Cards,https://www.eslite.com/product/1002177802773728,Barbara Meiklejohn-Free/ Flavia Kate Peters,"Llewellyn Worldwide, Ltd.",9780738763569,https://s.eslite.dev/upload/product/l/2681778076008/20190714222501807026.jpg
Everyday Witch Oracle,https://www.eslite.com/product/1002177802773727,Deborah Blake,"Llewellyn Worldwide, Ltd.",9780738760322,https://s.eslite.dev/upload/product/l/2681778075001/20190714222500667024.jpg
The Literary Witches Oracle: A 70-Card Deck and Guidebook,https://www.eslite.com/product/1002150222785504,Taisia Kitaiskaia,POTTER,9781984824714,https://s.eslite.dev/Upload/Product/201908/l/637025027893065866.JPG
Enchanted Blossoms: Empowerment Oracle,https://www.eslite.com/product/1002177802773741,Carla Morrow,"Llewellyn Worldwide, Ltd.",9780738763538,https://s.eslite.dev/Upload/Product/202003/l/637196001695008750.jpg
Amenti Oracle Feather Heart Deck And Guide Book: Ancient Wisdom for the Modern World (+Cards),https://www.eslite.com/product/1002150462759589,Jennifer Sodini,RUNNING PRESS BOOK PUBLISHERS,9780762493463,https://s.eslite.dev/Upload/Product/201911/l/637100217877953750.jpg
Kahlil Gibran's The Prophet: An Oracle Card Set,https://www.eslite.com/product/1002177802773743,Kahlil Gibran,"Llewellyn Worldwide, Ltd.",9780738763262,https://s.eslite.dev/Upload/Product/202003/l/637196001721102500.jpg
Flowers Oracle,https://www.eslite.com/product/1001177802682017200000,,"Llewellyn Worldwide, Ltd.",9780738758787,https://s.eslite.dev/upload/product/l/2682017200000/20210513155727902534.jpg
The Enchanted Lenormand Oracle,https://www.eslite.com/product/1002311592846702,Caitlin Matthews,Watkins Publishing,9781786781420,https://s.eslite.dev/Upload/Product/202005/l/637252148888788750.jpg
Oca Oracle Database SQL Exam Guide: Exam 1Z0-071,https://www.eslite.com/product/1002140722830392,Steve O'Hearn,McGraw-Hill Education (Singapore),9781259585494,https://s.eslite.dev/Upload/Product/202003/l/637189952334330000.jpg
Art Nouveau Lenormand Oracle,https://www.eslite.com/product/1001177802682017199007,Lunaea Weatherstone/ Antonella Castelli,"Llewellyn Worldwide, Ltd.",9780738749853,https://s.eslite.dev/upload/product/l/2682017199007/20210513155727386533.jpg
SQL指令語法速查索引手冊: 支援Oracle、SQL Server、Mysql、PostgreSQL、Access,https://www.eslite.com/product/1001120322454277,酆士昌,博碩文化股份有限公司,9789864340446,https://s.eslite.dev/Upload/Product/201509/l/635787667125173750.jpg
Sacred Rebels Oracle,https://www.eslite.com/product/1001177802682002463007,Alana Fairchild/ Autumn Skye Morrison,"Llewellyn Worldwide, Ltd.",9780738745770,https://s.eslite.dev/upload/product/l/2682002463007/20210410012625648017.jpg
Oracle雲端解決方案完全攻略: 以Oracle 12c搭建完整的雲端系統,https://www.eslite.com/product/1001120322322605,翁宜萱,博碩文化股份有限公司,9789862019177,https://s.eslite.dev/upload/product/l/2680866251006/327878.jpg
資料庫系統理論: 使用Oracle (第2版),https://www.eslite.com/product/1001120322179087,黃仁鵬,博碩文化股份有限公司,9789862016336,https://s.eslite.dev/upload/product/l/2680722694008/184820.jpg
Oracle 10g/ 11g效能分析與最佳化,https://www.eslite.com/product/1001120322089631,譚懷遠,博碩文化股份有限公司,9789862015278,https://s.eslite.dev/upload/product/l/2680635205001/119876.jpg
ORACLE DBA要訣經典,https://www.eslite.com/product/1001114561334213,"SARIN, SUMIT",美商麥格羅希爾國際股份有限公司台灣分公司,9789574933778,https://s.eslite.dev/upload/product/l/2611260819004/ec68938.jpg
ORACLE8I FOR LINUX完全導引手冊,https://www.eslite.com/product/1001114561343731,"BOBROWSKI, STEVE",美商麥格羅希爾國際股份有限公司台灣分公司,9789574933525,https://s.eslite.dev/upload/product/l/2611255459000/ec71126.jpg
Winterseer Animal Oracle,https://www.eslite.com/product/1001177802682062804000,Siolo Thompson,"Llewellyn Worldwide, Ltd.",9780738767949,https://s.eslite.dev/upload/product/l/2682062804000/20210825013653648001.jpg
Mandala Healing Oracle: Journey to Your Heart,https://www.eslite.com/product/1001177802682064115005,Denise Jarvie,"Llewellyn Worldwide, Ltd.",9780738772233,https://s.eslite.dev/upload/product/l/2682064115005/20210827012812158852.jpg
Rumi Oracle (Pocket Ed.),https://www.eslite.com/product/1001177802682064121006,Alana Fairchild/ Rassouli,"Llewellyn Worldwide, Ltd.",9780738770871,https://s.eslite.dev/upload/product/l/2682064121006/20210827012732057005.jpg
Celtic Astrology Oracle,https://www.eslite.com/product/1001177802682049329007,Antonella Castelli/ Lunaea Weatherstone,"Llewellyn Worldwide, Ltd.",9780738769608,https://s.eslite.dev/upload/product/l/2682049329007/20210723014109749552.jpg
"Faery Temple Oracle: Enchantment, Wisdom and Insight to Empower Your Faery Spirit",https://www.eslite.com/product/1001177802682017203001,Suzy Cherub/ Christine Karron,"Llewellyn Worldwide, Ltd.",9780738770345,https://s.eslite.dev/upload/product/l/2682017203001/20210513155729085537.jpg
Ancestor Spirit Oracle Cards,https://www.eslite.com/product/1001177802682002462000,Jade Sky/ Belinda Morris,"Llewellyn Worldwide, Ltd.",9780738769462,https://s.eslite.dev/upload/product/l/2682002462000/20210410012625036016.jpg
The Priestess of Light Oracle,https://www.eslite.com/product/1001260092682006940009,Sandra Anne Taylor,Hay House Publishers,9781401960360,https://s.eslite.dev/upload/product/2682006940009/l/2682006940009.jpg
Prism Oracle: Tap into Your Intuition with the Magic of Color,https://www.eslite.com/product/1001138852681970200003,Nicole Pivirotto,CHRONICLE BOOKS,9781797203553,https://s.eslite.dev/upload/product/l/2681970200003/20210115011543431085.jpg
Awakened Dreamer Oracle Cards,https://www.eslite.com/product/1001177802681949207002,Kelly Sullivan Walden,"Llewellyn Worldwide, Ltd.",9780738768366,https://s.eslite.dev/upload/product/l/2681949207002/20201201013647350006.jpg
