書名,書籍網址,作者,出版社,ISBN,圖片網址
The Photograph: 攝影構圖與色彩設計,https://www.eslite.com/product/1001122231958752,哈洛德．曼特,電腦人文化事業股份有限公司,9789861992181,https://s.eslite.dev/Upload/Product/201101/l/634300729122988750.jpg
My Taiwan Photograph Memoir,https://www.eslite.com/product/1001294884323022,Daniel Nardini,Ingram International Inc,9781664180239,0
My South Korea Photograph Memoir,https://www.eslite.com/product/1001294883938333,Daniel Nardini,Ingram International Inc,9781664172517,0
The Figure in the Photograph,https://www.eslite.com/product/1001294883749476,Kevin Sullivan,Ingram International Inc,9780749026615,0
Photograph Restoration and Enhancement: Using Adobe Photoshop CC 2021 Version,https://www.eslite.com/product/1001294883830072,Vickie Ellen Wolper,Ingram International Inc,9781683925989,0
How to Photograph Boxing,https://www.eslite.com/product/1001294884399415,Richard E. Baker,Ingram International Inc,9798564495097,0
"How to Photograph Food: Compose, Shoot, and Edit Appetizing Images",https://www.eslite.com/product/1001294883130066,Beata Lubas,Ingram International Inc,9780762499625,0
The Photograph,https://www.eslite.com/product/1001294883158057,Kat Karpenko,Ingram International Inc,9780995893429,https://s.eslite.dev/upload/ean/9780995893429.jpg
Heaven is a Photograph,https://www.eslite.com/product/1001294884138734,Christine Sloan Stoddard,Ingram International Inc,9781944866372,https://s.eslite.dev/upload/ean/9781944866372.jpg
"The Heart of the Photograph: 100 Questions for Making Stronger, More Expressive Photographs",https://www.eslite.com/product/1001294884175349,David Duchemin,Ingram International Inc,9781681985459,https://s.eslite.dev/upload/ean/9781681985459.jpg
"The Girl in the Photograph: The True Story of a Native American Child, Lost and Found in America",https://www.eslite.com/product/1001294883173995,Byron L. Dorgan,Ingram International Inc,9781250173645,https://s.eslite.dev/upload/ean/9781250173645.jpg
How to Photograph Absolutely Everything,https://www.eslite.com/product/1001294883568148,Tom Ang,Ingram International Inc,9781465480255,https://s.eslite.dev/upload/ean/9781465480255.jpg
The Winter Garden Photograph,https://www.eslite.com/product/1001294883459022,,Ingram International Inc,9781946433220,https://s.eslite.dev/upload/ean/9781946433220.jpg
The Photograph: A Gripping Love Story with a Heartbreaking Twist,https://www.eslite.com/product/1001294884027350,Debbie Rix,Ingram International Inc,9781786814777,https://s.eslite.dev/upload/ean/9781786814777.jpg
Photograph Restoration and Enhancement: Using Adobe Photoshop CC 2017 Version,https://www.eslite.com/product/1001294883377530,,Ingram International Inc,9781683921509,https://s.eslite.dev/upload/ean/9781683921509.jpg
Photograph Like a Thief: Using Imitation and Inspiration to Create Great Images,https://www.eslite.com/product/1001294883683875,Glyn Dewis,Ingram International Inc,9781681981826,https://s.eslite.dev/upload/ean/9781681981826.jpg
How to Photograph Cars,https://www.eslite.com/product/1001294883603309,James Mann,Ingram International Inc,9780995624603,https://s.eslite.dev/upload/ean/9780995624603.jpg
東京闇鴉: Girls Photograph (全),https://www.eslite.com/product/1001129222491762,あざの耕平/  原作;   待田堂子/ 構成;  すみ兵 / 角色原案; 横山コウヂ,東立出版社有限公司,9789864622351,https://s.eslite.dev/upload/product/l/2681285039008/ec1097110.jpg
Photograph 51,https://www.eslite.com/product/1001294883546698,Anna Ziegler,Ingram International Inc,9781783199358,0
Photograph,https://www.eslite.com/product/1001294883439644,Ringo Starr,Ingram International Inc,9781905662333,https://s.eslite.dev/upload/ean/9781905662333.jpg
The Photograph,https://www.eslite.com/product/1001294883530233,Beverly Lewis,Ingram International Inc,9780764212475,https://s.eslite.dev/upload/ean/9780764212475.jpg
Photograph,https://www.eslite.com/product/1001294883554818,Beverly Lewis,Ingram International Inc,9780764217296,https://s.eslite.dev/upload/ean/9780764217296.jpg
Understanding a Photograph,https://www.eslite.com/product/1001294883318580,,Ingram International Inc,9781597112567,https://s.eslite.dev/upload/ean/9781597112567.jpg
The Photograph: Composition and Color Design,https://www.eslite.com/product/1001294884061495,Harald Mante,Ingram International Inc,9781937538064,0
The Girl in the Photograph,https://www.eslite.com/product/1001294883302052,,Ingram International Inc,9781564787842,0
Fashion as Photograph: Viewing and Reviewing Images of Fashion,https://www.eslite.com/product/1001294884336852,,Ingram International Inc,9781845115173,0
"The Unforgettable Photograph: 228 Ideas, Tips, and Secrets for Taking the Best Pictures of Your Life",https://www.eslite.com/product/1002140492281142,George Lange/ Scott Mowbray,WORKMAN PUBLISHING CO.,9780761169239,https://s.eslite.dev/upload/product/l/2680824855000/20190408185423901616.jpg
[ 2 Books in 1 ] - Nature Landscape Stock Images and Artistic Cities in the World - Full Color HD: 250 Professional Photos - Amazing Nature Photograph,https://www.eslite.com/product/1001294884342296,Photography - Art of Nature,Ingram International Inc,9781803112138,0
[ 2 Books in 1 ] - Nature Landscape Stock Images and Artistic Cities in the World - Full Color HD: 250 Professional Photos - Amazing Nature Photograph,https://www.eslite.com/product/1001294884336309,Photography - Art of Nature,Ingram International Inc,9781803112145,0
Humorous Erotica: Olivia. She had a photograph collection of each cockerel she'd known,https://www.eslite.com/product/1001294884381663,Pamela Vance,Ingram International Inc,9781802354805,0
