書名,書籍網址,作者,出版社,ISBN,圖片網址
大好評! PowerPoint美感簡報設計,https://www.eslite.com/product/1001122231912973,劉浩/ 張文靜,電腦人文化事業股份有限公司,9789861991870,https://s.eslite.dev/Upload/Product/201002/l/634006136687638750.jpg
"會動的PowerPoint職場簡報2000例: 剪貼就能用, 讓內容變生動的範本素材大集合 (附光碟)",https://www.eslite.com/product/1001122232737673,河合浩之,電腦人文化事業股份有限公司,9789572049075,https://s.eslite.dev/Upload/Product/201901/l/636833975225217500.jpg
PowerPoint 2019簡報製作,https://www.eslite.com/product/1003131392867836,蔡慧儀/ 小石頭編輯群,小石頭文化出版公司,9789869630740,https://s.eslite.dev/Upload/Product/202008/l/637335097753835000.jpg
PowerPoint必勝簡報原則154,https://www.eslite.com/product/1001183842833302,松上純一郎,悅知文化,9789865100629,https://s.eslite.dev/Upload/Product/202003/l/637205491700699356.jpg
"別再把簡報塞滿! 這樣做簡報才吸睛, 用PowerPoint成為簡報王",https://www.eslite.com/product/1001113882647684,渡辺克之,旗標科技股份有限公司,9789863124740,https://s.eslite.dev/Upload/Product/201801/l/636504928292938750.jpg
"PowerPoint職場首選1000例: 剪貼直接用, 讓簡報圖表動起來的範本大集合 (附CD)",https://www.eslite.com/product/1001122232333537,河合浩之,電腦人文化事業股份有限公司,9789861994307,https://s.eslite.dev/Upload/Product/201406/l/635386772004206250.jpg
讓人說YES! 企劃書．提案．報告: 商用範例隨選即用PowerPoint (附光碟),https://www.eslite.com/product/1001113882149918,渡辺克之,旗標科技股份有限公司,9789863120452,https://s.eslite.dev/upload/product/l/2680693727002/158789.jpg
就算明天簡報也不怕! PowerPoint速成活用鐵則,https://www.eslite.com/product/1001113881978750,永山嘉昭,旗標科技股份有限公司,9789574428748,https://s.eslite.dev/upload/product/l/2680529007001/62464.jpg
職場競爭力UP: 成功的企劃書設計與PowerPoint實用技巧,https://www.eslite.com/product/1001120322732055,渡辺克之,博碩文化股份有限公司,9789864343485,https://s.eslite.dev/Upload/Product/201812/l/636802003409166250.jpg
"吸引你, 說服你! PowerPoint美感傳達力簡報鐵則 (附光碟)",https://www.eslite.com/product/1001113882043240,山崎紅,旗標科技股份有限公司,9789574429103,https://s.eslite.dev/Upload/Product/201106/l/634445875881396250.jpg
PowerPoint 2019實力養成暨評量解題秘笈,https://www.eslite.com/product/1001122982830460,陳美玲; 財團法人中華民國電腦技能基金會/ 總策劃,全華圖書股份有限公司,9789865033293,https://s.eslite.dev/upload/product/l/2681860099007/20200305120037559591.jpg
PowerPoint 2019實力養成暨評量解題秘笈,https://www.eslite.com/product/1001113692826641,陳美玲; 財團法人中華民國電腦技能基金會/ 總策劃,碁峰資訊股份有限公司,9789865023935,https://s.eslite.dev/Upload/Product/202002/l/637176979141338750.jpg
PowerPoint 2019實力養成暨評量 (附CD-ROM),https://www.eslite.com/product/1001122982806468,,全華圖書股份有限公司,9789865032180,https://s.eslite.dev/upload/product/l/2681825006002/20191105035629582002.jpg
PowerPoint 2019實力養成暨評量 (附光碟),https://www.eslite.com/product/1001113692788518,,碁峰資訊股份有限公司,9789865022556,https://s.eslite.dev/upload/product/l/2681798758007/20190823041323238552.jpg
PowerPoint客戶簡報快速上手 (附VCD),https://www.eslite.com/product/1001138362764963,,經瑋國際股份有限公司,9789576153679,https://s.eslite.dev/Upload/Product/201905/l/636940242498022409.jpg
簡報處理PowerPoint 2016一切搞定,https://www.eslite.com/product/1001113692746875,,碁峰資訊股份有限公司,9789865020521,https://s.eslite.dev/upload/product/l/2681724161000/ec1689483.jpg
PowerPoint 2016入門與實作: 王者歸來,https://www.eslite.com/product/1001248272727527,洪錦魁,深石數位科技股份有限公司,9789865003180,https://s.eslite.dev/Upload/Product/201811/l/636789045524722074.jpg
