書名,書籍網址,作者,出版社,ISBN,圖片網址
網路行銷、社群經營必會! Premiere Pro影音剪輯實務,https://www.eslite.com/product/1001113882770175,阿部信行,旗標科技股份有限公司,9789863125198,https://s.eslite.dev/upload/product/l/2681771109000/20190628172137275971.jpg
Adobe Premiere Pro: A Complete Course and Compendium of Features,https://www.eslite.com/product/1001294884320756,Ben Goldsmith,Ingram International Inc,9781681986876,0
Black Science Premiere Hardcover Volume 3: A Brief Moment of Clarity,https://www.eslite.com/product/1001294883257715,Rick Remender,Ingram International Inc,9781534315822,https://s.eslite.dev/upload/ean/9781534315822.jpg
Adobe Premiere Pro Classroom in a Book (2020 Release),https://www.eslite.com/product/1001294883600080,Maxim Jago,Ingram International Inc,9780136602200,https://s.eslite.dev/upload/ean/9780136602200.jpg
Premiere Pro for Filmmakers,https://www.eslite.com/product/1001294884012484,Sonja Schenk,Ingram International Inc,9781733150200,https://s.eslite.dev/upload/ean/9781733150200.jpg
Premiere Elements Made Easy: Turn Your Videos Into Movies,https://www.eslite.com/product/1001294884273853,James Bernstein,Ingram International Inc,9781676934400,https://s.eslite.dev/upload/ean/9781676934400.jpg
Adobe Premiere Pro CC Classroom in a Book,https://www.eslite.com/product/1001294883039178,Maxim Jago,Ingram International Inc,9780135298893,https://s.eslite.dev/upload/ean/9780135298893.jpg
Learn Adobe Premiere Pro CC for Video Communication: Adobe Certified Associate Exam Preparation,https://www.eslite.com/product/1001294883802739,Joe Dockery ; Rob Schwartz ; Conrad Chavez,Ingram International Inc,9780134878577,https://s.eslite.dev/upload/ean/9780134878577.jpg
Black Science Premiere Hardcover Volume 1 Remastered Edition,https://www.eslite.com/product/1001294883267195,Rick Remender,Ingram International Inc,9781534307407,https://s.eslite.dev/upload/ean/9781534307407.jpg
Adobe Premiere Pro CC Classroom in a Book (2018 Release),https://www.eslite.com/product/1001294884044348,Maxim Jago,Ingram International Inc,9780134853239,https://s.eslite.dev/upload/ean/9780134853239.jpg
Black Science Premiere Hardcover Volume 2: Transcendentalism,https://www.eslite.com/product/1001294883263162,Rick Remender,Ingram International Inc,9781534303447,https://s.eslite.dev/upload/ean/9781534303447.jpg
Premiere,https://www.eslite.com/product/1001294884024868,Melody Carlson,Ingram International Inc,9780310747284,https://s.eslite.dev/upload/ean/9780310747284.jpg
Adobe Premiere Pro for Dummies,https://www.eslite.com/product/1001294884048302,Keith Underdahl,Ingram International Inc,9780764543449,https://s.eslite.dev/upload/ean/9780764543449.jpg
精彩Premiere CC視訊影音剪輯,https://www.eslite.com/product/1001138362721333,趙雅芝,經瑋國際股份有限公司,9789578755697,https://s.eslite.dev/Upload/Product/201810/l/636758803654903305.jpg
Premiere CC影音視訊武功秘笈 (附範例下載),https://www.eslite.com/product/1001138362868150,數位內容工作室,經瑋國際股份有限公司,9789863801146,https://s.eslite.dev/upload/product/l/2681912468003/20200820041307768200.jpg
Premiere Pro CC影音剪輯大師,https://www.eslite.com/product/1001248272814071,張家盛,深石數位科技股份有限公司,9789865004361,https://s.eslite.dev/Upload/Product/202001/l/637140690578211250.jpg
