ISBN,書籍簡介
9789863125198,"自學 Premiere Pro 必備的參考、查閱寶典！ 早期拍攝影片需要專業的攝影器材，隨著智慧型手機、數位相機的普及，人人都可以用手邊的設備來拍攝。雖然拍影片變簡單了，但可不是隨便上傳到社群網站就會有大量的點閱率或分享。如果內容不夠有趣，也沒有經過後製處理（例如：加字幕、配樂或是加特效），更是乏人問津。 具備 4K、8K 錄影的相機及手機愈來愈多，加上各社群網站對影片的支援度也愈來愈廣，不論是想製作廣告短片、想在 Facebook 分享個人生活影片、還是想成為 YouTuber，若能學會自己修剪、美化影片，除了省下委外後製的費用，還能徹底實踐您的創意。 本書以淺顯易懂的說明帶您進入 Premiere 的剪輯世界，每個主題以 2～4 頁的篇幅做介紹，讓初學者不會感到壓力，並適時輔以示意圖說明剪輯的觀念，對時下熱門的 VR 影片、在手機上剪輯的方法、以及發佈到 FB、YouTube，也有具體的說明。不論您是對 Premiere 毫無頭緒或是曾經用過舊版 Premiere 升級至 CC 版，想學習更多技巧的人，都可以從本書找到答案。 本書特色 :   ★網路行銷當道！廣告短片、FB、IG、YouTube 影片自己剪，還能省下委外經費。 ★不限來源裝置、不限檔案格式！支援任何手機、相機格式，連 4K、8K、360 度 VR 影片都能編輯。 ★與社群緊密結合！剪輯完成可立即發佈到 FB、YouTube、Twitter、Vimeo 等社群。"
9781681986876,"Adobe Premiere Pro: A Complete Course and Compendium of Features is your guide to creating, editing, and enhancing videos in Adobe Premiere Pro. Whether you're organizing hours of interviews, rapidly splicing news clips before a deadline, or creating your magnum opus, Premiere Pro is the tool for you--and this book will teach you what you need to know. First, with a complete Course that includes a set of projects and lessons derived from video editor and Adobe Certified Instructor Ben Goldsmith, you will learn the procedures needed to use Premiere Pro effectively and professionally. Dozens of exercises are included that can be applied to any videos you have in mind. Through step-by-step lessons, you'll be exposed to all of Premiere Pro's features in practical contexts and its best practices for optimal workflows. To complete the Course, we'll supply lesson documents and their assets to download, so you can work alongside the text. Then, for greater depth of knowledge and subsequent reference, you'll use the Compendium to uncover more of the ""how"" and ""why"" of Premiere Pro. With each topic easy to access, you can find and explore all of Premiere Pro's key features and concepts in depth. With cross-references between the Course and Compendium, the two parts of the book complement each other perfectly. Best of all, when the lessons in the Course are done, the Compendium will continue to serve for months and years to come. Learn step by step how to:  - Set up and organize a project - Create a timeline and edit your video and audio - Sweeten and master audio - Use Premiere's powerful multi-camera features - Control graphics and titles - Unlock Lumetri's professional color-grading tools - And much more!"
9781534315822,"The Eververse is collapsing under its own weight. Grant McKay created the Pillar to save the world with science, and now he must use it to save all worlds, all of creation, or doom reality itself to oblivion. The Anarchist League of Scientists charges forward for one final adventure as RICK REMENDER and MATTEO SCALERA bring their seminal pulp science fiction epic to a mind-shattering finale. Collects BLACK SCIENCE #31-43"
9780136602200,"Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe Premiere Pro choose Adobe Premiere Pro Classroom in a Book (2020 release) from Adobe Press. The 17 project-based lessons in this book show students step-by-step the key techniques for working in Premiere Pro. Students learn skills to take a project from beginning to end, including the basics on things like organizing media, using audio, creating transitions, producing titles, and adding effects. Once they have the basics down, they'll learn how to take their projects further by sweetening and mixing audio, compositing layered footage, adjusting color, customizing motion graphics, exporting files, and much more. The companion DVD (also available as an online download) includes lesson files so students can work step-by-step along with the book. All buyers of the book also get full access to the Web Edition: a Web-based version of the complete eBook enhanced with video and multiple-choice quizzes. "
9781733150200,"The Digital Filmmaking Handbook presents Premiere Pro for Filmmakers, the editing handbook you've been waiting for.Everyone edits video, at least a little bit. But there's a huge difference between trimming a clip for social media and truly making a film, whether it's short, long, or episodic. Filmmakers, even beginners, use editing apps like Premiere Pro to their fullest capacity. Written by filmmakers for filmmakers, this book covers everything you need to know to edit your movie and tell the story you want to tell using Adobe Premiere.Premiere Pro for Filmmakers takes you through each step of the post-production process, from easy, entry-level editing tutorials that use footage from real feature films to advanced topics like multicam editing, sound editing, graphics, visual effects, and color. And it doesn't stop there. Since many filmmakers have access to the full Adobe Creative Cloud suite, discussions of related apps are included whenever appropriate--After Effects, Photoshop, Media Encoder, Audition, Bridge, other resources like TypeKit fonts, Adobe Stock, and more.Premiere Pro for Filmmakers is the flagship book in our new, single-topic, companion series, The Digital Filmmaking Handbook Presents. This series picks up where The Digital Filmmaking Handbook leaves off, tackling each topic exclusively, in-depth, and as always, from the perspective of working filmmakers."
9781676934400,"Video editing software has been around for many years and for many years only people who were in the movie business or had a large budget could afford to use such software. Even when your average home videographer was able to afford their own video camera, they still had no reasonable way to edit their movies. Now that everyone has a smartphone and considers themselves a professional movie maker, the need to edit their own footage has dramatically increased. Thankfully, Adobe has released a reasonably priced, yet powerful version of their professional video editing software called Premiere Elements that allows anyone with a camera and a computer to make some great looking movies.If you have some basic computer skills and a little creativity, it's not too difficult to create your own movies that look like they were produced by a pro. You can even use the footage from your smartphone to create custom videos and add all kinds of fun effects, text and music to your movies.The goal of this book is to get you up and running with Premiere Elements and cover all the things you need to know to get you started on making professional looking videos without confusing you at the same time. It sticks with the basics yet covers a wide variety of topics to help you achieve some great looking results without needing to be a movie editing expert.The chapters in the book cover the following topics: Chapter 1 - What is Adobe Premiere Elements? Chapter 2 - The Premiere Elements Interface Chapter 3 - Starting the Editing Process Chapter 4 - Basic Premiere Tasks Chapter 5 - Enhancing Your Videos Chapter 6 - Exporting and Sharing Your Video About the AuthorJames Bernstein has been working with various companies in the IT field since 2000, managing technologies such as SAN and NAS storage, VMware, backups, Windows Servers, Active Directory, DNS, DHCP, Networking, Microsoft Office, Exchange, and more.He has obtained certifications from Microsoft, VMware, CompTIA, ShoreTel, and SNIA, and continues to strive to learn new technologies to further his knowledge on a variety of subjects.He is also the founder of the website OnlineComputerTips.com, which offers its readers valuable information on topics such as Windows, networking, hardware, software, and troubleshooting. Jim writes much of the content himself and adds new content on a regular basis. The site was started in 2005 and is still going strong today."
9780135298893,"Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe Premiere Pro CC (2018 release) choose Adobe Premiere Pro CC Classroom in a Book (2019 release) from Adobe Press. The 18 project-based lessons in this book show users step-by-step the key techniques for working in Premiere Pro. Learn to edit video in Adobe Premiere Pro CC 2019 and get the most out of your workflow. Learn how to take a project from beginning to end, organize media, add audio, create transitions, produce titles and captions, and add effects. Take your projects further by sweetening and mixing sound, compositing footage, adjusting color, using advanced editing techniques, managing projects, working with 360 video for VR headsets, animating graphics and video, exporting, and much more. Workflows incorporating Adobe Photoshop, Adobe After Effects, and Adobe Audition expand your creative options.  The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases relevant new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and multiple-choice quizzes. "
9780134878577,"Joe Dockery has taught for 27 years in the Snoqualmie Valley School District (WA) and currently leads the Digital Media Academy at Mount Si High School. His work has earned him numerous teaching awards from Washington State, the International Society for Technology in Education, and other groups. Joe is an Adobe Education Leader (AEL) and is ACA certified. Conrad Chavez (book author) is an author and photographer with over two decades of experience with Adobe digital media workflows. During his time at Adobe Systems Inc., Conrad helped write the user guide for Adobe Premiere (the precursor to Adobe Premiere Pro). He is the author of several titles in the Real World Adobe Photoshop and Adobe Classroom in a Book series, and he writes articles for websites such as CreativePro.com and Peachpit.com. Visit his web site at conradchavez.com."
9781534307407,"Collecting the first three arcs of the seminal pulp sci-fi smash hit by jive-ass super powered disco dancers RICK REMENDER and MATTEO SCALERA. Crammed with sketches, concept art and other rare goodies in a glorious oversized 8""x12"" hardcover, truly the most incredible edition of BLACK SCIENCE in all the Eververse. Collects BLACK SCIENCE #1-16. "
9780134853239,"Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe Premiere Pro CC (2018 release) choose Adobe Premiere Pro CC Classroom in a Book (2018 release) from Adobe Press. The 18 project-based lessons in this book show users step-by-step the key techniques for working in Premiere Pro. Learn to edit video in Adobe Premiere Pro CC 2018 and get the most out of your workflow. Take a project from beginning to end and learn to organize media, add audio, create transitions, produce titles, and add effects. Take your projects further by sweetening and mixing sound, compositing footage, adjusting color, using advanced editing techniques, managing projects, working with 360 video for VR headsets, animating graphics, exporting, and much more.   The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases relevant new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and multiple-choice quizzes. "
