ISBN,書籍簡介
9789861573212,本書較前版補充更多關於TCP/IP的內容，使其更加完整充實、跟得上網際網路的發展。本中譯版除了精確地譯出原文的意義外，更加強了重要名詞的中英對照，希望藉此提供更完整詳盡的內容。本書也提供了想要修得資料通訊和網路相關學位的學生所有必要的資訊，同時對已從事或準備從事於以TCP/IP網路為基礎的相關工作者來說，亦是一本不可或缺的參考書。
9789862803806,本書詳細描寫在網路互連的一般概念，尤其注重TCP/IP網路互連技術。本書也說明了網路通訊系統如何用於分散式計算。閱讀本書後，讀者將會明白多重實體網路如何連結成為協調一致的系統，網路協定如何在此環境中運作，以及應用程式如何使用這個系統。說明充分，理論詳盡。
9789864763283,日文版銷售逾30萬冊，TCP/IP經典入門書在TCP/IP出現之前，網路的目的是連接電腦，進行資料交換，以讓有限設備之間彼此通訊的電腦網路為主，進行開發。不僅可連線的設備有限，用法也有限制，與現在的網路相比，並不方便。在這種背景下，為了能更自由、輕易連接大量設備，才開發出TCP/IP。如今，除了電腦之外，車子、相機、家電產品等也可以使用TCP/IP連線。電腦系統的虛擬化、雲端等結構也都把TCP/IP當作核心網路技術。現在使用TCP/IP的網路已經運用在各種設備控制或資料傳輸上，進化成為重要的社會基礎。本書以豐富的圖例說明，帶領讀者了解TCP/IP的運作方式與應用領域。
9789865027063,"日本銷售逾30萬冊，TCP/IP經典入門書 在TCP/IP出現之前，網路的目的是連接電腦，進行資料交換，以讓有限設備之間彼此通訊的電腦網路為主，進行開發。不僅可連線的設備有限，用法也有限制，與現在的網路相比，並不方便。在這種背景下，為了能更自由、輕易連接大量設備，才開發出TCP/IP。如今，除了電腦之外，車子、相機、家電產品等也可以使用TCP/IP連線。電腦系統的虛擬化、雲端等結構也都把TCP/IP當作核心網路技術。現在使用TCP/IP的網路已經運用在各種設備控制或資料傳輸上，進化成為重要的社會基礎。  本書以豐富的圖例說明，帶領讀者了解TCP/IP的運作方式與應用領域。  來自讀者的讚譽 「細讀本書，讓我對複雜的網路有了輪廓清晰的全面性了解。」 「內容豐富，而且與時俱進。連最新的Wifi 6也有介紹」 「簡單易懂的解釋，就算是完全沒有基礎，讀起來也不會有壓力」"
9798671699166,0
9780134760131,"TCP/IP Illustrated, an ongoing series covering the many facets of TCP/IP, brings a highly-effective visual approach to learning about this networking protocol suite.  TCP/IP Illustrated, Volume 2 contains a thorough explanation of how TCP/IP protocols are implemented. There isn't a more practical or up-to-date bookothis volume is the only one to cover the de facto standard implementation from the 4.4BSD-Lite release, the foundation for TCP/IP implementations run daily on hundreds of thousands of systems worldwide.  Combining 500 illustrations with 15,000 lines of real, working code, TCP/IP Illustrated, Volume 2 uses a teach-by-example approach to help you master TCP/IP implementation. You will learn about such topics as the relationship between the sockets API and the protocol suite, and the differences between a host implementation and a router. In addition, the book covers the newest features of the 4.4BSD-Lite release, including multicasting, long fat pipe support, window scale, timestamp options, and protection against wrapped sequence numbers, and many other topics.  Comprehensive in scope, based on a working standard, and thoroughly illustrated, this book is an indispensable resource for anyone working with TCP/IP."
9780672337895,"Sams Teach Yourself TCP/IP in 24 Hours, Sixth Edition is a practical guide to the simple yet illusive protocol system that powers the Internet. A step-by-step approach reveals how the protocols of the TCP/IP stack really work and explores the rich array of services available on the Internet today. You'll learn about configuring and managing real-world networks, and you'll gain the deep understanding you'll need to troubleshoot new problems when they arise. Sams Teach Yourself TCP/IP in 24 Hours is the only single-volume introduction to TCP/IP that receives regular updates to incorporate new technologies of the ever-changing Internet. This latest edition includes up-to-date material on recent topics such as tracking and privacy, cloud computing, mobile networks, and the Internet of Things.  Each chapter also comes with:   Practical, hands-on examples, showing you how to apply what you learnQuizzes and exercises that test your knowledge and stretch your skillsNotes and tips with shortcuts, solutions, and workarounds If you're looking for a smart, concise introduction to the TCP/IP protocols, start your clock and look inside.  Learn how to...   Understand TCP/IP's role, how it works, and how it continues to evolve   Work with TCP/IP's Network Access, Internet, Transport, and Application layers   Design modern networks that will scale and resist attack   Address security and privacy issues with encryption, digital signatures, VPNs, Kerberos, web tracking, cookies, anonymity networks, and firewalls   Discover how IPv6 differs from IPv4, and how to migrate or coexist with IPv6   Configure dynamic addressing, DHCP, NAT, and Zeroconf   Establish efficient and reliable routing, subnetting, and name resolution   Use TCP/IP in modern cloud-based environments   Integrate IoT devices into your TCP/IP network   Improve your efficiency with the latest TCP/IP tools and utilities   Support high-performance media streaming and webcasting   Troubleshoot problems with connectivity, protocols, name resolution, and performance   Walk through TCP/IP network implementation, from start to finish   "
9780136085300,"Dr. Douglas Comer,  Distinguished Professor of Computer Science at Purdue University and former VP of Research at Cisco, is an internationally recognized expert on computer networking, the TCP/IP protocols, and the Internet. The author of numerous refereed articles and technical books, he is a pioneer in the development of curriculum and laboratories for research and education.  A prolific author, Comer's popular books have been translated into over 15 languages, and are used in industry as well as computer science, engineering, and business departments around the world. His landmark three-volume series Internetworking With TCP/IP revolutionized networking and network education. His textbooks and innovative laboratory manuals have and continue to shape graduate and undergraduate curricula.  The accuracy and insight of Dr. Comer's books reflect his extensive background in computer systems. His research spans both hardware and software. He has created a complete operating system, written device drivers, and implemented network protocol software for conventional computers as well as network processors. The resulting software has been used by industry in a variety of products.   Comer has created and teaches courses on network protocols and computer technologies for a variety of audiences, including courses for engineers as well as academic audiences. His innovative educational laboratories allow him and his students to design and implement working prototypes of large, complex systems, and measure the performance of the resulting prototypes. He continues to teach at industries, universities, and conferences around the world. In addition, Comer consults for industry on the design of computer networks and systems.  For over eighteen years, Professor Comer served as editor-in-chief of the research journal Software -- Practice and Experience. He is a Fellow of the ACM, a Fellow of the Purdue Teaching Academy, and a recipient of numerous awards, including a Usenix Lifetime Achievement award.   Additional information can be found at: www.cs.purdue.edu/people/comer  Information about Comer's books can be found at: www.comerbooks.com "
9780321336316,"""For an engineer determined to refine and secure Internet operation or to explore alternative solutions to persistent problems, the insights provided by this book will be invaluable.""  --Vint Cerf, Internet pioneer    TCP/IP Illustrated, Volume 1, Second Edition,  is a detailed and visual guide to today's TCP/IP protocol suite. Fully updated for the newest innovations, it demonstrates each protocol in action through realistic examples from modern Linux, Windows, and Mac OS environments. There's no better way to discover why TCP/IP works as it does, how it reacts to common conditions, and how to apply it in your own applications and networks.  Building on the late W. Richard Stevens' classic first edition, author Kevin R. Fall adds his cutting-edge experience as a leader in TCP/IP protocol research, updating the book to fully reflect the latest protocols and best practices. He first introduces TCP/IP's core goals and architectural concepts, showing how they can robustly connect diverse networks and support multiple services running concurrently. Next, he carefully explains Internet addressing in both IPv4 and IPv6 networks. Then, he walks through TCP/IP's structure and function from the bottom up: from link layer protocols-such as Ethernet and Wi-Fi-through network, transport, and application layers.  Fall thoroughly introduces ARP, DHCP, NAT, firewalls, ICMPv4/ICMPv6, broadcasting, multicasting, UDP, DNS, and much more. He offers extensive coverage of reliable transport and TCP, including connection management, timeout, retransmission, interactive data flow, and congestion control. Finally, he introduces the basics of security and cryptography, and illuminates the crucial modern protocols for protecting security and privacy, including EAP, IPsec, TLS, DNSSEC, and DKIM. Whatever your TCP/IP experience, this book will help you gain a deeper, more intuitive understanding of the entire protocol suite so you can build better applications and run more reliable, efficient networks."
9781935772057,0
