書名,書籍網址,作者,出版社,ISBN,圖片網址
Clinical Text Mining: Secondary Use of Electronic Patient Records,https://www.eslite.com/product/1001294883923318,,Ingram International Inc,9781013269202,0
People Analytics & Text Mining with R,https://www.eslite.com/product/1001294884130539,Mong Shen Ng,Ingram International Inc,9781091118539,0
Text Mining in Practice with R,https://www.eslite.com/product/1001294883782025,Ted Kwartler,Ingram International Inc,9781119282013,0
Text Mining with R: A Tidy Approach,https://www.eslite.com/product/1001294883550950,Julia Silge ; David Robinson,Ingram International Inc,9781491981658,0
"Mining Complex Text, Grades 2-5: Using and Creating Graphic Organizers to Grasp Content and Share New Understandings",https://www.eslite.com/product/1001294884124984,Diane K. Lapp ; Thomas Devere Wolsey ; Karen D. Wood,Ingram International Inc,9781483316291,0
"Text Mining and Analysis: Practical Methods, Examples, and Case Studies Using SAS",https://www.eslite.com/product/1001294883345055,,Ingram International Inc,9781612905518,0
"Predictive HR Analytics, Text Mining & Organizational Network Analysis with Excel",https://www.eslite.com/product/1001294884103345,Mong Shen Ng,Ingram International Inc,9781077226906,0
"Creating Value With Social Media Analytics: Managing, Aligning, and Mining Social Media Text, Networks, Actions, Location, Apps, Hyperlinks, Multimedi",https://www.eslite.com/product/1001294883614404,Gohar F. Khan,Ingram International Inc,9781977543974,0
"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Locat",https://www.eslite.com/product/1001294883280650,Gohar F. Khan,Ingram International Inc,9781507823200,0
Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining,https://www.eslite.com/product/1001294883807181,Simon Munzert ; Christian Rubba ; Peter Meißner,Ingram International Inc,9781118834817,0
Introduction to Data Mining (Global Ed./2 Ed.),https://www.eslite.com/product/1002178862789066,Pang-Ning Tan/ Michael Steinbach/ Anuj Karpatne/ Vipin Kumar,台灣培生教育出版股份有限公司,9780273769224,https://s.eslite.dev/upload/product/l/2681800218000/20190824042730881970.jpg
