ISBN,書籍簡介
9781838828714,0
9781119267720,"Learn virtualization skills by building your own virtual machine Virtualization Essentials, Second Edition provides new and aspiring IT professionals with immersive training in working with virtualization environments. Clear, straightforward discussion simplifies complex concepts, and the hands-on tutorial approach helps you quickly get up to speed on the fundamentals. You'll begin by learning what virtualization is and how it works within the computing environment, then you'll dive right into building your own virtual machine. You'll learn how to set up the CPU, memory, storage, networking, and more as you master the skills that put you in-demand on the job market. Each chapter focuses on a specific goal, and concludes with review questions that test your understanding as well as suggested exercises that help you reinforce what you've learned. As more and more companies are leveraging virtualization, it's imperative that IT professionals have the skills and knowledge to interface with virtualization-centric infrastructures. This book takes a learning-by-doing approach to give you hands-on training and a core understanding of virtualization.  Understand how virtualization works Create a virtual machine by scratch and migration Configure and manage basic components and supporting devices Develop the necessary skill set to work in today's virtual world  Virtualization was initially used to build test labs, but its use has expanded to become best practice for a tremendous variety of IT solutions including high availability, business continuity, dynamic IT, and more. Cloud computing and DevOps rely on virtualization technologies, and the exponential spread of these and similar applications make virtualization proficiency a major value-add for any IT professional. Virtualization Essentials, Second Edition provides accessible, user-friendly, informative virtualization training for the forward-looking pro."
9781802946031,"Do you want to find out how a computer network works? Your Customers Never Stop to Use this Complete Guide!  Computers and the internet have changed this world and our lifestyle forever. We just need to touch a small button and within a fraction of a second, we can do almost anything! The major factor that lies behind this advanced technology is none other than computer network. That's why it's important to know how it works!Some of the topics that we will discuss in this guidebook include:  Some of the basics that beginners need to know about networking. Learning more about the different hardware that your network needs. The different options that you have with network cabling.A look at IP addressing and IP subnetting. Common networking protocols that we can focus on to keep our networks safe. A look at how to handle the internet and some of the networking that we need to do online. A look at the process of virtualization and how it works with the cloud to help us store our data and keep it safe. An introduction to the Windows operating system and how it is going to be there to help us with many of our networking needs. Virtualization and How It Fits In Networking for a beginner can seem like a complex tool to work with, and often when we are first getting into the process, we worry that it is going to be too hard to handle, or that we will not be able to understand all of the parts that come with it. Thanks to this guidebook and the different parts that come with it, we will be able to learn all of the essentials that come with networking and will be able to use them for our needs as well.  Buy it NOW and let your customers get addicted to this awesome book!"
9781119652380,"Learn how radio access network (RAN) slicing allows 5G networks to adapt to a wide range of environments in this masterful resource Radio Access Network Slicing and Virtualization for 5G Vertical Industriesprovides readers with a comprehensive and authoritative examination of crucial topics in the field of radio access network (RAN) slicing. Learn from renowned experts as they detail how this technology supports and applies to various industrial sectors, including manufacturing, entertainment, public safety, public transport, healthcare, financial services, automotive, and energy utilities. Radio Access Network Slicing and Virtualization for 5G Vertical Industries explains how future wireless communication systems must be built to handle high degrees of heterogeneity, including different types of applications, device classes, physical environments, mobility levels, and carrier frequencies. The authors describe how RAN slicing can be utilized to adapt 5G technologies to such wide-ranging circumstances. The book covers a wide range of topics necessary to understand RAN slicing, including:   Physical waveforms design Multiple service signals coexistence RAN slicing and virtualization Applications to 5G vertical industries in a variety of environments  This book is perfect for telecom engineers and industry actors who wish to identify realistic and cost-effective concepts to support specific 5G verticals. It also belongs on the bookshelves of researchers, professors, doctoral, and postgraduate students who want to identify open issues and conduct further research."
9781914138065,"Do you want to explore the fundamentals of cloud computing?Do you want to understand cloud computing concepts and technologies?If You Answered ""Yes"" To Any of The Above, Look No Further. This is the book for you Hello  Welcome to ""CLOUD COMPUTING"".Cloud Computing is becoming the mainstream in the IT world as a growing amount of companies around the globe are in the process of a digital transformation while using the power of cloud-based services. Cloud Computing has really changed the way companies looking into their digital Infrastructure now a days. Cloud computing with its unique paradigms brings in new opportunities and challenges for developers and administrators worldwide.The book will start with basic introduction to cloud concepts like SAAS, PAAS and IAAS. You will also learn how Linux systems is changing the Infrastructure landscape worldwide.This book helps you to understand the much�needed concepts of the Cloud Computing. We have clearly explained how Traditional IT environment works and how Cloud Computing differs from it. You will understand the various models of Cloud Computing, the leading Cloud Computing platforms, comparisons between the platforms.You will also come to know about cloud service model and cloud deployment model in detail with cloud computing examples related to our day-to-day life business scenarios.Here's what makes this book special: Introduction to Cloud ComputingThe Main Types of Cloud ComputingNetwork Cloud Services & Cloud Networking ServicesCloud Computing Trends For 2021Cloud Platforms and InfrastructureAdvantages of the ""Public Cloud"" Productivity, Time-To-Market, ModernizationHow to Choose the Best Solution: Tips for A Conscious SelectionMuch, much more ﻿This book is different from others because in this book: You will learn cloud distribution modelsYou will learn about emerging cloud service categoriesYou will learn about skills of a cloud specialistLearn Cloud Computing, Planning, Technologies, Architecture, Infrastructure, Cloud Models, IaaS, PaaS, SaaS & more "
9781484262825,"Get a novel perspective on Linux containers and understand the world of virtualization. This book takes you down the rabbit hole to discover what lies below the API. You'll go on a journey of virtualization and see how containers are realized in the Linux world. Linux Containers and Virtualization details the data structures within the Linux kernel which make up Linux containers.  You will start with the fundamentals of virtualization including how different resources such as memory, CPU, network, and storage are virtualized. Then you will move on to hypervisors and virtualization using the Kernel virtual Machine (KVM) and Quick Emulator (QEMU). Next, you will learn about Linux namespace, cgroups, and layered file systems, which are the essential building blocks of Linux containers. The explanation traverses the Linux kernel codebase to show how these are realized in the Linux kernel. In the final chapter, you will code your own container by applying the concepts learnt in the previous chapters.  On completion of the book, you will have the knowledge to start coding a Linux container.  What You Will Learn Understand the basics of virtualizationDiscover how the Linux kernel supports virtualization See how the evolution of the Linux kernel and CPUs led to the creation of containerization technologiesDevelop the ability to create your own container framework Who This Book Is For Developers working on virtualized software deployment and containers. Architects designing platforms based on a container runtime as well as DevOps professionals who want to get a microscopic view on how containers and virtualization work would find the book useful.  "
9781119214694,"Master vSphere 6 virtualization with hands-on practice and bonus preview exams VCP6-DCV: VMware Certified Professional-Data Center Virtualization on vSphere 6 Study Guide is your ultimate guide to preparing for exam 2VO-621. This Study Guide provides 100% coverage of all exam objectives and offers a unique set of study tools including assessment tests, objective map, real-world scenarios, hands-on exercises, and much more so you can be confident come exam day. You will also receive access to the superior Sybex interactive online learning environment that provides additional study tools including electronic flashcards and bonus practice exams. More than just a study guide, this book bridges the gap between exam prep and real-world on the job skills by focusing on the key information VMware professionals need to do the job. You'll master the vCenter Server and ESXi from planning and installation through upgrade and security, and develop an in-depth understanding of vSphere networking and storage, vApp deployment, service level establishment, troubleshooting, monitoring implementation, and so much more.  Study 100% of exam 2V0-621 objectives Practice your skills with hands-on exercises Gain professional insight from real-world scenarios Test your understanding with review questions, practice tests, and more  Virtualization is the number-one IT priority for organizations across public and private sectors, and VMware is the dominant force in the virtualization space. The VCP6-DCV certification gives you a highly marketable credential in terms of employment, but first you must pass this challenging exam. VCP6-DCV gives you the power of Sybex exam prep and the skills you need to excel at the job."
9781484259849,"Use this guide to one of SQL Server 2019's most impactful features--Big Data Clusters. You will learn about data virtualization and data lakes for this complete artificial intelligence (AI) and machine learning (ML) platform within the SQL Server database engine. You will know how to use Big Data Clusters to combine large volumes of streaming data for analysis along with data stored in a traditional database. For example, you can stream large volumes of data from Apache Spark in real time while executing Transact-SQL queries to bring in relevant additional data from your corporate, SQL Server database. Filled with clear examples and use cases, this book provides everything necessary to get started working with Big Data Clusters in SQL Server 2019. You will learn about the architectural foundations that are made up from Kubernetes, Spark, HDFS, and SQL Server on Linux. You then are shown how to configure and deploy Big Data Clusters in on-premises environments or in the cloud. Next, you are taught about querying. You will learn to write queries in Transact-SQL--taking advantage of skills you have honed for years--and with those queries you will be able to examine and analyze data from a wide variety of sources such as Apache Spark. Through the theoretical foundation provided in this book and easy-to-follow example scripts and notebooks, you will be ready to use and unveil the full potential of SQL Server 2019: combining different types of data spread across widely disparate sources into a single view that is useful for business intelligence and machine learning analysis. What You Will LearnInstall, manage, and troubleshoot Big Data Clusters in cloud or on-premise environmentsAnalyze large volumes of data directly from SQL Server and/or Apache SparkManage data stored in HDFS from SQL Server as if it were relational dataImplement advanced analytics solutions through machine learning and AIExpose different data sources as a single logical source using data virtualizationWho This Book Is ForData engineers, data scientists, data architects, and database administrators who want to employ data virtualization and big data analytics in their environments"
9781787286016,"Deliver great business value by adopting the virtualization platform VMware vSphere 6.5, from the design to the deploymentKey Features  This new edition is based on vSphere 6.5 and has described new features in different areas, including management, security, scalability, availability and so on. Design, deploy and manage VMware datacenters Implement monitoring and security of VMware workloads with ease.  Book Description VMware vSphere 6.5 provides a powerful, flexible and secure foundation for next-generation applications which helps you create an effective digital transformation. This book will be based on VMware vSphere 6.5 which empowers you to virtualize any complex application with ease. You'll begin by getting an overview of all the products, solutions and features of the vSphere 6.5 suite, comparing the evolutions with the previous releases. Next, you'll design and plan a virtualization infrastructure to drive planning and performance analysis. Following this, you will be proceeding with workflow and installation of components. New network trends are also covered which will help you in optimally designing the vSphere environment. You will also learn the practices and procedures involved in configuring and managing virtual machines in a vSphere infrastructure. With vSphere 6.5, you'll make use of significantly more powerful capabilities for patching, upgrading, and managing the configuration of the virtual environment. Next we'll focus on specific availability and resiliency solutions in vSphere. Towards the end of the book you will get information on how to save your configuration, data and workload from your virtual infrastructure. By the end of the book you'll learn about VMware vSphere 6.5 right from design to deployment and management. What you will learn  Get a deep understanding of vSphere 6.5 functionalities Design and plan a virtualization environment based on vSphere 6.5 Manage and administer a vSphere 6.5 environment and resources Get tips for the VCP6-DCV and VCIX6-DCV exams (along with use of the vSphere 6 documentation) Implement different migration techniques to move your workload across different environments. Save your configuration, data and workload from your virtual infrastructure.  Who this book is for If you are an administrator, infrastructure engineer, IT architect, or an IT consultant and analyst who has basic knowledge of VMware vSphere and now wants to master it, then this book is for you."
9781977814500,"ABOUT THE BOOK This book teaches you how to work with VMware Workstation Player, a free virtualization application from a company called VMware. The book is written for people with some experience in the world of computers and computer networking. Prior experience with virtualization technologies is not required. WHAT WILL YOU LEARN You will first find out what virtualization is and what features VMware Workstation Player has to offer. You will learn how to install Player on Windows and Linux, how to install a guest operating system in a VM, how to start, stop, or suspend a VM. You will later learn some cool features that Player brings, such as Drag-and-Drop and Copy features, how to transfer files between two VMs using shared folders, manage virtual disks... We will wrap up by explaining different types of networking configuration available in Player.  TOPICS COVERED  what virtualization is and what features VMware Workstation Player has to offer how to install Player on Windows and Linux how to install a guest operating system in a VM how to start, stop, or suspend a VM the Drag-and-Drop and Copy features how to transfer file between two VMs using shared folders adding virtual devices to VMs manage virtual disks different types of networking configuration available in Player managing virtual networks "
