書名,書籍網址,作者,出版社,ISBN,圖片網址
Is This Wi-Fi Organic?: A Guide to Spotting Misleading Science Online (Science Myths Debunked),https://www.eslite.com/product/1001294884205656,Dave Farina,Ingram International Inc,9781642504156,0
Ameba 8710 Wifi氣氛燈硬體開發: 智慧家庭篇,https://www.eslite.com/product/1001309082681990742002,,千華駐科技出版有限公司,9789575927158,https://s.eslite.dev/upload/product/l/2681990742002/20210313033113878695.jpg
Wifi氣氛燈程式開發: ESP32篇,https://www.eslite.com/product/1001309082681990858000,曹永忠/ 楊志忠/ 許智誠/ 蔡英德,千華駐科技出版有限公司,9789575927226,https://s.eslite.dev/upload/product/l/2681990858000/20210313033129035701.jpg
Wi-Fi: Range Extender EX2700 - Coverage up to 600 sq.ft. and 10 devices with N300 Wireless Signal Booster and Repeater (up to,https://www.eslite.com/product/1001294883928831,Stefan McBride,Ingram International Inc,9798721888946,0
How Does Wi-Fi Work?,https://www.eslite.com/product/1001294883210977,Mark Weakland,Ingram International Inc,9781496680716,0
How Does Wi-Fi Work?,https://www.eslite.com/product/1001294883209787,Mark Weakland,Ingram International Inc,9781496687135,0
"The WiFi Networking Book: WLAN Standards: IEEE 802.11 bgn, 802.11n, 802.11ac and 802.11ax",https://www.eslite.com/product/1001294884104556,Gordon Colbach,Ingram International Inc,9781073328420,0
Wi-Fi,https://www.eslite.com/product/1001294883336806,,Ingram International Inc,9781635173055,0
"Peace, Love & Wi-Fi, 31: A Zits Treasury",https://www.eslite.com/product/1001294884116523,Jim Borgman ; Jerry Scott,Ingram International Inc,9781449458676,0
Absolute Beginner's Guide to Wi-Fi Wireless Networking,https://www.eslite.com/product/1001294883649312,Harold Davis,Ingram International Inc,9780789731159,0
小物大聯網: Arduino、WiFi和Sensors創客設計,https://www.eslite.com/product/1001168672527857,鄭一鴻,白象文化事業有限公司,9789869336604,https://s.eslite.dev/upload/product/l/2681351978002/589547.jpg
"主題式單晶片原理與專題製作: 使用Keil C語言, 藍牙、WiFi通訊、三軸加速度器應用 (第5版/附光碟)",https://www.eslite.com/product/1001122412424890,徐毅/ 張正賢,台科大圖書股份有限公司,9789863082729,https://s.eslite.dev/upload/product/l/2681070060002/482613.jpg
來自天國的WIFI,https://www.eslite.com/product/1001315012682063322008,高春霖,腓利門實業股份有限公司,9789860664416,https://s.eslite.dev/upload/product/l/2682063322008/20210826034032838677.jpg
ESP8266+MicroPython: Complete Material For All Users And Levels: Esp8266 Wifi Module Arduino,https://www.eslite.com/product/1001294883913962,Rob Croasmun,Ingram International Inc,9798725210644,0
"Wyze-Cam-1080p-HD: Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White, 1-Pack",https://www.eslite.com/product/1001294884411647,Harry Smith,Ingram International Inc,9798714264351,0
"Wyze-Cam-1080p: HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White, 1-Pac",https://www.eslite.com/product/1001294883888495,Julie Wilburn,Ingram International Inc,9798713373092,0
"Electronics Projects with the Esp8266 and Esp32: Building Web Pages, Applications, and Wifi Enabled Devices",https://www.eslite.com/product/1001294884105048,Neil Cameron,Ingram International Inc,9781484263358,0
"Emf: Survival Guide. Discover the Real Problems Caused by Modern Radiation (5g, Wifi, Cell Phones etc.), to Protect Yoursel",https://www.eslite.com/product/1001294884076588,David Mallow,Ingram International Inc,9781801138833,0
"Emf: Survival Guide. Discover the Real Problems Caused by Modern Radiation (5g, Wifi, Cell Phones etc.), to Protect Yoursel",https://www.eslite.com/product/1001294884089387,David Mallow,Ingram International Inc,9781801122351,0
"Serial Communication Protocols and Standards: Rs232/485, Uart/Usart, Spi, Usb, Insteon, Wi-Fi and Wimax",https://www.eslite.com/product/1001294883017584,Dawoud Shenouda Dawoud ; Peter Dawoud,Ingram International Inc,9788770221542,https://s.eslite.dev/upload/ean/9788770221542.jpg
"Emf*d: 5g, Wi-Fi & Cell Phones: Hidden Harms and How to Protect Yourself",https://www.eslite.com/product/1001294883568240,Joseph Mercola,Ingram International Inc,9781401958756,0
"Simple Website & Password Logbook: 6""x9"" (15.24cm x 22.8cm) Beautiful Colorful Keeper For Usernames, Logins, Web Addresses, Passwords, and Home WiFi N",https://www.eslite.com/product/1001294883755725,Simple Cents Journals,Ingram International Inc,9781655309717,0
Wireless Network Emulation with Mininet-WiFi,https://www.eslite.com/product/1001294883533383,Christian Rothenberg ; Ramon Fontes,Ingram International Inc,9786590057143,0
"Notebook: Discreet Password Book, With Tabs, Password Organizer (username, notes, website, email, wifi, home ISP, router passwor",https://www.eslite.com/product/1001294883358974,,Ingram International Inc,9781695665811,https://s.eslite.dev/upload/ean/9781695665811.jpg
Wyze CAM QuickStart Guide: Unofficial User Manual to Get the Most Out of Your Smart Wi-Fi Wyze Camera or Wyze CAM Pan Indoors and Outdoors,https://www.eslite.com/product/1001294883980307,Howie Sung,Ingram International Inc,9781731369888,0
Jurásico Total: Perdidos Sin Wifi / Total Jurassic. Lost Without Wi-Fi,https://www.eslite.com/product/1001294883541659,Sara Cano ; Frances Gasco,Ingram International Inc,9788420487236,0
802.11ax: A Hyperconnected World and the Next-Generation WiFi,https://www.eslite.com/product/1001294884195936,Pablo Aguilera Phd,Ingram International Inc,9781981002726,https://s.eslite.dev/upload/ean/9781981002726.jpg
NO Wi-Fi,https://www.eslite.com/product/1006185372717457,Tango,重庆大学出版社有限公司,9787568909952,https://s.eslite.dev/upload/product/l/2681555535001/ec1566945.jpg
