ISBN,書籍簡介
9781642504156,"How to Separate Real Scientific Truths from Fake News""Scientific literacy is our best defense in an age of increasing disinformation."" ―Kellie Gerardi, Aerospace Professional and Author of Not Necessarily Rocket Science #1 New Release in Safety & First Aid, Education, Essays & Commentary, Scientific Research, and EthicsWe live in the internet age, where scams, frauds, fake-news, fake stories, fake science, and false narratives are everywhere. With the knowledge base gained from Dave Farina's simple explanations, learn to spot misinformation and lies on the internet before they spot you.Is This Wi-Fi Organic? is a playful investigation of popular opinions and consumer trends that permeate our society. The organic craze has taken hold of grocery culture despite most being unable to define the term. Healers and quantum mystics of every flavor are securing their foothold alongside science-based medicine, in an unregulated and largely unchallenged landscape of unsubstantiated claims. Anti-science mentality is growing. Misleading popular opinions are used to sell you products and services that range from ineffectual to downright dangerous.Learn how to separate fact from fiction. In Is This Wi-Fi Organic? Dave Farina, author and science communicator from the YouTube channel Professor Dave Explains offers easy-to-read lessons on basic scientific principles everyone should understand, and then uses them to expose threads of confusion among the public.In this book of instruction blended with social commentary, learn: The real science behind semi-controversial health issues like drugs and vaccinesWhat energy actually is, and how we use it each and every dayA core of scientific knowledge that empowers you to spot misinformation, fake-news, fake science, and increase your critical thinking skillsReaders captivated by the scientific and critical thinking teachings in science books like Brief Answers to the Big Questions by Stephen Hawking, The Demon-Haunted World, or Calling Bullshit, will love Is This Wi-Fi Organic?"
9789575927158,"本書針對智慧家庭為主軸，運用Ameba 8195 AM/Ameba 8170 AF開發板進行開發各種智慧家庭產品，主要是給讀者熟悉使用Ameba 8195 AM/Ameba 8170 AF開發板來開發物聯網之各樣產品之原型(ProtoTyping)，進而介紹這些產品衍伸出來的技術、程式撰寫技巧，以漸進式的方法介紹、使用方式、電路連接範例等等。Ameba 8195 AM/Ameba 8170 AF開發板最強大的不只是它相容於Arduino開發板，而是它網路功能與簡單易學的模組函式庫，幾乎Maker想到應用於物聯網開發的東西，可以透過眾多的周邊模組，都可以輕易的將想要完成的東西用堆積木的方式快速建立，而且價格比原廠Arduino Yun或Arduino + Wifi  Shield更具優勢，最強大的是這些周邊模組對應的函式庫，瑞昱科技有專職的研發人員不斷的支持，讓Maker不需要具有深厚的電子、電機與電路能力，就可以輕易駕御這些模組。"
9789575927226,本書以智慧家庭為主軸，提供讀者熟悉使用Arduino Compatiable開發板：ESP32來開發氣氛燈泡之商業版雛型(ProtoTyping)，進而介紹這些產品衍伸出來的技術、程式撰寫技巧，以漸進式的方法介紹、使用方式、電路連接範例等等。ESP32開發板最強大的特點是完全相容Arduino開發板，搭載Lenonard相同的單晶片：ATmega32u4，並在板內加上無線模組：ESP8266 WiFi Module，無線網路涵蓋距離，在不外加天線之下，就可以到達20公尺，這對於家庭運用上，不只是足夠，還是遠遠超過其需求。更重要的是它簡單易學的開發工具、模組函式庫與網路功能，幾乎Maker想到應用於物聯網開發的東西，可以透過眾多的周邊模組，都可以輕易的將想要完成的東西用堆積木的方式快速建立，而且價格比原廠Arduino Yun或Arduino + Wifi Shield更具優勢，最強大的是這些周邊模組對應的函式庫，瑞昱科技有專職的研發人員不斷的支持，讓Maker不需要具有深厚的電子、電機與電路能力，就可以輕易駕御這些模組。
9798721888946,"EXTENDED WIRELESS COVERAGE: Adds Wi-Fi range coverage up to 600 sq ft, and connects up to 10 devices such as laptops, smartphones, speakers, IP cameras, tablets, IoT devices, and more. Technical Support on 03448 754000N300 WI-FI SPEED: Provides up to 300Mbps performance.UNIVERSAL COMPATIBILITY: Works with any wireless router, gateway, or cable modem with Wi-Fi.WIRED ETHERNET PORT: Simply plug in game consoles, streaming players, or other nearby wired devices using the one 10/100M port for maximum speed.SAFE & SECURE: Supports WEP and WPA/WPA2 wireless security protocols.SIMPLE TO SETUP: Press the WPS button to connect to your router. Use the NETGEAR Wi-Fi Analyzer app for optimal location.System Requirements: Microsoft, Internet Explorer 5.0, Firefox 2.0 or Safari 1.4 or Google Chrome 11.0 browsers or higherData throughput, signal range, and wireless coverage per sq. ft. are not guaranteed and may vary due to differences in operating environments of wireless networks, including without limitation building materials and wireless interference. Specifications are subject to change without notice."
9781496680716,"You probably use Wi-Fi all the time to connect to the internet through your laptop, tablet, or phone. It's easy. Wi-Fi hotspots surround you as you go through your day - from school to a pizza place or coffee shop and then back home. Not so long ago, the internet wasn't as accessible. Find out how Wi-Fi works, how it became commonplace, and what it might do for you in the future."
9781496687135,"You probably use Wi-Fi all the time to connect to the internet through your laptop, tablet, or phone. It's easy. Wi-Fi hotspots surround you as you go through your day - from school to a pizza place or coffee shop and then back home. Not so long ago, the internet wasn't as accessible. Find out how Wi-Fi works, how it became commonplace, and what it might do for you in the future."
9781073328420,"'The WiFi Networking Book: WLAN Standards: IEEE 802.11 bgn, 802.11n, 802.11ac and 802.11ax' starts from the ground up for a new user and does a gradual progression into the technical details around IEEE 802.11 Wireless Lan communications standard. The book details the 'legacy' 802.11 stack (a/b/g) and also goes into the latest wave of 802.11 standards - 802.11n, ac and ax.IntroductionA wireless LAN (WLAN) is a data transmission system designed to provide location-independent network access between computing devices by using radio waves rather than a cable infrastructure . In the corporate enterprise, wireless LANs are usually implemented as the final link between the existing wired network and a group of client computers, giving these users wireless access to the full resources and services of the corporate network across a building or campus setting.The widespread acceptance of WLANs depends on industry standardization to ensure product compatibility and reliability among the various manufacturers.The 802.11 specification as a standard for wireless LANS was ratified by the Institute of Electrical and Electronics Engineers (IEEE) in the year 1997. This version of 802.11 provides for 1 Mbps and 2 Mbps data rates and a set of fundamental signaling methods and other services. Like all IEEE 802 standards, the 802.11 standards focus on the bottom two levels the ISO model, the physical layer and link layer. Any LAN application, network operating system, protocol, including TCP/IP and Novell NetWare, will run on an 802.11-compliant WLAN as easily as they run over Ethernet.What is inside Overview on Wireless Technologies, Usage Scenarios and related TaxonomyWireless LAN and 802.11 WiFi: Architecture, 802.11 Physical Layer, 802.11 Data Link Layer, 802.11 Security802.11 Standards: 802.11b, 802.11a, 802.11g, 802.11n MIMO, 802.11ac - Wave 1 and Wave 2, 802.11axFuture Amendments to 802.11: 802.11mc (Wi-Fi RTT), 802.11ad (Wi-Gig), 802.11af (White-Fi), 802.11ah (Wi-Fi HaLow), 802.11ai, 802.11aj (CMMW), 802.11aq, 802.11ay (Next Gen 60 GHz), 802.11be (EHT), 802.11az (Next Gen Positioning), 802.11ba (Wake-up Radio), 802.11bb (Li-Fi), 802.11bc (Enhanced Broadcast Services), 802.11bd (Next Gen Vehicular) WiMax Networks: Forum, WiMax Protocol, WiMax Architecture"
9781635173055,0
9781449458676,"The Los Angeles Times calls Zits one of the freshest and most imaginative comic strips.  The world of sixteen-year-old Jeremy Duncan revolves around his insatiable growing boy appetite, lip-locking with squeeze Sarah, keeping his jerry-rigged vehicle roadworthy, and playing with his band, Goat Cheese Pizza. Somewhere in the background, he's vaguely aware of some muted voices, constantly beseeching him to pick up his Matterhorn-sized clothes pile, to be home on time (so lame ), and to (God forbid ) communicate with them. The disembodied voices are those of Connie and Walt, his mostly patient, but sometimes frustrated to exploding, parents. In Zits,  they portray a hilarious view of coping with a teenager and with being a teenager.  Created in 1997 by Pulitzer Prize-winning editorial cartoonist Jim Borgman and Reuben Award-winning cartoonist/writer Jerry Scott, Zits appears in more than 1,600 newspapers worldwide in 45 countries and is translated into 15 different languages. The comic has an estimated daily readership of more than 200 million readers."
9780789731159,"Harold Davis is a strategic technology consultant, hands-on programmer, and the author of many well-known books. He has been a popular speaker at trade shows and conventions, giving presentations on topics ranging from wireless networking through digital photography and programming methodologies. As a technology consultant, he has served many Fortune 500 companies."
