ISBN,書籍簡介
9780471492986,0
9781683922315,"Designed for professionals and students of networking and cryptography, this book covers key concepts and issues related to emerging technology, such as the Internet of Things, WiMax, mobile access, cloud computing, and more. Coverage of the latest protocols for Zigbee, Wibree/Bluetooth is included. Features: - Covers emerging technology topics such as Internet of Things, Mobile Access, WiMax, Smart Grid, Cloud Computing, etc. - Covers latest versions of ZigBee, WiBree/Bluetooth, etc."
9783030727765,"Dr. Yulei Wu is a Senior Lecturer with the Department of Computer Science, College of Engineering, Mathematics and Physical Sciences, University of Exeter, United Kingdom. He received his Ph.D. degree in Computing and Mathematics and B.Sc. (1st Class Hons.) degree in Computer Science from the University of Bradford, United Kingdom, in 2010 and 2006, respectively. His expertise is on intelligent networking, and his main research interests include computer networks, networked systems, software defined networks and systems, network management, and network security and privacy. His research has been supported by the Engineering and Physical Sciences Research Council, London Mathematical Society, National Natural Science Foundation of China, University's Innovation Platform (Link Fund) and industry. Dr. Wu serves as an Associate Editor of IEEE Transactions on Network and Service Management, IEEE Transactions on Network Science and Engineering, and IEEE Access, as well as an Area Editor of Computer Networks (Elsevier). He also serves as a Guest Editor for many international journals, including IEEE Journal on Selected Areas in Communications, IEEE Transactions on Industrial Informatics, IEEE Transactions on Cognitive Communications and Networking, IEEE Transactions on Sustainable Computing, and IEEE Transactions on Computational Social Systems. He is a Senior Member of the IEEE and the ACM, and a Fellow of the HEA.Sukhdeep Singh received his Integrated Dual Degree (Bachelors and Masters degree) in Computer Science from GVU Jaipur India in 2013. He received his PhD in Computer Engineering from Sungkyunkwan University in South Korea in 2016 along with the 'Superior Research Award' for publishing the maximum number of SCI(E) research papers during Ph.D. in 2016 from the Electrical and Computer Engineering department. He also received the 'SKKU bright student scholarship award'. He was part of Brain Korea (BK21) and National Research Foundation of Korea project during his Ph.D. He worked in diverse fields during his Ph.D., viz. eMBMS scheduling, video delivery architecture for 5G, integrating sociology with Next Generation Mobile Networks, D2D communications. Sukhdeep Singh is currently working with Samsung R&D India Bangalore in 5G RAN System design where he is responsible for research and design of O-RAN and Networks Slicing features for 5G Networks. Apart from this he is also heading the research task force of Access R&D group (with 200+ employees) of Network R&D team at Samsung R&D India-Bangalore. He received Samsung Best Paper Award conferred by CEO & President of Samsung Electronics and has also received Samsung Citizen Award (quarterly awards) for four times conferred by MD of Samsung R&D India-Bangalore. He has published more than 25 research articles in his career. He has served as Guest editor in Taylor and Francis IETE journal, General Chair in workshops hosted/will be hosted in IEEE WCNC 2020 and IEEE Globecom 2020. He also served as Technical Program Chair member for IEEE iNIS 2016, IEEE iNIS 2017, ISRO-ACM ICSE 2017, IEEE iSES 2018, IEEE iSES 2019, IEEE iSES 2020 and IEEE iSES 2021. He has been invited as a guest lecturer by University of Toronto, IITs, IIMs and IIITs and keynote speaker at Springers ICIMMI 2019 and IEEE Virtual Talk Series 2020. He edited the world's first book on 6G. Tarik Taleb received the B.E. degree (with Distinction) in information engineering and the M.Sc. and Ph.D. degrees in information sciences from Tohoku University, Sendai, Japan, in 2001, 2003, and 2005, respectively. He is currently a Professor with the School of Electrical Engineering, Aalto University, Espoo, Finland. He is the Founder and the Director of the MOSA!C Lab, Espoo, Finland. He is a part-time Professor with the Center of Wireless Communications, University of Oulu, Oulu, Finland. He was an Assistant Professor with the Graduate School of Information Sciences, Tohoku University, in a laboratory fully funded by KDDI until 2009. He was a Senior Researcher and a 3GPP Standards Expert with NEC Europe Ltd., Heidelberg, Germany. He was then leading the NEC Europe Labs Team, involved with research and development projects on carrier cloud platforms, an important vision of 5G systems. From 2005 to 2006, he was a Research Fellow with the Intelligent Cosmos Research Institute, Sendai. He has also been directly engaged in the development and standardization of the Evolved Packet System as a member of the 3GPP System Architecture Working Group. His current research interests include architectural enhancements to mobile core networks (particularly, 3GPP's), network softwarization and slicing, mobile cloud networking, network function virtualization, software-defined networking, mobile multimedia streaming, inter vehicular communications, and social media networking. Harpreet S. Dhillon received the B.Tech. degree in electronics and communication engineering from IIT Guwahati in 2008, the M.S. degree in electrical engineering from Virginia Tech in 2010, and the Ph.D. degree in electrical engineering from the University of Texas at Austin in 2013. After serving as a Viterbi Postdoctoral Fellow at the University of Southern California for a year, he joined Virginia Tech in 2014, where he is currently an Associate Professor of electrical and computer engineering and the Elizabeth and James E. Turner Jr. '56 Faculty Fellow. His research interests include communication theory, wireless networks, stochastic geometry, and machine learning. He is a Clarivate Analytics Highly Cited Researcher and has coauthored five best paper award recipients including the 2014 IEEE Leonard G. Abraham Prize, the 2015 IEEE ComSoc Young Author Best Paper Award, and the 2016 IEEE Heinrich Hertz Award. He is the recipient of the 2020 IEEE Communication Theory Technical Committee (CTTC) Early Achievement Award and the 2020 IEEE Radio Communications Committee (RCC) Early Achievement Award. He was named the 2017 Outstanding New Assistant Professor, the 2018 Steven O. Lane Junior Faculty Fellow, the 2018 College of Engineering Faculty Fellow, and the recipient of the 2020 Dean's Award for Excellence in Research by Virginia Tech. His other academic honors include the 2008 Agilent Engineering and Technology Award, the UT Austin MCD Fellowship, the 2013 UT Austin WNCG leadership award, and the inaugural IIT Guwahati Young Alumni Achiever Award 2020. He currently serves as a Senior Editor for the IEEE Wireless Communications Letters and an Editor for the IEEE Transactions on Wireless Communications and the IEEE Transactions on Green Communications and Networking. Abhishek Roy received the B.E. degree from Jadavpur University, India, in 2000, the M.S. degree from The University of Texas at Arlington, in 2002, and the Ph.D. degree from Sungkyunkwan University, in 2010. He is currently working as a Senior Technical Manager at MediaTek Inc. USA. Prior to working in MediaTek, he worked for Samsung Electronics at their head quarters in Suwon, South Korea for 12 years. He has more than 15 years of relevant experience in design and performance analysis of wireless networks, spanning across different countries. He has strong professional skills in 4G/5G/6G wireless system design, New Radio unlicensed, the IoT, cloud RAN, network modeling, and simulation. He has been published in more than 80 top-notch international journals and magazines (IEEE), coupled with ten patents and standards contributions. He served as technical program committee members and track chairs of International wireless conferences, special Issue journal editorial boards and PhD thesis committees. He is also winner of Best Employee, Best Masters and Best Paper awards from company, University and International Conferences. Madhan Raj Kanagarathinam received the BE degree in computer science and engineering from Anna University, Chennai, India, in 2012. He is currently pursuing his MS in Indian Institute of Technology (IIT) Madras. He has nine years of working experience in design and development of TCP/IP protocols, Multipath TCP and UNIX flavored operating systems. Currently, he is working as a Senior Chief Engineer for Samsung R&D Institute India Bangalore. Previously, he worked as an Engineer with Aricent Technology (India) Private Limited. He is the author of 15 articles, and more than 25 inventions. His current research interests include communication and network which include Pre-6G/Beyond 5G, Next Generation Mobile Network, software defined network architecture, wireless transport layer protocols, and cross layer optimization technique. He is also winner of IEEE Bangalore Young Technologist of the Year 2020. He is a senior member of the IEEE, and a member of the ACM. Dr. Aloknath De is Chief Technology Officer of Samsung R&D Institute India, Bangalore since 2011 when he initiated 5G research activities as his first assignment. As Corporate Vice President of Samsung Electronics, South Korea, he has also been responsible for Samsung's IoT Data Platform and Intelligent Services. Dr. De received his B.Tech. from Indian Institute of Technology (IIT), Kharagpur, M.E. from Indian Institute of Science (IISc), Bangalore, and Ph.D. from McGill University, Montreal. Prior to Samsung, he has held progressive responsibilities in Bharat Electronics, Nortel Network (Montreal), Hughes and ST-Ericsson where he was Country Manager and a Board Director. Additionally, he served as an AICTE-INAE Visiting Professor in IIT-Roorkee and an Adjunct Professor in IIT-Delhi between 2005 and 2011. During 30 years of corporate life, he has been solving complex problems: from Radar Systems to Futuristic Devices, from Rich Communication to Machine Understanding. He has 25+ patents granted/filed and 50+ research publications. For technology leadership, Dr. De has received numerous accolades: Alexander Graham Bell Prize (Canada), IETE Memorial Award, IDC Insights Award, Nasscom AI Game Changer Award; and also from IESA for 'Innovative Product', Zinnov for 'Intrapreneur of the Year', Assocham for 'Tech Leader of the Year' and TechCircle for 'Business Transformation'. He is recognized as one of the 'Most Influential CIO/CTOs of India' and is Invited Speaker in 'Thought Leadership' forums. His meticulous drive has made Samsung India center an Innovation Hub with repeat recognition through 'National IP Award', and 'Great Place to Innovate' award. He leads Samsung's deep partnership with and strategic investment in Indian Startups. He has been contributing to global technology standards and is current chair of OCF India forum for IoT. As Chair of IEEE Communication Society in Bangalore, he has been spearheading workshops on Emerging Technologies. He is involved with Dept of Science & Technology (DST) and premier institutes as member of Advisory Committee, Research Council and Governing Body. He is Fellow of IETE, IEI and Indian National Academy of Engineering (INAE)."
9783319782614,"Xuemin (Sherman) Shen (M'97-SM'02-F'09) received the Ph.D. degree in electrical engineering from Rutgers University, New Brunswick, NJ, USA, in 1990. He is currently a University Professor with the Department of Electrical and Computer Engineering, University of Waterloo, Canada. His research focuses on network resource management, wireless network security, Internet of Things, 5G and beyond, and vehicular ad hoc and sensor networks. He is a registered Professional Engineer of Ontario, Canada, an Engineering Institute of Canada Fellow, a Canadian Academy of Engineering Fellow, a Royal Society of Canada Fellow, a Chinese Academy of Engineering Foreign Fellow, and a Distinguished Lecturer of the IEEE Vehicular Technology Society and Communications Society.  Dr. Shen received the R.A. Fessenden Award in 2019 from IEEE, Canada, James Evans Avant Garde Award in 2018 from the IEEE Vehicular Technology Society, Joseph LoCicero Award in 2015 and Education Award in 2017 from the IEEE Communications Society. He has also received the Excellent Graduate Supervision Award in 2006 and Outstanding Performance Award 5 times from the University of Waterloo and the Premier's Research Excellence Award (PREA) in 2003 from the Province of Ontario, Canada. He served as the Technical Program Committee Chair/Co-Chair for the IEEE Globecom'16, the IEEE Infocom'14, the IEEE VTC'10 Fall, the IEEE Globecom'07, the Symposia Chair for the IEEE ICC'10, the Tutorial Chair for the IEEE VTC'11 Spring, and the Chair for the IEEE Communications Society Technical Committee on Wireless Communications. He was the Editor-in-Chief of the IEEE INTERNET OF THINGS JOURNAL and the Vice President on Publications of the IEEE Communications Society. Xiaodong Lin received the PhD degree in Information Engineering from Beijing University of Posts and Telecommunications, China, and the PhD degree (with Outstanding Achievement in Graduate Studies Award) in Electrical and Computer Engineering from the University of Waterloo, Canada. He is currently an associate professor in the School of Computer Science at the University of Guelph, Canada. His research interests include computer and network security, computer forensics, privacy protection, applied cryptography, and software security. He is a Fellow of the IEEE.  Kuan Zhang (S'13-M'17) has been an assistant professor at the Department of Electrical and Computer Engineering, University of Nebraska-Lincoln, USA, since September 2017. He received the Ph.D. degree in Electrical and Computer Engineering from the University of Waterloo, Canada, in 2016. He was also a postdoctoral fellow with the Broadband Communications Research (BBCR) group, Department of Electrical and Computer Engineering, University of Waterloo, Canada, from 2016-2017. His research interests include security and privacy for mobile social networks, e-healthcare, cloud/edge computing and Internet-of-Things. Dr. Zhang received IEEE Technical Committee on Scalable Computing (TCSC) Award for Excellence - Outstanding Ph.D Thesis in 2017. He was the recipient of Best Paper Award in IEEE WCNC 2013, Securecomm 2016, and BigDataSE 2019."
9781683922254,0
9781601324627,0
9781848217140,"This book presents the state of the art in the field of mobile and wireless networks, and anticipates the arrival of new standards and architectures. It focuses on wireless networks, starting with small personal area networks and progressing onto the very large cells of wireless regional area networks, via local area networks dominated by WiFi technology, and finally metropolitan networks. After a description of the existing 2G and 3G standards, with LTE being the latest release, LTE-A is addressed, which is the first 4G release, and a first indication of 5G is provided as seen through the standardizing bodies. 4G technology is described in detail along with the different LTE extensions related to the massive arrival of femtocells, the increase to a 1 Gbps capacity, and relay techniques. 5G is also discussed in order to show what can be expected in the near future. The Internet of Things is explained in a specific chapter due to its omnipresence in the literature, ad hoc and mesh networks form another important chapter as they have made a comeback after a long period of near hibernation, and the final chapter discusses a particularly recent topic: Mobile-Edge Computing (MEC) servers."
9781508476344,"Are you tired of buying security books and at the end discover that they contain only theory and no practical examples at all? Do you want to setup your own hacking lab and learn through practice?If yes, then this is the book for you Hacking Wireless Networks - The ultimate hands-on guide, is a book written for people who seek to practice the techniques of assessing the security of wireless infrastructures.Through 30 real life scenarios and more than 300 figures the book examines in details the following areas: - Discovery and Profiling of wireless networks- Denial of Service attacks- Attacks against WEP secured wireless networks- Attacks against WPA/WPA2 secured wireless networks- Bypass techniques for popular Authentication mechanisms- Encryption keys cracking using special techniques- Attacks against the Access Point's management interface- Attacks against special security features like WPS- Stealthy techniques to avoid getting caught by wireless IDS Now that the world agrees that wireless securityis central to computer security, it is time toput theory into practice."
9780071819831,"Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.Design Next-Generation Wireless Networks Using the Latest TechnologiesFully updated throughout to address current and emerging technologies, standards, and protocols, Wireless Networks, Third Edition, explains wireless system design, high-speed voice and data transmission, internet working protocols, and 4G convergence.New chapters cover LTE, WiMAX, WiFi, and backhaul. You'll learn how to successfully integrate LTE, WiMAX, UMTS, HSPA, CDMA2000/EVDO, and TD-SCDMA into existing cellular/PCS networks. Configure, manage, and optimize high-performance wireless networks with help from this thoroughly revised, practical guide.Comprehensive coverage includes: Overview of 3G wireless systemsUMTS (WCDMA) and HSPACDMA2000 and EVDOTD-SCDMA and TD-CDMALTEWiMAXVoIPWiFiBroadband system RF design considerationsNetwork design considerationsBackhaulAntenna system selection, including MIMOSystem design for UMTS, CDMA2000 with EVDO, TD-SCDMA, TD-CDMA, LTE, and WiMAXCommunication sites including in-building and colocation guidelines5G and beyond"
9780596100520,"As we all know by now, wireless networks offer many advantages over fixed (or wired) networks. Foremost on that list is mobility, since going wireless frees you from the tether of an Ethernet cable at a desk. But that's just the tip of the cable-free iceberg. Wireless networks are also more flexible, faster and easier for you to use, and more affordable to deploy and maintain.The de facto standard for wireless networking is the 802.11 protocol, which includes Wi-Fi (the wireless standard known as 802.11b) and its faster cousin, 802.11g. With easy-to-install 802.11 network hardware available everywhere you turn, the choice seems simple, and many people dive into wireless computing with less thought and planning than they'd give to a wired network. But it's wise to be familiar with both the capabilities and risks associated with the 802.11 protocols. And 802.11 Wireless Networks: The Definitive Guide, 2nd Edition is the perfect place to start.This updated edition covers everything you'll ever need to know about wireless technology. Designed with the system administrator or serious home user in mind, it's a no-nonsense guide for setting up 802.11 on Windows and Linux. Among the wide range of topics covered are discussions on: deployment considerationsnetwork monitoring and performance tuningwireless security issueshow to use and select access pointsnetwork monitoring essentialswireless card configurationsecurity issues unique to wireless networksWith wireless technology, the advantages to its users are indeed plentiful. Companies no longer have to deal with the hassle and expense of wiring buildings, and households with several computers can avoid fights over who's online. And now, with 802.11 Wireless Networks: The Definitive Guide, 2nd Edition, you can integrate wireless technology into your current infrastructure with the utmost confidence."
