ISBN,書籍簡介
9789865020637,Docker是一個用於建立、傳送、管理和保護容器的開源平台，目前已經是用容器化技術的首選工具。隨著容器化技術趨勢的確立，Docker勢必將在未來扮演更重要的角色。本書從建置Docker開始，告訴您如何使用Docker映像，然後，帶領您深入研究容器的網路和資料管理，並傳授您在使用Docker時遇到問題如何快速解決的實際經驗。透過本書，您將了解如何：●在各種平台上安裝Docker●使用Docker映像和容器●在容器中使用網路與資料共享●Docker API和語言綁定●Docker的各種PaaS解決方案●使用Docker Swarm和Kubernetes實現容器編排●管理容器的安全性●在AWS與Azure上使用Docker
9789864767915,本書將引領大家踏上Docker之旅，從關鍵概念和簡單的範例開始，教你如何用Windows Docker容器運行.NET Framework和.NET Core應用程式，然後會逐步進行到更複雜的範例，加上若干真實世界的Docker實作案例研究，從小規模的自製應用程式、到Azure的超大型應用程式都涵蓋其中。你會從本書學到：●涵蓋Docker關鍵概念：映像檔、容器、Registry及swarms●在Windows 10、Windows Server 2016和雲端等環境運行Docker●跨越多重Docker容器部署和監視分散式解決方案●以Docker Swarm運行容器，達到高可用性和容錯功能●深入掌握Docker平台安全性，讓應用程式更為安全●以Docker運行Jenkins，建構持續部署管線●利用Visual Studio為運行在Docker容器裡的應用程式除錯●如何規劃導入Docker
9789864340347,"Linux的新一代虛擬化輕量雲端應用執行容器
輕鬆加快開發工作，有效管理並簡化部署應用程式流程
自2014年Docker發行後，在雲端與應用程式部署世界中開啟了新的視野，而當Google官方發言人Joe Beda說出「Everything at Google runs in a
container」，亦即Google現在的服務都已使用容器來執行後，大家開始真正地正視這個未來的趨勢，也就是「輕量化容器」的技術。
這個技術的進步不是以「年」計的，它發展的快速程度是以「月」計算的，也就是每個月都有新的開發成果加入，來使其更完善、更有效率…。究竟是那一個如此受寵的技術呢？答案是－「Docker」。
Docker是由DotCloud公司（目前更名為Docker公司）所開發的新一代容器技術，他們不但釋出了Docker成為開放原始碼，並公開表示會全心投入Docker的技術發展。Docker用的是Linux核心技術，利用如：namespaces、cgroups、AppArmor profiles等，來建置出一個隔離的虛擬環境。
使用Docker有以下優勢：
•比虛擬機器更有效率地使用主機資源
•能在應用程式部署至線上環境後，確保它能與在開發環境同樣的正常運作
•加快雲端多主機的自動化部署
•更容易除錯與模組化
•擁有由非常多的使用者所貢獻出各類用途的映像檔可下載
•具備由官方管理的映像檔案庫(Docker hub)
在這個趨勢列車高速行馳的過程，你一定不想錯過，一定要加入或瞭解它。"
9789865501518,"帶你一窺全球巨型IDC的Docker佈建實況 
本書特色 
資料中心已不再是伺服器或虛擬機為主的運算實體了，容器才是王道！ 
Amazon EC2、Google Cloud Platform，無不採用了以容器為主的微服務。 
Docker及Kubernetes已成為架構大型運算的主流，本書將帶讀者一窺全球 
巨型IDC的Docker佈建實況。 
本書重點 
全書主要分為三大部分，可分別對應到雲端服務的IaaS, PaaS及SaaS。 
第一部分 偏向硬體及基礎設施的佈建，說明資料中心的建置計劃及導論。從人員、流程、管理、技術四大方面對整個IDC進行設計及建置，幫虛擬機或容器的執行環境打好基礎。 
第二部分 用容器取代傳統的伺服器/虛擬機/作業系統，針對Docker進行說明。包括建立安全的Docker映像檔倉庫、Docker的安全策略、大規模的使用Docker，在了解IDC的理論之後幫你把Docker架上多台主機。 
第三部分 進階的技術，偏向平台建置，主要包括企業等級的資料建模，分別針對傳統的SQL及NoSQL進行最佳化，並進一步說明什麼是軟體定義一切。 
適合讀者群 雲端運算時代決策者、數據分析師、系統架構師、技術開發者。"
9789865501341,✤內容簡介 還在用虛擬機器？是時候開始用Docker了 未來五年領導雲端運算發展的核心技術必然是容器技術。現在越來越多的IT公司逐漸拋棄傳統的虛擬化技術，而轉向輕量化的容器技術。 主流雲端服務商已經開始支援Docker 雲端服務提供商，包含微軟、IBM、Rackspace、Google以及其他主要的Linux提供商如Canonical和Red Hat，都開始支援Docker。 Docker和Kubernetes如何改變傳統的虛擬化技術？ Docker和Kubernetes給虛擬化技術帶來了革命性的改變，給開發人員以及系統管理員提供了一個平台，使設定和部署分散式應用變得更加容易，讓應用真正實現零當機。 ✤本書特點 （1）本書不論是理論知識的介紹，還是實例的選擇，都是從實際應用的角度出發，精心選擇運行維護和開發過程中典型實例，說明細緻，分析透徹。 （2）深入淺出、輕鬆易學，以Docker和Kubernetes重要基礎知識為主線，觸發讀者的閱讀興趣，讓讀者能夠真正學習到Docker和Kubernetes實用、前端的技術。 （3）技術新穎、與時俱進，結合時下最熱門的技術，如微服務、叢集以及自動化運行維護等，讓讀者在學習Docker和Kubernetes的同時，擴大知識面，了解和掌握更多的、更先進的運行維護技術。 （4）接近讀者、接近實際，大量成熟技巧和經驗的介紹，幫助讀者快速找到問題的最佳答案，及時解決運行維護和開發過程中遇到的問題。 （5）貼心提醒，本書根據需要在各章使用了很多「注意」「提示」等小提示，讓讀者可以在學習過程中更輕鬆地了解相關概念及基礎知識。 （6）本書匯集了作者大量的實戰經驗，不僅可以作為入門教學，還可以作為運行維護和開發的參考書。
9789864344437,★重版出來！本書上市以來即榮獲讀者們一致好評讚賞★ ★特價回饋限量上市！精通Docker的精彩內容盡在本書★ 本書介紹許多Docker的使用方法，並以專門章節示範Docker的實踐之道。透過這些操作範例的引導，避免讀者進行紙上談兵式的閱讀，也使得章節之間的概念藉由範例串聯起來。此外，透過通俗語言將晦澀的知識以生活化的方式展現出來，讓讀者，特別是初學者更容易理解Docker。 本書特色： *集結各地最新資料，整理出重點菁華，提供瞭解Docker的最佳捷徑。 *以淺顯文字說明，從不同角度解讀和展現Docker的概念、原理以及實際案例。 *不同領域或者對Docker有著不同認知的開發者，都能從中得到想要的知識。
9789863797784,本書特色隨著業務的發展、程式的堆砌，公司專案變得日益臃腫、複雜、開發效率低落、難以維護？我們迫切需要能夠解放生產力的新技術──微服務架構Spring Cloud！作者為Spring Cloud社區創辦者之一，以實戰開發者之豐富經驗，將設定簡單、設計優雅的Spring Cloud所有相關的基礎知識和工具的使用，在本書中進行完整而精闢的剖析；最後則說解了如何將Spring Cloud微服務應用部署運行在Docker上，讓架構系統得予快速、輕鬆且高效運用。精彩內容本書涵蓋了微服務理論、開發框架（Spring Cloud）以及執行平台（Docker）三大主題。❑ Part 1（第1章）：有系統的介紹微服務架構。❑ Part 2（第2-11章）：使用Spring Cloud開發框架編寫一個「電影售票系統」。❑ Part 3（第12-14章）：說明如何將微服務實際執行在Docker平台上。全書採用精心設計的Demo驅動，以連貫的場景、真實的程式範例，來引導讀者學習如何使用強大的微服務技術實現架構設計。本書涵蓋最新版本架構所獨具的技術特性、技巧及案例，幫助讀者避開升級過程中可能遭遇到的困難與陷阱。更多理論性的內容 （如Cloud Native、12-factor APP、DDD等） 在文中皆以「延伸閱讀」、「Tips」或「Warning」的形式註記，提供有興趣的讀者依此專研，擴展視野。適用讀者群Java工程師、系統架構師和運行維護人員，以及對 Spring Cloud 有興趣的技術同好。
9789864342648,本書介紹許多Docker的使用方法，並以專門章節示範Docker的實踐之道。透過這些操作範例的引導，避免讀者進行紙上談兵式的閱讀，也使得章節之間的概念藉由範例串聯起來。此外，透過通俗語言將晦澀的知識以生活化的方式展現出來，讓讀者，特別是初學者更容易理解Docker。◎集結各地最新資料，整理出重點菁華，提供瞭解Docker的最佳捷徑。◎以淺顯文字說明，從不同角度解讀和展現Docker的概念、原理以及實際案例。◎不同領域或者對Docker有著不同認知的開發者，都能從中得到想要的知識。
9789864764877,本書的目的是為了幫助剛開始接觸Docker的初學者快速入門，了解實際應用Docker時應該掌握的知識。透過本書，您可以了解：．Docker的特性、使用場景、原理、基本的操作和指令．Docker的映像檔管理與倉庫管理．Docker的網路和儲存管理．Docker的日常維護．如何應用Docker Swarm容器叢集．如何開發Docker外掛程式．Etcd、Cadvisor與Kubernetes的應用．Docker原始碼的目錄結構和編譯方法
9789860776140,"還在MySQL嗎？ 
全世界都在NoSQL了，首選當然就是Redis！ 
好裝好用還能用Docker做叢集分佈，帶你進入巨量資料的世界。 
 絕大多數Redis初學者只會拿Redis當Map用，只會在單機環境上只會針對String資料類型進行SET和GET操作，這當然不是Redis！Redis本身就支援多台叢集的功能，這才是NoSQL的精神所在。當系統出現大量存取需求時，單台Redis伺服器並沒有形成高可用的運行環境，這也是大家使用Redis最常見的錯誤。 
 本書程式設計師提供一本實戰開發的Redis圖書，包括高頻使用的Redis運行維護知識、使用常用的Redis Java Client API框架Jedis來操作Redis伺服器的知識和技能。書中充實地介紹了常用Command命令的使用方法，介紹的命令的覆蓋率達到90%以上。當然最流行的Docker佈署方式也是Redis的最佳拍檔，本書也完全介紹。 
 ▌本書重點 
完整解析Redis的5大資料類型String、Hash、List、Set和Sorted Set 
Connection類型命令 
Key類型命令 
HyperLogLog、Redis Bloom布隆篩檢程式 
控制頻率的Redis-Cell模組 
高性能佇列的Pub/Sub命令 
資料排序統計的Streaming 
批次執行的Pipelining 
持久化、主從複製以及檢查點的故障發現/轉移 
使用ACL來對Key進行保護 
 ▌目標讀者 
所有使用 Redis 和 Jedis 進行程式設計的開發人員。 
伺服器和資料儲存系統開發人員。 
分散式系統架構師。 
網際網路技術程式設計師。 
網際網路技術架構師。"
