ISBN,書籍簡介
9789864342440,輕鬆有趣的對話情境學習教材×學習正統、精美的網頁設計技能即使是網頁設計的新手，也能徹底學會最新的網站設計方法！每一章都有不同的主題，非常適合反覆學習來加深知識的完整化！◎輕鬆有趣的漫畫學習情境，能激發你學習網頁設計的樂趣◎了解製作網站的前置作業，並設定網站目標與目標讀者◎教導你規劃整理出網站架構，以及學習製作網站線框圖的思維方式◎可具備HTML/CSS的基礎知識，製作出漂亮精美的網站◎打造適合個人電腦、智慧型手機、平板電腦等各種裝置瀏覽的網頁◎幫助網頁設計初學者快速地建立與發布網站，是最佳的網頁設計體驗教材本書是一本有趣的網頁設計入門學習書，內容將帶著大家一邊建置「橡果合唱團」的網站，一邊與岬同學、亨利這兩位故事主角一起學習HTML/CSS的基礎知識。而雖說是學習HTML/CSS的基礎知識，但卻能完成正統的流動佈局網站，並且利用個人電腦、平板電腦、智慧型手機等各種螢幕尺寸的裝置瀏覽時，網頁版面也不會錯亂。本書學習進程的安排完整，即使你從未學習過網頁設計，也不用擔心。想要挑戰製作複雜網頁的人，也可將本書視為網頁製作的敲門磚。對於準備建立專屬網站的人、想要在自己的網站刊登照片或文章的人、想在短時間之內學會從設計到發布網站等所有事項的人、想要反覆學習困難的技術與課題的人等而言，本書可幫助這些人在短時間之內建立網站，掌握住網頁設計的精髓，可說是最佳的學習教材。
9789864760336,打造能滿足現代網路用戶需求且不會過時的響應式網站我們存取全球資訊網的方式不斷改變，需要考量的螢幕尺寸與使用者經驗，變動的幅度前所未見。打造響應式的網頁能讓其內容適應現今及往後的各種裝置。學習如何運用「響應式加行動優先」的方法學打造網站，不論哪台裝置來存取網站，顯示都不成問題。本書有豐富的範例，從頭到尾解說新潮的技巧與語法，跟「響應式」有關的事情，都能在本書中找到詳盡的資源。本書第二版涵蓋所有最新的技巧與工具，足夠建立出色的響應式設計，確保你的專案不會被淘汰。誰該看這本書你還在寫兩套網站，一套給行動裝置，一套給較大型的顯示器？或者你已經初步實作了響應式網頁設計，卻苦於東拼西湊、不成模樣？若是這樣，網站更上一層樓所需的一切，都收錄於本書了。具備一些HTML和CSS的知識不無小補，其餘翻開書就能找到。你會從這本書學到‧了解響應式設計是什麼、為什麼開發現代網站少不了它？‧學習撰寫更簡約，速度更快，語意更豐富的HTML5標記內容，並弄懂所有新的關鍵元素‧如何使用CSS3媒體查詢，根據裝置不同的配備套用不同樣式？並了解CSS4將帶來的媒體查詢新進展‧學習如何依據螢幕尺寸、裝置解析度或脈絡，載入不同圖片‧征服表單！只用HTML5標記，就能添加檢核機制與實用的介面元素，諸如日期揀選器和範圍滑桿‧在你的響應式設計中實裝SVG，供應使用者圖片而不用理會解析度，並學習如何善用SVG，還讓它動起來‧學習如何使用CSS最新的功能，包括伸縮盒(Flexbox)、自訂字型、nth-child選擇器、CSS自訂屬性(變數)，以及CSS計算器(calc)
9789863474517,下個世代的網頁標準《完美掌握HTML5與CSS3》帶你一步一步走遍HTML5的功能和元素；HTML5帶來更簡短、更清晰，且效率更佳的程式碼，你不可錯過；CSS3的新結構，整全嚴謹，添加樣式，更有彈性，本書會告訴你如何施展。HTML5與CSS3珠聯璧合，讓網站專案頁面更出色，內容呈現更聰明。《完美掌握HTML5與CSS3》會教你：‧開發語意更精準、素材更豐富的內容‧採用新的網頁標準開發網頁‧利用HTML5與CSS3設計網頁‧創造漸變與動畫，不必用到Flash‧運用新的網頁文字編排學解決方案《完美掌握HTML5與CSS3》提供你腳踏實地、逐步前進的路徑；邁步向前，開發網頁吧！投入嶄新網頁標準，擁抱HTML5與CSS3的新銳功能，你需要的知識和技能，這本書就夠了。
9789863472681,"“The Missing Manual系列可說是我讀過最有見地、最實用的系列書籍了…” —Kevin Kelly, Wired 之共同創辦人書架上不能沒有的一本書答案就在這裡！HTML5不僅是一種標記語言，更是多種網頁標準的集合。幸運的是，本書涵蓋了所有你所需要知道的一切！藉由循序漸進的講解說明，配合實務範例演練 HTML5: The Missing Manual 將示範如何應用視訊工具(video tools)、動態影像(dynamic graphic)、離線功能(offline features)，以及自適應網頁配置(responsive layouts)來建置適用於行動裝置(mobil devices)的網頁應用程式(web apps) 你不可不知的重要訣竅 ‧播放音訊視訊免外掛-建置所有瀏覽器都適用的錄放頁面 ‧用Canvas創造炫目影像-描繪各式形狀，插入圖片或文字、播放動畫，並能執行互動式遊戲 ‧用CSS3生動你的頁面-在頁面轉換(transitions)或動畫中套用絢麗字體及吸睛特效 ‧設計更好用的網頁表單(web forms)-使用HTML5表單元件更有效率地收集訪客資訊 ‧ㄧ次編譯，隨處執行-採用自適應式設計讓你的網站不論在電腦桌面、平板，或是智慧型手機上都能完美呈現 ‧涵括多項豐富桌面的功能-將所需資料儲存於用戶端，實現可離線運作的網頁應用程式 "
9789863471240,在你的網頁開發工具組加入 HTML5 與 CSS3，建構出最強大的網站與應用程式，提供所有行動設備（及非行動設備）平台使用。在本書中，你不但可以學到如何開發 iOS、Android、Blackberry 及 Windows Phone 的 Web App，也會學到如何讓它們具備良好的效能與使用者體驗。你將會透過許多程式與標記範例，學習如何善用 HTML5 功能，包括新 Web 表單、SVG、Canvas、localStorage 及相關的 API。你也會深入地研究 CSS3，並探討如何設計大型顯示器及小型螢幕的 App。●學習 HTML5 的元素、語法及語義●使用最少 JavaScript 建構更容易使用的表單●探討圖片、視訊及音訊的 HTML5 媒體 API●使用 AppCache、localStorage 及其他 API 讓應用程式可離線運作●瞭解 CSS3 選擇器與語法●深入討論 CSS3 功能，例如多重背景、漸層、邊框圖像、漸變、變形及動畫●讓你的 Web 應用程式具備易用性、響應性及無障礙性●在所有平台上，讓 App 具備更佳效能、使用者體驗及可靠性Estelle Weyl 是位前端工程師，從 1999 年就開始開發採用無障礙規格的網站。她的科技部落格已經吸引了上百萬位訪客，經常在世界各地演說 CSS3、HTML5、JavaScript、前端效能及行動 Web 開發『多年來，Estelle 一直以別具特色的風格，內容豐富的演說及實用的問答，為來自世界各地的聽眾說明 HTML5 與 CSS3。她的知識終於被提煉為一本實用的書籍了，這將嘉惠世界各地的 Web 開發者。』-Christopher Schmitt《CSS 錦囊妙計》與《HTML5 錦囊妙計》作者
9789862768945,你可以從本書學到什麼？厭煩了只有成為專家後才看得懂的 HTML 書籍嗎？現在請拿起本書第二版，真正學會 HTML。各位想學 HTML 與 CSS 的原因，多半是打算動手建立想做的網站，藉此更方便與親朋好友、粉絲或與客戶溝通。各位也想做對網站、使用最新的 HTML5 標準，才能持續維護並擴充網站，讓網站能在所有瀏覽器與裝置上運作。本書有什麼特殊之處？在本書中，各位將學會建立網站的真正秘密，更重要的是，各位不會在學習的過程中昏睡過去。如果是接觸過 Head First 系列的讀者，就知道有什麼好期待了：視覺元素豐富的格式設計又能幫助大腦運作。使用最新的腦神經學、認知科學與學習理論的研究，本書將把 HTML 與 CSS 載入你的大腦，而且保證記憶深刻。
9789862767917,"HTML5 開發者的解決方案""如果你正在尋求 HTML5 知識，本書是絕佳的選擇，它如萊姆派一樣可口。""- Jenn Lukas, Happy Cog 互動性研發總監本書有許多可立即在專案中使用的實際案例，這些案例也可以協助你實際操作各種 HTML5 元素以從中獲得經驗。這些扼要的解決方案可協助你處理所有問題，包括標記語義、web 表單、音訊與視訊元素，以及 HTML5 相關的技術，如地理定位與豐富的 JavaScript API。書中的每一節皆包含範例程式以及詳盡的說明，探討解決方案的來龍去脈以及工作原理。這本便利的書籍非常適合中階與高階的 web 及行動 web 開發者，可協助你選擇合適的 HTML5 功能，並試驗其他部分：‧測試瀏覽器對 HTML5 提供的支援，並透過一些技巧來應用未支援的功能‧瞭解 HTML5 如何大幅度的簡化 web 表單的實作‧克服實作原生音訊與視訊元素時將面臨的挑戰‧學習如何依據 ARIA 協助工具指南來使用 HTML5‧透過範例來探討如何在應用程式中使用地理定位資料‧繪製圖像、使用透明背景、加入漸層與圖樣，以及許多其他 Canvas 功能‧透過許多進階 JavaScript API 將 HTML5 功能帶入生活"
9789862767573,搭起 Web 與行動 Web 之間的橋樑本書以實作的方式，教你使用 HTML5、JavaScript 與最新的 W3C 規範來建構行動∕桌上型 web 應用程式，並可運行於所有瀏覽器。你可以迅速理解鬆耦合後端結構，並使用它來建構支援離線用戶端的應用程式。本書透過實際的案例，讓你瞭解如何將 Web Storage、Web Workers、地理地位、Device Orientation 與 WebSockets 納入程式的結構。如果您已經熟悉伺服器端編程並具備 HTML5 的基礎知識，那麼此書正是為你而著。．以多元的 HTML5 零件建構具備一致性的結構．深入瞭解用戶端結構以及“行動優先”方法．設計、建立與調整引人注目且強健的行動 web 應用程式．探討五種最優秀的 MVC 框架如何與伺服器互動．學習最佳的純 WebSocket 伺服器設定方法．學習 Google、Twitter 與 Amazon 等網站的資料儲存方式．以實際的做法來應用地理地位，並瞭解各種實作陷阱．以 Web Workers 幕後處理圖像與其他資料　Wesley Hale 是位使用者介面建構者，曾經在初創公司與企業負責 UI 與 UX 逾十年之久。在 Red Hat 的四年期間，他曾與同事共同創立數個開源專案，並創辦了 Atlanta HTML5 使用者團體。
9789861991931,"「我想開發iPhone應用程式」 許多人心中都有這個願望。但是：「難道不會Objective-C就不能開發iPhone的APP嗎？」 我想許多人心中也有這個疑問。不是每個人都有時間學Objective-C，尤其每天都出現一堆為數可觀的應用程式。免費的應用程式有很多，而收費的應用程式也很平價。因此要是花上一大段時間開發APP，很可能會錯過讓APP上架的最佳時機點，更何況開發的成本也相當高昂。 「難道不能在不學習新技術之下，快速地開發iPhone應用程式嗎？」 本書的讀者一定會有這個疑問。事實上，HTML+CSS+JavaScript就能輕鬆地開發iPhone應用程式，如此就能利用過去累積的程式來快速地開發需要的APP。 本書將介紹如何利用HTML+CSS+JavaScript撰寫程式碼後，再透過Xcode、PhoneGap、Titanium執行程式的方法。活用iPhone/iPad/iPod touch專有的功能（多點觸控、加速度感應器…）以及HTML5的新功能。"
9789862765012,"你可以用更快更好的方式了解HTML和CSS"" 這麼多介紹 HTML 和　CSS 的書，為什麼要選擇這本？因為...本書以最深入淺出的方式引導讀者學習HTML5 及 CSS應用, 即使是從未學習過的讀者都能藉由此書快速了解那看似艱難的程式碼. 因為...本書以簡短的範例單元說明每個主題的實作, 不但可當作初學者的入門用書, 即使是進階使用者也能從中快速查找所需功能. 無論你想從頭開始設計建置網站，或希望能將現有的網站管理的更好，本書將幫助你創造出別具風格、獨創吸引力，以及容易使用的網站。 我們知道很多人會把程式碼想的很難，但只要你翻開本書，你會發現本書內容與傳統教學的書籍有多麼大的不同，因為我們把 HTML 及 CSS 變的更簡單更容易懂了。 每一頁面都以簡單的視覺性引導方式，搭配直接明瞭的說明以及簡潔易懂的原始碼範例來介紹一個新主題。即使是沒有經驗的你都能找到實際有效的工作指引，讓你能快速應用在改良組織和設計您目前的的網站頁面，讓你的網站更吸引人更易於使用。 <本書是寫給你看的> . 網頁設計人員及程式設計師 . 線上編輯維護內容者 . 行銷及電子商務管理者 . 部落客及社群愛好者 <你將會學到> . 編寫HTML和CSS . 如何建構網頁及網站 . 準備影像、視訊和音訊 . 控制文字設計和版面 目錄: 導讀 Chapter 1 : 結構 Chapter 2 : 文字 Chapter 3 : 清單 Chapter 4 : 連結 Chapter 5 : 影像 Chapter 6 : 表格 Chapter 7 : 表單 Chapter 8 : 額外標示 Chapter 9 : FLASH、視訊和音訊 Chapter 10 : CSS簡介 Chapter 11 : 色彩 Chapter 12 : 文字 Chapter 13 : 方框 Chapter 14 : 清單、表格和表單 Chapter 15 : 版面 Chapter 16 : 影像 Chapter 17 : HTML5版面 Chapter 18 : 流程與設計 Chapter 19 : 實用資訊索引"
