書名,書籍網址,作者,出版社,ISBN,圖片網址
JavaScript & JQuery: 網站互動設計程式進化之道,https://www.eslite.com/product/1001113692573555,Jon Duckett,碁峰資訊股份有限公司,9789863478164,https://s.eslite.dev/upload/product/l/2681426857003/647910.jpg
外掛OUT! jQuery高手精技 (附光碟),https://www.eslite.com/product/1001113882566722,矢次悟郎,旗標科技股份有限公司,9789863124061,https://s.eslite.dev/Upload/Product/201701/l/636199794330127400.jpg
jQuery最強圖解實戰講座 (附光碟),https://www.eslite.com/product/1001113882559836,神田幸惠,旗標科技股份有限公司,9789863123903,https://s.eslite.dev/Upload/Product/201612/l/636167827127031250.jpg
jQuery實戰手冊 (第3版),https://www.eslite.com/product/1001113692498226,Bear Bibeault/ 等,碁峰資訊股份有限公司,9789863479727,https://s.eslite.dev/Upload/Product/201603/l/635950098303638750.jpg
jQuery Plugin外掛套件活用範例速查辭典,https://www.eslite.com/product/1001120322439321,古籏一浩,博碩文化股份有限公司,9789864340286,https://s.eslite.dev/Upload/Product/201507/l/635737554574621250.jpg
JavaScript函數活用範例速查辭典: jQuery & HTML 5應用,https://www.eslite.com/product/1001120322413743,山田祥寛,博碩文化股份有限公司,9789864340095,https://s.eslite.dev/Upload/Product/201504/l/635658066653247500.jpg
JavaScript & jQuery: The Missing Manual (國際中文版/第3版),https://www.eslite.com/product/1001133102412134,David Sawyer McFarland,美商歐萊禮股份有限公司台灣分公司,9789863476009,https://s.eslite.dev/Upload/Product/201504/l/635659001794732500.jpg
jQuery Mobile智慧型手機程式開發: 跨平台開發Android/ iPhone/ Windows Phone App超簡單 (附光碟),https://www.eslite.com/product/1001120322329799,岡本隆史/ 梶原直人/ 田中智文,博碩文化股份有限公司,9789862019252,https://s.eslite.dev/upload/product/l/2680875977003/20190422133003914476.jpg
10天就懂! 一定學會jQuery的36堂關鍵課程,https://www.eslite.com/product/1001120322269514,山田祥寬,博碩文化股份有限公司,9789862018071,https://s.eslite.dev/upload/product/l/2680813336008/270911.jpg
jQuery Mobile建置與執行,https://www.eslite.com/product/1001133102162459,Maximiliano Firtman,美商歐萊禮股份有限公司台灣分公司,9789862765654,https://s.eslite.dev/upload/product/l/2680706236002/172786.jpg
jQuery: Web Development with jQuery,https://www.eslite.com/product/1001294883618474,Ariadna Moore,Ingram International Inc,9798686324596,0
Murach's JavaScript and Jquery (4th Edition),https://www.eslite.com/product/1001294884121774,Mary Delamater ; Zak Ruvalcaba,Ingram International Inc,9781943872626,0
"A Simple Start to Jquery, Javascript, and Html5 for Beginners",https://www.eslite.com/product/1001294883468124,,Ingram International Inc,9781952964664,0
Learning jQuery 3.x: Interactive front-end website development,https://www.eslite.com/product/1001294884058115,Adam Boduch ; Jonathan Chaffer ; Karl Swedberg,Ingram International Inc,9781785882982,0
Murach's JavaScript and Jquery,https://www.eslite.com/product/1001294883445783,,Ingram International Inc,9781943872053,0
A Smarter Way to Learn jQuery: Learn it faster. Remember it longer.,https://www.eslite.com/product/1001294883263187,Mark Myers,Ingram International Inc,9781523986460,0
Jquery in Action,https://www.eslite.com/product/1001294883944619,Bear Bibeault ; Yehuda Katz ; Aurelio de Rosa,Ingram International Inc,9781617292071,0
"Html5, Css3, Javascript, Jquery Mobile Programming: Beginning to End Cross-Platform App Design",https://www.eslite.com/product/1001294883727136,Stephen Link,Ingram International Inc,9781511583435,0
JavaScript & Jquery: The Missing Manual,https://www.eslite.com/product/1001294884124423,David Sawyer McFarland,Ingram International Inc,9781491947074,0
JavaScript and Jquery: Interactive Front-End Web Development,https://www.eslite.com/product/1001294884077470,Jon Duckett,Ingram International Inc,9781118871652,0
JavaScript and Jquery: Interactive Front-End Web Development,https://www.eslite.com/product/1001294883183711,Jon Duckett,Ingram International Inc,9781118531648,0
Jquery 2.0 Development Cookbook,https://www.eslite.com/product/1001294883944801,Leon Revill,Ingram International Inc,9781783280896,0
Jquery: Novice to Ninja,https://www.eslite.com/product/1001294883936469,Earle Castledine ; Craig Sharkie,Ingram International Inc,9780987153012,0
Head First Jquery: A Brain-Friendly Guide,https://www.eslite.com/product/1001294883736559,Ryan Benedetti ; Ronan Cranley,Ingram International Inc,9781449393212,0
jQuery UI & Plugins (附範例VCD),https://www.eslite.com/product/1001247582001536,羅子洋,加樺國際有限公司,9789866154201,https://s.eslite.dev/Upload/Product/201012/l/634288635220153750.jpg
網頁設計．愛上jQuery (附VCD),https://www.eslite.com/product/1001247581942740,羅子洋,加樺國際有限公司,9789866551994,https://s.eslite.dev/Upload/Product/201005/l/634086472112415000.jpg
jQuery UI & Plugins (附光碟),https://www.eslite.com/product/1001233681828240,羅子洋,知城數位科技股份有限公司,9789866551116,https://s.eslite.dev/Upload/Product/200903/l/633740243397901250.jpg
網頁設計．愛上jQuery程式設計寶典 (附範例下載),https://www.eslite.com/product/1001138362861361,羅子洋,經瑋國際股份有限公司,9789576154294,https://s.eslite.dev/Upload/Product/202007/l/637311770368738962.jpg
跟著實務學習HTML5、CSS3、JavaScript、jQuery、jQuery Mobile、Bootstrap 4&Cordova (增訂版),https://www.eslite.com/product/1001113692742410,蔡文龍/ 蔡捷雲/ 歐志信/ 曾芷琳,碁峰資訊股份有限公司,9789865020149,https://s.eslite.dev/Upload/Product/201901/l/636843475937235504.jpg
錢沾計畫啟動: jQuery Mobile跨平台賺錢App錢途無量,https://www.eslite.com/product/1001239292628736,李柯泉,佳魁資訊股份有限公司,9789863795780,https://s.eslite.dev/Upload/Product/201710/l/636424436111173750.jpg
HTML5、CSS3、JavaScript、jQuery、Ajax、RWD網頁程式設計 (第6版),https://www.eslite.com/product/1001113692588447,陳惠貞,碁峰資訊股份有限公司,9789864763245,https://s.eslite.dev/Upload/Product/201704/l/636290517032725542.jpg
jQuery程式開發設計輕鬆入門,https://www.eslite.com/product/1001299212590350,Jay Blanchard,上奇資訊,9789869466783,https://s.eslite.dev/upload/product/l/2681452167008/662122.jpg
HTML5/ CSS3/ jQuery互動網頁設計誌 (附光碟),https://www.eslite.com/product/1001239292581309,廣瞻互動媒體設計有限公司/ 陳聖博/ 編,佳魁資訊股份有限公司,9789863794899,https://s.eslite.dev/Upload/Product/201703/l/636262867133027500.jpg
從HTML5+CSS3+JavaScript到jQuery+Node.js程式設計 (第5版/附光碟),https://www.eslite.com/product/1001113882557747,陳會安,旗標科技股份有限公司,9789863123910,https://s.eslite.dev/Upload/Product/201611/l/636160050619756250.jpg
jQuery+jQuery Mobile應用實戰: 輕鬆打造跨裝置Web App與動態網頁 (附光碟),https://www.eslite.com/product/1001120322528478,陳婉凌,博碩文化股份有限公司,9789864341283,https://s.eslite.dev/Upload/Product/201608/l/636060035039875000.jpg
網頁程式設計的16堂課: HTML5．CSS3．JavaScript．jQuery．AJAX．Bootstrap．Google Maps,https://www.eslite.com/product/1001113882499366,,旗標科技股份有限公司,9789863123170,https://s.eslite.dev/Upload/Product/201603/l/635950100107701250.jpg
HTML5+CSS3+jQuery Mobile輕鬆打造App與行動網站 (第2版/附光碟),https://www.eslite.com/product/1001120322477962,數位新知/ 陳婉凌,博碩文化股份有限公司,9789864340774,https://s.eslite.dev/Upload/Product/201512/l/635863698978063750.jpg
Dreamweaver與PHP+MySQL+jQuery Mobile互動網站程式設計: 適用DW CC與CS6,https://www.eslite.com/product/1001113692476116,林梓涵/ 謝雨辰,碁峰資訊股份有限公司,9789863478010,https://s.eslite.dev/Upload/Product/201512/l/635863699701657500.jpg
網頁設計: 愛上jQuery (第2版),https://www.eslite.com/product/1001138362420927,羅子洋,經瑋國際股份有限公司,9789863800408,https://s.eslite.dev/Upload/Product/201505/l/635682258295901250.jpg
Dreamweaver CC網頁製作比你想的簡單: HTML5、CSS3、jQuery、Facebook、行動網站全面應用,https://www.eslite.com/product/1001113692390517,鄧文淵/ 文淵閣工作室,碁峰資訊股份有限公司,9789863475262,https://s.eslite.dev/upload/product/l/2680951333006/456086.jpg
HTML5+CSS3+jQuery Mobile輕鬆打造App與行動網站 (附CD),https://www.eslite.com/product/1001120322322157,數位新知/ 陳婉凌,博碩文化股份有限公司,9789862019160,https://s.eslite.dev/Upload/Product/201404/l/635344435141313750.jpg
網頁設計．愛上jQuery,https://www.eslite.com/product/1001247582220580,羅子洋,加樺國際有限公司,9789865835088,https://s.eslite.dev/Upload/Product/201303/l/634992787478020000.jpg
跨平台Android / iPhone程式開發: 使用 PhoneGap/ jQuery Mobile (附光碟),https://www.eslite.com/product/1001113882157590,陳會安,旗標科技股份有限公司,9789863120513,https://s.eslite.dev/Upload/Product/201207/l/634775059234988933.jpg
最完整跨平台網頁設計: HTML+CSS+JavaScript+jQuery+Bootstrap+Google Maps (第2版),https://www.eslite.com/product/1001313432682063982004,洪錦魁,深智數位股份有限公司,9789860776331,https://s.eslite.dev/upload/product/l/2682063982004/20210827034655278089.jpg
學好跨平台網頁設計: HTML5、CSS3、JavaScript、jQuery與Bootstrap 5超完美特訓班 (第3版/附範例/RWD影音教學),https://www.eslite.com/product/1001113692682050259003,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865029074,https://s.eslite.dev/upload/product/l/2682050259003/20210727031816418837.jpg
WEB網站的華麗冒險: HTML5+CSS3+jQuery斜槓青年的網頁設計起手式,https://www.eslite.com/product/1001248272681974640003,朱庭輝/ 尤柄文,深石數位科技股份有限公司,9789865005085,https://s.eslite.dev/upload/product/l/2681974640003/20210122035145272963.jpg
HTML5、CSS3、JavaScript、jQuery、jQuery UI、Ajax、RWD網頁程式設計 (第7版),https://www.eslite.com/product/1001113692681930134003,陳惠貞,碁峰資訊股份有限公司,9789865026295,https://s.eslite.dev/upload/product/l/2681930134003/20201016042100441029.jpg
最完整跨平台網頁設計: HTML+CSS+JavaScript+jQuery+Bootstrap+Google Maps,https://www.eslite.com/product/1001313432856447,洪錦魁,深智數位股份有限公司,9789865501433,https://s.eslite.dev/Upload/Product/202007/l/637303988199630000.jpg
"How To Build Your Portfolio Website From Scratch!: Step-By-Step Training, Using Responsive HTML5, CSS3, Jquery & Photoshop",https://www.eslite.com/product/1001294883001530,Mark H. Webster,Ingram International Inc,9798605720416,0
"Beginning Database Programming Using ASP.NET Core 3: With MVC, Razor Pages, Web Api, Jquery, Angular, SQL Server, and Nosql",https://www.eslite.com/product/1001294884126270,Bipin Joshi,Ingram International Inc,9781484255087,0
"Web Programming with HTML, CSS, Bootstrap, JavaScript, jQuery, PHP, and MySQL Second Edition",https://www.eslite.com/product/1001294883154948,Larry Sanchez,Ingram International Inc,9781089565772,0
