書名,書籍網址,作者,出版社,ISBN,圖片網址
強化學習RL: 使用PyTorch徹底精通,https://www.eslite.com/product/1001313432831653,高揚/ 葉振斌,深智數位股份有限公司,9789865501228,https://s.eslite.dev/Upload/Product/202003/l/637202036291601250.jpg
動手做深度強化學習,https://www.eslite.com/product/1001120322806406,Maxim Lapan,博碩文化股份有限公司,9789864344307,https://s.eslite.dev/upload/product/l/2681824967007/20191102032510459960.jpg
實戰人工智慧之深度強化學習: 使用PyTorch x Python,https://www.eslite.com/product/1001113692780865,小川雄太郎,碁峰資訊股份有限公司,9789865021900,https://s.eslite.dev/Upload/Product/201907/l/636994681306564704.jpg
用Python實作強化學習: 使用TensorFlow與OpenAI Gym,https://www.eslite.com/product/1001113692766866,Sudharsan Ravichandiran,碁峰資訊股份有限公司,9789865021412,https://s.eslite.dev/Upload/Product/201905/l/636942838112388750.jpg
Reinforcement Learning強化學習深度解析 (中文版),https://www.eslite.com/product/1001113692682007701005,Richard S. Sutton/ Andrew G. Barto,碁峰資訊股份有限公司,9789865027193,https://s.eslite.dev/upload/product/l/2682007701005/20210423042513559163.jpg
"邊寫邊思考的大腦整理筆記法: 養成書寫→思考→解決的習慣, 增加生產力, 強化學習力, 紓解壓力, 心智升級!",https://www.eslite.com/product/1001251382727556,齋藤孝,采實文化事業股份有限公司,9789578950733,https://s.eslite.dev/Upload/Product/201811/l/636780405285816250.jpg
應用人工智慧技術進行交通數據蒐集暨號誌控制之研究,https://www.eslite.com/product/1001182882682068752008,吳沛儒/ 曾明德/ 林良泰/ 蘇昭銘/ 王晉元/ 吳毅成/ 黃培書/ 何國豪/ 郭松庭/ 黃啟倡/ 程楷祐/ 倪文哲/ 陳怡君/ 林孟潔/ 李敏聞/ 呂治國/ 楊喻幀/ 吳姿潔/ 施彥妤/ 吳東凌/,交通部運輸研究所,9789865313210,https://s.eslite.dev/upload/product/l/2682068752008/20210909054313882587.jpg
Python機器學習 下 (第3版),https://www.eslite.com/product/1001120322877376,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345199,https://s.eslite.dev/upload/product/l/2681925686005/20200925042352342181.jpg
丙級食品檢驗分析學術科通關寶典含食品安全衛生及營養共同學科題庫 (第7版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412877296,雲有工作室,台科大圖書股份有限公司,9789864557622,https://s.eslite.dev/upload/product/l/2681925600001/20200925042126410079.jpg
丙級電腦硬體裝修學科題庫工作項目解析: 含資訊類與技能檢定共用項 (第13版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412875818,北科大檢定研究室,台科大圖書股份有限公司,9789865231118,https://s.eslite.dev/upload/product/l/2681923522008/20200919054102917416.jpg
圖解聽、說、讀、寫、算、推理學習障礙LD: 有效提升孩子學習力 (暢銷修訂版),https://www.eslite.com/product/1001125042872392,上野一彥/ 監修,新手父母出版股份有限公司,4717702107611,https://s.eslite.dev/upload/product/l/2681917877008/20200911053910799548.jpg
圖解ADHD: 有效提升孩子專注力 (暢銷修訂版),https://www.eslite.com/product/1001125042872395,市川宏伸/ 監修,新手父母出版股份有限公司,4717702107598,https://s.eslite.dev/upload/product/l/2681917880008/20200911053816776496.jpg
Python機器學習 上 (第3版),https://www.eslite.com/product/1001120322872894,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345182,https://s.eslite.dev/upload/product/l/2681918866001/20200904035716921803.jpg
丙級烘焙食品學科題庫工作項目解析含食品安全衛生及營養共同學科題庫 (第4版/附MOSME題測系統),https://www.eslite.com/product/1001122412873037,蕭淯恩/ 李夢萍/ 林宏周/ 戴佩珍/ 蕭美玲,台科大圖書股份有限公司,9789864554478,https://s.eslite.dev/upload/product/l/2681918642001/20200905035000319540.jpg
丙級電腦軟體應用學科題庫工作項目解析含資訊類與技能檢定共同項: 職業安全衛生、工作倫理與職業道德、環境保護、節能減碳 (第14版),https://www.eslite.com/product/1001122412871146,佳彥資訊,台科大圖書股份有限公司,9789865230937,https://s.eslite.dev/upload/product/l/2681916152007/20200829041132519257.jpg
丙級視覺傳達設計學術科通關寶典 (第7版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412868684,陳美燕/ 程正豪,台科大圖書股份有限公司,9789865230609,https://s.eslite.dev/upload/product/l/2681913235000/20200822031516985302.jpg
"屍速英語: 活用30個學過的基本動詞, 職場英語嚇嚇叫!",https://www.eslite.com/product/1001125812858622,"KAWASEMI Co., Ltd./ 交學社",如何出版社有限公司,9789861365541,https://s.eslite.dev/Upload/Product/202008/l/637318676454229824.jpg
丙級中餐烹調葷食學術科通關寶典含食品安全衛生及營養共同學科題庫 (第3版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412853341,羅明庚/ Lisa,台科大圖書股份有限公司,9789865230166,https://s.eslite.dev/upload/product/l/2681891839009/20200620034348906461.jpg
贏戰102-109年學測歷屆試題國文考科 (附解答本),https://www.eslite.com/product/1001148902852422,彭元岐/ 許清龍/ 伍湘芬/ 王競,鴻漸文化出版社,9789869896047,https://s.eslite.dev/upload/product/l/2681890553005/20200616034941256144.jpg
台湾から見た日本事情: 地理．歴史．宗教．思想編,https://www.eslite.com/product/1001199872867457,于乃明/ 田世民/ 辻本雅史/ 林孟蓉/ 張惟綜/ 曹景惠/ 楊素霞/ 蕭玉燕/ 賴鈺菁/ 簡曉花; 臺灣大學日本研究中心/ 企劃; 徐興慶/ 監修,大新書局,9789863211921,https://s.eslite.dev/Upload/Product/202008/l/637334228180710000.jpg
信託業務人員專業測驗一次過關 (2020/信託業務),https://www.eslite.com/product/1001128162848896,蔡季霖,千華數位文化股份有限公司,9789865200244,https://s.eslite.dev/Upload/Product/202005/l/637264244654221428.jpg
無形資產評價管理師初級、中級能力鑑定速成 (2020/IPAS無形資產評價管理師/附讀書計畫表),https://www.eslite.com/product/1001128162848545,陳善,千華數位文化股份有限公司,9789865200138,https://s.eslite.dev/Upload/Product/202005/l/637264244620933149.jpg
生成深度學習: 訓練機器繪畫、作曲、寫作與玩遊戲,https://www.eslite.com/product/1001133102848763,David Foster,美商歐萊禮股份有限公司台灣分公司,9789865024901,https://s.eslite.dev/Upload/Product/202005/l/637262518460841250.jpg
贏戰102-109年學測歷屆試題: 數學考科 (附解答本),https://www.eslite.com/product/1001148902848512,王擎天/ 劉豪/ 李瑞/ 傑哥/ 陳宜廷,鴻漸文化出版社,9789869896030,https://s.eslite.dev/upload/product/l/2681884788000/20200526034250120278.jpg
贏戰102-109年學測歷屆試題: 自然考科 (附解答本),https://www.eslite.com/product/1001148902848513,趙臨軒/ 田進/ 蔡任圃/ 周欣,鴻漸文化出版社,9789869896054,https://s.eslite.dev/upload/product/l/2681884789007/20200526034252319279.jpg
贏戰102-109年學測歷屆試題: 英文考科 (附解答本),https://www.eslite.com/product/1001148902848514,張翔/ 林名祐/ 陳思親,鴻漸文化出版社,9789869896061,https://s.eslite.dev/upload/product/l/2681884790003/20200526034255650280.jpg
經濟學概論,https://www.eslite.com/product/1001130482848695,郭國興/ 李政德/ 陳勇諺,雙葉書廊有限公司,9789579096720,https://s.eslite.dev/Upload/Product/202005/l/637261659753653750.jpg
贏戰102-109年學測歷屆試題: 社會考科 (附解答本),https://www.eslite.com/product/1001148902844602,林全/ 葉施平/ 余紫瑛,鴻漸文化出版社,9789869896078,https://s.eslite.dev/upload/product/l/2681879250000/20200508035959362911.jpg
電工機械/ 電機機械歷年試題解析 (2020/國民營事業/中鋼/台電/臺酒/鐵路特考),https://www.eslite.com/product/1001128162844032,李俊毅,千華數位文化股份有限公司,9789865200121,https://s.eslite.dev/upload/product/l/2681878565006/20200507035102183964.jpg
建築國家考試: 108試題詳解,https://www.eslite.com/product/1001122982843278,九樺出版社,全華圖書股份有限公司,9789869747547,https://s.eslite.dev/Upload/Product/202005/l/637239194840968750.jpg
108土木國家考試試題詳解,https://www.eslite.com/product/1001122982843274,九樺出版社,全華圖書股份有限公司,9789869747530,https://s.eslite.dev/Upload/Product/202005/l/637239194815968750.jpg
丙級門市服務學術科通關寶典: 使用微創POS系統 (最新版第2版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412835924,郭小喬,台科大圖書股份有限公司,9789864553860,https://s.eslite.dev/Upload/Product/202003/l/637208954319008750.jpg
非監督式學習: 使用Python,https://www.eslite.com/product/1001133102834096,Ankur A. Patel,美商歐萊禮股份有限公司台灣分公司,9789865024062,https://s.eslite.dev/Upload/Product/202003/l/637207223976352500.jpg
乙級數位電子學科題庫必通解析 (第4版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412834168,掌舵工作室,台科大圖書股份有限公司,9789864557981,https://s.eslite.dev/Upload/Product/202003/l/637202905982851250.jpg
分辨相似字詞,https://www.eslite.com/product/1003113942831570,李禎祥,人類文化事業股份有限公司,4715443047777,https://s.eslite.dev/upload/product/2681861324009/l/637202899452226250_1.jpg
丙級電腦硬體裝修學術科奪照寶典: Windows 10+FedoraCore 27 (第12版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412829797,寶鑑工作坊,台科大圖書股份有限公司,9789864556021,https://s.eslite.dev/Upload/Product/202002/l/637184757849241250.jpg
丙級網路架設學術科通關寶典 (第11版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412829796,施清壬/ 李明地/ 陳兆淞,台科大圖書股份有限公司,9789864556151,https://s.eslite.dev/Upload/Product/202002/l/637184757840803750.jpg
乙級室內配線屋內線路裝修學科題庫必通解析 (第3版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412829799,鄧登木/ 鄭才新,台科大圖書股份有限公司,9789864557592,https://s.eslite.dev/Upload/Product/202002/l/637184757864710000.jpg
丙級室內配線屋內線路裝修學科題庫分類解析 (第11版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412828115,鄧登木,台科大圖書股份有限公司,9789864555819,https://s.eslite.dev/Upload/Product/202002/l/637178708281026250.jpg
丙級電腦硬體裝修學科含資訊類題庫工作項目解析: 含技能檢定共用項職業安全衛生、工作倫理與職業道德、環境保護、節能減碳學科參考資料 (第12版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412828307,北科大檢定研究室,台科大圖書股份有限公司,9789864555178,https://s.eslite.dev/Upload/Product/202002/l/637178711669932500.jpg
丙級電腦軟體應用學科題庫工作項目解析含資訊類與技能檢定共同項: 職業安全衛生、工作倫理與職業道德、環境保護、節能減碳學科參考資料 (第13版/附MOSME行動學習一點通),https://www.eslite.com/product/1001122412828309,,台科大圖書股份有限公司,9789864555376,https://s.eslite.dev/Upload/Product/202008/l/637342881293351250.jpg
"分析化學(含定性定量分析、儀器分析): 提綱挈領重點精析, 考題完整難題攻略 (第8版/高普特考/國營事業)",https://www.eslite.com/product/1001165052854994,林惠中/ 編,鼎文書局股份有限公司,9789574548255,https://s.eslite.dev/upload/product/l/2681893962002/20200630183921625055.jpg
