書名,書籍網址,作者,出版社,ISBN,圖片網址
Python機器學習超進化: AI影像辨識跨界應用實戰 (附影音教學/範例程式),https://www.eslite.com/product/1001113692875302,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865026196,https://s.eslite.dev/upload/product/l/2681922809001/20200918034703556182.jpg
應用人工智慧AI影像辨識技術進行交通數據蒐集與分析之研究 (109年粉版),https://www.eslite.com/product/1001182882872995,林良泰/蘇昭銘/曾明德/劉霈/王晉元/吳沛儒/黃啟倡/郭松庭/莊智仁/倪文哲/卓奕志/陳怡君/沈志弘/呂宗翰/林孟潔/郭思漢/蕭昱書/白家綾/林冠融/張國彬/呂治國/康哲源/林彥宇/鍾俊魁/吳奇峰,交通部運輸研究所,9789865311797,https://s.eslite.dev/upload/product/l/2681918975000/20200904035609044742.jpg
OpenCV+VTK+Visual Studio影像辨識處理 (第2版),https://www.eslite.com/product/1001120322656186,望熙榮/ 望熙貴,博碩文化股份有限公司,9789864342730,https://s.eslite.dev/Upload/Product/201802/l/636537912067037500.jpg
OpenCV with Visual Studio影像辨識處理,https://www.eslite.com/product/1001120322439320,望熙榮/ 望熙貴,博碩文化股份有限公司,9789864340279,https://s.eslite.dev/upload/product/l/2681134679003/495325.jpg
Flag's創客．自造者工作坊: 超入門! AI聲音姿態影像辨識大應用,https://www.eslite.com/product/1001113882682052113006,施威銘研究室,旗標科技股份有限公司,,https://s.eslite.dev/upload/product/l/2682052113006/20210807055423114150.jpg
應用影像辨識技術改善切割作業危害研究,https://www.eslite.com/product/1001183262682041619007,沈育霖/ 楊朝龍,行政院勞工委員會勞工安全衛生研究所,9789865466763,https://s.eslite.dev/upload/product/l/2682041619007/20210706093632746496.jpg
AIoT實作好好玩: 使用micro:bit、MIT App Inventor、語音辨識及影像辨識 (附MOSME行動學習一點通),https://www.eslite.com/product/1001122412681996406007,國立臺灣師範大學許庭嘉教授團隊,台科大圖書股份有限公司,9789865231392,https://s.eslite.dev/upload/product/l/2681996406007/20210327033553321517.jpg
Flag's創客．自造者工作坊: Vision X Voice影像辨識聲控 雙V AI自駕車,https://www.eslite.com/product/1001113882681957243009,施威銘研究室,旗標科技股份有限公司,,https://s.eslite.dev/upload/product/l/2681957243009/20201223061851091561.jpg
影像辨識實務應用: 使用C＃,https://www.eslite.com/product/1001120322681938602009,張逸中/ 李美億,博碩文化股份有限公司,9789864345359,https://s.eslite.dev/upload/product/l/2681938602009/20201117060453341794.jpg
Visual C＃ 2019程式設計經典: 邁向Azure雲端與AI影像辨識服務,https://www.eslite.com/product/1001113692681930136007,蔡文龍/ 何嘉益/ 張志成/ 張力元; 吳明哲/ 策劃,碁峰資訊股份有限公司,9789865026271,https://s.eslite.dev/upload/product/l/2681930136007/20201016042108768041.jpg
