書名,書籍網址,作者,出版社,ISBN,圖片網址
數位影像處理: Python程式實作 (第2版/附範例光碟),https://www.eslite.com/product/1001122982863466,張元翔,全華圖書股份有限公司,9789865034450,https://s.eslite.dev/upload/product/l/2681905698004/20200804040111296989.jpg
數位影像處理,https://www.eslite.com/product/1001115292838275,Rafael C. Gonzalez/ Richard E. Woods/ 原著,高立圖書有限公司,9789863782155,https://s.eslite.dev/upload/product/l/2681870178006/20200410195730477074.jpg
數位影像處理,https://www.eslite.com/product/1001115292776241,Alasdair McAndrew/ 原著,高立圖書有限公司,9789863781455,https://s.eslite.dev/Upload/Product/201908/l/637019741080361250.jpg
數位影像處理與應用,https://www.eslite.com/product/1001120322165361,王旭正/ 翁麒耀/ 林家禎,博碩文化股份有限公司,9789862016329,https://s.eslite.dev/Upload/Product/201208/l/634799251428375248.jpg
數位影像處理,https://www.eslite.com/product/1001164841987024,莊宏祥/ 莊英俊,新文京開發出版股份有限公司,9789862363331,https://s.eslite.dev/Upload/Product/201010/l/634234206993897500.jpg
C語言數位影像處理: Windows/X-Window (附範例光碟),https://www.eslite.com/product/1001122982101238,林明德/ 吳上立,全華圖書股份有限公司,9789572173732,https://s.eslite.dev/Upload/Product/201112/l/634587571926853750.jpg
精彩PhotoShop CS6數位影像處理,https://www.eslite.com/product/1001138362626287,趙雅芝,經瑋國際股份有限公司,9789869527552,https://s.eslite.dev/Upload/Product/201709/l/636415794745191250.jpg
精彩PhotoShop CS6數位影像處理 (第2版),https://www.eslite.com/product/1001275192447210,趙雅芝,易習圖書,9789863800521,https://s.eslite.dev/Upload/Product/201508/l/635763475407043750.jpg
精彩PhotoShop CS6數位影像處理 (附VCD),https://www.eslite.com/product/1001247582170021,趙雅芝,加樺國際有限公司,9789866025709,https://s.eslite.dev/Upload/Product/201208/l/634817396660407017.jpg
數位影像處理,https://www.eslite.com/product/1001115291991254,"McAndrew, Alasdair",高立圖書有限公司,9789866637964,0
數位影像處理 (附光碟),https://www.eslite.com/product/1001118791759822,連國珍,儒林圖書有限公司,9789574998333,https://s.eslite.dev/upload/product/l/2680323447003/ec268997.jpg
數位影像處理Matlab (附光碟),https://www.eslite.com/product/1001118791751760,連國珍,儒林圖書有限公司,9789574998265,0
影像處理的13堂課: 使用Qt快速學會基礎與實作 (附CD),https://www.eslite.com/product/1001120322084499,林紀瑋,博碩文化股份有限公司,9789862015292,https://s.eslite.dev/upload/product/l/2680633788001/118692.jpg
機器視覺技術,https://www.eslite.com/product/1001309082682064043001,陳兵旗,千華駐科技出版有限公司,9789575927554,https://s.eslite.dev/upload/product/l/2682064043001/20210827054544381059.jpg
Photoshop超完美入門: CC適用 (暢銷第2版),https://www.eslite.com/product/1001113692682059207005,まきのゆみ,碁峰資訊股份有限公司,9789865029104,https://s.eslite.dev/upload/product/l/2682059207005/20210819053733747060.jpg
PhotoCap 6影像小達人,https://www.eslite.com/product/1001131392682057698003,,小石頭文化出版公司,9789869630764,https://s.eslite.dev/upload/product/l/2682057698003/20210813033103866708.jpg
快速學會PhotoImpact (附VCD),https://www.eslite.com/product/1001138362682061647004,林佳生,經瑋國際股份有限公司,9789860622560,https://s.eslite.dev/upload/product/l/2682061647004/20210824031900325127.jpg
打造集客瘋潮的微電影行銷術: 影音剪輯實戰x行動影音剪輯x特效處理x微電影實作x影音社群行銷 (第2版),https://www.eslite.com/product/1001120322682042898005,鄭苑鳳,博碩文化股份有限公司,9789864347964,https://s.eslite.dev/upload/product/l/2682042898005/20210710135452255582.jpg
圖像處理並行算法與應用,https://www.eslite.com/product/1001309082682028164001,何川/ 胡昌華,千華駐科技出版有限公司,9789575927394,https://s.eslite.dev/upload/product/l/2682028164001/20210605035912758805.jpg
After Effects高級特效技術手冊: 十大插件應用精粹 (第2版/附光碟),https://www.eslite.com/product/1001299212682029892002,白乃遠/ 黃文興/ 陳冠鵬,上奇資訊,9789865005344,https://s.eslite.dev/upload/product/l/2682029892002/20210609063118001131.jpg
PhotoShop CS6、Illustrator CS6、InDesign CS6平面設計武功祕笈 (附VCD),https://www.eslite.com/product/1001138362682024214007,陳珊珊,經瑋國際股份有限公司,9789863801306,https://s.eslite.dev/upload/product/l/2682024214007/20210528174500740170.jpg
Photoshop CC必學教本: 數位影像編修與設計 (附範例光碟),https://www.eslite.com/product/1001122982681990061004,全華研究室/ 王麗琴,全華圖書股份有限公司,9789865035594,https://s.eslite.dev/upload/product/l/2681990061004/20210312043520819939.jpg
打造集客瘋潮的微電影行銷術: 影音剪輯實戰X行動影音剪輯X特效處理X微電影實作X影音社群行銷 (暢銷回饋版),https://www.eslite.com/product/1001120322681973158004,鄭苑鳳,博碩文化股份有限公司,9789864345717,https://s.eslite.dev/upload/product/l/2681973158004/20210121032547424746.jpg
AIoT與OpenCV實戰應用: Python、樹莓派、物聯網與機器視覺 (第2版),https://www.eslite.com/product/1001113692681971867007,朱克剛,碁峰資訊股份有限公司,9789865027162,https://s.eslite.dev/upload/product/l/2681971867007/20210121033850152442.jpg
PhotoShop影像處理設計,https://www.eslite.com/product/1001120322681964545004,鄭苑鳳,博碩文化股份有限公司,9789864345595,https://s.eslite.dev/upload/product/l/2681964545004/20210101033338401832.jpg
After Effects全面攻佔: 影片動畫製作剪輯超密技精粹,https://www.eslite.com/product/1001248272681956394009,李燕秋/ 陳啟維,深石數位科技股份有限公司,9789865004989,https://s.eslite.dev/upload/product/l/2681956394009/20201219060954737350.jpg
Photoshop X Illustrator前進平面設計的世界 (暢銷回饋版/附DVD),https://www.eslite.com/product/1001120322681942421009,楊雨濛/ 趙青,博碩文化股份有限公司,9789864345427,https://s.eslite.dev/upload/product/l/2681942421009/20201120043057703202.jpg
威力導演輕鬆快樂學,https://www.eslite.com/product/1001326282681938546006,蔡建民/ 蘇清得,宏全資訊股份有限公司,9789869461238,https://s.eslite.dev/upload/product/l/2681938546006/20201120070632865167.jpg
第一次學影片調色調光就上手,https://www.eslite.com/product/1001113692875605,Charles Haine,碁峰資訊股份有限公司,9789865025908,https://s.eslite.dev/upload/product/l/2681923249004/20200918034742069226.jpg
PhotoShop CC影像視覺設計寶典,https://www.eslite.com/product/1001138362876070,趙雅芝,經瑋國際股份有限公司,9789576154355,https://s.eslite.dev/upload/product/l/2681923844001/20200922032217650462.jpg
我的第一本影片調色剪輯書DaVinci Resolve: 原來Color Grading這麼簡單,https://www.eslite.com/product/1001125622871551,飯田雄平/ 鎌田啟生/ 林和哉/ 渡邊裕之,尖端出版,9789571088419,https://s.eslite.dev/upload/product/l/2681916698000/20200829041346028368.jpg
我是小導演: 影音剪輯 (Windows 10版),https://www.eslite.com/product/1003131392870552,夏天工作室/ 小石頭編輯群,小石頭文化出版公司,9789869630726,https://s.eslite.dev/upload/product/l/2681915622006/20200828040251178419.jpg
Premiere CC影音視訊武功秘笈 (附範例下載),https://www.eslite.com/product/1001138362868150,數位內容工作室,經瑋國際股份有限公司,9789863801146,https://s.eslite.dev/upload/product/l/2681912468003/20200820041307768200.jpg
精通威力導演視訊影音剪輯 (附範例下載),https://www.eslite.com/product/1001138362848527,陳珊珊,經瑋國際股份有限公司,9789863800781,https://s.eslite.dev/upload/product/l/2681884809002/20200526034824025561.jpg
Photoshop CS6快速上手 (修訂版/第2版/附範例DVD),https://www.eslite.com/product/1001122982849748,全華研究室/ 王麗琴,全華圖書股份有限公司,9789865033873,https://s.eslite.dev/upload/product/l/2681886315006/20200602041004112081.jpg
Office武功祕笈 (附VCD),https://www.eslite.com/product/1001138362840978,松橋工作室,經瑋國際股份有限公司,9789863800897,https://s.eslite.dev/Upload/Product/202004/l/637231415849406250.jpg
Vegas Pro武功祕笈 (附DVD),https://www.eslite.com/product/1001138362840981,王國衛,經瑋國際股份有限公司,9789863800835,https://s.eslite.dev/upload/product/l/2681874316008/20200422035154659163.jpg
PhotoImpact武功祕笈 (附VCD),https://www.eslite.com/product/1001138362840979,,經瑋國際股份有限公司,9789863800811,https://s.eslite.dev/Upload/Product/202004/l/637231415864406250.jpg
PhotoShop CC武功祕笈 (附VCD),https://www.eslite.com/product/1001138362840980,趙雅芝,經瑋國際股份有限公司,9789863800842,https://s.eslite.dev/upload/product/l/2681874315001/20200422035153275162.jpg
跟阿志哥學Python (第5版/附範例光碟),https://www.eslite.com/product/1001122982863470,蔡明志,全華圖書股份有限公司,9789865033606,https://s.eslite.dev/upload/product/l/2681905702008/20200804040120384993.jpg
Photoshop設計好入門: CC適用,https://www.eslite.com/product/1001113692835185,Socym Editorial Division,碁峰資訊股份有限公司,9789865024550,https://s.eslite.dev/Upload/Product/202003/l/637208085860883750.jpg
After Effects: 高級特效技術手冊十大插件應用精粹 (附光碟),https://www.eslite.com/product/1001248272828302,白乃遠/ 黃文興/ 陳冠鵬,深石數位科技股份有限公司,9789865004521,https://s.eslite.dev/Upload/Product/202003/l/637193394524183247.jpg
跟Adobe徹底研究Photoshop Lightroom CC (附光碟),https://www.eslite.com/product/1001248272828374,RC Concepcion,深石數位科技股份有限公司,9789865004514,https://s.eslite.dev/Upload/Product/202003/l/637193394585452063.jpg
"威力導演數位影音創作超人氣: 適用15-18版, 含CCA&CCP國際認證模擬試題 (附影音/範例/試用版)",https://www.eslite.com/product/1001113692830011,李燕秋,碁峰資訊股份有限公司,9789865024154,https://s.eslite.dev/Upload/Product/202003/l/637189077731673750.jpg
歡迎光臨! 楊比比的數位後製暗房: Photoshop+Camera Raw編修私房密技200+,https://www.eslite.com/product/1001113692827479,,碁峰資訊股份有限公司,9789865024277,https://s.eslite.dev/Upload/Product/202002/l/637181298575088750.jpg
威力導演 18: 影片製作與剪接 (附範例下載),https://www.eslite.com/product/1001138362828975,王國衛,經瑋國際股份有限公司,9789576154195,https://s.eslite.dev/Upload/Product/202002/l/637182166736426190.jpg
快快樂樂學威力導演 18: 影音/ MV剪輯活用創意特蒐 (附影音教學/範例/試用版),https://www.eslite.com/product/1001113692825750,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865024086,https://s.eslite.dev/upload/product/l/2681855423008/20200208051733546964.jpg
威力導演18: 影音剪輯創作超簡單,https://www.eslite.com/product/1001248272821425,張家盛,深石數位科技股份有限公司,9789865004439,https://s.eslite.dev/Upload/Product/202002/l/637164883388157500.jpg
Windows數位影音快速上手,https://www.eslite.com/product/1001138362826673,,經瑋國際股份有限公司,9789576154126,https://s.eslite.dev/Upload/Product/202002/l/637172662822195000.jpg
