ISBN,書籍簡介
9789865034450,本書為因應現代發展趨勢，針對數位影像處理技術，採取主題介紹方式，除了理論基礎之外，採用Python程式與OpenCV進行實作，強調理論與實務的緊密結合，藉以培養紮實的技術研發能力，內容豐富，同時包含深度學習、人工智慧等相關技術。
9789863782155,"自 1977 年 Gonzalez 和 Wintz 合著的首本數位影像處理 (Digital Image Processing) 發行後，廣受世界各國讀者喜愛，1992 年後 Gonzalez 和 Woods 合著後的各個更新版本，持續讓此書在數位影像處理領域立足領導地位屹立不搖超過四十年。 此回全新中譯改版的新書，內容雖以前一版為基礎，但修正幅度之大幾乎已接近為一本全新書籍的程度。各章題材選擇比起前一版更佳，過時不適當的題材已被刪除或修正。不但如此還加入了更新或更實用的內容，像是深度神經網路與卷積神經網路…等產業與學界最新且最熱門的課題。在搭配豐富圖表與精挑細選的例題與習題後，學習效果加倍。"
9789863781455,"本書是一本緊密結合數位影像處理理論與應用的入門書。本書以時下最為熱門的 MATLAB、GNU Octave、Python 與影像處理工具箱為基礎進行影像處理，徹底探討數位影像處理相關主題，包括空間濾波、傅利葉轉換、影像復原、影像分割、形態學、影像拓撲學、色彩處理、影像壓縮、小波與特殊效果等。 採用最新且熱門的 MATLAB、GNU Octave、Python 程式、影像、操作流程和練習題。搭配影像處理工具箱提供具有彈性和容易使用的影像處理環境。 運用離散方法結合微積分理論與離散運算，將理論與實際連結。 重點章節附有豐富的範例影像，並搭配 MATLAB、GNU Octave、Python 指令說明。 提供各式習題方便實際操作練習。"
9789862016329,"網路的發展，科技的進步，數位化的竄紅，了解數位影像技術已成為一種高報酬的知識投資。本書對於深入了解數位影像處理與應用的知識原理多有著墨，全書共十二章，從基礎的數位影像處理開始說起，逐步介紹空間域、頻率域、壓縮域、影像視覺系統、影像載體與偽裝、影像品質評估與分析、影像智慧權、影像與浮水印工具…等主題，不僅非常適合大專院校理工系所教學使用，內容敘述亦可為個人的興趣導引，從中了解數位影像處理的應用與知識。"
9789862363331,隨著電腦硬體與軟體的進步，影像處理技術亦跟著廣泛應用於各界，本書為數位影像處理與電腦視覺之入門書籍，主要是針對技職院校電子、電機、機械或資工高年級學生和有意了解影像處理的業界工程師，以了解影像處理之程式撰寫技巧，作為日後工作或繼續研究的基礎。本書儘量避免應用繁複的數學式，而採用簡單易懂的Visual Basic程式語言來解說一些基本的影像處理觀念，希望讀者能從本書獲得學習影像處理的樂趣。
9789572173732,本書以C語言來執行數位影像處理的計算與處理，以淺顯易懂的範例，讓讀者能掌握寫作程式語言執行數位影像處理的精髓與方法。並分別以專章講授各種數位影像處理的技巧，詳列並說明程式碼的意義及功能。且考量不同平台使用者的需求，特說明Window與X-Window程式設計的不同。本書並特請實際專家將介面中文化，讓學習本書的使用者不因其為譯本而心生畏懼。
9789869527552,在現今的影像處理領域中，有許多不同類型、不同用途的影像處理軟體，它們都有各自不同的特點與使用群。不過對於一個想要成為專業平面設計師的人而言，學習Photoshop仍是最佳的選擇。Photoshop一直都是圖像編輯者及美工人員的最愛！長久以來，穩居影像處理軟體的龍頭地位，並且在網頁設計方面也佔有極重要的地位。Adobe公司推出的Photoshop CS6歷經了前面眾多版本的千錘百煉之後，攜帶著更優異的新功能席捲了整個影像處理界。本書共分為十七章，其中包括對特效處理、照片編修、產品造型、海報製作、插圖繪製、包裝設計等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師。
9789863800521,在現今的影像處理領域中，有許多不同類型、不同用途的影像處理軟體，它們都有各自不同的特點與使用群。不過對於一個想要成為專業平面設計師的人而言，學習Photoshop仍是最佳的選擇。Photoshop一直都是圖像編輯者及美工人員的最愛！長久以來，穩居影像處理軟體的龍頭地位，並且在網頁設計方面也佔有極重要的地位。Adobe公司推出的Photoshop CS6歷經了前面眾多版本的千錘百煉之後，攜帶著更優異的新功能席捲了整個影像處理界。本書共分為十七章，其中包括對特效處理、照片編修、產品造型、海報製作、插圖繪製、包裝設計等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師。
9789866025709,"本書特色	

在現今的影像處理領域中，有許多不同類型、不同用途的影像處理軟體，它們都有各自不同的特點與使用群。不過對於一個想要成為專業平面設計師的人而言，學習Photoshop仍是最佳的選擇。Photoshop一直都是圖像編輯者及美工人員的最愛！長久以來，穩居影像處理軟體的龍頭地位，並且在網頁設計方面也佔有極重要的地位。Adobe公司推出的Photoshop CS6歷經了前面眾多版本的千錘百煉之後，攜帶著更優異的新功能席捲了整個影像處理界。

本書共分為十七章，其中包括對特效處理、照片編修、產品造型、海報製作、插圖繪製、包裝設計等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師。

附書光碟:各章節範例檔案
"
9789866637964,0
9789574998333,"此次新版，在內容方面，除了影像半色調輸出加入誤差擴散法，外形影像處理加入以集合表示之外形影像處理，最主要的擴充是小波轉換。隨著小波轉換的廣泛應用於各種影像處理中，本書仍秉持讓讀者了解其意義的一貫精神，專門加入一章介紹小波轉換。此章先從最簡單的Harr小波轉換介紹起，進而以此為基礎將小波轉換導入濾波器組（filter bank）的製作方式，讓讀者可以很快的了解小波轉換的意義，從而可以隨心所欲的應用在各種影像處理中。除了原來的C語言範例，我們將範例延伸至C++BUILDER，經由本書的導引，大家應可很容易的了解影像處理並應用C語言程式設計來處理影像。本書主要內容為：信號與系統影像輸入輸出系統空間領域影像處理頻率領域影像處理影像幾何轉換影像編碼外形影像處理影像分析彩色影像處理小波轉換"
9789574998265,0
9789862015292,快速掌握影像處理的基礎與實作，你也可以聰明做到筆者以多年的電腦視覺相關應用研究經驗，整理出了在學習影像處理時必需要學的13堂課，包含了影像輸出輸入、影像像素操作、色彩影像、如何使用Qt進行繪圖，以及特偵結取與影像搜尋法等13個章節。深入淺出的內容鋪陳，不但能學到數位影像處理的理論知識，更能與實際的實作做到完美的連結。透過本書可累積一定程度的實戰經驗，並以此做為開發基礎，必定能讓您成為觸類旁通的開發工程師。本書光碟內容，收錄書籍內容的範例檔案。附件內容書中範例程式碼與相關圖檔
