書名,書籍網址,作者,出版社,ISBN,圖片網址
"深度學習的商戰必修課: 人工智慧實用案例解析, 看35家走在時代尖端的日本企業如何翻轉思考活用AI",https://www.eslite.com/product/1001130572821610,日經 x TREND/ 編; 日本深度學習協會/ 監修,臉譜出版社,9789862357927,https://s.eslite.dev/upload/product/l/2681850710004/20200201053741662671.jpg
深度學習: 演算法工程師帶你去面試 28個矽谷AI大師教你100大深度學習問題,https://www.eslite.com/product/1001313432681938609008,諸葛越/ 江雲勝/ 主編; 葫蘆娃,深智數位股份有限公司,9789865501617,https://s.eslite.dev/upload/product/l/2681938609008/20201118060625837869.jpg
圖解AI與深度學習的運作機制,https://www.eslite.com/product/1001118832682039727004,涌井貞美,台灣東販股份有限公司,9786263047525,https://s.eslite.dev/upload/product/l/2682039727004/20210721053423034757.jpg
矽谷資深演算法大師: 帶你學深度學習推薦系統,https://www.eslite.com/product/1001313432865783,王喆,深智數位股份有限公司,9789865501440,https://s.eslite.dev/upload/product/l/2681908807007/20200811040604020425.jpg
練好深度學習的基本功: 用Python進行基礎數學理論的實作,https://www.eslite.com/product/1001113692862896,立石賢吾,碁峰資訊股份有限公司,9789865025472,https://s.eslite.dev/Upload/Product/202008/l/637322998060885000.jpg
學AI真簡單 II: 動手做深度學習 (附線上教學影音與測驗),https://www.eslite.com/product/1001122982863460,AI4kids; 吳俊霖/ 蔡宗翰/ 審閱; Kneron/ 技術夥伴,全華圖書股份有限公司,9789865034382,https://s.eslite.dev/upload/product/l/2681905692002/20200804040058595983.jpg
深度學習: 硬體設計,https://www.eslite.com/product/1001122982863467,劉峻誠/ 羅明健,全華圖書股份有限公司,9789865034481,https://s.eslite.dev/Upload/Product/202008/l/637321270039322500.jpg
決心打底! Python深度學習基礎養成,https://www.eslite.com/product/1001113882853130,我妻幸長,旗標科技股份有限公司,9789863126331,https://s.eslite.dev/Upload/Product/202007/l/637297074732060000.jpg
"深度學習: 從入門到實戰, 使用MATLAB (附範例光碟)",https://www.eslite.com/product/1001122982864432,郭至恩,全華圖書股份有限公司,9789865034313,https://s.eslite.dev/upload/product/l/2681906802004/20200806060855077193.jpg
人工智慧mBot機器人互動程式設計: AI人工智慧、IoT物聯網、大數據與ML機器深度學習,https://www.eslite.com/product/1001113692853558,王麗君,碁峰資訊股份有限公司,9789865025243,https://s.eslite.dev/Upload/Product/202006/l/637290163855318750.jpg
生成深度學習: 訓練機器繪畫、作曲、寫作與玩遊戲,https://www.eslite.com/product/1001133102848763,David Foster,美商歐萊禮股份有限公司台灣分公司,9789865024901,https://s.eslite.dev/Upload/Product/202005/l/637262518460841250.jpg
深度學習的數學地圖: 用Python實作神經網路的數學模型 (附數學快查學習地圖),https://www.eslite.com/product/1001113882844739,Masanori Akaishi; 施威銘研究室/ 監修,旗標科技股份有限公司,9789863126263,https://s.eslite.dev/Upload/Product/202005/l/637262514991622500.jpg
深度學習的數學: 用數學開啟深度學習的大門,https://www.eslite.com/product/1001120322842759,涌井良幸/ 涌井貞美,博碩文化股份有限公司,9789864344802,https://s.eslite.dev/Upload/Product/202005/l/637241779838079186.jpg
人工智慧與深度學習: 理論與Python實踐,https://www.eslite.com/product/1001113692831648,黃日鉦,碁峰資訊股份有限公司,9789865023898,https://s.eslite.dev/Upload/Product/202003/l/637199443404996680.jpg
tf. Keras技術者們必讀! 深度學習攻略手冊,https://www.eslite.com/product/1001113882823385,,旗標科技股份有限公司,9789863126034,https://s.eslite.dev/Upload/Product/202002/l/637171794505320000.jpg
輕鬆學會Google TensorFlow 2.0人工智慧深度學習實作開發 (第2版),https://www.eslite.com/product/1001120322824878,黃士嘉/ 林邑撰,博碩文化股份有限公司,9789864344635,https://s.eslite.dev/upload/product/l/2681854590008/20200201040234412567.jpg
機器學習的數學基礎: AI、深度學習打底必讀,https://www.eslite.com/product/1001113882821006,西內啟,旗標科技股份有限公司,9789863126140,https://s.eslite.dev/upload/product/l/2681849799003/20200111035300652763.jpg
NumPy高速運算徹底解說: 六行寫一隻程式? 你真懂深度學習? 手工算給你看!,https://www.eslite.com/product/1001113882815124,,旗標科技股份有限公司,9789863126195,https://s.eslite.dev/Upload/Product/202001/l/637148466396013750.jpg
深度學習: 使用Keras,https://www.eslite.com/product/1001113692810613,Rowel Atienza,碁峰資訊股份有限公司,9789865023218,https://s.eslite.dev/Upload/Product/201911/l/637104407231553750.jpg
深度學習,https://www.eslite.com/product/1001113692802579,Ian Goodfellow/ Yoshua Bengio/ Aaron Courville,碁峰資訊股份有限公司,9789865021924,https://s.eslite.dev/Upload/Product/201910/l/637075027381806250.jpg
深度學習: 生命科學應用,https://www.eslite.com/product/1001133102797098,Bharath Ramsundar/ Peter Eastman/ Patrick Walters/ Vijay Pande,美商歐萊禮股份有限公司台灣分公司,9789865022617,https://s.eslite.dev/upload/product/l/2681811669006/20190926040125550734.jpg
"TensorFlow自然語言處理: 善用Python深度學習函式庫, 教機器學會自然語言",https://www.eslite.com/product/1001113692791597,Thushan Ganegedara,碁峰資訊股份有限公司,9789865022471,https://s.eslite.dev/upload/product/l/2681803328003/20190903042459691535.jpg
輕鬆學會Google TensorFlow 2.0人工智慧深度學習實作開發,https://www.eslite.com/product/1001120322788693,黃士嘉/ 林邑撰,博碩文化股份有限公司,9789864344178,https://s.eslite.dev/upload/product/l/2681799814009/20190823041354867576.jpg
TensorFlow與Keras: Python深度學習應用實務,https://www.eslite.com/product/1001113882787148,陳允傑,旗標科技股份有限公司,9789863126027,https://s.eslite.dev/Upload/Product/201908/l/637027538879826250.jpg
PyTorch自然語言處理: 以深度學習建立語言應用程式,https://www.eslite.com/product/1001133102774000,Delip Rao/ Brian McMahan,美商歐萊禮股份有限公司台灣分公司,9789865021566,https://s.eslite.dev/Upload/Product/201907/l/636976589812370509.jpg
最專業的語音辨識全書: 使用深度學習實作,https://www.eslite.com/product/1001313432774010,柳若邊,深智數位股份有限公司,9789869772679,https://s.eslite.dev/Upload/Product/201907/l/636976589910990130.jpg
CV+深度學習: AI最完整的跨套件Python人工智慧電腦視覺,https://www.eslite.com/product/1001313432773998,繆鵬,深智數位股份有限公司,9789869772686,https://s.eslite.dev/Upload/Product/201907/l/636976589787676531.jpg
Deep learning深度學習必讀: Keras大神帶你用Python實作,https://www.eslite.com/product/1001113882764958,François Chollet,旗標科技股份有限公司,9789863125501,https://s.eslite.dev/Upload/Product/201905/l/636940246397866159.jpg
