ISBN,書籍簡介
9789864343522,Learning JavaScript Data Structures and Algorithms資料結構（data structure）是電腦系統中組織資料的一種高效方式，學習資料結構及演算法（algorithm）可說是解決各項程式設計問題的重要基礎。本書起初先從 JavaScript 程式語言的基礎著手，接著便會進入重要的資料結構議題，包含陣列、佇列、堆疊以及鏈結串列等，並且深入探索集合函數與雜湊表。此外你也將學習到樹狀結構、二元樹、以及二元搜尋樹等概念。在後續章節裡，則包含了圖形、深度優先搜尋（DFS）以及廣度優先搜尋（BFS）。你將學習到如何掌握各種搜尋及排序演算法，包含循序搜尋、二分搜尋、快速排序、以及氣泡排序等。而在本書的最後，也將探索動態規劃（dynamic programming）的概念。你能夠從本書學習到在陣列、堆疊及佇列中宣告、起始、新增及移除項目。建立複雜的資料結構與圖形，並應用 DFS、BFS 等演算法。一手掌握鏈結串列、雙向鏈結串列以及環狀鏈結串列。利用雜湊表、字典與集合來存放獨一無二的元素。探索二元樹及二元搜尋樹的應用。對資料結構進行氣泡排序、選擇排序、插入排序、合併排序以及快速排序。藉由循序搜尋與二分搜尋在資料結構中搜尋元素。瞭解大O表示法、動態規劃以及貪婪演算法。適用讀者JavaScript 開發者或初學者，可透過本書培養對程式進行最佳化的能力。此外也可作為資料結構及演算法概念的學習教材。
9789863796138,《AI及機器學習的經脈：演算法新解》同時用函數式方法和傳統方法介紹主要的基本演算法和資料結構，資料結構部分包括二叉樹、紅黑樹、AVL樹、Trie、Patricia、尾碼樹、B樹、二叉堆、二項式堆、斐波那契堆、Pairing堆、佇列、序列等；基本演算法部分包括各種排序演算法、序列搜索演算法，字串匹配演算法（KMP等），深度優先、廣度有限搜索演算法、貪心演算法以及動態規劃。
9789864773336,"要聽什麼音樂？什麼時候該去採買？該怎麼快速的把書架分類好？你生活中的選擇困難，就讓演算法來為你解決！ 要怎麼開車才能最快到達目的地？臉書的動態要怎麼寫才能精簡有力又能完整表達感受？家裡的儲備糧食要多久去採買一次才不會餓肚子？買了一堆書要怎麼樣有條理的擺到書架上好上滿？如果你在生活中常被「該怎麼做」的問題擊倒，老是向擲骰子一樣的憑運氣做決定，事後才懊惱，這本書將是你最佳的生活良藥！ 在本書中，作者阿里‧艾默沙維用了一個存在於我們生活之中，卻常被我們忽略的強大工具──演算法，來為你一一搞定你的「選擇困難」症候群。這種存在於電腦裡的科學概念，能夠快速且有效地將複雜狀況釐清，讓你一眼就能辨別解決問題的最佳途徑，更能夠訓練你的思考能力，使你成為一個更靈活且具有突破性的創意思考者！"
9789864342488,本書圍繞演算法與資料結構的話題，並且循序漸進、深入淺出地介紹現代電腦技術中常用的40餘種經典演算法，包含回溯法、分治法、貪心法和動態規劃等演算法設計觀念。同時，本書也系統性地講解連結串列、堆疊、佇列、樹、圖、集合與字典等常用的資料結構。同時，透過22個經典問題（包括約瑟夫環問題、河內塔問題、八皇后問題和騎士巡邏問題等）的解說，逐步揭開隱藏在資料結構背後的演算法原理，試圖協助讀者充實知識基礎，啟動思維技巧，最終衝破阻礙提升程式設計能力的重重藩籬。
9789865695927,大數據不缺推崇者，但我不是。甚至，我要稱它是這個時代的「數學毀滅性武器」。一名前華爾街量化分析師提出警告：現代生活中無所不在的的數學模型可能撕裂社會！這是個演算法包圍現代公民的時代！演算法在幕後影響著我們生活的各種決定，包括我們上什麼學校、能否借到汽車貸款，以及醫療保險必須支付多少保費，愈來愈多判斷是由數學模型，而非某些人所做出。這一切看似公平：因為所有人是根據相同的規則評斷，不受偏見影響。對熱情的「問題解決者」來說，大數據像仙境，它蒐集資訊、再運用數學模型，使我們得以更有效地調配資源、篩選最優的人事物、並做出最好的決定，這些熱情的宣揚者更是四處宣傳大數據應用的威力。但是，曾在典型數據分析圈內工作的凱西．歐尼爾不是上述這種人。她在本書指出，事實與我們想的恰恰相反！這些數學模型不透明、不受管制，即便出錯，受害者往往無法申訴。最令人不安的是，這些模型會「強化歧視」，例如，貧窮學生在申請學貸時，可能因自家的郵遞區號，被審核貸款的數學模型視為還款高風險者，因而無法獲得貸款……。這類問題會形成惡性循環——獎勵幸運兒、懲罰遭踐踏的人，創造出危害民主的「有毒雞尾酒」。歡迎認清大數據的黑暗面歐尼爾在本書中揭開對我們人生各階段有巨大影響的各種黑箱數學模型，不管我們願不願意，演算法系統都已經為我們打上「分數」。當前許多數學模型已經失控濫用、還自作主張地替教師和學生評鑑、篩選履歷表、審核貸款、評估員工績效、鎖定目標選民、決定假釋名單，以及監測我們的健康狀態，決定我們個人及社會的未來。歐尼爾呼籲：在這個人人都被迫擁有自己在某種演算系統中持有「e化評分」的時代，那些建立模型的人應該為他們所創造出來的演算法負起更多責任，而政策制定者更應該負起監督管理的責任。這本重要著作使我們得以提出關鍵問題、揭露這些「數學毀滅性武器」的真相和要求變革。
9789864762637,「這本書有三項值得閱讀的理由：針對書中演算法與資料結構，以視覺化圖表展示其特性；內容以會話方式陳述而不是生硬的學術語調；以及始終不斷強調的演算法效能基準。如果您正處於演算法領域的現實世界中，本書勢必會改變您對資料結構的使用方式。」－－Richard Resnick／GQ Life Science公司執行長設計穩健的軟體需要運用高效的演算法，然而程式設計師鮮少能深入了解演算法可運用的程度。書中提供用於解決各種程式設計問題的現有演算法，並協助讀者選擇與實作適合所需的演算法。搭配淺顯易懂的數學陳述，讓讀者輕鬆了解與分析演算法的效能。本書基於嚴謹的原則，著重於實作應用而非理論，包含了多種程式語言程式碼解法的運用與描述。本版的更新內容有：以Python語言描述十多個新增演算法的實作、Voronoi圖(Voronoi diagrams)的實作、以及描述空間樹(spatial tree)結構的新單元，如：R樹(R-Trees)與四元樹(Quadtrees)。透過本書您將學習到：‧解決新的程式設計問題或提升現有解法的效能‧快速找到與問題相關的演算法以及確定適用的演算法‧透過C、C++、Java與Python的實作程式獲得演算法解法‧了解演算法的預期效能與優化執行所需的條件‧使用進階的資料結構提高演算法效率
9789863426677,"◎亞馬遜AI與機器學習類暢銷榜 第1名
◎亞馬遜數學與統計類暢銷榜 第1名
◎亞馬遜資訊理論類暢銷榜 第1名
◎CNN、《新科學人》、《經濟學人》、《柯克斯書評》等多家媒體推薦報導
◎比爾．蓋茲年度選書！

揭開大數據、人工智慧、機器學習的祕密，
打造人類文明史上最強大的科技－－終極演算法！

有一個終極演算法，可以解開宇宙所有的祕密，
現在大家都在競爭，誰能最先解開它！

．機器學習是什麼？大演算又是什麼？
．大演算如何運作與發展，機器可以預測什麼？
．我們可以信任機器學過的東西嗎？
．商業、政治為什麼要擁抱機器學習？
．不只商業與政治，醫學與科學界也亟需機器學習，包含DNA解碼、癌症藥品開發等。
．你擔心人類會被大演算所取代嗎？可以避免嗎？該如何做？

華盛頓大學電腦工程系教授佩德羅．多明戈斯（Pedro Domingos）破解了一個在機器學習領域中長久以來的瓶頸，
成功把機器學習、哲學與人工智慧結合起來，這個突破性研究還登上了《新科學人》（New Scientist）雜誌的封面故事。

他指出，機器學習有五大思想學派，每個學派有主要的演算法，能幫我們解決特定的問題－－．符號理論學派：將學習視為是逆向演繹法，從哲學、心理學和邏輯思路方面取得概念
．類神經網路學派：導傳遞演算法可以模擬人腦思考行為，是受到神經科學和物理學的啟發
．演化論學派：遺傳程式規劃會在電腦上模擬演化，澈底運用遺傳基因和演化生物學理論
．貝氏定理學派：相信學習是機率推理的形式，是根據統計學的理論 
．類比推理學派：支持向量機從相似度判斷進行推論學習，並受到心理學和數學的影響

多明戈斯認為，如果有人可以成功整合這些演算法的優點，就能發展出「終極演算法」，便可以從大數據與人工智慧中，
獲得世界上過去、現在與未來的所有知識，將創造新紀元的文明。
站在大數據與文明終將合一的浪潮上，
終極演算法將帶領我們，望見未來。

為什麼你必須知道大演算？
◎如果你是一般市民或決策人士
讓你了解大演算的來龍去脈，從隱私到未來的工作與機器人戰爭的倫理，你將會看到真正的問題在哪裡，並思考如何看待這些問題。

◎如果你要把機器學習運用在工作上
不管你在哪個行業、什麼職業別，機器學習能幫你省下人工編寫程式的費用，避免資訊系統僵化，並預測未來你會面臨的科技發展，甚至讓你成為精準的市場分析家、解讀大數據的科學家。

◎如果你是科學家或工程師
過去的數學和現有資訊學習與數據分析，不會讓你有任何改變。
機器學習將讓你具備非線性分析，帶給你嶄新的科學世界觀，有所突破。

◎如果你是機器學習專家
雖然你應該很熟悉機器學習，但本書仍會提供給你許多新的想法、機器學習發展史上有價值的資訊、有用案例與類似的情境，甚至提供給你機器學習的嶄新觀點，啟迪你全新的思考方向。

◎如果你是任何學齡階段的學生
目前世界各地極度缺乏機器學習專家，這是現在也是未來最受關注的領域。
未來，不只局限現有的資訊工程、電機工程等相關科系，
無論是醫學、醫工、生物科技、行銷、電商、社會、心理、哲學、教育、財經等各科系，
機器學習終將與這些領域整合，現在了解大演算，你就不會被趨勢潮流所淘汰。"
9789864341085,Learning JavaScript Data Structures and Algorithms資料結構（data structure）是電腦系統中組織資料的一種高效方式，學習資料結構及演算法（algorithm）可說是解決各項程式設計問題的重要基礎。本書起初先從 JavaScript 程式語言的基礎著手，接著便會進入重要的資料結構議題，包含陣列、佇列、堆疊以及鏈結串列等，並且深入探索集合函數與雜湊表。此外你也將學習到樹狀結構、二元樹、以及二元搜尋樹等概念。在後續章節裡，則包含了圖形、深度優先搜尋（DFS）以及廣度優先搜尋（BFS）。你將學習到如何掌握各種搜尋及排序演算法，包含循序搜尋、二分搜尋、快速排序、以及氣泡排序等。而在本書的最後，也將探索動態規劃（dynamic programming）的概念。你能夠從本書學習到• 在陣列、堆疊及佇列中宣告、起始、新增及移除項目。• 建立複雜的資料結構與圖形，並應用 DFS、BFS 等演算法。• 一手掌握鏈結串列、雙向鏈結串列以及環狀鏈結串列。• 利用雜湊表、字典與集合來存放獨一無二的元素。• 探索二元樹及二元搜尋樹的應用。• 對資料結構進行氣泡排序、選擇排序、插入排序、合併排序以及快速排序。• 藉由循序搜尋與二分搜尋在資料結構中搜尋元素。• 瞭解大O表示法、動態規劃以及貪婪演算法。適用讀者JavaScript 開發者或初學者，可透過本書培養對程式進行最佳化的能力。此外也可作為資料結構及演算法概念的學習教材。 
9789863477648,‧一本書玩透演算法，盡享演算法的箇中趣味‧涵蓋常用演算法結構與應用在日常生活中演算法的應用處處可見，只是我們都忽略了它們在背後運作及協助。對於想要讓程式設計的實作與應用更上層樓，理解與活用演算法是不可少的基本實力。本書所展開的這一段演算法之旅，會看到各種建構演算法的基礎方法，如貪婪法、分治法、動態規劃法，等等，也可以透過許多範例看到如何應用這些演算法來解決實際問題。透過對「愛因斯坦的思考題」「三個水桶等分水」「妖怪與和尚過河問題」等趣味智力題的電腦求解演算法設計，可領會到演算法設計的三個關鍵問題，以及對這些問題的處理方法，為以後解決這樣的問題提供舉一反三的基礎。另外，本書活用專題範例中也有生活中的常見曆法計算，從中可會學到霍納法則的使用和求解一元高次方程式的牛頓反覆運算法；音訊播放機上跳動的頻譜，背後是離散傅立葉變換演算法；著名的PCX影像檔格式使用的RLE壓縮演算法是如此簡單有效；RSA加密演算法的光環之下是樸實的歐幾里得演算法、蒙哥馬利演算法和米勒－拉賓演算法；華容道遊戲求解的簡單窮舉演算法中還蘊藏著對棋盤狀態的雜湊演算法；人工智慧的電腦棋類遊戲中，也用到許多演算法和數學模型……遺傳演算法神秘不可測，但是用遺傳演算法求解0-1背包問題只用了60多行程式碼，真的就是這麼簡單。書中還更多精彩的應用實例正等著你來一探究境。本書共分23章，從理解演算法的基礎與設計思維開始，配合工作與生活中常見的演算法應用專題，以輕鬆圖文，詳實的原理說明，搭配實際活用的範例程式碼，讓讀者學習之後有「原來如此！」的體會，並享受學習演算法與邏輯思考的許多樂趣。
9789863474364,啊哈！一本可以開開心心閱讀的圖解演算法參考書！一本可以快快樂樂看懂的圖解演算法自學書！現在開始，自學演算法變得容易輕鬆！這是一本充滿智慧和趣味的演算法入門書。沒有枯燥的描述，沒有難懂的公式，一切以實際應用為出發點，透過幽默的說明與講解，並搭配可愛插圖和易懂的圖解來介紹演算法。就像是在閱讀一個個輕鬆的小故事或是在玩一把趣味解謎遊戲，在輕鬆愉悅中便掌握演算法精髓，感受演算法之美。本書介紹了基礎必學的資料結構和演算法，其中資料結構有堆疊、佇列、鏈結串列、樹、並查集、堆積和圖等；介紹的演算法有排序、列舉、深度和廣度優先搜尋、圖的走訪，當然還有圖論中不可以缺少的四種最短路徑演算法、兩種最小生成樹演算法、割點與割邊演算法、二分圖的最大匹配演算法等，閱讀及理解完本書後即可掌握程式設計的根基。
