ISBN,書籍簡介
9789864341375,Kali Linux 安裝與操作無線 AP 設定無線客戶端連線設定封包擷取、分析WPS、WEP、WPA、WPA+RADIUS 破解使用工具：Aircrack-ngKismetWiresharkEasy-CredsMDK3ReaverWifiteFern WiFi CrackerGerix WiFi CrackerCrunchpwgenhostapd-wpeasleap
9789572196205,本書提供一本完整介紹「無線網路和行動計算」的大專院校用書，集合幾位國內此領域學有專精的教授們，根據多年的教學教材和相關研究成果共同編撰此書。本書的編撰方式，配合一般大學一個學期上課週數，本書編排16章，以一週介紹一章方式來教授此書。本書分成「無線網路」及「行動計算」兩部份課程內容編排十分充實且易讀易懂，非常適合大專教師開設有關無線網路和行動計算相關課程教學使用，另外對於無線網路與行動計算相關工程師或大專院校學生亦深具參考價值和閱讀價值。
9789574423798,"對於經常使用無線網路上網的玩家，常聽人說無線網路很不安全，因此十分在意無線網路的安全性，另外也會好奇想知道駭客究竟是如何入侵無線網路。

『WiFi Hacking！無線網路駭客現形攻防戰』完整剖析無線網路脆弱的防禦機制，並實際示範密碼破解等各種入侵手法與各種駭客入侵伎倆，然後再對此提出反制的方法。不但可讓您確實了解、體驗駭客實際的入侵手法，也能捍衛自身無線網路的安全性。

實際展示駭客破無線網路密碼與網卡限制的流程，讓讀者親身見識駭客工具的威力，並提供防堵入侵之道。

示範最後的無線網路釣魚技術，說明駭客如何假冒 WiFly、Hinet 基地台，並說明辨識的方法。

針對所有攻擊手法都會提供可行、有效的反制之道，徹底免除無線駭客的威脅！"
9789867693716,詳細介紹各種無線網路技術，並提供豐富的專業知識與應用範例，透過閱讀本書，可幫助讀者對無線相關技術有全盤性的了解與分析，還有新技術的探討。充實且廣泛的專業知識內容■ 無線電波技術的基本概念、窄頻微波技術、無線電波所採用的基礎展頻技術、紅外線技術、IEEE 802.11 家族技術、藍芽技術（Bluetooth)、HomeRF、HiperLAN技術以及各式行動通訊系統等。■ 針對這些不同無線技術介紹其技術標準、應用領域，並進行技術評析。■ 探討現行的多種調變技術、無線電波相關技術、討論現行的展頻技術、與四種不同的多重擷取技術。■ 無線行動裝置相關技術，以及執行在裝置上的WAP與JAVA技術。完整的技術分析與比較■ 各種無線網路技術的綜合性比較。■ 分析目前技術所面臨到的問題與未來發展趨勢。■ 比較各種無線網路技術產品之間的關係。提供最新最熱門的無線網路技術■ 介紹目前無線網路最新技術，包括：IEEE 802.15、IEEE 802.16、IEEE 802.20及行動式IPv6技術。■ 針對GPRS系統進階探討，對行動通訊系統作更深入的分析。豐富的應用程式範例■ 舉例說明J2ME應用程式執行環境，及J2ME Wireless Toolkit開發工具。■ 使用WAP技術中的WML標記語言，並撰寫執行在WAP瀏覽器上的WML網頁，及執行在WAP手機上的WAP應用程式。
9789574428144,"產品介紹(Tell me a story）：建構無線環境，掌握所有無線應用，輕鬆暢快無限！ 無線網路可以擺脫網路線的羈絆，是時下最盛行的上網方式，本書將為介紹架設無線網路，以及室內／戶外的無線上網方法，並徹底解決上網時遇到的疑難雜症，讓您無論身在何處，都能夠通暢無阻，連的上、不出錯！ 
架好無線網路後，更有豐富的玩樂應用：讓 Wii、PSP、PS3、NDSL、XBOX360 等熱門遊樂器連上網，享受上網瀏覽、連線對戰的樂趣；使用 P2P 工具盡情下載熱門影音檔案；更可以打造『走到哪看到哪』的行動劇院，輕鬆分享電腦中的音樂、照片、影片檔，徹底發揮無線的優勢，享受無線網路帶來的無限樂趣！ 
自己架設 802.11n/ADSL／光纖/WiMAX/3.5G 無線寬頻網路 認識無線設備規格－802.11n、MIMO、AES、WPA2、WiMAX 4G/3.5G/3G 超高速行動無線搶先體驗 讓 Wii、PSP、PS3、NDSL、XBOX360 連上網，進行連線對戰！ 最安全的無線保護機制，別讓鄰居用免錢的網路，佔用您的頻寬！ FOXY、BT、eMule、Youtube 影音下載工具，沒有抓不到的檔案！ 家用無線 Q & A 完全蒐錄，再也不怕通不了、連不上！ 有行動硬碟，就能讓 AP 成為家用 NAS機 戶外無線，有 NB、手機就能趴趴走 
成功使用無線網路後，還有更多的應用等著您，本書教您： 讓 Wii、PSP、PS3、NDSL、XBOX360 連上網，瀏覽網頁、玩 Flash 遊戲，還能進行連線對戰！ FOXY、BT、eMule、Youtube 影音下載工具，沒有抓不到的檔案！徹底解決無線網路下的下載問題 打造無線行動劇院！輕鬆分享電腦中的音樂、照片、影片檔 "
9789866387074,書籍特色 當你坐在3樓熟悉的星巴克咖啡屋，在靠窗的角落裡習慣性地打開筆電，連上星巴克提供的無線基地台，翻看著當天網路上最新的資訊時，可曾想過就在街對面，一棟新建不久的飯店4樓，有人正試圖通過無線網路，攻入你的電腦並竊取你儲存在硬碟深處的新聞調查筆記？當你坐在辦公室裡，在冷氣送來的涼爽微風下，整理剛參加完的公司會議記錄時，可曾想過就在和你房間3米的樓上，有人正試圖通過公司的無線網路，竊取你電腦上備份的公司內部發展計劃？當你坐在機場環境優雅的V I P候機室裡，一邊漫不經心地在筆電上翻看著自己的個人B l o g，一邊聽著M P3時，可曾想過離你500米遠的一輛黑色S U V裡，會有一台筆電正一樣通過機場提供的無線網路服務，在快速下載並記錄著你筆電裡所有關於後天安全技術峰會的秘密資料？當你和朋友們外出旅遊，在休息的酒店裡拿出新買的IPhone，迫不及待地連上酒店的無線網路收取當天的電子郵件時，可曾想過就在走廊盡頭的一個房間裡，有人已經通過無線網路進入你的IPhone，正翻看著你那些不能見光的個人寫真圖片？ 這不是什麼好萊塢的科幻電影，更不是什麼危言聳聽的傳言，而是就在我們的身邊，就在我們的桌旁，每一個標識著W i F i的行動裝置上，一個繁華技術背後的安全陰影——無線網路，是不是真的方便了自己也方便了別人？無線網路帶來的巨大便利和龐大的商業價值，已經無須證明。作為政府及通信部門對無線網路技術的扶持，也使得無線技術開始成為發展最快的新興技術之一。但是人們在沉浸於享受無線網路帶來便利的同時，很多人卻並沒有意識到，技術的兩面性已經開始在一些不為大多數人所知的領域有所體現。對目前國內外無線網路發展的種種趨勢，本書從身邊基礎的無線網路環境講起，由淺至深地探討了無線網路涉及的各個方面，包括無線W E P加密破解、無線W P A/W P A2破解、區網滲透、無線DoS攻擊與防護、無線VPN搭設與攻擊防護、War-Driving戰爭駕駛及其他各種無線攻擊可能的角度和解決方案。內容大綱 第1章你所了解和不了解的無線世界第2章準備工作--基礎知識及工具第3章再見，WEP第4章WEP破解的骨牌效應第5章擊垮WPA家族第6章滲透在區網--我悄悄地走正如我悄悄地來第7章耐心+偽裝總是有效的第8章無線DoS及進階攻擊第9章絕對無敵與相對薄弱的矛盾體—VPN第10章優雅地入侵：流動的War-Driving第11章飯後甜點：也許有人同樣會喜歡這些第12章抵禦入侵者的可行方案第13章向無線hackers致敬
9789574426751,"無線網路是許多人上網的主要方式，雖然無線網路的普及讓大家可以更簡單、方便的隨時隨地上網，然而大多數人卻不知道其中充滿了各種風險與危機，不僅「WEP加密可以完全破解」，而「WPA也不是牢不可破」，更可怕的是在「空中就可以任意截取他人的上網封包」，從而取得其中各種有價值的資訊（如：HTTP、POP、FTP各種帳戶密碼，MSN好友名單，MSN交談內容…等）使得無線網路成為許多駭客的遊戲天堂，因此本書作者親自在攻防第一線，詳細記錄駭客在無線網路中常見的各種破解與入侵行為，在本書中完整的公佈出來，並提出相對應的有效防護措施，希望能幫助您更安全、更無慮、更自在的使用無線網路。
除了無線網路攻防戰之外，「快速尋找與入侵Port139電腦」、「各Windows版本的Telnet後門」、「輕易進入他人上網的各種路由器（無線網路基地台、IP分享器或路由器數據機）」…等攻防實戰，也是本書的精華重點，有效保障您的上網安全，遠離無孔不入的駭客威脅。
Vista／XP／2K完全適用WiFi無線網路攻防戰第一線實船過水無痕的最佳IP隱藏術WinVista、WinXP最佳後門Telnet徹底全攻略各種路由器、IP分享器、無線網路基地台、數據機入侵實作與徹底防護無線網路基地台WEP、WPA加密密碼快速破解大公開與有效防護無線網路基地台鎖定MAC位址、IP位址、不公開SSID名稱…完全突破空中任意抓取無線網路封包，各種上網資訊一覽無遺駭客架設無線基地台釣魚，空中上網處處陷阱快速尋找、入侵Port139電腦與有效防護…更多攻防密技研究與實戰"
9789574424702,"輕鬆建構無線環境，掌握無線AP全部設定，徹底活用無線基地台的所有功能！

現在台灣的無線環境相當普及，但家中寬頻要怎麼變無線？很多人會告訴您：『買台 AP 就好啦』！但 AP 買了回來，寬頻環境就能變成無線？不，很多人弄得滿頭大汗，無線還是裝不起來...

既然是無線，就會遇到一堆林林總總的問題與麻煩！一會兒收訊不良、常斷線；一下子又被鄰居偷上線；再不然就是程式原本執行得好好的，可用了無線就上不了？還有 AP 裡面的一堆設定，什麼 SSID、WEP、WPA、AES、WDS、...，看得頭都花了，能告訴我是啥功能、又該如何設定嗎？

除了在家、在宿舍、在公司用無線外，您知道戶外無線該怎麼上嗎？您曉得目前最嗆的 3.5G 超高速上網嗎？您遇過在外無線完全免費的 FON 嗎？這一切一切，您都可在本書中獲得解答，更是您用無線、玩無線的必備案頭書！

家用無線，自己就能輕鬆打造
‧ ADSL／CATV／宿舍網路／社區寬頻立即無線化
‧ 瞭解目前的家用寬頻環境
‧ 有線變無線，3秒鐘立即確認
‧ 第一次採購無線 AP／無線網卡快速上手
‧ 認識無線設備規格－802.11n、MIMO、AES、WPA2、...

家中寬頻，3步驟立改無線
‧ 連接無線 AP 流程全圖解示範
‧ 一次搞定 ADSL／Cable／區網／寬頻等連線設定
‧ 讓 PC、NB、PDA、Wii、Xbox 360 都能暢快無線

家用無線大應用
‧ 無論有線無線，立即分享資源，共享檔案
‧ 家中印表機也可快速無線分享
‧ 有行動硬碟，就能讓 AP 成為家用 NAS 機
‧ 影音、娛樂、數位媒體分享特搜，打造家庭數位影音中心

家用無線問題 Q & A
‧ 無線 AP 的設定太複雜，不知如何設定？
‧ 無線斷斷續續、常斷線收不到訊號？
‧ 裝了 AP，BT／eMule 抓擋就愈來愈慢？

享受無線，別讓小人搭免費公車
‧ 隱藏 AP 無線訊號，打造『完全私密』的無線環境
‧ 加入 WEP 無線保護，有密碼才能自在無限，資料傳輸更安全
‧ 在 AP 上登錄網卡識別碼 (MAC)，沒驗證者一律封殺上網

戶外無線，有 NB 就能趴趴走
‧ 全省都可行的 HiNet 無線網路
‧ 大台北、咖啡廳專用的 Wifly 無線系統
‧ 有分享、就能免費上 FON 無線
‧ 3.5G／3G 超高速行動無線搶先體驗
‧ 所有戶外無線問題一次解決
"
9789867329523,"以往要架設網路一定是牽一條網路線，然後連接電腦跟網路設備，但是現在你有了更好的選擇，就是使用無線網路！從前高不可攀的無線網路，現在已經越來越平民化了，於是越來越多人願意使用無線網路。但是許多人對於無線網路卻仍然十分陌生，看到完全不懂的規格與機器，硬是不知道該從何開始。

本書以淺顯易懂的方式，從無線網路的基本規格開始說起，讓你了解目前無線網路的專有名詞與各種規格，接著再一步一步教你如何架設起自己的無線網路，還有疑難排解幫你解決常見問題。另外目前國內的戶外無線網路建設也相當齊全，書中還會將目前國內的無線網路據點整理出來，並且帶你實地操作一遍，讓你對戶外的無線上網也能夠得心應手。


架設好無線網路之後，很多人遇到的問題就是區域網路的架設，書中對於區域網路的分享也有相當的介紹，讓你能夠學會使用區域網路來做檔案分享，甚至架設無線印表機。若是有區域網路內連線被擋的情況，書中也會告訴你如何突破防火牆的限制，暢通你的對外連線管道。"
9789574422258,"台北捷運沿線無線上網開跑，高雄苓雅、前金、新興等 3 行政區免費上網，淡水鎮建全台第 1 個無線網路城...；北從淡水漁人碼頭、南到墾丁街頭，現在只要拿出具無線功能的 PDA 或筆記型電腦，就能輕鬆查詢到周圍景點、建議旅遊路線、及想要的資訊。沒錯，不需要『線』，走在路上就可上網！在這無線的新時代，您是要加入、還是被淘汰出局 (In，or out) 呢？本書是第 1 本教您體驗全民上網，無線暢快的網路世界；並創先無料公開全台免費上網地點！無論您在麥當勞、丹堤咖啡、校園、市府廣場、圖書/博物館、機場...；還是想在家中、宿舍輕鬆升級無線 ADSL 寬頻，都可在本書中獲得全方位解答、完整圖解示範，讓您無痛上手、上網不受『線』！【本書特色】第一本教您【體驗全民上網】，無線暢快的網路世界！◎麥當勞、咖啡廳、校園、圖書/博物館、機場等【公眾無線上網】點皆適用！◎全台【免費上網】地點大公開◎迅馳 【Centrino】 無線飆網實錄◎自己【架設 ADSL 無線網路】，家庭、宿舍、辦公室都適宜！◎輕鬆自學沒負擔，只要動手就能學會◎無線網路下的【資源共享】、互傳資料、列印分享◎加了 AP，軟體就上不了網？【NAT】、【DMZ】 讓您突破限制◎浮動式 ADSL 在 AP 上設定 【DDNS】，遠端遙控不是夢◎完全把關！無線網路的【安全問題詳探與解答】◎【無線觀念闡釋】，無線產品剖析，無線網路架設◎以實用面切入主題，完全【圖解示範】，讓您無痛上手！"
