ISBN,書籍簡介
9789863476887,「TQC+ 物件導向視窗及資料庫程式設計認證Visual C# 2013」，係為TQC+ 軟體設計領域之物件導向視窗及資料庫程式設計認證能力鑑定，以實務操作方式進行認證，評核符合企業需求的新時代專業設計人才。亦為考核「C#程式設計專業人員」必備專業技能之一1.內附完整的測驗題及操作題，範例題目之設計均以實務應用為導向，品質及認證公信力最具權威！2.範例題目包含基本.NET Framework組件使用、Windows應用程式開發、資料庫應用程式、Windows應用程式進階議題，開發多元類型之應用程式。3.透過本書所附光碟之認證範例題目練習系統依類別進行自我測驗。4.配合中華民國電腦技能基金會(http://www.csf.org.tw)測驗流程，一舉取得專業證照，讓您求學、求職更具競爭力。● 本書範例題目內容為認證題型與命題方向之示範，正式測驗試題不以範例題目為限。
9789865835767,【※更多書籍資訊請到http://www.bookcity.com.tw網站】■ 市面第一本詳述最新系統分析與設計方法的教材■ 本書附贈高達90M以上的UML範例模型圖■ 第一本詳細教導讀者如何塑造ORM的系統分析用書■ 使用最新的UML設計發工具來塑造各類UML模型「物件導向 (OO)」系統分析方式自問世到現在已有二十多年！若以現在日新月異的軟體開發與應用技術(如：Mobile App的開發、雲端系統 (Cloud Application System )的開發與架構 … 等)來說，「物件導向系統分析 (OOSA)」已算是非常老舊的分析技術了。軟體設計與開發技術的日新月益，當「物件導向系統分析(OOSA)」無法滿足於新一代的雲端與Mobile應用軟體系統的開發規劃需求時，最新的「函數式物件導向系統分析與設計 (Function-Object Oriented Analysis And Design，FOOSA &SD)」技術就應運而生。本書使用Step By Step 逐步講解方式，教導讀者使用最新的「函數式物件導向」系統分析與設計方法來規劃新一代的應用軟體系統。
9789862367810,一個資訊系統的開發，所需要的人力、財力、物力非常的大，如果一開始的系統分析工作沒有做好，日後在系統維護階段，將會耗費相當多的成本，而沒有實質的產出。因此，系統分析是資訊相關科系非常重要的一門課程，隨著資訊科技的進步，系統分析的方法論，早已從結構化的系統分析方法邁入物件導向的系統分析方法。本書以深入淺出的案例，介紹UML的九種圖形，讓讀者藉由實際案例了解這些圖形之間的關係，以及繪製方法，是一本好教易學的教材。對於初學的入門讀者及修課學生，作者先以第一章到第三章對資訊系統、系統開發、軟體特性及物件導向的基本概念做一概論性的介紹，對於已對資訊系統略有基礎的讀者，則從第四章開始介紹UML的基本概念、架構及法則，接著以一虛擬案例貫串各章，探討各種圖形的概念及應用。作者在每一章節中都留有發揮的空間，可讓讀者在學習的過程中，有自我練習的機會，適合教師於授課時，讓學生實作後在課堂上討論之用，也適合自我學習的讀者，在學習後有一案例可以自我學習。最後則以個案說明各章所學的各種圖形在個案中如何繪製、應用，讓讀者可以邊學邊做，磨練實作能力。系統分析的方法論，是一門實作的學問，唯有透過不斷的實作才能累積經驗。本書是作者累積其豐富的教學與實務經驗編寫而成，讀者依作者所規劃的學習方向，應該很快會對物件導向的系統分析方法有一認識。第二版系依最新資訊更新部份內容，並在書末增加新的個案研討，從第一版一個個案研討增加到兩個個案研討，提供讀者更多自我實作演練的機會。
9789862765708,電腦技能基金會根據微軟軟體開發平台Visual Studio 2010中的VB.NET人才需求及培育狀況，邀集各界專家學者，共同擬訂「TQC+ VB.NET程式設計專業人員」工作說明、職能分析，核心知識及專業技能需求。其中的核心知識考科為「TQC+ 軟體開發知識」、專業技能考科則包含「TQC+ 物件導向程式語言Visual Basic 2010」以及「TQC+ 物件導向視窗及資料庫程式設計Visual Basic 2010」共兩個認證科目。 本書所介紹的「TQC+ 物件導向視窗及資料庫程式設計Visual Basic 2010」屬於進階科目，必須建構在具備「TQC+ 物件導向程式語言Visual Basic 2010」能力上。由於VB.NET所擁有的圖形用戶介面（GUI）及快速應用程式開發（RAD）系統，可以幫助程式設計師在視窗環境下快速的設計出應用程式。程式設計師可以輕易地使用DAO、RDO、ADO連接資料庫，開發各種資料庫應用程式系統。更可透過VB.NET所提供的組件，輕鬆地創建ActiveX控制項或建立應用程序。在Visual Basic 2010中，也新增許多新功能及新語法，如LINQ（.NET Language Integrated Query），在.NET的開發語言當中，將查詢的技術整合，可加快搜尋速度與降低開發成本。 本科目的考題與實務工作完全結合，並能充分發揮上述VB.NET的開發特性，題型包含物件導向觀念、基本流程控制、物件程式設計、資料庫應用程式開發，增加LINQ查詢語法之新觀念，透過函式庫與Office配合應用，藉由題型設計學習最紮實的程式撰寫能力，運用與不同資料來源繫結，撰寫並開發出完整的應用程式。 光碟內容： 1．「TQC+ 認證範例題目練習系統」提供物件導向視窗及資料庫程式設計Visual Basic 2010測驗題第一至四類共計250餘道題目，操作題第一至三類共計30道題目。 2．「TQC+ 認證測驗系統-Client端程式」提供三回物件導向視窗及資料庫程式設計Visual Basic 2010認證測驗的範例試卷。 目錄: 第一章 TQC+ 專業設計人才認證說明第二章 領域及科目說明第三章 範例題目練習系統安裝及操作說明第四章 物件導向視窗及資料庫程式設計範例題目第五章 測驗系統操作說明第六章 範例試卷　範例試卷編號：VDT-0001 　範例試卷編號：VDT-0002 　範例試卷編號：VDT-0003 　範例試卷標準答案附錄 光碟內容: 1.TQC+ 認證範例題目練習系統 2.TQC+ 認證測驗系統-Client端程式
9789577298850,本書明白揭示結合MDA與UML的物件導向分析與設計外，並擴充系統之動態行為與靜態結構塑模方法論，以強化物件導向系統分析與設計之實用性與易用性。此外，也擴充MDA之轉換方法論及其與CASE工具之整合，以強化系統開發之自動化。本書首先介紹系統開發模式，接著介紹結合MDA與UML的物件導向分析與設計，包括介紹物件導向的概念、強韌分析、UML及其塑模方法論、類別正規化、OCL、MDA與其轉換之方法論，並以一個案例與CASE工具依上述方法論進行物件導向系統分析與設計之塑模，及依產出之模式進行資訊系統之開發，使讀者能清楚瞭解結合MDA與UML進行物件導向系統分析與設計之完整與連貫的塑模概念、活動、模式產出與實作等。
9789866432538,物件導向程式設計一點都不困難！本書跳脫傳統程式設計書籍的編寫方式，直接以範例切入物件導向概念，讓您能循序漸進熟悉物件導向觀念，每章節利用練習題，跟著書本內容學習，無形中學會如何利用Java寫出符合自己或使用者需求的程式，本書強調以完整並統一的物件概念來教導學習者，亦適合初學者及高階使用者學習，讓自己對物件的概念深根蒂固，以期訓練讀者迅速成為一位專業的程式撰寫者。
9789863797630,Objective-C語言，以其高效性和安全性的特點在蘋果作業系統中經久不衰。本書由淺入深，全面性、系統性介紹Objective-C開發技術，從基礎開始逐層往高階技術進展；最大特色就是提供大量插圖，一改程式設計書只有枯燥乏味的文字講解，將傳統的文字說明轉化為各種形式的圖形圖表，利用生動的圖示，形象化再現Objective-C開發的所有知識，在閱讀與實作過程中潛移默化的掌握Objective-C語言之開發精髓。
9789862766507,在眾多的程式設計語言之中，C#語言是設計與開發Windows 8 AP、Windows 8 App及Windows Phone App的重要基礎，對程式撰寫人員而言，是一門必學且相當重要的科目。Windows 8除了引進Windows 8 Style介面，以及對觸控操作做了最佳化之外，亦加入可透過Windows Store官方網站商店購買軟體等新特性，可以將軟體設計導向提供個人化、客製化服務的一環。 C#同時也是微軟為.NET Framework量身訂做的程式語言，透過C#可以開發在.NET Framework上執行的應用程式，C#擁有C/C++的強大功能以及Visual Basic簡易使用的特性，是簡單、強大、型別安全且以物件為導向的語言。C#使用了許多創新的做法，能夠讓應用程式的開發更為快速，C#同時保留了C樣式語言的表達能力與雅緻，適合為獨立和嵌入式的系統編寫程式，從複雜作業之大型系統到特定應用之小型系統均可適用。 「TQC+ 物件導向程式語言認證C# 4」，係為TQC+ 軟體設計領域之物件導向程式語言認證能力鑑定，以實務操作方式進行認證，評核符合企業需求的新時代專業設計人才。亦為考核「TQC+ C#程式設計專業人員」必備專業技能之一。 1.範例題目之設計均以實務應用為導向，品質及認證公信力最具權威！ 2.「TQC+ 物件導向程式語言認證C# 4」範例題目包含C#語言基礎、流程控制與錯誤處理、陣列、集合與遞迴、檔案存取與資料流、物件導向基礎、LINQ與C#特性，學習完整的程式語法。 3.透過本書所附光碟之認證範例題目練習系統依類別進行自我測驗。 4.配合中華民國電腦技能基金會(http://www.csf.org.tw)測驗流程，一舉取得專業證照，讓您求學、求職更具競爭力。 本書範例題目內容為認證題型與命題方向之示範，正式測驗試題不以範例題目為限。 目錄：第一章 TQC+ 專業設計人才認證說明第二章 領域及科目說明第三章 範例題目練習系統安裝及操作說明第四章 物件導向程式語言範例題目第五章 測驗系統操作說明第六章 範例試卷範例試卷編號：CS4-0001 範例試卷編號：CS4-0002 範例試卷編號：CS4-0003 範例試卷標準答案附錄 專業設計人才認證簡章
9789575112752,"本書明白揭示結合MDA與UML的物件導向分析與設計，擴充系統之動態行為與靜態結構塑模方法論，以強化物件導向系統分析與設計之實用性與易用性。此外，擴充MDA之轉換方法論及其與CASE Tool之整合，以強化系統開發之自動化。內容編排共分四個部分： 首先介紹系統開發模式(例如瀑布、雛型、RUP、動態系統開發、Scrum與MDA等模式)，以及模組化系統理論、物件導向技術、物件導向系統與實作，包括物件導向的基本概念(例如物件、類別、抽象化、封裝、繼承與同名異式等)、系統分析與設計塑模工具(如UML)與觀點。 接著開始介紹系統開發之需求分析與塑模步驟，包括介紹需求擷取方式、塑模工具與方法論、強韌分析，及其產出文件(模式)等。 再介紹物件導向系統分析與設計步驟，包括物件互動行為塑模、結構塑模、類別正規化等活動、塑模工具與方法論，及其產出模式等。 最後介紹結合MDA與UML，從系統分析、系統設計至程式模式的轉換步驟與方法論、系統元件與結構塑模工具與方法論，及其產出模式等。 文中以一個案例與CASE Tool，依上述步驟與方法論進行需求分析、物件導向系統分析與設計塑模，並依各步驟產出之模式進行資訊系統開發，使讀者能清楚瞭解結合MDA與UML進行物件導向系統分析與設計之完整與連貫的塑模概念、活動、模式產出與實作等。"
9789864344475,C++語言融合了傳統的程序式語言、物件導向設計以及C++樣版三種不同程式設計方式，使它成為相當受重視且普及的程式語言。 物件導向設計能讓程式碼較容易擴充、修改及維護，本書中所有的C++程式是以免費的Dev C++來編譯與執行。全書四大主軸如下： 1.基礎語法 先簡單說明如何進行C++程式撰寫、編譯、執行與除錯，接著再導入變數與常數與各種資料型態的介紹，並了解各種運算子及流程控制指令。 2.進階語法 包括陣列與字串的宣告與綜合運用，再介紹指標與位址的觀念與實作，並示範如何自訂函數、參數傳遞與函數進階應用，最後則提到前置處理指令與巨集及自訂資料型態。 3.物件導向 以生活化的案例，切入物件導向程式設計基礎常識，有了這些入門能力後，再完整呈現物件導向程式設計的精華。 4.其他議題 介紹資料流及檔案的入門觀念，並探討各種檔案類型的操作技巧與管理，除了說明例外處理的錯誤控制機制外，也會介紹C++樣版的程式設計方式。 【本書實務經驗分享】 ‧大量程式範例，正確無誤執行 ‧「上機程式測驗」，強化撰寫與除錯能力 ‧精心設計習題，驗收教學成果 ‧是C++程式設計教材最佳首選
