書名,書籍網址,作者,出版社,ISBN,圖片網址
Python程式交易應用與實作: 從零開始! 自動化投資實戰指南,https://www.eslite.com/product/1001120322872895,酆士昌/ 劉承彥,博碩文化股份有限公司,9789864345106,https://s.eslite.dev/upload/product/l/2681918867008/20200904035718795804.jpg
自學也能輕鬆上手的程式交易: Multicharts 基礎、實戰與釋疑,https://www.eslite.com/product/1001144572755917,陳宏傑,SMART智富出版社,9789869768115,https://s.eslite.dev/Upload/Product/201911/l/637100161449360000.jpg
XS程式交易煉金術,https://www.eslite.com/product/1001253672760615,杜昭銘/ 數據金/ 黃建憲,大億出版有限公司,9789869463454,https://s.eslite.dev/Upload/Product/201905/l/636925558064917500.jpg
Python網頁程式交易APP實作: Web+MySQL+Django (第2版),https://www.eslite.com/product/1001120322697661,林萍珍,博碩文化股份有限公司,9789864343171,https://s.eslite.dev/Upload/Product/201808/l/636687957631330000.jpg
三週學會程式交易: 打造你的第一筆自動化交易,https://www.eslite.com/product/1001129782633019,李政霖,寰宇出版股份有限公司,9789869451994,https://s.eslite.dev/upload/product/l/2681517060008/ec1376715.jpg
R語言: 金融演算法與台指期貨程式交易實務,https://www.eslite.com/product/1001120322604200,酆士昌,博碩文化股份有限公司,9789864342259,https://s.eslite.dev/upload/product/l/2681472305008/697955.jpg
分析師關鍵報告 2: 張林忠教你程式交易,https://www.eslite.com/product/1001129782377590,張林忠,寰宇出版股份有限公司,9789866320743,https://s.eslite.dev/Upload/Product/201411/l/635522419207429454.jpg
PowerLanguage程式交易語法大全,https://www.eslite.com/product/1001129781997264,鍾淳豐,寰宇出版股份有限公司,9789866320156,https://s.eslite.dev/Upload/Product/201012/l/634270485127618750.jpg
程式交易快穩準,https://www.eslite.com/product/1001190172681959066002,蔡嘉民,天窗出版社有限公司,9789888599530,https://s.eslite.dev/upload/product/l/2681959066002/20201222034942437887.jpg
程式交易: 觀念、方法、技術與解決方案,https://www.eslite.com/product/1001113601911628,姜林杰祐,◎新陸書局股份有限公司,9789866333101,0
