書名,書籍網址,作者,出版社,ISBN,圖片網址
24小時不打烊的雲端服務: 專家教你用Windows Server 2012 Hyper-V3.0實戰虛擬化技術,https://www.eslite.com/product/1001120322231280,王偉任,博碩文化股份有限公司,9789862017326,https://s.eslite.dev/upload/product/l/2680774996006/ec687547.jpg
認識虛擬化技術的第一本書: 在職場也能派上用場的虛擬化入門書,https://www.eslite.com/product/1001113692487456,高岡將/ 高添修,碁峰資訊股份有限公司,9789863478430,https://s.eslite.dev/Upload/Product/201602/l/635902650976072500.jpg
雲端策略: 雲端運算與虛擬化技術,https://www.eslite.com/product/1001124271932735,陳瀅,天下雜誌股份有限公司,9789862411261,https://s.eslite.dev/Upload/Product/201003/l/634050388744085000.JPG
Hyper-V虛擬化技術企業現場實戰 (第2版),https://www.eslite.com/product/1001113692677132,Patrick Lownds/ Charbel Nemnom/ Leandro Ca,碁峰資訊股份有限公司,9789864767908,https://s.eslite.dev/Upload/Product/201805/l/636617110087368404.jpg
深入淺出虛擬化技術VMWare與Virtual PC實務應用,https://www.eslite.com/product/1001120321783421,虛擬機之家,博碩文化股份有限公司,9789862011218,https://s.eslite.dev/Upload/Product/200807/l/633516424497656250.jpg
現在學正是時候: 用Docker+Kubernetes建立永續叢集服務,https://www.eslite.com/product/1001313432851322,羅利民,深智數位股份有限公司,9789865501341,https://s.eslite.dev/Upload/Product/202006/l/637284114466933750.jpg
Ubuntu系統管理與架站實務 (第3版),https://www.eslite.com/product/1001113882721076,,旗標科技股份有限公司,9789863125457,https://s.eslite.dev/Upload/Product/201810/l/636756211733281250.jpg
資訊安全概論,https://www.eslite.com/product/1001121992710669,林亭汝/ 奚邦祥,華泰文化事業股份有限公司,9789869603164,https://s.eslite.dev/upload/product/l/2681645918004/819973.jpg
Docker專業養成: 活用基礎與實踐技能,https://www.eslite.com/product/1001120322641226,熊昌隆,博碩文化股份有限公司,9789864342648,https://s.eslite.dev/Upload/Product/201712/l/636478005642401257.jpg
VMware vSphere 6企業級專家手冊 下,https://www.eslite.com/product/1001120322604180,Nick Marshall/ Grant Orchard/ Josh Atwell,博碩文化股份有限公司,9789864342211,https://s.eslite.dev/Upload/Product/201707/l/636347870462818750.jpg
VMware vSphere 6企業級專家手冊 上,https://www.eslite.com/product/1001120322604179,Nick Marshall/ Grant Orchard/ Josh Atwell,博碩文化股份有限公司,9789864342204,https://s.eslite.dev/Upload/Product/201707/l/636347867882818750.jpg
物聯網帶動虛擬化轉型: 大數據與人工智慧商機,https://www.eslite.com/product/1001174432555480,拓墣產業研究所,拓墣科技股份有限公司,9789865914752,https://s.eslite.dev/Upload/Product/201611/l/636150546831016250.jpg
"24小時不打烊的雲端服務: 專家教你用Windows Server 2012 R2 Hyper-V3高級篇, 叢集雲端架構實戰",https://www.eslite.com/product/1001120322408067,王偉任 (Weithenn),博碩文化股份有限公司,9789864340002,https://s.eslite.dev/upload/product/l/2681016272001/467240.jpg
24小時不打烊的雲端服務: 專家教你用Windows Server 2012 R2 Hyper-V3虛擬化環境實戰: 初級篇,https://www.eslite.com/product/1001120322336706,王偉任 (Weithenn),博碩文化股份有限公司,9789862019351,https://s.eslite.dev/upload/product/l/2680883037003/352053.jpg
VMware vSphere 5 安裝及設定管理: 企業級虛擬化架構實戰,https://www.eslite.com/product/1001120322337260,何坤源,博碩文化股份有限公司,9789862019368,https://s.eslite.dev/Upload/Product/201406/l/635392818756743750.jpg
雲端系統測試指引 上: 打造雲端城堡的基石,https://www.eslite.com/product/1001182672065912,資策會創新資訊應用研究所,財團法人資訊工業策進會,9789575814397,https://s.eslite.dev/upload/product/l/2680612002005/114889.jpg
