ISBN,書籍簡介
9789863457565,本書收錄國內各大學研究所107~108年【計算機組織與結構】試題，網羅名師解題，步驟深入淺出，讓考生快速掌握解題要領，相關試題一次擁有，全面縮減考生彙整試題的時間。
9789574838110,關於這本亞洲版　　我們在作者的同意下，編寫了這本亞洲版的計算機組織與設計：硬體／軟體的介面，以適當反映該地區的計算機課程教學現況以及計算機科技發展。主要的內容調整包括：‧「TH-2 天河二號高效能計算系統」（用以作為叢集計算系統的說明）以取代原先附錄B的數位邏輯內容，以及新的內容「晶片上網路Networks-on-Chipj 置於附錄F。兩者均反映計算機科技最新的進展，並可作為讀者的良好參考。‧第二章中一些節的刪改，以配合亞洲教學的課程設計。　　經過上述調整，這本亞洲版除了保留原有版本的主體結構以及知識概要，也強化了其區域特色。
9789862365953,"本書以圖面描述及口語化的說明方式，藉由大量的圖片投影，來介紹硬體電路的設計理念，及各種技術的原理。 　　從基本的記憶體，輸出入裝置控制及中央處理單元的設計，到目前最新的同步記憶體；倍速率連發傳送，記憶體庫及橋接器；控制脈波系統、封包傳送觀念到管線技術；非依序指令執行，向量處理，資料流及緊耦合多處理器系統等，全書共三百多幅圖片，內容簡易，但卻涵蓋廣泛，可以作為深入了解計算機組織與結構的學習手冊。第一章　計算機系統的主要架構第一節　輸入與輸出系統第二節　處理系統第三節　儲存系統第四節　程式的編輯與執行第五節　指令的執行習題研討第二章　儲存系統第一節　快取記憶體與主記憶體之間的關係第二節　主記憶體(Main Memory) 第三節　其他類型的記憶體與其技術第四節　快取記憶體(Cache Memory)第五節　Cache與主記憶體的資料更改　第六節　外部儲存體的資料使用　第七節　記憶體資料的除錯習題研討　第三章　輸出入裝置的控制第一節　資料傳輸第二節　裝置的介面電路(Interface Circuit) 第三節　CPU與輸出入裝置的資料傳送第四節　CPU如何處理同時發生的多個中斷要求第五節　CPU與輸出入裝置、記憶體的連接方式第六節　橋接器(Bridge) 第七節　網路介面(Network Interface) 第八節　錯誤檢查碼(Error Check Code, ECC) 習題研討第四章　中央處理單元的運算系統第一節　暫存器的設計第二節　暫存器的資料傳送第三節　算術邏輯運算單元第四節　實數運算處理 第五節　運算電路的整合習題研討第五章　指令的執行系統第一節　硬體架構第二節　記憶體規劃第三節　計算電路規劃第四節　指令規劃第五節　硬體電路的控制單元設計第六節　中斷處理第七節　CPU內部電路設計探討第八節　CPU的效能評估第九節　高階語言第十節　精簡與複雜指令集電腦習題研討第六章　管線處理第一節　何謂管線處理第二節　指令的分割第三節　CPU內單一管線設計第四節　管線的中斷處理第五節　多條管線的設計習題研討第七章　多處理器系統第一節　單一指令單一筆資料(SISD)的電腦架構第二節　單一指令多筆資料(SIMD)的電腦架構第三節　多個指令單一資料(MISD)的電腦架構第四節　多個指令多筆資料(MIMD)的電腦架構習題研討"
9789574426119,"計算機組織與結構對於電機、電子、資訊相關科系等主修計算機科學的學生來說，是一門很重要的學問，因為計算機就像是高科技的火車頭一樣，任何發展都會帶動其他學門的進步。 但除了少部分全力鑽研於計算機硬體的同學們會覺得這門課與自己息息相關外，大多數的同學常會覺得：「我們只不過是在電腦上寫程式，又不是要去設計電腦的硬體，幹嘛要學這些！」然而，了解電腦硬體對於寫一個有效率的程式是非常重要的，這就像一個好的廚師必需了解廚具的特性，才能烹調出美食一樣。 雖然坊間已有眾多的相關書籍，但主流還是以英譯中之書籍為主，內容龐雜而艱深；雖也有中文著作，卻常因為結構不佳、題材偏頗、或觀點偏差，而致份量及內容仍不適合技職院校教學之用。因此我們興起了撰寫一本好書的念頭...本書由淺入深的介紹電腦的歷史、指令的架構、算術邏輯運算原理、中央處理器、記憶體、中斷、輸出/入系統、檔案系統、周邊裝置等內容，更包含了系統晶片與嵌入式系統的介紹，讓學生更了解當代計算機組織與結構的發展與應用。另外本書也捨棄了僅對單一特定指令集作介紹與實作的方式，而改以原則性的探討來陳述計算機組織的相關知識，目的也是要讓學生能更全面的了解計算機組織與結構的樣貌。雖然大多數的人並不會真正參與計算機設計的過程，但是計算機設計的概念卻有助於激發學生在其他領域的思考；因此我們希望學生能透過此書，幫學生了解到計算機設計的精神！"
9789863459293,不容錯過的上榜必備好書在這裡！ 精選多間名校研究所歷屆考題，讓你省去到處尋找考古題的煩惱！ 試題按照年度排列，迅速掌握出題方向 每道題目提供完整解析，測驗、複習一把罩　　本書收錄國內各重點大學研究所107~109年【計算機組織與結構】共三年試題。　　本書收錄學校：臺灣大學、交通大學、清華大學、成功大學、中央大學、中正大學、中山大學、中興大學、臺灣科技大學、臺灣師範大學、暨南國際大學、高雄大學　　本書特色：　　1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。　　2.多年度試題一次收錄，輕鬆練習歷屆試題。　　3.一題搭配一詳解，演練有錯立即修正，加深印象。
9789574838943,本書內含十三章與一個附錄如下（按：中譯本省略了其中第十一至十三章）：第一章提供廣泛的計算歷史概覽，指出許多計算系統發展中的里程碑，並且讓讀者瞭解我們如何達到目前計算科技的水準。本章介紹必須的專用術語、計算機系統中的基本組件、計算機系統的各種邏輯階層以及馮紐曼計算機模型。其提供計算機系統的高階概觀，以及進一步研讀的動機與必須的觀念。第二章提供計算機用以表示數字與字元符號資訊的各種方法的完整內容。在讀者接觸到數字基底與典型的數字表示技術如一的補數、二的補數與BCD 之後，接著介紹加減乘除法。另外，還討論到EBCDIC、ASCII 與統一碼這些字元符號表示法。也介紹了定點與浮點表示法。並簡短地討論到數據記錄以及錯誤偵測與更正。數據傳輸與記錄使用的碼則說明於「專論」節中。第三章是典型的數位邏輯介紹以及它如何與布林代數相關。本章涵蓋組合與循序兩種邏輯的相當細節，以求讀者瞭解如何組成更複雜的MSI（中型積體）電路（譬如解碼器）。更複雜的電路如匯流排與記憶體亦均有涵蓋。我們將最佳化與卡諾圖置於特別的「專論」節中。第四章說明基本計算機組織並介紹許多基本觀念，包括擷取 - 解碼 - 執行週期、數據通道、時脈與匯流排、暫存器傳遞表示法以及CPU。在此介紹一個非常簡單的架構MARIE 與它的ISA 來讓讀者獲得程式執行相關的基本架構組織的充分瞭解。MARIE 是典型馮紐曼設計，包含程式計數器、累加暫存器、指令暫存器、4096 位元組的記憶體與兩個定址模式。也介紹組合語言編程來加深之前說明的指令格式、指令模式、數據格式與控制的觀念。這不是一本組合語言的課本，也不是設計來作為實用的組合語言編程課程。介紹組合語言的主要目的是要加深一般性計算機架構的瞭解。我們也提供MARIE 的模擬器以便利組合語言程式在MARIE 架構上的編撰、組譯與執行。控制的兩種設計方向—硬連線方法以及微程式控制也於本章中介紹並作比較。最後，我們比較Intel 與MIPS 架構來強化本章中各項觀念。第五章提供更深入的指令集架構探討，包括指令格式、指令型態與定址模式。指令階層管道化處理也在此介紹。真實世界的ISAs（包括Intel®、MIPS® Technologies、ARM 與JavaTM）也在此介紹來強化本章中介紹的各項觀念。第六章涵蓋如 RAM 以及各種記憶體裝置等基本記憶體觀念，並論及包括快取記憶體與虛擬記憶體等較進階的觀念。本章完整介紹快取中的直接對映、關聯式對映與集合關聯式對映技術。它也提供頁處理與區段處理、TLBs 與各種互相關聯的演算法與裝置。本章相關的教材與模擬器可於本書網站中取得。第七章提供詳細的 I/O 基礎、匯流排通訊與協定以及典型外部儲存體裝置如磁碟與光碟，還有每一種設備的不同格式等的概論。DMA、程式驅動式I/O與插斷亦有介紹。另外也介紹了設備間交換資訊的各種技術。RAID 架構有詳細的說明。各種數據壓縮格式則可見於「專論」節中。第八章討論各種可用的編程工具（譬如編譯器與組譯器）以及它們與你所使用機器的架構間的關係。本章目的是將程式師對計算機系統的觀點與所使用機器真實的硬體和架構結合。另外也介紹作業系統，但是只包括與系統的架構和組織相關的細節（例如資源使用與保護、設陷阱捕捉與插斷，以及各種其他的服務）。第九章提供近年出現的各種不同架構的概觀。RISC、Flynn 的分類法、平行處理器、指令階層平行度、多處理器、互相聯結網路、共用記憶體系統、快取一致性，記憶體模型、超純量機器、神經網路、心跳架構、數據流計算機、量子計算與分散式架構均有論及。我們在本章的主要目的是讓讀者瞭解我們並不侷限於馮紐曼架構中，並且要求讀者思考效能議題，來為下一章作準備。第十章涵蓋之前各章中不曾提到的嵌入式系統中有意義的觀念與主題。尤其是，本章專注於嵌入式硬體與組件、嵌入式系統設計的相關主題、嵌入式軟體建構的基礎與嵌入式作業系統的特性。附錄 A 是有關資料結構的簡短附錄，為的是滿足學生可能需要簡要介紹或複習諸如堆疊、貯列與鏈結串列等內容的情況。
9789578148390,0
9789578144897,0
9789578145153,0
9789861223995,0
