ISBN,書籍簡介
9789620758454,"又一山人 X 黃炳培四十年習作全展 又一山人與黃炳培的四十年創作生涯全展，展示近一百項系列作品，包括：平面設計、廣告創作及製作、空間設計、服裝設計、攝影、紀錄片製作、藝術創作及創意策展。另附十九位跨界藝術、文化、創意人撰文分析解構又一山人與黃炳培，及其作品。 「是時候了，漫漫長路上，我們來想一想，時間和我們生存、生活、生命之間，真正的連繫是甚麼。」──又一山人 與新世代的連繫，創意的連繫，時間的連繫，見證過往與當下，然後一切歸零，從新出發。"
9789865100254,"※《和食古早味》作者、中央大學中文系助理教授 胡川安 專業審訂※「湘南煮婦在廚房」版主 吮指推薦 老派是一種時髦，洋食可以是你的餐桌日常選項拿坡里義大利麵、土耳其飯、歐姆蛋、百菇奶油濃湯……知名料理老師郭靜黛JOYCE，將她鑽研日本飲食多年的經驗首度以專書公開，傳授如何在家做出最道地的日式洋食的懷舊滋味，更詳細解說每道料理的起源。從醬料開始到上桌，51道經典料理的訣竅、以及唯有專業等級才教得來的省時祕技，只要跟著步驟做，就能做出大人小孩都愛的經典美食。今日、何食べた？ 【本書特色】＊	經典洋食料理，一個不漏全收錄。＊	詳細的食譜教學，零廚藝也能放心複製。＊	淺顯易懂的料理文化小知識，邊吃邊學。＊	排版設計、攝影風格復刻昭和時期的氣氛。"
9789869705479,電影人必備！好電影→全方位欣賞指南敗筆？→問題分析解答本現任《華盛頓郵報》影評人、資深影視記者安・霍納黛以七個電影製作面向，揭開各領域展現魔力的關鍵指標，橫跨經典老片與前衛當代電影，自娛樂大片到藝術電影，深入淺出帶領觀影人找到自己的方法和語言，理解其各自在生理、心理產生的效果，並進一步評論銀幕上聲與光的「好」與「壞」。卸除偏見→徹底沉浸→感官洗禮→直覺感受→分析評論→交流想法劇本、表演、美術設計、攝影、聲音與音樂、導演，每章節各六部推薦片單，小節中穿插兩至三個提問和大量例證，能輕鬆參與和反思。選片年代涵括好萊塢黃金年代一九三〇到一九五〇年，以及一九七〇年至今的電影。透過本書不僅能藉各種角度欣賞電影，享受更多觀影樂趣，也能跟著作者一窺銀幕後的軼聞趣事。◎ 資深影評人安・霍納戴為電影人量身打造的必備讀物。◎ 掌握電影分析的訣竅、提升觀影樂趣。◎ 四十二部推薦片單和上百部電影觀後分享。◎ 夾附QR Code及網址，完整收錄全書推薦片單預告，以及內文提及的部分電影片段YouTube觀看連結。
9789860579611,山川涵養大地孕育眾相，人類追求心靈豐饒承載文化而生生不息。藝術為先進城市重要衡量指標之一，竹塹城自古引來眾多文人雅士到此深耕，歷史人文豐碩無比，在深具教育思潮的細緻氛圍裡，孕育無數創作賢才，藝文團體與藝術空間的榮景鼎盛蓬勃，亦展現出多元文化特色。 「新竹好時光－藝術巡禮地圖」希望經由博物館群、美術館群、文化館、藝術畫廊、藝術家工坊等藝術生活圈的資源整合，透過精彩的空間透視設計、攝影及巡禮地圖的視角，透過51個藝文空間、6條一日遊路線，隨意組合規劃，翻轉遊賞新竹市的方式，使居住在這個城市或到此觀光的朋友與國際旅者，皆可按圖索驥訪遊新竹市的文化藝術，為自己安排一趟專屬的藝術巡旅好時光，也讓竹塹城蘊含的文化魅力與養分再滋長。
9787549597147,本書是一本精美的圖片集，收錄1969-2010 ECM唱片封套及名錄，通過上千幅圖片的形式專業性解讀ECM視覺與音樂的融合與對話。本書是當代音樂迷與設計、攝影愛好者的絕美收藏，其封套賦予音樂更完整的魅力。同時，它還體現了一個偉大唱片廠牌的靈魂外衣，視聽合一的獨立美學。
,開創時代的創作者不只是服裝時尚，活躍於平面設計、攝影寫真、影像創作…等領域的創作者，都致力於產出令人印象深刻的劃時代作品。驅使他們不斷鞭策自己的原動力是什麼？這麼做的意義何在？在顛覆既定概念，發現新靈感的過程中，他們企圖建構出什麼樣的獨特世界呢？為了了解創作者的核心價值，本期裝苑推出創作者特集，邀請到藝術總監森本千繪和話題模特兒Motola世理奈、電影導演山戶結希、造型師飯嶋久美子和侏儒舞者chibi MOEKO、高中生舞者山田葵、義肢模特兒GIMICO，還有花藝家篠崎惠美…等多位創作者，用最新作品和文字訪談表現他們想要傳遞的概念。只要是創作者誰都掙扎過自己所為何來，一起來吸收更多不一樣的觀點吧。P.52 【對談】TK（凜冽時雨）╳又吉直樹（下圖）和充滿視覺效果服裝造型比起來，言語文字是更抽象的表現方法，但同時也有更多詮釋空間。在人氣樂團凜冽時雨中擔任吉他手、主唱兼詞曲創作的TK，和身兼搞笑藝人、演員、暢銷作家的又吉直樹，要從他們的角度來分享文字的威力。P.94 【對談】增田貴久╳森永邦彥（下圖）對時尚有濃厚的興趣，也設計自家舞台服裝的人氣偶像增田貴久，在裝苑的連載單元正式開始。他在此介紹自己喜愛的外套私服，也和設計師森永邦彥進行對談，分享他們合作過的NEWS演唱會造型。P.32 森本千繪╳發明女子（左下圖）藝術總監森本千繪和話題模特兒Motola世理奈攜手打造了充滿奇想的未來風發明女子。馳騁的想像力和玩心十足的造型創意，為大家帶來一個沒有不可能的時尚奇幻世界。P.37 山戶結希╳百合之戀（右下圖）在遇上喜歡的男孩子之前，有不少女孩子第一個心動的對象其實是近在身邊的手帕交。電影導演山戶結希用時尚寫真訴說一段溫柔的、青澀的百合之戀，如夢似幻的易碎氣氛，飄散著青春的氣息。P.42 飯嶋久美子╳時尚勝利（左下圖）為了傳達誰都可以帥氣美麗的概念，造型師飯嶋久美子這回選擇和侏儒舞者chibi MOEKO、高中生舞者山田葵、義肢模特兒GIMICO合作，表現出時尚不受限制的豐沛活力。P.46 EGUCHIRIKA╳生生不息（右下圖）以藝術總監的身分經手多部廣告和產品設計，同時也是玻璃職人、繪本作家的EGUCHIRIKA，認為創作就是每一天的生活。她嘗試用家族寫真呈現這樣的概念，反映出過去和現在，也想像了未來。P.50 篠崎惠美╳時髦菊人形（左下圖）擅長用植物表現出獨特感性，活躍於各個領域的花藝師篠崎惠美，為大家送上時髦的菊人形設計。傳統的菊細工和流行服飾巧妙結合，為菊人形這種傳統工藝開創出新的可能性。P.64 來自設計師的訊息（右下圖）擁有獨特世界觀，全心投入在創作裡的人通常都有概念要傳達。在此訪問薇薇安魏斯伍德、廣川玉枝、三原康裕、神田惠介、武內昭…等15位人氣設計師，聽聽他們想要留給下個世代的訊息。
4713012740463,輯同名電影作品－青春故事長片《Why Not？》（中文名：燥動）2017年開拍，敬請期待！董非妮（英文名 Phoenix Dong）民國79年（西元1990年）出生於音樂世家，愛好作詞作曲演唱。自幼父母離異，跟隨做生意的母親輾轉各地，長期以來漂泊的人生經歷帶給她許多創作靈感和獨特的藝術風格。雖然自幼在校各科學習成績優秀，但她選擇了藝術作為人生職業方向，涉及的創作領域有：音樂作曲、詩詞創作、美術設計、攝影攝像、編劇導演。本張音樂專輯的創作初衷是來源於董非妮創作的一個青春勵志的音樂題材電影劇本，在電影開 拍前，董非妮為片中主角--壤貓樂隊“The Bad Cat”創作了所有他們將在電影裏面演出的原創歌曲。一反大多數音樂创作人專輯的風格統一性，《Why Not？》裏面曲風各異，包含了多個類型的 搖滾風格，以及Pop、Rap、古典、電子、Trap、Dubstep、Glitch Hop等元素。因為作者認為每一首優秀的音樂作品都應該有自己獨立的靈魂，它是可以在聽眾的腦海裏構建出完整的情景的。《Why Not?》是一首頹廢中透著陽光的歌，這種頹廢來自於小人物的卑微身份，陽光則是心中 堅持的那一部分東西。街頭巷尾的那些雙手插袋的年輕人目光中透露著桀驁不馴的那個情境正是作 者想表現的。《席捲你的荒無》所希望帶給聽眾的是蒼鷹低空掠過荒原的畫面感，那種生命的自由輿張力通 遇音樂傳達給人們甚至比畫面能夠達到的效果更加直觀震撼。《天使的羽翼》描述的是潔白唯美的初戀情境，戀人分離後的念念不忘，愛之深、痛之切。《Oh! 愛情》渲染了如火焰般炙熱、狂風般使人暈眩的愛情氛圍。《逃離》是英文歌《Escape It》的中文版，刻畫了被困在周而復始的生活中想要掙脫的心境。《無邊之花》所描述的情境比較微妙，它是人陶醉在一段已經模糊缺依然嚮往的記憶之中無法 自拔的狀態，就像陷入一個不願醒來的夢境一般，躺在一片花海之中，時光停駐，那一刻的感受是 接近於“永恆”的。本張專輯充滿了董非妮以及搭檔音樂製作人伍威天馬行空的奇思妙想，不將就、不妥協、不隨 大流的創作態度使得這張專輯擁有著一個叛逆且充滿了生命力的靈魂。
9780714871196,"打造完美的藝術創作就從出錯開始！最反骨的廣告創意人Erik Kessels徹底顛覆藝術創作理念，不完美與失敗才是創作過程最重要的力量荷蘭知名廣告人Erik Kessels認為從不斷犯錯的過程中，可以獲取更豐富的創作力量。Erik Kessels的全新作品，不只是一本攝影作品，也是一本指導創作者如何克服失敗所帶來的恐懼的勵志指南。這本攝影集展示所有最優秀及滑稽的創作作品，範圍相當廣泛，包括藝術、平面設計、攝影、建築及商品設計等，希望透過這些特殊的作品激發設計人的想像力，擁抱失誤所帶來的力量。Erik Kessels認為一般人都被「達到完美」的理念而受限，唯有經歷錯誤才能真正幫助我們重新思考及跳出想像的框架。書中150組創意作品皆來自Kessels的個人藝術及攝影收藏，每件作品都標記上Kessels的個人小建議與如何發現這些創作品的有趣小故事。A fun and fabulous take on the art of making mistakes. Erik Kessels celebrates imperfection and failure and shows why they are an essential part of the creative process.Failed it! celebrates the power of mistakes and shows how they can enrich the creative process. This is part photobook and part guide to loosening up and making mistakes to take the fear out of failure and encourage experimentation.It showcases the best and most hilarious examples of imperfection and failure across a broad range of creative forms, including art, design, photography, architecture and product design, to inspire and encourage creatives to embrace and celebrate their mistakes.We live in an era when everyone is striving for perfection and we have become afraid of failure, which limits our potential. Mistakes help us find new ways of thinking and innovative solutions, and failures can change our perceptions and open up new ways of looking things. This book transforms mistakes from something to be embarrassed about into a cause for celebration.It includes over 150 visual examples drawn from Kessels personal collection of artworks and found photographs, along with tips, quotes, anecdotes and wisdom for celebrating with failure. To quote Kessels: 'the ubiquity of Apple + Z, means that we can literally undo any mistake before it has had time to breathe, be considered and — perhaps — evolve into something else: a fascinating, strange, provocative or even original piece of work. This book asks readers to embrace their fuck-ups, learn from them and celebrate their tawdry glory'."
9789866029707,"●「北歐控」不能錯過。不論配色、材質、做法，甚至攝影，都秉持著自然、簡單、實用的北歐風格。
●「手作控」不能錯過。跳脫對傳統手作物品外觀、材質的既有印象，組合出複合媒材且實用的風格雜貨。
●「童心掛」不能錯過。特別加入以「孩童」為主題的作品，可以親子合作，更能啟發孩子們的藝術潛力。
●「藝術組」不能錯過。收錄兩位最受歡迎的芬蘭「設計＆攝影」類部落客的作品，極具概念與巧思。
●「務實派」不能錯過。所有的作品都可以「拿來使用，而非只為了裝飾」，實用性非常高。 這是本無法一眼窺盡、很難界定分類的書，但無論你是喜歡藝術，還是迷戀北歐風，又或是DIY手作愛好者，都會被書中自然、簡單、俐落、實用且極具設計巧思的作品深深著迷。 尤其當水泥砂漿不用作建材、金屬配管不當工程用、枕套也能製作洋裝、軟陶成為配件首飾的材料......時，
來自芬蘭的生活藝術風DIY，讓每個人在生活中更多選擇。
書中的許多手作點子，都誕生於作者蘇珊娜・文朵（Susanna Vento），以及莉卡・康丁哥斯基（Riikka Kantinkoski）這兩位在芬蘭相當受到歡迎的部落客的生活需求中。她們認為，當商店中販售的商品已無法滿足自己，難以找到心頭好時，何不開始自己動手做、DIY，讓自己的生活還有另一種選擇。她們從日常中尋找靈感和素材，將充滿想像力的手作案例和現代家居的佈置點子，結合在這一本書裡。書中的每一個作品，不論配色、使用材質、做法，甚至全書的拍攝，都秉持一貫北歐的風格：自然、簡單、俐落且極具巧思設計。而且最令人開心的是，全部都可以「拿來使用，而非只為了裝飾」，實用性非常高。   本書作品包含了「室內佈置」、「孩童」、「風格」和「收納」四大主題，運用到木工、繪圖、縫紉、剪貼、陶藝等技法，即使從來沒有嘗試過，但她們鼓起勇氣去使用木工機器，花時間在DIY商店的立架間研究找尋，試著拿起剪刀、紙、膠水，並用簡單易懂的圖樣和版型來縫製作品⋯⋯她們誠懇地建議大家，千萬別小看自己的創作潛力和手藝技巧，你也可以按照自己的點子勇敢地創造、應用、嘗試，並且超越自己，不過最重要的是：好好享受手作本身的樂趣！"
9789869043601,"北歐藝術小日子，怎麼過？
北歐的第一印象，是什麼？－－「北歐人怎麼這麼開心啊！」一如卡米拉·殷格曼的作品，活躍於設計、攝影、插畫等各個藝術領域，風格鮮亮簡約，完整體現對生活細節的觀察力與想像力。結合豐富的生活經驗，呈現獨特的北歐藝術風情。本書直擊卡米拉的住家、工作室、周邊的自然風景，發掘源源不覺得藝術靈感，一路上還有夥伴Morran陪伴，完整呈現北歐藝術家的創意小日子。原來，藝術不只是藝術。台灣藝術家，擦撞創意火花藝術無國界，本書邀請台灣藝術家，交錯撞擊，激盪出意想不到的創意驚喜。【優席夫的生活美學新觀點】卡米拉獨特、具創意與衝突性的藝術創作，讓台灣當代藝術家－－優席夫先生，為如此自然、充滿童趣的北歐生活美學愛不釋手，進而結合本身的藝術專業，跨刀規劃系列美學分享會，分享生活美學新觀點，帶領讀者來場心靈藝術饗宴，不用出國，也能體會卡米拉式北歐美學！【盧兆宗 / 溫暄文 / 溫秋萍 藝術跳脫紙本，走入生活】盧兆宗、溫暄文、溫秋萍，三個因手作藝術結緣的年輕人，遇見北歐藝術家卡米拉，可以激盪出什麼樣的創意火花？本書邀請巧手本鋪專業創作群，量身打造卡米拉筆下的創作人偶、卡米拉工作室的袖珍創作，讓藝術跳脫紙本，走入生活。台灣與北歐的創意對話，現在開始！【本書值得這樣的你收藏】→手作中毒，對於居家小物裝飾創作，毫無免疫力者→嚮往北歐時尚復古生活美學者→自由閒散的小資文青們"
