ISBN,書籍簡介
9789863473343,關於手機應用程式的介面模式當你有時間壓力，要設計出好用、容易瀏覽的行動應用程式時，沒時間一切從頭開始，這本言簡意賅的書提供超過 90 個行動應用程式設計模式的實用參考，這些模式用一千張來自 iOS、Android 和 Windows Phone 應用程式的畫面截圖說明。從本書第一版出版後起行動裝置產生了很大的變化，各家系統的差異愈來愈大，形成各自的設計常規和模式，很多設計師愈來愈能擁抱以行動為中心的設計思考，在這一版中，使用者經驗設計專家 Theresa Neil 將帶領產品經理、設計師和開發者看過 11 個類別的設計模式：●導覽：取得主要和次要導覽模式●表單：打破業界在表單設計上的壞習慣●表格：只顯示最重要的資訊●查詢、排序和篩選：讓這些功能容易使用●工具：創造直接互動的幻覺●圖表：學習基本圖表設計的最佳慣例●教學和邀請：邀請使用者開始使用並發現功能●社群：幫助使用者互相連接、成為團體中的一份子●回饋和預設用途：提供使用者即時回饋●協助：把協助頁面整合到應用程式裡●反面模式：設計行動應用程式時要避免的事
9789865501068,本書特色 ►本書通俗易懂、妙趣橫生 ►生活經歷、融入設計模式 ►心中無模式卻處處有模式 ►邁向程式碼重構與簡潔之道 內容簡介 這是一本通俗易懂、妙趣橫生的設計模式書籍，作者將帶領讀者進入物件導向程式設計的禪道三重境界。 ►一重境界：依葫蘆畫瓢。這屬於初學階段，以為設計模式只有書中提到的那幾種，能把模式名稱倒背如流，但真正要用時，還得去翻書，依據類別圖照搬照改。 ►二重境界：靈活運用。這屬於中級階段，即對每一種設計模式都非常熟悉，有較深入的思考，而且能夠根據實際的業務場景選擇合適的模式，並對相應的模式進行恰當的修改以符合實際需求。 ►三重境界：心中無模式。這算最終階段，這裡說無模式並非不使用設計模式，而是設計模式的理念已經融入使用者的靈魂和血液，已經不在乎具體使用哪種通用模式了，但寫出的每一個程式碼都遵循設計的原則，能靈活地創造和使用新的模式（這種模式使用者自己可能也不知道該叫什麼）。這就是所謂的心中無模式卻處處有模式。 全書分為3篇： ■「基礎篇」 講解23種經典設計模式，其中19種常用設計模式分別用單獨的章節講解，其餘設計模式放在一章中講解。 ■「進階篇」 講解由基礎設計模式衍生出的各種程式設計機制，包括篩檢程式模式、物件集區技術、回檔機制和MVC模式，它們在各大程式設計語言中都非常重要而且常見。 ■「經驗篇」 結合工作經驗和專案積累，分享對設計模式、設計原則、專案重構的理解和看法。 適合讀者群：互聯網軟體開發者、有一定程式設計基礎的IT職場新人、對設計模式和程式設計思維感興趣者。
9789864344277,包容性強的網站將為更多人帶來完善的使用者體驗！ 包容性網頁UI/UX設計模式可讓你的網站親和性UPUP！ 以包容性設計模式的角度來思考網頁的親和性及可用性體驗，剖析如何獲得更多人造訪及使用的祕密！ 當設計師製作出包容性及親和性差的網站及應用程式時，這並非是缺乏網頁製作技能或才華的緣故，而是因為沒有掌握好網頁設計的正確方式。而所謂的「包容性網頁設計」是指製作出可讓「所有人」訪問及使用的網頁，也就是說，設計師要從「包容性」的角度來思考，才能真正打造出完美的使用者體驗。 「以人為本的包容性設計」便是本書的精神所在。本書作者是一位包容性設計師，他以「包容性」的角度來研究常見的介面模式，可幫助你快速了解如何運用及重複運用包容性設計，從而為你帶來更廣泛、更忠實的客群。當了解如何製作親和性網頁時，將可使你成為更出色的網頁開發者。不論是網頁設計師、前端開發人員、測試工程師，皆可從本書中獲得啟發。 你能夠從本書中學習到： ★親和性的神話和誤解以及常見的解決方案和經驗法則。 ★可立即使用經過良好測試、可訪問的HTML/CSS元件。 ★如何正確使用WAI-ARIA的role屬性和網頁內容親和性指南（WCAG）。 ★如何解決響應式網頁設計（RWD）中常見的親和性問題。 ★如何處理跳過連結和外部連結以及導覽區域和地標。 ★如何保持標籤、按鈕、目錄、動態小工具和頁籤介面的可訪問性。 ★如何無障礙地實現無限捲動、網格顯示和動態內容。 ★如何處理密碼驗證、錯誤訊息、網頁表單、JavaScript模式和觸控目標。 ★如何保持舊版瀏覽器中的介面可訪問性。 ★如何在設計原型時考慮到親和性。
9789864344352,☝ 博碩嚴選！遊戲程式設計師人手一本不敗經典之作！ ☝ 首版上市累積銷售數千本！ ☝ 好評再上市，回饋發行中！ 寫遊戲的首要之務就是要先有「好的設計」，否則哪能寫出可應對玩家、測試、企劃頻繁出現的新需求呢？那麼，怎樣才算是好的設計呢？除了掌握物件導向的設計原則外，直接在適當的場合套用適當的設計模式，自然是一條捷徑。 GoF提出了23個模式，想要一次全都套用並非易事，不過，對於實質參與過或規畫過數十萬行以上的遊戲程式的人而言，不套用才奇怪！的確，很難想像，在一個簡單的專案中也能把GoF的23個模式都套用進去，但這本書幾乎做到了！關鍵在於作者的「遊戲開發經驗」。 本書作者不但是實質參與大型遊戲開發的人，甚至本身負責的就是遊戲的軟體規劃，負責過的知名遊戲不勝枚舉，這些經驗，使得作者很清楚哪些模式可以套用在遊戲的哪個地方，或者反過來說，作者很清楚遊戲的哪類型功能應該套用哪個模式最為恰當。擁有這種能力的人當然不只一個，但願意把這些經驗濃縮設計出一個簡單的「P級陣地」遊戲並撰寫《設計模式與遊戲開發的完美結合》這本書來分享經驗者，蔡昇達堪稱是台灣遊戲界的第一人，甚至在整個台灣軟體業界，都很罕見。 這本書的重點顯見於書名之中，著重在「設計模式」與「遊戲開發」，且兩者的重要性不相上下。作者撰寫本書的目的主要有二。 首先，這本書是寫給遊戲程式設計師的，作者蔡昇達在遊戲設計業界累積了十年經驗，參與過無數耳熟能詳的專案（詳見下方..本書讚譽..），正所謂「十年磨一劍」，雖然動手完成這本書僅僅花費一年，但背後代表的是十年經驗的積累。 本書作者希望所有的遊戲程式設計師能將工作重點，從「Coding」提升到「設計」的層次，藉由套用「設計模式」與多項物件導向設計原則，設計出可長可久的遊戲，不畏懼、甚至歡迎企劃、測試與使用者回饋帶來的修改需求與新需求。 其次，本書也是寫給那些想要學習「設計模式」但不會寫遊戲的工程師閱讀的，本書採用的遊戲設計工具為Unity3D與C#，所使用的語法都是最簡單的，介面也是最容易上手的。至於遊戲部分，筆者挑選的是最常見、最淺顯易懂的範例，所有與本書遊戲相關的Domain Know-how，都難不倒任何一位曾經「玩過」戰鬥遊戲的軟體工程師。這樣做的目的在於，藉由遊戲做為範例，實際示範「設計模式」的強大之處。事實上，本書原本的另一個候選書名為《設計模式解析——以遊戲為例》。 本書不同於其他講解「設計模式」的書籍，本書的所有範例都圍繞著同一個遊戲專案，並且將GoF的所有模式都套用到了該遊戲專案之中，光是這一點就很不容易，尤其是，本書還仔細思考過讀者的學習步伐，章節的安排讓讀者能夠循序漸進地學會所有的設計模式。讀者若在閱讀GoF的《設計模式》時，遇到無法理解的部分，也可將本書當作範例解析的參考書來使用。 本書對於工程師而言，是一本非常容易閱讀的書籍，因為本書所有關於「設計模式」的章節架構、內容次序的安排都是相同的，步驟如下： 1 土法煉鋼完成遊戲需求。 2 簡介可以採用的「設計模式」，包含使用生活實例來解釋GoF對於該模式的定義。 3 使用該「設計模式」重構或重新設計程式，以完成遊戲需求。 4 搭配團隊對話的手法，討論日後遇到需求變化時，如何善用該「設計模式」的強大之處，以簡單的調整方式來進行維護。 5 討論該「設計模式」還能與哪些「設計模式」配合，以及採用該「設計模式」的優缺點。 6 最後則是討論該「設計模式」還能應用在遊戲設計的哪個環節。 本書作者認為，透過上述步驟來學習「設計模式」與「遊戲開發」，是最能徹底明瞭「設計模式」與「遊戲開發」的學習方式。同時，本書還獲得了遊戲業界及軟體設計界的許多讚賞，因此，我們將之列為《中文原創經典》。 ~~~~~~~本書讚譽~~~~~~ 本書作者經由十年的遊戲開發過程中，將設計模式理論巧妙地融合到實務之中，為讓讀者能更容易地了解如何運用此理論，書中透過一個遊戲的實作貫穿全書，呈現出設計模式的完整樣貌，且以淺顯易懂的比喻來解譯難以理解的設計模式，透過這些相信能夠讓想更深入了解此領域的讀者更容易上手，推薦給有興趣從事遊戲開發的朋友們。 軒轅劍之父——蔡明宏 暱稱『阿達』的蔡昇達先生，在台灣遊戲研發領域中，是位堪稱天才的程式設計師，我在擔任『仙劍Online』製作人期間，他是我對專案推展最大的信心來源。阿達在經歷過大型連網遊戲研發與營運過程洗禮後，升任為技術中心主管，並參與多款網頁遊戲與手機遊戲開發，充份展現他多元技術能力。在本書中，阿達除了傳達程式技術，更將他的實務經驗化為情境式範例，相信對遊戲設計有興趣的讀者，一定能獲益良多！ 資深遊戲製作人——李佳澤 一個充滿技術涵養的作品，有別於其他的遊戲開發叢書，採用了整合式的專案教學，即一個專案包含了所有作者想要傳承的經驗，同時也能讓讀者學習到整個遊戲開發的過程，非常適合走在程式設計師之路的開發者，作者以其深厚的開發經驗深入探討程式設計師該有的GoF開發思維，是一本無論遊戲開發或專案開發都值得蒐藏的作品。 Unity官方產品技術佈道師 ——Kelvin Lo 《設計模式與遊戲開發的完美結合》將軟體的基本道理做了一個總整理，並且利用一個遊戲的範例來應用23個設計模式，這在設計模式的書籍中是較為少見的，作者企圖將軟體設計的領域擴展到所有與軟體有關的產業中，相當令人激賞！ 信仁軟體設計創辦人——賴信仁 本書不僅榮登博碩文化《中文原創經典》系列，事實上，正是有了這本書才開始有了《中文原創經典》這個系列，換句話說，本書是《中文原創經典》當中，第一本由台灣工程師撰寫的書籍！ 博碩文化《名家名著》、《中文原創經典》總編輯——陳錦輝 本書程式碼的GitHub下載點如下： https://github.com/sttsai/PBaseDefense_Unity3D 本書網站：（提供書中較大的UML原圖） http://gameworker.pixnet.net/blog
9789864765805,探索.NET設計模式，將各種適合模式所提供的好處，帶入您的設計工具模組之中懂得設計模式可幫助開發者改進程式基準，促使程式碼的再利用，並使設計更加強固。本書聚焦於.NET程式設計的實務層面，您會學習一些被廣泛使用的設計模式及應用。由古典的物件導向程式設計(OOP)技巧開始，評估平行設計與並行模型，經由混合OOP及函數式程式設計來加強實作，最後達到協同使用函數式程式設計與OOP寫出更好的程式碼的反應式程式設計模型。 透過本書為您展示如何處理架構╱設計技巧GoF模式，及其他目錄的相關模式與反應式程式設計技巧。在讀完本書之後，您將可以在程式中運用這些設計模式：工廠模式(factory pattern)、建造者模式(builder pattern)、轉接器模式(adapter pattern)、表象模式(façade pattern)、裝飾模式(decorator pattern)、觀察者模式(observer pattern)及其他。也可以在.NET中運用並行與平行處理，撰寫流暢的函數式程式碼。您會學到以下技術：●以正確的觀點看待模式與模式目錄●在C#╱.NET軟體開發中套用模式●在實際開發情境中使用GoF及其他模式●增進您的設計字彙與充分表達您的設計想法●混合OOP與FP以善用物件(object)╱函數式(functional)程式設計●利用Rx及RxJs了解反應式程式模型(reactive programming model)●利用C# LINQ建構(constructs)組合的程式碼●能夠使用.Net慣用語法實作並行╱平行程式設計技巧●使用命令式、函數式與反應式的程式碼創作組合程式，使程式碼具可讀性並可維護
9789864342044,「設計模式」一詞起源於建築設計，目的是為了解決工程中重複出現的各種問題，之後被這個概念被導入軟體工程之中。其中最為人熟悉的是GoF整理的23種設計模式，本書對此做了簡單扼要的介紹，並輔以輕鬆愉快的範例幫助讀者在短時間內了解這些模式要解決的問題與實際應用。隨著程式語言的發展，其中有些模式被使用的頻率已經不高或是已經被內化為語言特定，但其核心思想仍然是十分值得我們學習。本書規畫了七天的讀書計劃，使讀者能夠更方便的安排自己的進修課程。這七天，可以是連續的七天，也可以是七個星期假日，總之讀者都可以自由運用。唯有不斷的鞭策和砥礪自己，才容易持續提升自己的技術。你能夠從本書學到‧設計模式的基礎概念。‧物件導向程式設計的基本原則SOLID。‧Gof的23個設計模式所要表達的概念及基礎用法。‧相似模式的異同與應用。‧單元測試工具JUnit的安裝與簡易教學。適用讀者‧想要快速掌握設計模式重點的人。 ‧已有物件導向基礎，想要了解設計模式的人。‧買了很多設計模式相關書籍，卻始終沒有看完的人。‧想要在寫程式時不知不覺就用上了設計模式，讓設計模式自然融入程式碼的人。
9789864341894,學習設計模式的人，一定聽過《Design Patterns: Elements of Reusable Object-Oriented Software》這本書，俗稱GoF的《設計模式》或GoF的23個設計模式。早期就開始學習設計模式的前輩也大多讀過那本書。GoF的設計模式只有23個嗎？其實不只23個，在該書出版之時，有接近半打的模式未能被放入該書當中，原因有很多，例如在當年尚未取得兩個以上的大型專案實例來驗證可行性、尚未取得四人的共識、與其他模式之間的分界尚不明朗等等，都可能會導致一些模式未被納入。該書的遺珠之憾是那些模式呢？在本書中，作者（GoF的四位成員之一）補充了兩個模式，其中的GENERATION GAP模式已經獲得共識，只是在當年的實例不夠多，但現在看來，實在是稀鬆平常，到處都可以看到開發環境或框架採用了這個模式。至於另一個TYPED MESSAGE模式，在規劃初期是叫做MULTICAST模式，這個模式初期只取得其中三人的同意。藉著這個尚未取得共識的模式，作者揭露了當初在撰寫《Design Patterns: Elements of Reusable Object-Oriented Software》時，四位作者之間對於模式的討論方式，讓讀者得以一窺大師們的討論、思想、以及對軟體設計的習慣。並且在說服反對者的最後關頭，還加入了另一位大師《Clean Code》作者Robert C. Martin（Bob大叔）的支援。如果您仔細閱讀本書第四章及第五章，會發現原來要成為一個新模式真是不簡單啊！那些面世的模式全都是大師們的心血結晶，無價的經驗寶藏。早期，有些人會批評《Design Patterns》不適合作為學習設計模式的第一本書，或許是因為有些人看的、寫的專案不夠多，所以無法體會其中的奧妙。後來，由於設計模式被大多數高級軟體工程師接受了，因此寫了非常多的相關書籍來介紹設計模式，漸漸地，設計模式不再那麼令人敬畏，也成為了軟體設計的顯學。而這類比較容易理解的書籍，通常都是採用最適合初階讀者的寫法，也就是舉出實例來說明模式。而且舉的例子越是程式設計師理解的例子，就越能使程式設計師學會設計模式並加以活用。有些書籍，只針對每個模式舉出一個例子，但無法找出一些好例子，可同時應用多個模式來完成同一個例子中不同的功能要求，這樣的寫作法，常常誤導了讀者，違背了設計模式的目的。換言之，一招半式是要如何走江湖呢？本書有別於那些書籍，在本書第二章中，作者以程式設計師最能理解的檔案系統為例，實際示範如何應用六個模式來解決檔案系統不同的功能需求，這六個模式之間的相互合作方式，讓人眼睛為之一亮。讚嘆道︰「原來設計模式是這樣用的啊！」許多讀者都在期待《設計模式》的第二版，而第二版會是什麼樣子呢？這很難說（也可能不會有第二版了），但至少可以肯定的是，本書作者對於《設計模式》第二版所能做出的貢獻，都已經寫在這本書當中了。
9789864341467,Node.js Design PatternsNode.js 已是相當大型且流行的軟體平台，這個平台使你能夠透過 JavaScript，編寫出具擴展性的伺服端應用程式。因此便可以在前後端皆使用相同的程式語言、建立出高效益的程式碼，同時確保最大程度的可重複利用性、實用性、簡約性以及協同性。本書將引領你認識多種設計構想以及相關的元件，此外也將 Node.js 程式常見的實務問題一一解析，並實作出符合「Node.js 之道」的解決方案。從最基礎的原則及元件開始介紹，接著學習非同步程式設計的精髓，並利用為人所熟知的模式及技巧，開發出可重複利用、極為優雅的程式碼。最終建立出可輕鬆擴展、分散及整合的 Node.js 應用程式。你能夠從本書學習到：●實作一系列的 JavaScript 伺服端設計模式，從中瞭解如何應用這些模式於不同的情境中。●認識 Node.js 基礎元件並發揮它們的最大潛能。●條理化組織各式模組以避免盤根錯節。●有效運用各式解決方案以克服常見的設計及撰寫問題。●輕鬆應對非同步機制的程式設計。●辨認且避免常見的設計謬誤、程式錯誤及反模式。●適用讀者期望深入瞭解 Node.js 應用程式開發的 JavaScript 開發者。
9789864340941,"《設計模式：Android 原始碼解析與應用》一書是關於軟體開發設計模式（Design Patterns）於 Android 原始碼及其應用程式中的探討。本書內容包含各種設計模式的介紹與示範、Android 原始碼中的設計模式實踐、以及如何將設計模式實際活用於 Android 應用程式的開發。

物件導向軟體設計六大原則：單一職責、開閉原則、里氏取代（Liskov Substitution Principle）、依賴倒置、介面隔離、以及迪米特原則（Law of Demeter）。

23 種設計模式：單例模式、Builder 模式、原型模式、工廠方法模式、抽象工廠模式、策略模式、狀態模式、責任鏈模式、直譯器模式、命令模式、觀察者模式、備忘錄模式、迭代器模式、範本方法模式、訪問者模式、中介者模式、代理模式、組合模式、配接器模式、裝飾模式、輕量模式、外觀模式、以及橋接模式。

MVC（Model-View-Controller）和 MVP（Model-View-Presenter）軟體設計架構的說明與實例。"
9789864340835,寫遊戲的首要之務就是要先有「好的設計」，否則哪能寫出可應對玩家、測試、企劃頻繁出現的新需求呢？那麼，怎樣才算是好的設計呢？除了掌握物件導向的設計原則外，直接在適當的場合套用適當的設計模式，自然是一條捷徑。GoF提出了23個模式，想要一次全都套用並非易事，不過，對於實質參與過或規畫過數十萬行以上的遊戲程式的人而言，不套用才奇怪！的確，很難想像，在一個簡單的專案中也能把GoF的23個模式都套用進去，但這本書幾乎做到了！關鍵在於作者的「遊戲開發經驗」。本書作者不但是實質參與大型遊戲開發的人，甚至本身負責的就是遊戲的軟體規劃，負責過的知名遊戲不勝枚舉，這些經驗，使得作者很清楚哪些模式可以套用在遊戲的哪個地方，或者反過來說，作者很清楚遊戲的哪類型功能應該套用哪個模式最為恰當。擁有這種能力的人當然不只一個，但願意把這些經驗濃縮設計出一個簡單的「P級陣地」遊戲並撰寫《設計模式與遊戲開發的完美結合》這本書來分享經驗者，蔡昇達堪稱是台灣遊戲界的第一人，甚至在整個台灣軟體業界，都很罕見。這本書的重點顯見於書名之中，著重在「設計模式」與「遊戲開發」，且兩者的重要性不相上下。作者撰寫本書的目的主要有二。首先，這本書是寫給遊戲程式設計師的，作者蔡昇達在遊戲設計業界累積了十年經驗，參與過無數耳熟能詳的專案（詳見下方..本書讚譽..），正所謂「十年磨一劍」，雖然動手完成這本書僅僅花費一年，但背後代表的是十年經驗的積累。本書作者希望所有的遊戲程式設計師能將工作重點，從「Coding」提升到「設計」的層次，藉由套用「設計模式」與多項物件導向設計原則，設計出可長可久的遊戲，不畏懼、甚至歡迎企劃、測試與使用者回饋帶來的修改需求與新需求。其次，本書也是寫給那些想要學習「設計模式」但不會寫遊戲的工程師閱讀的，本書採用的遊戲設計工具為Unity3D與C#，所使用的語法都是最簡單的，介面也是最容易上手的。至於遊戲部分，筆者挑選的是最常見、最淺顯易懂的範例，所有與本書遊戲相關的Domain Know-how，都難不倒任何一位曾經「玩過」戰鬥遊戲的軟體工程師。這樣做的目的在於，藉由遊戲做為範例，實際示範「設計模式」的強大之處。事實上，本書原本的另一個候選書名為《設計模式解析——以遊戲為例》。本書不同於其他講解「設計模式」的書籍，本書的所有範例都圍繞著同一個遊戲專案，並且將GoF的所有模式都套用到了該遊戲專案之中，光是這一點就很不容易，尤其是，本書還仔細思考過讀者的學習步伐，章節的安排讓讀者能夠循序漸進地學會所有的設計模式。讀者若在閱讀GoF的《設計模式》時，遇到無法理解的部分，也可將本書當作範例解析的參考書來使用。本書對於工程師而言，是一本非常容易閱讀的書籍，因為本書所有關於「設計模式」的章節架構、內容次序的安排都是相同的，步驟如下：1 土法煉鋼完成遊戲需求。2 簡介可以採用的「設計模式」，包含使用生活實例來解釋GoF對於該模式的定義。3 使用該「設計模式」重構或重新設計程式，以完成遊戲需求。4 搭配團隊對話的手法，討論日後遇到需求變化時，如何善用該「設計模式」的強大之處，以簡單的調整方式來進行維護。5 討論該「設計模式」還能與哪些「設計模式」配合，以及採用該「設計模式」的優缺點。6 最後則是討論該「設計模式」還能應用在遊戲設計的哪個環節。本書作者認為，透過上述步驟來學習「設計模式」與「遊戲開發」，是最能徹底明瞭「設計模式」與「遊戲開發」的學習方式。同時，本書還獲得了遊戲業界及軟體設計界的許多讚賞，因此，我們將之列為《中文原創經典》。本書程式碼的GitHub下載點如下：https://github.com/sttsai/PBaseDefense_Unity3D本書網站：（提供書中較大的UML原圖）http://gameworker.pixnet.net/blog
